# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.40650639037124e-07 -9.40650639037164e-07 -9.40650639037163e-07
1024 1 -3.63551870070776e-06 -3.63551870070784e-06 -3.63551870070784e-06
1536 1.5 -5.90957441840199e-06 -5.90957441840198e-06 -5.90957441840198e-06
2048 2 -5.67266533287645e-06 -5.67266533287645e-06 -5.67266533287644e-06
2560 2.5 -6.12321609949474e-06 -6.12321609949471e-06 -6.12321609949469e-06
3072 3 -1.16755493061635e-05 -1.16755493061635e-05 -1.16755493061634e-05
3584 3.5 -1.48933835274559e-05 -1.48933835274559e-05 -1.48933835274558e-05
4096 4 -1.55553352845333e-05 -1.55553352845334e-05 -1.55553352845333e-05
4608 4.5 -1.7717924203587e-05 -1.77179242035849e-05 -1.77179242035848e-05
5120 5 -2.20064205744378e-05 -2.20064205744332e-05 -2.20064205744334e-05
5632 5.5 -2.62110909532363e-05 -2.62110909532361e-05 -2.62110909532363e-05
6144 6 -2.9707967016784e-05 -2.97079670167441e-05 -2.97079670167477e-05
6656 6.5 -3.33499403375133e-05 -3.33499403374439e-05 -3.33499403374529e-05
7168 7 -3.68479536790205e-05 -3.6847953678963e-05 -3.6847953678967e-05
7680 7.5 -3.97100746650666e-05 -3.97100746650715e-05 -3.9710074665064e-05
8192 8 -4.4290678644141e-05 -4.42906786443702e-05 -4.42906786443403e-05
8704 8.5 -5.04382439031277e-05 -5.04382439032277e-05 -5.0438243903187e-05
9216 9 -5.61447090210313e-05 -5.61447090208433e-05 -5.61447090208394e-05
9728 9.5 -6.18741897738325e-05 -6.18741897736255e-05 -6.18741897736648e-05
10240 10 -6.69446386400688e-05 -6.69446386401228e-05 -6.69446386401725e-05
10752 10.5 -7.0725693612385e-05 -7.07256936124916e-05 -7.07256936125753e-05
11264 11 -7.45642150839407e-05 -7.4564215083835e-05 -7.45642150839066e-05
11776 11.5 -7.99078594463313e-05 -7.99078594462125e-05 -7.99078594461659e-05
12288 12 -8.60124134681792e-05 -8.60124134682303e-05 -8.60124134681141e-05
12800 12.5 -9.16691232049824e-05 -9.16691232051084e-05 -9.16691232050334e-05
13312 13 -9.71567522509164e-05 -9.71567522510407e-05 -9.71567522509822e-05
13824 13.5 -0.000102736533043562 -0.000102736533043663 -0.000102736533043535
14336 14 -0.00010752542647665 -0.000107525426476682 -0.000107525426476577
14848 14.5 -0.000111248796871655 -0.000111248796871428 -0.000111248796871513
15360 15 -0.000114918023762129 -0.000114918023761624 -0.000114918023761841
15872 15.5 -0.000118902377910048 -0.000118902377909949 -0.000118902377909942
16384 16 -0.000122431223681402 -0.000122431223682165 -0.000122431223681722
16896 16.5 -0.000125468551160936 -0.000125468551161556 -0.000125468551161227
17408 17 -0.000129127399315605 -0.00012912739931516 -0.000129127399315457
17920 17.5 -0.000133975908987689 -0.000133975908987069 -0.000133975908987494
18432 18 -0.000139418819963836 -0.00013941881996392 -0.000139418819963967
18944 18.5 -0.00014464793301349 -0.000144647933013582 -0.000144647933013702
19456 19 -0.000149170540700256 -0.000149170540700042 -0.000149170540700356
19968 19.5 -0.000152858980770844 -0.000152858980770995 -0.000152858980771021
20480 20 -0.000156199652332064 -0.000156199652332359 -0.000156199652332158
20992 20.5 -0.000159935819999404 -0.000159935819999279 -0.000159935819999063
21504 21 -0.000164162244799797 -0.000164162244799649 -0.000164162244799317
22016 21.5 -0.000168428607941644 -0.000168428607941863 -0.000168428607941602
22528 22 -0.000172688321739246 -0.000172688321739368 -0.000172688321739558
23040 22.5 -0.000177346191536676 -0.000177346191536316 -0.000177346191536804
23552 23 -0.00018248550518281 -0.00018248550518231 -0.000182485505182537
24064 23.5 -0.000187727373996495 -0.000187727373996387 -0.00018772737399621
24576 24 -0.000192647543728386 -0.000192647543728673 -0.000192647543728586
25088 24.5 -0.00019691597547743 -0.0001969159754779 -0.000196915975477979
25600 25 -0.000200503632789668 -0.000200503632789982 -0.000200503632789709
26112 25.5 -0.000205962602501493 -0.000205962602501154 -0.000205962602501357
26624 26 -0.000215277957228682 -0.000215277957228896 -0.000215277957228997
27136 26.5 -0.000224640009714919 -0.00022464000971524 -0.000224640009715276
27648 27 -0.000232545102994593 -0.000232545102994415 -0.00023254510299459
28160 27.5 -0.000239192312515912 -0.000239192312515654 -0.000239192312515854
28672 28 -0.000245533245887212 -0.00024553324588735 -0.000245533245887248
29184 28.5 -0.000251519309606107 -0.000251519309606258 -0.000251519309605806
29696 29 -0.000256053600509048 -0.000256053600508759 -0.000256053600508502
30208 29.5 -0.000258403259228723 -0.000258403259228346 -0.000258403259228724
30720 30 -0.000259078809358521 -0.000259078809358601 -0.000259078809359166
