# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.01519703865051 0 0.234096527099609 0 1.90134429931641 0 0 0 0 0 0 0 0 0 43.7931489515328 64032.321174672 0 64032.321174672 160 427375 2287 425088 0 0 0 0 2.01343464851379 1717451720.18701 266
512 0.5 2767.06850977926 2767.06850977926 2.80224108695984 0.650507926940918 0.886300563812256 0 1.91821503639221 3 367909.42906025 367909.42906025 239328 239328 180634.23231839 180634.23231839 117504 117504 94.992510363006 230102.132437668 8233.03218937394 221869.100248294 186 441059 15971 425088 0 0 0 0 2.79259181022644 1717451720.97405 905
1024 1 2604.85440360206 2604.85440360206 3.53376817703247 1.38203501701355 1.54718494415283 0 2.03348922729492 6 346341.441502931 346341.441502931 478656 478656 170044.895467143 170044.895467143 235008 235008 122.823950168104 225237.47940397 8648.51757310737 216588.961830863 284 456286 17374 438912 0 0 0 0 3.51652383804321 1717451721.70558 1544
1536 1.5 2600.15663454763 2600.15663454763 4.22853112220764 2.07679796218872 2.1847243309021 0 2.04608058929443 9 345716.826129453 345716.826129453 717984 717984 169738.225103269 169738.225103269 352512 352512 149.720610236613 223836.226568057 9084.02892043451 214752.197647622 310 457678 18766 438912 0 0 0 0 4.20370578765869 1717451722.40034 2183
2048 2 2550.82445491406 2550.82445491406 4.97434997558594 2.82261681556702 2.82171201705933 0 2.25653076171875 12 339157.619525374 339157.619525374 957312 957312 166517.82041679 166517.82041679 470016 470016 190.463983214636 266166.912894246 9291.39055677055 256875.522337475 492 884189 20189 864000 0 0 0 0 4.94201636314392 1717451723.14616 2822
2560 2.5 2514.50592101043 2514.50592101043 5.73096513748169 3.57923197746277 3.46408438682556 0 2.26971864700317 15 334328.707257547 334328.707257547 1196640 1196640 164146.946523561 164146.946523561 587520 587520 226.7432902464 390572.816741125 9432.34442032788 381140.472320797 518 885581 21581 864000 0 0 0 0 5.69159436225891 1717451723.90278 3461
3072 3 2522.12701600836 2522.12701600836 6.43383312225342 4.2820999622345 4.11325335502625 0 2.3626229763031 18 335342.008048471 335342.008048471 1435968 1435968 164644.451605026 164644.451605026 705024 705024 248.213833514654 384387.99329266 9833.31851904668 374554.674773613 616 900836 23012 877824 0 0 0 0 6.38697981834412 1717451724.60564 4100
3584 3.5 2535.11846187366 2535.11846187366 7.121915102005 4.97018194198608 4.74782729148865 0 2.37632846832275 21 337069.350690722 337069.350690722 1675296 1675296 165492.533191113 165492.533191113 822528 822528 268.734794548832 379947.614407662 10195.4948308064 369752.119576856 642 902230 24406 877824 0 0 0 0 7.06759095191956 1717451725.29373 4739
4096 4 2529.7567406662 2529.7567406662 7.84398007392883 5.69224691390991 5.36855030059814 0 2.57313251495361 24 336356.456238979 336356.456238979 1914624 1914624 165142.52003069 165142.52003069 940032 940032 299.745930179081 411044.179464215 10357.3934014306 400686.786062784 824 1328742 25830 1302912 0 0 0 0 7.78238987922668 1717451726.01579 5378
4608 4.5 2507.52882785986 2525.55955075059 8.61227703094482 6.4605438709259 6.0295684337616 0 2.58497858047485 27 333401.032952246 333401.032952246 2153952 2153952 163691.481882691 163691.481882691 1057536 1057536 327.563086645807 514937.690396223 10462.6592521785 504475.031144044 850 1330134 27222 1302912 0 0 0 0 8.54357814788818 1717451726.78409 6017
