# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.80139729189739e-06
512 0.5 1.02349622555405e-05
1024 1 1.52363799073175e-05
1536 1.5 1.76174123614542e-05
2048 2 1.78714582842408e-05
2560 2.5 1.76767505488391e-05
3072 3 1.84139276828789e-05
3584 3.5 1.94513650704537e-05
4096 4 1.97417308786155e-05
4608 4.5 1.95598218336587e-05
5120 5 1.96074782316311e-05
5632 5.5 2.03524810276981e-05
6144 6 2.07138799673752e-05
6656 6.5 2.06654148191069e-05
7168 7 2.06294094260184e-05
7680 7.5 2.09974607095862e-05
8192 8 2.13711340843228e-05
8704 8.5 2.14122038798849e-05
9216 9 2.13855554900549e-05
9728 9.5 2.15370997635612e-05
10240 10 2.19185091025744e-05
10752 10.5 2.19626887723039e-05
11264 11 2.2017726315178e-05
11776 11.5 2.2117107648833e-05
12288 12 2.23662289602547e-05
12800 12.5 2.25270343341018e-05
13312 13 2.2565787634793e-05
13824 13.5 2.26788343695977e-05
14336 14 2.29117005462939e-05
14848 14.5 2.30610506984966e-05
15360 15 2.31936209433395e-05
15872 15.5 2.3311031200839e-05
16384 16 2.34748573359707e-05
16896 16.5 2.36625501242725e-05
17408 17 2.37654188523929e-05
17920 17.5 2.39900254411738e-05
18432 18 2.41189766832954e-05
18944 18.5 2.43468870674439e-05
19456 19 2.44407938703548e-05
19968 19.5 2.4538531923918e-05
20480 20 2.47718475730688e-05
20992 20.5 2.49335658484714e-05
21504 21 2.51798737859228e-05
22016 21.5 2.53053329355881e-05
22528 22 2.54168870825695e-05
23040 22.5 2.56380860153696e-05
23552 23 2.57847116949776e-05
24064 23.5 2.60611911309993e-05
24576 24 2.61868219715092e-05
25088 24.5 2.63508457138582e-05
25600 25 2.65115235800802e-05
26112 25.5 2.66839029530231e-05
26624 26 2.69594988637394e-05
27136 26.5 2.71151120493936e-05
27648 27 2.73267266920819e-05
28160 27.5 2.74200035115339e-05
28672 28 2.7643676814828e-05
29184 28.5 2.78636062269324e-05
29696 29 2.80756919279971e-05
30208 29.5 2.82518286391507e-05
30720 30 2.8403267473399e-05
31232 30.5 2.86032352797359e-05
31744 31 2.87991674827994e-05
32256 31.5 2.90383522749684e-05
32768 32 2.92331918203907e-05
33280 32.5 2.94384729927828e-05
33792 33 2.96137870781078e-05
34304 33.5 2.97936341266787e-05
34816 34 2.99804745486878e-05
35328 34.5 3.0215012693342e-05
35840 35 3.04725914497247e-05
36352 35.5 3.07371856451229e-05
36864 36 3.09486155846308e-05
37376 36.5 3.1111249808943e-05
37888 37 3.1304695638775e-05
38400 37.5 3.15457589072936e-05
38912 38 3.18465462056316e-05
