# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.28460443112455e-07 2.28460443112465e-07 2.28460443112473e-07
1024 1 5.81152508011039e-07 5.81152508011078e-07 5.81152508011114e-07
1536 1.5 8.92192077465302e-07 8.92192077465301e-07 8.92192077465309e-07
2048 2 9.33488527564164e-07 9.33488527564165e-07 9.33488527564144e-07
2560 2.5 9.92971912475292e-07 9.92971912475205e-07 9.92971912475106e-07
3072 3 9.70668719992752e-07 9.70668719992654e-07 9.70668719992575e-07
3584 3.5 1.07482528503519e-06 1.07482528503497e-06 1.07482528503478e-06
4096 4 9.7836852808361e-07 9.78368528083404e-07 9.78368528083026e-07
4608 4.5 1.03832466023903e-06 1.03832466023911e-06 1.03832466023905e-06
5120 5 1.0496680332889e-06 1.04966803328864e-06 1.04966803328769e-06
5632 5.5 1.08326351697639e-06 1.08326351697697e-06 1.08326351697688e-06
6144 6 1.05621368721559e-06 1.05621368721563e-06 1.05621368721789e-06
6656 6.5 1.11236934053184e-06 1.11236934052939e-06 1.11236934052714e-06
7168 7 1.09089157631353e-06 1.09089157631528e-06 1.09089157631453e-06
7680 7.5 1.05882020497334e-06 1.05882020497475e-06 1.05882020497226e-06
8192 8 1.12799222191535e-06 1.12799222191249e-06 1.12799222191488e-06
8704 8.5 1.16119544529732e-06 1.1611954452928e-06 1.16119544529204e-06
9216 9 1.18084438579505e-06 1.18084438579372e-06 1.18084438579297e-06
9728 9.5 1.25571946682837e-06 1.25571946681918e-06 1.25571946682035e-06
10240 10 1.25517438950296e-06 1.25517438950313e-06 1.25517438949829e-06
10752 10.5 1.25818618068601e-06 1.25818618068483e-06 1.25818618068874e-06
11264 11 1.24020181586055e-06 1.24020181586167e-06 1.24020181586516e-06
11776 11.5 1.24049246541089e-06 1.24049246540515e-06 1.24049246540015e-06
12288 12 1.22720061358223e-06 1.2272006135859e-06 1.22720061357697e-06
12800 12.5 1.19701044086145e-06 1.19701044085494e-06 1.1970104408561e-06
13312 13 1.2087894600862e-06 1.20878946009176e-06 1.20878946008773e-06
13824 13.5 1.21820099723663e-06 1.21820099722456e-06 1.21820099721421e-06
14336 14 1.19215470366478e-06 1.19215470366082e-06 1.19215470366176e-06
14848 14.5 1.18392810475109e-06 1.18392810474471e-06 1.18392810475052e-06
15360 15 1.19316822319722e-06 1.19316822319827e-06 1.19316822320182e-06
15872 15.5 1.22004274223077e-06 1.22004274222058e-06 1.22004274222204e-06
