# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.125 0.669861241266459
1024 0.25 0.669861309901059
1536 0.375 0.669861454579039
2048 0.5 0.669861657531523
2560 0.625 0.669861873336828
3072 0.75 0.669862058722292
3584 0.875 0.669862198621355
4096 1 0.669862308114349
4608 1.125 0.669862413264593
5120 1.25 0.669862527750497
5632 1.375 0.669862642462224
6144 1.5 0.66986273414575
6656 1.625 0.669862784327796
7168 1.75 0.669862792936126
7680 1.875 0.669862776640533
8192 2 0.669862754453265
8704 2.125 0.669862732566749
9216 2.25 0.669862700230089
9728 2.375 0.66986263942207
10240 2.5 0.669862540091534
10752 2.625 0.669862408419128
11264 2.75 0.669862261681981
11776 2.875 0.669862114677714
12288 3 0.669861969218552
12800 3.125 0.669861814719318
13312 3.25 0.669861638504244
13824 3.375 0.669861437254689
14336 3.5 0.669861220678564
14848 3.625 0.669861004476247
15360 3.75 0.669860798028916
15872 3.875 0.669860596940002
16384 4 0.669860386951052
16896 4.125 0.669860155952271
17408 4.25 0.669859903699314
17920 4.375 0.669859641271276
18432 4.5 0.669859381470727
18944 4.625 0.669859128462745
19456 4.75 0.669858874647361
19968 4.875 0.669858606743255
20480 5 0.669858316245354
20992 5.125 0.669858006149554
21504 5.25 0.669857688496687
22016 5.375 0.669857374568488
22528 5.5 0.669857065820867
23040 5.625 0.669856753121927
23552 5.75 0.669856424777749
24064 5.875 0.669856076514646
24576 6 0.669855715231546
25088 6.125 0.669855353595266
25600 6.25 0.669854999918236
26112 6.375 0.669854651539352
26624 6.5 0.669854297165509
27136 6.625 0.66985392631513
27648 6.75 0.669853538073118
28160 6.875 0.669853141952587
28672 7 0.669852750291555
29184 7.125 0.669852368545397
29696 7.25 0.66985199135656
30208 7.375 0.669851607453617
30720 7.5 0.669851209231594
31232 7.625 0.669850798819633
31744 7.75 0.669850384766951
32256 7.875 0.669849970825177
32768 8 0.669849545483264
33280 8.125 0.669849082632896
33792 8.25 0.669848558486206
34304 8.375 0.669847980196437
34816 8.5 0.66984741145349
35328 8.625 0.6698469736174
35840 8.75 0.6698468036939
36352 8.875 0.669846970198216
36864 9 0.669847384401779
37376 9.125 0.669847776357971
37888 9.25 0.669847793616692
38400 9.375 0.669847203727551
38912 9.5 0.66984607822573
39424 9.625 0.669844801435334
39936 9.75 0.669843851824008
40448 9.875 0.66984349191463
40960 10 0.669843606368697
41472 10.125 0.669843820739001
41984 10.25 0.669843791574651
42496 10.375 0.669843416913988
43008 10.5 0.669842820171108
43520 10.625 0.66984218883537
44032 10.75 0.669841649458188
44544 10.875 0.669841252176182
45056 11 0.669840996653208
45568 11.125 0.669840833862846
46080 11.25 0.669840670556592
46592 11.375 0.66984041692662
47104 11.5 0.669840041729351
47616 11.625 0.669839577583376
48128 11.75 0.66983909262427
48640 11.875 0.669838677783703
49152 12 0.669838429665877
49664 12.125 0.669838380040827
50176 12.25 0.669838427706371
50688 12.375 0.669838397769373
51200 12.5 0.669838213365987
51712 12.625 0.669837981279829
52224 12.75 0.669837867316109
52736 12.875 0.669837906672321
53248 13 0.669837975052481
53760 13.125 0.669837923041941
54272 13.25 0.669837689333701
54784 13.375 0.669837305175241
55296 13.5 0.669836864803455
55808 13.625 0.669836500248372
56320 13.75 0.669836305838592
56832 13.875 0.669836242354879
57344 14 0.66983616034879
57856 14.125 0.669835952290729
58368 14.25 0.669835641375075
58880 14.375 0.669835299593961
59392 14.5 0.669834949280163
59904 14.625 0.669834602534648
60416 14.75 0.669834331099229
60928 14.875 0.669834198300818
61440 15 0.669834140080118
61952 15.125 0.66983400440714
62464 15.25 0.669833720038184
62976 15.375 0.669833362900563
63488 15.5 0.669833050132506
64000 15.625 0.669832830832326
64512 15.75 0.669832689176061
65024 15.875 0.669832587713478
65536 16 0.669832480037024
66048 16.125 0.669832329172679
66560 16.25 0.669832141056767
67072 16.375 0.669831950830135
67584 16.5 0.669831771983358
68096 16.625 0.669831599712723
68608 16.75 0.66983146039607
69120 16.875 0.669831394363355
69632 17 0.66983137607257
70144 17.125 0.669831318590615
70656 17.25 0.669831188892042
71168 17.375 0.669831059757693
71680 17.5 0.669831006497549
72192 17.625 0.669831003981838
72704 17.75 0.669830976492477
73216 17.875 0.669830909169985
73728 18 0.669830851397791
74240 18.125 0.669830831564041
74752 18.25 0.669830826480344
75264 18.375 0.669830814447029
75776 18.5 0.669830813773968
76288 18.625 0.669830854418495
76800 18.75 0.669830931277678
77312 18.875 0.6698309964836
77824 19 0.66983099956097
78336 19.125 0.669830945350453
78848 19.25 0.669830911781083
79360 19.375 0.669830986368168
79872 19.5 0.669831171957476
80384 19.625 0.66983137277725
80896 19.75 0.669831484758876
81408 19.875 0.66983148168286
81920 20 0.669831404640153
82432 20.125 0.669831295448374
82944 20.25 0.669831162784796
83456 20.375 0.669830992582946
83968 20.5 0.66983076421775
84480 20.625 0.669830472281362
84992 20.75 0.669830176506496
85504 20.875 0.669830059828707
86016 21 0.669830448686381
86528 21.125 0.669831786890974
87040 21.25 0.669834594235096
87552 21.375 0.669839436683931
88064 21.5 0.669846910839762
88576 21.625 0.669857624887507
89088 21.75 0.669872143832007
89600 21.875 0.669890880670666
90112 22 0.669913965974099
90624 22.125 0.66994116285495
91136 22.25 0.669971864977478
91648 22.375 0.670005160953272
92160 22.5 0.670039933343088
92672 22.625 0.670074978767473
93184 22.75 0.670109145077413
93696 22.875 0.67014147822889
94208 23 0.670171367167875
94720 23.125 0.670198656998318
95232 23.25 0.670223674737608
95744 23.375 0.670247126131894
96256 23.5 0.670269890062973
96768 23.625 0.670292794110482
97280 23.75 0.670316442725174
97792 23.875 0.670341116460391
98304 24 0.670366730972716
98816 24.125 0.67039285407269
99328 24.25 0.6704187973863
99840 24.375 0.670443794025048
100352 24.5 0.670467232611498
100864 24.625 0.670488862527611
101376 24.75 0.670508871110045
101888 24.875 0.670527794624194
102400 25 0.670546316991496
102912 25.125 0.670565054558747
103424 25.25 0.670584400648563
103936 25.375 0.670604453706619
104448 25.5 0.67062501828283
104960 25.625 0.670645659756133
105472 25.75 0.670665808388494
105984 25.875 0.670684920949262
106496 26 0.670702677958867
107008 26.125 0.670719130650645
107520 26.25 0.670734695994839
108032 26.375 0.670749981906364
108544 26.5 0.670765538725976
109056 26.625 0.670781667018494
109568 26.75 0.670798352334283
110080 26.875 0.670815320354581
110592 27 0.670832163202863
111104 27.125 0.670848477281727
111616 27.25 0.670863968936915
112128 27.375 0.67087852120572
112640 27.5 0.670892235515033
113152 27.625 0.670905435371309
113664 27.75 0.670918585975169
114176 27.875 0.670932116337348
114688 28 0.670946220045216
115200 28.125 0.670960759479902
115712 28.25 0.670975340014013
116224 28.375 0.670989504470435
116736 28.5 0.671002928324627
117248 28.625 0.671015520069728
117760 28.75 0.671027406453612
118272 28.875 0.671038838660691
118784 29 0.671050065927746
119296 29.125 0.671061212473904
119808 29.25 0.671072191706038
120320 29.375 0.671082694386046
120832 29.5 0.671092270729091
121344 29.625 0.671100484838464
121856 29.75 0.671107077968824
122368 29.875 0.671112066597874
122880 30 0.671115734462045
123392 30.125 0.671118534244816
123904 30.25 0.671120951379578
124416 30.375 0.671123373911827
124928 30.5 0.671125985645964
125440 30.625 0.671128702695878
125952 30.75 0.671131199741295
126464 30.875 0.671133057719019
126976 31 0.671133983234028
127488 31.125 0.671133973104623
128000 31.25 0.671133316127687
128512 31.375 0.671132434108056
129024 31.5 0.671131669737989
129536 31.625 0.671131147972371
130048 31.75 0.671130770391948
130560 31.875 0.671130310320172
131072 32 0.671129527658581
131584 32.125 0.671128244439681
132096 32.25 0.671126381153967
132608 32.375 0.671123982611973
133120 32.5 0.671121232512714
133632 32.625 0.671118415715539
134144 32.75 0.671115802432201
134656 32.875 0.671113499706041
135168 33 0.671111371978301
135680 33.125 0.671109106461416
136192 33.25 0.671106396024245
136704 33.375 0.67110311553577
137216 33.5 0.671099369677383
137728 33.625 0.671095398426058
138240 33.75 0.671091437655206
138752 33.875 0.671087636048217
139264 34 0.671084039164508
139776 34.125 0.671080588994989
140288 34.25 0.671077122992004
140800 34.375 0.671073418077524
141312 34.5 0.671069304936432
141824 34.625 0.671064787460414
142336 34.75 0.671060059833548
142848 34.875 0.67105538925738
143360 35 0.671050955642554
143872 35.125 0.67104677935484
144384 35.25 0.671042778430369
144896 35.375 0.67103887044216
145408 35.5 0.671035007248425
145920 35.625 0.671031131266304
146432 35.75 0.671027148814059
146944 35.875 0.671022995082643
147456 36 0.671018737042833
147968 36.125 0.671014585849224
148480 36.25 0.67101077111746
148992 36.375 0.671007376826527
149504 36.5 0.671004282737568
150016 36.625 0.671001252931076
150528 36.75 0.670998085374025
151040 36.875 0.670994709445137
151552 37 0.67099118899589
152064 37.125 0.670987664452726
152576 37.25 0.670984287216313
153088 37.375 0.670981174707767
153600 37.5 0.670978383541287
154112 37.625 0.670975887015692
154624 37.75 0.670973559892469
155136 37.875 0.670971202484429
155648 38 0.670968632720437
156160 38.125 0.670965812179433
156672 38.25 0.670962903667008
157184 38.375 0.670960182262291
157696 38.5 0.670957849379944
158208 38.625 0.670955901748767
158720 38.75 0.67095415949767
159232 38.875 0.670952406897962
159744 39 0.670950515549987
160256 39.125 0.670948478880668
160768 39.25 0.67094638562593
161280 39.375 0.670944376368291
161792 39.5 0.670942584112836
162304 39.625 0.670941060133014
162816 39.75 0.670939736846101
163328 39.875 0.670938480971246
163840 40 0.670937203499949
164352 40.125 0.670935920557232
164864 40.25 0.670934707575734
165376 40.375 0.670933608565723
165888 40.5 0.670932603400552
166400 40.625 0.670931652920935
166912 40.75 0.670930751666306
167424 40.875 0.670929932082561
167936 41 0.670929236551218
168448 41.125 0.670928692000111
168960 41.25 0.670928286057354
169472 41.375 0.67092794512932
169984 41.5 0.670927556943698
170496 41.625 0.670927059341153
171008 41.75 0.67092651894362
171520 41.875 0.67092609425512
172032 42 0.670925902296804
172544 42.125 0.670925934209444
173056 42.25 0.670926104707895
173568 42.375 0.670926346420987
174080 42.5 0.670926621778274
174592 42.625 0.670926873532628
175104 42.75 0.670927039170456
175616 42.875 0.67092715034223
176128 43 0.670927380689831
176640 43.125 0.670927938375377
177152 43.25 0.670928895710552
177664 43.375 0.67093014470958
178176 43.5 0.670931529799283
178688 43.625 0.670933005269286
179200 43.75 0.670934641087442
179712 43.875 0.670936480012177
180224 44 0.670938419238549
180736 44.125 0.670940255823553
181248 44.25 0.670941839302079
181760 44.375 0.670943150482709
182272 44.5 0.670944226387929
182784 44.625 0.670945054942126
183296 44.75 0.670945604892144
183808 44.875 0.670945971519831
184320 45 0.670946447044086
184832 45.125 0.670947400040381
185344 45.25 0.670949073410084
185856 45.375 0.670951487741272
186368 45.5 0.670954484291189
186880 45.625 0.670957792826845
187392 45.75 0.670961058209144
187904 45.875 0.670963890421915
188416 46 0.670965996783844
188928 46.125 0.67096732629272
189440 46.25 0.670968104812075
189952 46.375 0.670968736641811
190464 46.5 0.670969652773015
190976 46.625 0.670971183212513
191488 46.75 0.67097347479591
192000 46.875 0.67097645767667
192512 47 0.67097987136115
193024 47.125 0.670983346776176
193536 47.25 0.670986517626668
194048 47.375 0.670989130256011
194560 47.5 0.670991118971144
195072 47.625 0.670992607668926
195584 47.75 0.670993831355635
196096 47.875 0.670995039480291
196608 48 0.670996453108408
197120 48.125 0.670998259864304
197632 48.25 0.671000564742188
198144 48.375 0.671003289872315
198656 48.5 0.671006140461791
199168 48.625 0.671008732622587
199680 48.75 0.67101080934479
200192 48.875 0.671012368054862
200704 49 0.67101361663018
201216 49.125 0.671014834214597
201728 49.25 0.671016250296695
202240 49.375 0.67101797692824
202752 49.5 0.671019977769877
203264 49.625 0.671022081709693
203776 49.75 0.671024060543143
204288 49.875 0.671025738420362
204800 50 0.671027058350157
205312 50.125 0.671028073076421
205824 50.25 0.671028905308882
206336 50.375 0.671029728227914
206848 50.5 0.671030745016418
207360 50.625 0.671032109579869
207872 50.75 0.671033803872408
208384 50.875 0.671035584955363
208896 51 0.671037092165983
209408 51.125 0.671038058581978
209920 51.25 0.67103846367704
210432 51.375 0.671038520211437
210944 51.5 0.671038537331733
211456 51.625 0.671038778640809
211968 51.75 0.67103938623019
212480 51.875 0.671040361008757
212992 52 0.671041566098845
213504 52.125 0.671042747958941
214016 52.25 0.671043596409992
214528 52.375 0.671043857414023
215040 52.5 0.671043468206701
215552 52.625 0.671042632514404
216064 52.75 0.671041756560719
216576 52.875 0.671041256075678
