# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.125 -1.75477984852256e-08 -1.75477984852257e-08 -1.75477984852255e-08
1024 0.25 -8.4440132847155e-08 -8.44401328471563e-08 -8.44401328471569e-08
1536 0.375 -1.31424928269602e-07 -1.31424928269601e-07 -1.31424928269573e-07
2048 0.5 -1.17969286922395e-07 -1.17969286922395e-07 -1.17969286922395e-07
2560 0.625 -1.74452610108659e-07 -1.74452610108659e-07 -1.74452610108659e-07
3072 0.75 -2.08381684377472e-07 -2.08381684377472e-07 -2.08381684377472e-07
3584 0.875 -2.11593748091533e-07 -2.11593748091533e-07 -2.11593748091533e-07
4096 1 -1.99489468672574e-07 -1.99489468672575e-07 -1.99489468672575e-07
4608 1.125 -2.33246221098485e-07 -2.33246221098484e-07 -2.33246221098483e-07
5120 1.25 -3.09495232803246e-07 -3.09495232803245e-07 -3.09495232803244e-07
5632 1.375 -3.32126794055726e-07 -3.32126794055725e-07 -3.32126794055724e-07
6144 1.5 -2.97138805357575e-07 -2.97138805357572e-07 -2.97138805357572e-07
6656 1.625 -2.91496431246558e-07 -2.91496431246526e-07 -2.91496431246377e-07
7168 1.75 -3.454976648347e-07 -3.45497664834722e-07 -3.45497664839123e-07
7680 1.875 -3.28046051652913e-07 -3.28046051648188e-07 -3.28046051561715e-07
8192 2 -3.59576519378503e-07 -3.59576519351882e-07 -3.59576519225888e-07
8704 2.125 -3.12943658483321e-07 -3.12943658534577e-07 -3.12943658775221e-07
9216 2.25 -3.38443046688976e-07 -3.38443047044272e-07 -3.38443046779538e-07
9728 2.375 -3.4175330588664e-07 -3.41753305168499e-07 -3.41753304643785e-07
10240 2.5 -3.33552257805697e-07 -3.33552257805745e-07 -3.33552257805745e-07
10752 2.625 -3.58308759734468e-07 -3.58308759734536e-07 -3.58308759734537e-07
11264 2.75 -3.82352187084044e-07 -3.82352187084045e-07 -3.82352187083364e-07
11776 2.875 -4.05583103800263e-07 -4.05583103800265e-07 -4.05583103798233e-07
12288 3 -4.2818040349823e-07 -4.28180403498232e-07 -4.28180403494047e-07
12800 3.125 -4.50499265344395e-07 -4.50499265344392e-07 -4.50499265339672e-07
13312 3.25 -4.72902620909873e-07 -4.72902620909859e-07 -4.72902620897706e-07
13824 3.375 -4.95482744887355e-07 -4.95482744887261e-07 -4.95482744873496e-07
14336 3.5 -5.18179553689416e-07 -5.18179553689352e-07 -5.18179553687412e-07
14848 3.625 -5.40782129156453e-07 -5.40782129165737e-07 -5.40782129165658e-07
15360 3.75 -5.63050949358722e-07 -5.63050949362613e-07 -5.63050949362725e-07
15872 3.875 -5.84838974466305e-07 -5.8483897446216e-07 -5.84838974463428e-07
16384 4 -6.06153362318154e-07 -6.0615336231353e-07 -6.06153362325944e-07
16896 4.125 -6.27133670966866e-07 -6.27133670975924e-07 -6.27133670978487e-07
17408 4.25 -6.47965096027538e-07 -6.47965096057829e-07 -6.4796509602514e-07
17920 4.375 -6.68775624237205e-07 -6.68775624303119e-07 -6.6877562421922e-07
18432 4.5 -6.89570275857001e-07 -6.89570275981946e-07 -6.89570275862364e-07
18944 4.625 -7.20920113253448e-07 -7.20920113018715e-07 -7.20920112962224e-07
19456 4.75 -7.84049202438567e-07 -7.84049201788556e-07 -7.84049201318729e-07
19968 4.875 -8.37345318223689e-07 -8.37345316866983e-07 -8.37345315997499e-07
20480 5 -8.71051377201408e-07 -8.71051376165905e-07 -8.71051375605249e-07
20992 5.125 -9.08913816345586e-07 -9.08913815172077e-07 -9.08913814474322e-07
21504 5.25 -9.49221381916779e-07 -9.49221381395084e-07 -9.49221381094687e-07
22016 5.375 -9.75808528920872e-07 -9.7580852851369e-07 -9.75808528466144e-07
22528 5.5 -1.01833138688043e-06 -1.01833138759374e-06 -1.01833138413308e-06
23040 5.625 -1.07523688602438e-06 -1.07523688848483e-06 -1.07523688071934e-06
23552 5.75 -1.12968276475425e-06 -1.1296827687428e-06 -1.12968275152408e-06
24064 5.875 -1.18587317854812e-06 -1.18587318059212e-06 -1.18587317199525e-06
24576 6 -1.24494762606948e-06 -1.24494762836407e-06 -1.24494761279567e-06
25088 6.125 -1.29414288116772e-06 -1.29414288437388e-06 -1.29414286533839e-06
25600 6.25 -1.33933668969857e-06 -1.33933669289625e-06 -1.33933667542413e-06
26112 6.375 -1.38899362063083e-06 -1.38899362469313e-06 -1.38899361301956e-06
26624 6.5 -1.4450702566476e-06 -1.44507026175052e-06 -1.44507025482207e-06
