# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.50619567579048
512 0.125 1.5061956758003
1024 0.25 1.50619567583789
1536 0.375 1.50619567590976
2048 0.5 1.50619567603367
2560 0.625 1.50619567621446
3072 0.75 1.50619567644626
3584 0.875 1.50619567673531
4096 1 1.50619567708446
4608 1.125 1.50619567751334
5120 1.25 1.50619567802363
5632 1.375 1.50619567863233
6144 1.5 1.50619567931116
6656 1.625 1.50619568006605
7168 1.75 1.50619568088911
7680 1.875 1.50619568178195
8192 2 1.50619568277025
8704 2.125 1.50619568383558
9216 2.25 1.50619568498393
9728 2.375 1.50619568621261
10240 2.5 1.50619568753126
10752 2.625 1.50619568894111
11264 2.75 1.50619569043787
11776 2.875 1.50619569201292
12288 3 1.50619569366288
12800 3.125 1.5061956953906
13312 3.25 1.50619569720895
13824 3.375 1.50619569911478
14336 3.5 1.50619570110677
14848 3.625 1.50619570317813
15360 3.75 1.50619570532554
15872 3.875 1.50619570756702
16384 4 1.50619570989421
16896 4.125 1.50619571230864
17408 4.25 1.50619571480863
17920 4.375 1.50619571739296
18432 4.5 1.50619572005598
18944 4.625 1.5061957228017
19456 4.75 1.50619572563571
19968 4.875 1.50619572854788
20480 5 1.50619573152719
20992 5.125 1.50619573458665
21504 5.25 1.50619573772293
22016 5.375 1.50619574092899
22528 5.5 1.50619574421315
23040 5.625 1.50619574758163
23552 5.75 1.50619575102886
24064 5.875 1.50619575455179
24576 6 1.50619575814874
25088 6.125 1.50619576182656
25600 6.25 1.50619576558409
26112 6.375 1.50619576942691
26624 6.5 1.50619577335299
27136 6.625 1.5061957773636
27648 6.75 1.50619578145406
28160 6.875 1.50619578562983
28672 7 1.50619578989085
29184 7.125 1.50619579423309
29696 7.25 1.5061957986532
30208 7.375 1.5061958031528
30720 7.5 1.50619580772637
31232 7.625 1.5061958123757
31744 7.75 1.50619581709149
32256 7.875 1.50619582188165
32768 8 1.50619582674564
33280 8.125 1.50619583168749
33792 8.25 1.50619583669332
34304 8.375 1.50619584177002
34816 8.5 1.50619584692342
35328 8.625 1.50619585214146
35840 8.75 1.50619585743025
36352 8.875 1.50619586278983
36864 9 1.50619586822509
37376 9.125 1.5061958737423
37888 9.25 1.50619587932269
38400 9.375 1.50619588496946
38912 9.5 1.5061958907
39424 9.625 1.50619589649945
39936 9.75 1.50619590236348
40448 9.875 1.50619590829313
40960 10 1.50619591429313
41472 10.125 1.50619592035753
41984 10.25 1.5061959264963
42496 10.375 1.50619593269785
43008 10.5 1.5061959389599
43520 10.625 1.50619594527612
44032 10.75 1.50619595165285
44544 10.875 1.5061959580871
45056 11 1.50619596460019
45568 11.125 1.50619597117969
46080 11.25 1.50619597782875
46592 11.375 1.50619598454495
47104 11.5 1.50619599132648
47616 11.625 1.50619599816502
48128 11.75 1.5061960050773
48640 11.875 1.50619601207218
49152 12 1.50619601913148
49664 12.125 1.50619602627047
50176 12.25 1.50619603348026
50688 12.375 1.50619604076585
51200 12.5 1.50619604812354
51712 12.625 1.5061960555439
52224 12.75 1.50619606302275
52736 12.875 1.5061960705576
53248 13 1.50619607816455
53760 13.125 1.50619608582487
54272 13.25 1.50619609354185
54784 13.375 1.50619610131759
55296 13.5 1.50619610915271
55808 13.625 1.50619611704461
56320 13.75 1.50619612499176
56832 13.875 1.50619613299912
57344 14 1.50619614105937
57856 14.125 1.50619614917097
58368 14.25 1.5061961573354
58880 14.375 1.50619616555065
59392 14.5 1.50619617381222
59904 14.625 1.50619618212006
60416 14.75 1.50619619047927
60928 14.875 1.50619619888532
61440 15 1.50619620733763
61952 15.125 1.50619621584192
62464 15.25 1.50619622440115
62976 15.375 1.50619623303476
63488 15.5 1.50619624171751
64000 15.625 1.50619625045406
64512 15.75 1.50619625925961
65024 15.875 1.506196268112
65536 16 1.50619627700431
66048 16.125 1.50619628598022
66560 16.25 1.50619629501037
67072 16.375 1.50619630409508
67584 16.5 1.50619631324645
68096 16.625 1.50619632244405
68608 16.75 1.5061963316922
69120 16.875 1.50619634100522
69632 17 1.50619635038407
70144 17.125 1.50619635982398
70656 17.25 1.5061963693094
71168 17.375 1.50619637883841
71680 17.5 1.50619638841277
72192 17.625 1.50619639803225
72704 17.75 1.50619640771214
73216 17.875 1.50619641744713
73728 18 1.50619642723864
74240 18.125 1.50619643708924
74752 18.25 1.50619644699035
75264 18.375 1.50619645694033
75776 18.5 1.50619646692752
76288 18.625 1.50619647696131
76800 18.75 1.50619648702042
77312 18.875 1.50619649713665
77824 19 1.50619650731155
78336 19.125 1.50619651751741
78848 19.25 1.50619652777361
79360 19.375 1.50619653806215
79872 19.5 1.50619654840549
80384 19.625 1.50619655878696
80896 19.75 1.5061965692234
81408 19.875 1.506196579696
81920 20 1.50619659020413
82432 20.125 1.50619660076106
82944 20.25 1.50619661136769
83456 20.375 1.50619662201895
83968 20.5 1.50619663270188
84480 20.625 1.50619664340663
84992 20.75 1.50619665414437
85504 20.875 1.5061966649041
86016 21 1.50619667567767
86528 21.125 1.50619668648653
87040 21.25 1.50619669734448
87552 21.375 1.50619670824696
88064 21.5 1.5061967191782
88576 21.625 1.50619673015185
89088 21.75 1.50619674115359
89600 21.875 1.50619675220001
90112 22 1.50619676327718
90624 22.125 1.50619677440429
91136 22.25 1.50619678557821
91648 22.375 1.50619679682191
92160 22.5 1.50619680810389
92672 22.625 1.50619681942183
93184 22.75 1.50619683078821
93696 22.875 1.50619684219605
94208 23 1.50619685365067
94720 23.125 1.50619686514792
95232 23.25 1.50619687668777
95744 23.375 1.50619688824948
96256 23.5 1.50619689985077
96768 23.625 1.50619691148389
97280 23.75 1.50619692313803
97792 23.875 1.50619693483147
98304 24 1.50619694655136
98816 24.125 1.5061969583024
99328 24.25 1.50619697008275
99840 24.375 1.50619698188083
100352 24.5 1.50619699371572
100864 24.625 1.50619700560225
101376 24.75 1.50619701752391
101888 24.875 1.50619702951652
102400 25 1.50619704155816
102912 25.125 1.50619705364887
103424 25.25 1.50619706577609
103936 25.375 1.50619707793771
104448 25.5 1.50619709011034
104960 25.625 1.5061971023114
105472 25.75 1.50619711455138
105984 25.875 1.5061971268025
106496 26 1.5061971390587
107008 26.125 1.50619715134123
107520 26.25 1.50619716366378
108032 26.375 1.50619717601079
108544 26.5 1.50619718838809
109056 26.625 1.50619720079682
109568 26.75 1.50619721322733
110080 26.875 1.50619722568302
110592 27 1.50619723817607
111104 27.125 1.50619725071374
111616 27.25 1.50619726329272
112128 27.375 1.50619727590505
112640 27.5 1.50619728855399
113152 27.625 1.50619730122775
113664 27.75 1.50619731391736
114176 27.875 1.50619732661714
114688 28 1.50619733932806
115200 28.125 1.50619735203453
115712 28.25 1.5061973647462
116224 28.375 1.5061973774713
116736 28.5 1.50619739022389
117248 28.625 1.50619740299713
117760 28.75 1.50619741578763
118272 28.875 1.50619742860554
118784 29 1.50619744144721
119296 29.125 1.50619745430936
119808 29.25 1.50619746720282
120320 29.375 1.50619748012619
120832 29.5 1.50619749309866
121344 29.625 1.50619750610831
121856 29.75 1.50619751918143
122368 29.875 1.50619753228861
122880 30 1.50619754543076
123392 30.125 1.50619755861632
123904 30.25 1.50619757181541
124416 30.375 1.50619758502968
124928 30.5 1.50619759826043
125440 30.625 1.50619761149688
125952 30.75 1.50619762476566
126464 30.875 1.50619763806249
126976 31 1.50619765137983
127488 31.125 1.50619766470326
128000 31.25 1.50619767805839
128512 31.375 1.50619769146081
129024 31.5 1.50619770488238
129536 31.625 1.50619771834152
130048 31.75 1.50619773182749
130560 31.875 1.50619774532837
131072 32 1.50619775889981
131584 32.125 1.50619777249145
132096 32.25 1.50619778609655
132608 32.375 1.50619779969708
133120 32.5 1.50619781332417
133632 32.625 1.50619782697441
134144 32.75 1.50619784065582
134656 32.875 1.50619785433997
135168 33 1.5061978680303
135680 33.125 1.50619788172152
136192 33.25 1.50619789541988
136704 33.375 1.50619790912104
137216 33.5 1.5061979228511
137728 33.625 1.50619793661385
138240 33.75 1.50619795039625
138752 33.875 1.50619796421351
139264 34 1.50619797806091
139776 34.125 1.50619799193901
140288 34.25 1.50619800584414
140800 34.375 1.50619801976783
