# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.125 1.00018145508446
1024 0.25 1.00016929494809
1536 0.375 1.0001575771576
2048 0.5 1.00014642198237
2560 0.625 1.00013583500187
3072 0.75 1.0001258035092
3584 0.875 1.00011630993189
4096 1 1.00010733432314
4608 1.125 1.00012444541885
5120 1.25 1.00015258613357
5632 1.375 1.00018325888016
6144 1.5 1.00021633993815
6656 1.625 1.00025170837207
7168 1.75 1.00028923382835
7680 1.875 1.00032877591371
8192 2 1.00036696928437
8704 2.125 1.00040984094445
9216 2.25 1.00045430855743
9728 2.375 1.00050024090756
10240 2.5 1.00054811323945
10752 2.625 1.00059980465199
11264 2.75 1.00065314178747
11776 2.875 1.00070805332263
12288 3 1.00076555503805
12800 3.125 1.00082449738675
13312 3.25 1.00088155059054
13824 3.375 1.00094063659266
14336 3.5 1.00100222437196
14848 3.625 1.00106472071775
15360 3.75 1.00112801189742
15872 3.875 1.00119198609259
16384 4 1.00125653359385
16896 4.125 1.00132154723216
17408 4.25 1.00138692269276
17920 4.375 1.00144781794788
18432 4.5 1.00151833949382
18944 4.625 1.0015891422133
19456 4.75 1.00166007703808
19968 4.875 1.0017310357231
20480 5 1.00180191472677
20992 5.125 1.00187260592707
21504 5.25 1.0019429988855
22016 5.375 1.0020129834868
22528 5.5 1.00207776267812
23040 5.625 1.00215063814116
23552 5.75 1.00222327165989
24064 5.875 1.00229537595557
24576 6 1.00236917028691
25088 6.125 1.00244787129506
25600 6.25 1.00253584641615
26112 6.375 1.00262346441453
26624 6.5 1.00271061952204
27136 6.625 1.00279721841283
27648 6.75 1.00288317202937
28160 6.875 1.00296839857217
28672 7 1.00305281122253
29184 7.125 1.00313631299664
29696 7.25 1.00321881865088
30208 7.375 1.00330026117346
30720 7.5 1.00338059194196
31232 7.625 1.00345617617949
31744 7.75 1.00354793943514
32256 7.875 1.00363926271418
32768 8 1.00374024112247
33280 8.125 1.00384135573767
33792 8.25 1.00394167433775
