# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -3.51799701267956e-05
512 0.125 -3.65427580507057e-05
1024 0.25 -3.89766722708524e-05
1536 0.375 -4.00314461280716e-05
2048 0.5 -3.87006768757629e-05
2560 0.625 -3.73505443686436e-05
3072 0.75 -3.96193478872413e-05
3584 0.875 -4.07924744501779e-05
4096 1 -4.51112695514941e-05
4608 1.125 -4.97350463345777e-05
5120 1.25 -5.47476745426907e-05
5632 1.375 -5.97362238813786e-05
6144 1.5 -6.41324103461394e-05
6656 1.625 -6.76671537790145e-05
7168 1.75 -7.05756309144949e-05
7680 1.875 -7.34042463732028e-05
8192 2 -7.65936246404835e-05
8704 2.125 -8.01688774433411e-05
9216 2.25 -8.37589238038396e-05
9728 2.375 -8.69174038651505e-05
10240 2.5 -8.94943171737347e-05
10752 2.625 -9.1767106471719e-05
11264 2.75 -9.42239145958163e-05
11776 2.875 -9.71778344756853e-05
12288 3 -0.000100535740429859
12800 3.125 -0.000103904881491529
13312 3.25 -0.000106930168811657
13824 3.375 -0.000109580600223962
14336 3.5 -0.00011216690822633
14848 3.625 -0.000115088905503766
15360 3.75 -0.00011851498774541
15872 3.875 -0.000122249653758039
16384 4 -0.000125897281804177
16896 4.125 -0.000129184437317335
17408 4.25 -0.000132171566034017
17920 4.375 -0.000135187966248535
18432 4.5 -0.000138556837752526
18944 4.625 -0.000142334063823158
19456 4.75 -0.000146260860032249
19968 4.875 -0.000149966745900216
20480 5 -0.000153266850424387
20992 5.125 -0.000156310945154477
21504 5.25 -0.000159452339321678
22016 5.375 -0.000162945211545019
22528 5.5 -0.000166731763656406
23040 5.625 -0.000170495564696135
23552 5.75 -0.000173923164013542
24064 5.875 -0.000176952839012631
24576 6 -0.00017981724949918
25088 6.125 -0.000182853729364289
25600 6.25 -0.000186231893615917
26112 6.375 -0.000189814791173247
26624 6.5 -0.000193270544100988
27136 6.625 -0.000196347301867227
27648 6.75 -0.000199082969754794
28160 6.875 -0.000201774169385235
28672 7 -0.000204732534377668
29184 7.125 -0.000208031242231458
29696 7.25 -0.000211447630659889
30208 7.375 -0.000214646058902525
30720 7.5 -0.000217451028388884
31232 7.625 -0.000219987310194836
31744 7.75 -0.000222574360772239
32256 7.875 -0.000225469010335427
32768 8 -0.000228674399874848
33280 8.125 -0.000231965019963047
33792 8.25 -0.0002350856464892
34304 8.375 -0.00023794318126756
34816 8.5 -0.000240639017771599
35328 8.625 -0.000243341882275775
35840 8.75 -0.000246134320273459
36352 8.875 -0.000248970448872254
36864 9 -0.00025176762100578
37376 9.125 -0.000254527555410378
37888 9.25 -0.00025731192651189
38400 9.375 -0.000260211123091215
38912 9.5 -0.00026318523012787
39424 9.625 -0.000266008265018318
39936 9.75 -0.000268414948672559
40448 9.875 -0.000270350204660359
40960 10 -0.000272101942318091
41472 10.125 -0.000274160269274403
41984 10.25 -0.000276864403808276
42496 10.375 -0.000280077440036063
43008 10.5 -0.000283153076021267
43520 10.625 -0.000285326068354406
44032 10.75 -0.000286367577912085
44544 10.875 -0.000286991346241954
45056 11 -0.000288462396947098
45568 11.125 -0.000291502207612744
46080 11.25 -0.000295473593597442
46592 11.375 -0.000298826069311516
47104 11.5 -0.000300508922315714
47616 11.625 -0.000300891707687619
48128 11.75 -0.000301270546387738
48640 11.875 -0.000302690028345348
49152 12 -0.000305357227911173
49664 12.125 -0.00030880600277637
50176 12.25 -0.000312143467193571
