# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.9880218989407e-06
512 0.125 1.56705563729914e-05
1024 0.25 2.59723397126104e-05
1536 0.375 3.35398427301808e-05
2048 0.5 3.93243806381794e-05
2560 0.625 4.35367836451902e-05
3072 0.75 4.61894760366427e-05
3584 0.875 4.74470576437173e-05
4096 1 4.77113782440704e-05
4608 1.125 4.75127927336906e-05
5120 1.25 4.73371899429872e-05
5632 1.375 4.74898978077226e-05
6144 1.5 4.80339136853556e-05
6656 1.625 4.88116123515992e-05
7168 1.75 4.95505656257714e-05
7680 1.875 5.00139585468068e-05
8192 2 5.01150493777644e-05
8704 2.125 4.99365928724185e-05
9216 2.25 4.96652651217699e-05
9728 2.375 4.94939724069347e-05
10240 2.5 4.95399354107221e-05
10752 2.625 4.98018556342676e-05
11264 2.75 5.01697347237422e-05
11776 2.875 5.04894697645928e-05
12288 3 5.06485522589423e-05
12800 3.125 5.06278635327543e-05
13312 3.25 5.04953326391481e-05
13824 3.375 5.03600253023567e-05
14336 3.5 5.03176924900185e-05
14848 3.625 5.04083050052949e-05
15360 3.75 5.05995703532361e-05
15872 3.875 5.08076375847966e-05
16384 4 5.09466600953299e-05
16896 4.125 5.09754254127454e-05
17408 4.25 5.09125667973276e-05
17920 4.375 5.08186790308189e-05
18432 4.5 5.07624719593579e-05
18944 4.625 5.07876520700653e-05
19456 4.75 5.08929037319736e-05
19968 4.875 5.10339797444969e-05
20480 5 5.11494931205534e-05
20992 5.125 5.11961320083473e-05
21504 5.25 5.11703159522584e-05
22016 5.375 5.11048813475977e-05
22528 5.5 5.10486476440375e-05
23040 5.625 5.10419842345391e-05
23552 5.75 5.10973299261738e-05
24064 5.875 5.11933058029962e-05
24576 6 5.12873846484043e-05
25088 6.125 5.1340616568034e-05
25600 6.25 5.13386738888032e-05
26112 6.375 5.1296477704912e-05
26624 6.5 5.12473126218921e-05
27136 6.625 5.12253085250808e-05
27648 6.75 5.12489367932981e-05
28160 6.875 5.13117636567929e-05
28672 7 5.13859571089466e-05
29184 7.125 5.14387028873155e-05
29696 7.25 5.14509330055215e-05
30208 7.375 5.14262196441943e-05
30720 7.5 5.13865137406583e-05
31232 7.625 5.13593965409327e-05
31744 7.75 5.1364379437337e-05
32256 7.875 5.14034887647294e-05
32768 8 5.14602352985813e-05
33280 8.125 5.15089694874094e-05
33792 8.25 5.15295968414761e-05
34304 8.375 5.15182395292274e-05
34816 8.5 5.14877792899983e-05
35328 8.625 5.14596770685894e-05
35840 8.75 5.14528888815963e-05
36352 8.875 5.14746891919744e-05
36864 9 5.15168833424031e-05
37376 9.125 5.15602002166256e-05
37888 9.25 5.15854535553009e-05
38400 9.375 5.15844359952174e-05
38912 9.5 5.15632819196621e-05
39424 9.625 5.15374885362599e-05
39936 9.75 5.15236667115673e-05
40448 9.875 5.15319146968704e-05
40960 10 5.15607257808186e-05
41472 10.125 5.1597336028908e-05
41984 10.25 5.16247994290221e-05
42496 10.375 5.16318513545094e-05
43008 10.5 5.16189001245308e-05
43520 10.625 5.15968195369341e-05
44032 10.75 5.1580449238799e-05
44544 10.875 5.15807679395139e-05
45056 11 5.15994192002978e-05
45568 11.125 5.16280861277973e-05
46080 11.25 5.16533685484635e-05
46592 11.375 5.16644166679478e-05
47104 11.5 5.16584977749363e-05
47616 11.625 5.16416736224633e-05
48128 11.75 5.16251533776366e-05
