# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 5.67611949770966e-06 5.67611949767758e-06 5.67611949764554e-06
1024 0.25 8.19867929427998e-06 8.19867929423185e-06 8.19867929418376e-06
1536 0.375 7.98097997739179e-06 7.98097997737376e-06 7.98097997727585e-06
2048 0.5 1.197522641587e-05 1.19752264158842e-05 1.19752264158984e-05
2560 0.625 1.63648557724334e-05 1.63648557725009e-05 1.63648557725685e-05
3072 0.75 2.05229190445462e-05 2.05229190445679e-05 2.05229190445896e-05
3584 0.875 2.40161342268907e-05 2.4016134226889e-05 2.40161342268874e-05
4096 1 2.64048420570765e-05 2.64048420570556e-05 2.64048420570347e-05
4608 1.125 2.73074650951254e-05 2.73074650951002e-05 2.73074650950751e-05
5120 1.25 2.64816765412907e-05 2.64816765412406e-05 2.64816765411904e-05
5632 1.375 2.39046454915939e-05 2.39046454915405e-05 2.3904645491487e-05
6144 1.5 2.61896476393138e-05 2.61896476393315e-05 2.61896476393491e-05
6656 1.625 2.99170152853531e-05 2.99170152853223e-05 2.99170152852913e-05
7168 1.75 3.07809270219017e-05 3.07809270218372e-05 3.07809270217725e-05
7680 1.875 2.86593094046901e-05 2.86593094046182e-05 2.86593094045462e-05
8192 2 2.40341036537961e-05 2.40341036536909e-05 2.40341036535859e-05
8704 2.125 2.7797916311456e-05 2.77979163115034e-05 2.77979163115513e-05
9216 2.25 3.0392541707205e-05 3.03925417072685e-05 3.03925417073324e-05
9728 2.375 2.999492306667e-05 2.99949230666647e-05 2.99949230666597e-05
10240 2.5 2.68399241384362e-05 2.68399241383949e-05 2.68399241383536e-05
10752 2.625 2.44353469443406e-05 2.44353469443068e-05 2.44353469442731e-05
11264 2.75 2.77377906632779e-05 2.77377906632794e-05 2.77377906632811e-05
11776 2.875 2.86193121649465e-05 2.86193121649989e-05 2.86193121650502e-05
12288 3 2.71553944944958e-05 2.71553944945606e-05 2.71553944946161e-05
12800 3.125 2.38278837158194e-05 2.38278837158532e-05 2.3827883715863e-05
13312 3.25 2.41613724980805e-05 2.4161372498217e-05 2.41613724983559e-05
13824 3.375 2.57943905820964e-05 2.57943905821774e-05 2.57943905822617e-05
14336 3.5 2.57672606981702e-05 2.57672606980167e-05 2.57672606980719e-05
14848 3.625 2.43330730426779e-05 2.43330730425125e-05 2.43330730426149e-05
15360 3.75 2.18145547295925e-05 2.18145547295678e-05 2.18145547299549e-05
15872 3.875 2.23620572147718e-05 2.2362057214506e-05 2.2362057214482e-05
16384 4 2.34711491968051e-05 2.347114919644e-05 2.34711491968636e-05
16896 4.125 2.37261220831408e-05 2.37261220827137e-05 2.37261220829052e-05
17408 4.25 2.31304859091434e-05 2.31304859090541e-05 2.31304859095385e-05
17920 4.375 2.15766402840876e-05 2.15766402836044e-05 2.15766402828804e-05
18432 4.5 2.08100554927951e-05 2.08100554929012e-05 2.08100554942165e-05
18944 4.625 2.24624990809834e-05 2.24624990802653e-05 2.24624990812991e-05
19456 4.75 2.35221359700344e-05 2.35221359693611e-05 2.352213596914e-05
19968 4.875 2.35814942066375e-05 2.35814942083366e-05 2.35814942087009e-05
20480 5 2.22115807601673e-05 2.22115807644499e-05 2.221158076533e-05
20992 5.125 2.08641041173847e-05 2.08641041155013e-05 2.08641041147945e-05
21504 5.25 2.32177759745666e-05 2.3217775977245e-05 2.32177759746485e-05
22016 5.375 2.45795445632003e-05 2.45795445697525e-05 2.45795445645652e-05
22528 5.5 2.4349992395858e-05 2.43499924018748e-05 2.43499923961868e-05
23040 5.625 2.215756588948e-05 2.21575658934904e-05 2.21575658862954e-05
23552 5.75 2.24238564877229e-05 2.24238564850997e-05 2.24238564958095e-05
24064 5.875 2.47364563381883e-05 2.47364563290106e-05 2.47364563410381e-05
24576 6 2.54112118046035e-05 2.54112117932095e-05 2.54112118029717e-05
25088 6.125 2.403935836613e-05 2.4039358358996e-05 2.40393583649834e-05
25600 6.25 2.11897874066711e-05 2.11897873856047e-05 2.11897873880787e-05
26112 6.375 2.40782005841645e-05 2.40782005570543e-05 2.40782005462803e-05
26624 6.5 2.53937931054297e-05 2.53937930745846e-05 2.53937930540073e-05
27136 6.625 2.47568346926934e-05 2.47568346630056e-05 2.47568346475808e-05
27648 6.75 2.21739602331062e-05 2.21739602176018e-05 2.21739602169639e-05
28160 6.875 2.26715025821251e-05 2.26715027025526e-05 2.26715027095445e-05
28672 7 2.43220542039999e-05 2.43220543306305e-05 2.43220543283938e-05
29184 7.125 2.42378385612574e-05 2.42378386709049e-05 2.42378386676483e-05
29696 7.25 2.24674119833987e-05 2.24674120661965e-05 2.24674120648719e-05
30208 7.375 2.10198956207519e-05 2.10198956123412e-05 2.10198954045871e-05
30720 7.5 2.30292003040273e-05 2.30292003265478e-05 2.30292000199079e-05
31232 7.625 2.35959879572479e-05 2.35959880013961e-05 2.35959876070453e-05
31744 7.75 2.27870311590548e-05 2.27870312043853e-05 2.27870307528846e-05
32256 7.875 2.08670375597315e-05 2.08670375721632e-05 2.08670371023703e-05
32768 8 2.12092198206775e-05 2.12092188459034e-05 2.12092196728255e-05
33280 8.125 2.20040433931169e-05 2.20040421136999e-05 2.20040435940821e-05
33792 8.25 2.18105949080216e-05 2.1810593462668e-05 2.18105954731715e-05
34304 8.375 2.08381573264272e-05 2.08381559879077e-05 2.08381582533152e-05
34816 8.5 1.92808541022348e-05 1.92808532578412e-05 1.92808554085283e-05
35328 8.625 1.98610244632657e-05 1.98610278536687e-05 1.98610249709602e-05
35840 8.75 2.05389729997059e-05 2.05389778403918e-05 2.0538975086683e-05
36352 8.875 2.07299636857518e-05 2.07299693925701e-05 2.07299670919339e-05
36864 9 2.04512544804565e-05 2.04512601857855e-05 2.04512582420789e-05
37376 9.125 1.95947181101989e-05 1.95947227770558e-05 1.95947209313955e-05
37888 9.25 1.86243069372126e-05 1.86242998659837e-05 1.86243001405885e-05
38400 9.375 1.97090041973872e-05 1.97089932010598e-05 1.97089939260764e-05
38912 9.5 2.05267951261052e-05 2.05267819856586e-05 2.05267842671994e-05
39424 9.625 2.07953414069182e-05 2.07953286619883e-05 2.07953326328514e-05
39936 9.75 2.01538715606238e-05 2.01538618879622e-05 2.0153866304474e-05
40448 9.875 1.84232437068897e-05 1.84232280667459e-05 1.84232360067882e-05
40960 10 2.00259811427964e-05 2.00259915850272e-05 2.0025977339861e-05
41472 10.125 2.12170959047769e-05 2.12171027215937e-05 2.12170878161307e-05
41984 10.25 2.14690532273689e-05 2.14690544111525e-05 2.14690457838911e-05
42496 10.375 2.04122813171285e-05 2.04122764548815e-05 2.04122805203211e-05
43008 10.5 1.94686282908624e-05 1.9468632394717e-05 1.94686255884708e-05
43520 10.625 2.12559743593529e-05 2.12559800432891e-05 2.12559716316936e-05
44032 10.75 2.20565360650577e-05 2.20565416716697e-05 2.2056542115877e-05
44544 10.875 2.15253378947945e-05 2.15253483182573e-05 2.15253353014677e-05
45056 11 1.95196865468728e-05 1.95196986029226e-05 1.9519675196956e-05
45568 11.125 2.05598363290165e-05 2.05598299105213e-05 2.05598172473058e-05
46080 11.25 2.20382527059398e-05 2.20382555968629e-05 2.2038258510528e-05
46592 11.375 2.23322085693596e-05 2.23322087923676e-05 2.23322137084525e-05
47104 11.5 2.12088898534386e-05 2.12089030057957e-05 2.12089089468913e-05
47616 11.625 1.93273873157834e-05 1.93273986363837e-05 1.93273500246515e-05
48128 11.75 2.0877489204706e-05 2.08774941153402e-05 2.08774875115431e-05
48640 11.875 2.12643855350603e-05 2.12643859542121e-05 2.12643745760968e-05
49152 12 2.04455919050394e-05 2.04455880157787e-05 2.04455719336373e-05
49664 12.125 1.86623989316055e-05 1.86624188759017e-05 1.8662432516903e-05
50176 12.25 2.05237983690119e-05 2.05237960314263e-05 2.05237961379103e-05
50688 12.375 2.16452272311201e-05 2.16452217493934e-05 2.16452218408858e-05
51200 12.5 2.15756544116028e-05 2.15756446426397e-05 2.15756464721945e-05
51712 12.625 2.05617946907004e-05 2.0561796318114e-05 2.05617871052407e-05
52224 12.75 1.87090922777779e-05 1.87091061829659e-05 1.87090893694094e-05
52736 12.875 1.8994345844688e-05 1.89943678021542e-05 1.89943440973097e-05
53248 13 1.97930667440334e-05 1.97930785599448e-05 1.97930695977184e-05
53760 13.125 1.99020051187351e-05 1.99019882426217e-05 1.99020052904704e-05
