# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 -5.77338211025041e-06 -5.77338211012266e-06 -5.77338210999491e-06
1024 0.25 -8.30069518786422e-06 -8.3006951879349e-06 -8.30069518800552e-06
1536 0.375 -8.27108819546429e-06 -8.27108819539906e-06 -8.27108819522191e-06
2048 0.5 -5.39100869912788e-06 -5.39100869924229e-06 -5.39100869935675e-06
2560 0.625 -5.38454374830797e-06 -5.38454374832638e-06 -5.38454374834484e-06
3072 0.75 -6.94569956738708e-06 -6.94569956726961e-06 -6.94569956715177e-06
3584 0.875 -7.28138611848547e-06 -7.28138611851738e-06 -7.2813861185178e-06
4096 1 -6.40961249995215e-06 -6.40961250002684e-06 -6.40961250001243e-06
4608 1.125 -5.55322536550937e-06 -5.55322536555936e-06 -5.5532253647439e-06
5120 1.25 -5.83222556686769e-06 -5.83222556716328e-06 -5.83222556737692e-06
5632 1.375 -7.17934552366242e-06 -7.17934552366365e-06 -7.1793455236649e-06
6144 1.5 -8.23723861465092e-06 -8.23723861458071e-06 -8.23723861451049e-06
6656 1.625 -7.77686279854562e-06 -7.77686279856756e-06 -7.77686279857589e-06
7168 1.75 -9.15000148397579e-06 -9.15000148397397e-06 -9.15000148397212e-06
7680 1.875 -8.66648714415747e-06 -8.66648714411228e-06 -8.66648714406707e-06
8192 2 -6.51025844937608e-06 -6.51025844931718e-06 -6.51025844925827e-06
8704 2.125 -6.13614851433547e-06 -6.13614851423001e-06 -6.13614851790148e-06
9216 2.25 -7.14293527589779e-06 -7.14293527653335e-06 -7.14293528842515e-06
9728 2.375 -8.10996046212376e-06 -8.10996045912713e-06 -8.10996046879126e-06
10240 2.5 -7.2643395850461e-06 -7.26433958132121e-06 -7.26433958348644e-06
10752 2.625 -9.22149748642767e-06 -9.22149747780499e-06 -9.22149745834457e-06
11264 2.75 -7.73332590737087e-06 -7.73332590645615e-06 -7.73332592662034e-06
11776 2.875 -9.32814756796668e-06 -9.32814756752273e-06 -9.3281475829529e-06
12288 3 -7.65045760017502e-06 -7.65045761611333e-06 -7.65045764059632e-06
12800 3.125 -9.03021364950498e-06 -9.03021368591744e-06 -9.03021367416682e-06
13312 3.25 -8.73500221561225e-06 -8.73500223086919e-06 -8.73500217778072e-06
13824 3.375 -8.44033149532782e-06 -8.44033154104686e-06 -8.44033149195614e-06
14336 3.5 -7.3785691306205e-06 -7.3785691517253e-06 -7.37856912982538e-06
14848 3.625 -6.89835312329952e-06 -6.89835312132568e-06 -6.89835307308887e-06
15360 3.75 -9.68951270539145e-06 -9.68951271776036e-06 -9.68951269122812e-06
15872 3.875 -1.22796677181679e-05 -1.22796677301066e-05 -1.22796677033517e-05
16384 4 -1.4580603811554e-05 -1.45806037856852e-05 -1.45806037876969e-05
16896 4.125 -1.57491907793191e-05 -1.5749190785573e-05 -1.57491907701797e-05
17408 4.25 -1.32017340971278e-05 -1.32017340726402e-05 -1.32017340689332e-05
17920 4.375 -1.54779572146036e-05 -1.54779572587235e-05 -1.54779572721309e-05
18432 4.5 -1.10749311741824e-05 -1.10749310860448e-05 -1.1074931040936e-05
18944 4.625 -1.50386801707347e-05 -1.50386802117712e-05 -1.50386802146265e-05
19456 4.75 -1.10493574148286e-05 -1.10493575045564e-05 -1.1049357574412e-05
19968 4.875 -1.46710765783481e-05 -1.46710766859621e-05 -1.46710768314805e-05
20480 5 -1.21570275282723e-05 -1.21570276306633e-05 -1.21570276124133e-05
20992 5.125 -1.28587042387699e-05 -1.28587043274373e-05 -1.28587033620465e-05
21504 5.25 -1.06030285806223e-05 -1.06030285296907e-05 -1.06030277412893e-05
22016 5.375 -1.50599442447126e-05 -1.50599442602314e-05 -1.50599440629513e-05
22528 5.5 -1.09530526526733e-05 -1.09530524708812e-05 -1.09530520694364e-05
23040 5.625 -1.46339705514197e-05 -1.46339702985894e-05 -1.46339699157879e-05
23552 5.75 -1.28755303827932e-05 -1.28755299245221e-05 -1.28755309746117e-05
24064 5.875 -1.3038066631236e-05 -1.30380654139201e-05 -1.3038070865358e-05
24576 6 -1.42045395275108e-05 -1.4204538259567e-05 -1.4204543547416e-05
25088 6.125 -1.11813831393918e-05 -1.11813847648667e-05 -1.11813853911097e-05
25600 6.25 -1.51781489666041e-05 -1.51781476490359e-05 -1.51781542166457e-05
26112 6.375 -1.36493640384375e-05 -1.36493632049971e-05 -1.36493679791291e-05
26624 6.5 -1.31891594405408e-05 -1.3189162177293e-05 -1.31891549952094e-05
