# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 1.20815907838069e-07 1.20815907838067e-07 1.20815907838065e-07
1024 0.5 5.2719877252875e-07 5.27198772528746e-07 5.27198772528742e-07
1536 0.75 7.17898518475758e-07 7.17898518475754e-07 7.17898518475753e-07
2048 1 9.75805334717136e-07 9.75805334717136e-07 9.75805334717136e-07
2560 1.25 1.74617386413147e-06 1.74617386413147e-06 1.74617386413147e-06
3072 1.5 2.63172951991449e-06 2.63172951991449e-06 2.63172951991449e-06
3584 1.75 3.51070401481847e-06 3.51070401481846e-06 3.51070401481846e-06
4096 2 4.26960097971405e-06 4.26960097971405e-06 4.26960097971405e-06
4608 2.25 4.82622578715504e-06 4.82622578715503e-06 4.82622578715504e-06
5120 2.5 5.14289729381809e-06 5.14289729381808e-06 5.14289729381809e-06
5632 2.75 5.22969613199208e-06 5.22969613199208e-06 5.22969613199208e-06
6144 3 5.88850246597924e-06 5.88850246597924e-06 5.88850246597923e-06
6656 3.25 6.39163563159211e-06 6.39163563158941e-06 6.39163563159113e-06
7168 3.5 6.57209837166465e-06 6.57209837147977e-06 6.57209837167494e-06
7680 3.75 6.487275234601e-06 6.48727523579484e-06 6.4872752346456e-06
8192 4 6.75217988651425e-06 6.75218008387969e-06 6.75217987490776e-06
8704 4.25 7.0858064769674e-06 7.08580697436417e-06 7.08580657329594e-06
9216 4.5 7.10473525676311e-06 7.10473612529758e-06 7.10473558406767e-06
9728 4.75 6.8999225542225e-06 6.89992393404726e-06 6.89992330618322e-06
10240 5 7.17458267965526e-06 7.17458298119535e-06 7.1745830526727e-06
10752 5.25 7.25955692518172e-06 7.25955742562425e-06 7.25955753071775e-06
11264 5.5 7.06450879012642e-06 7.06450948123385e-06 7.06450960674817e-06
11776 5.75 6.81088469826748e-06 6.81088399959648e-06 6.81088339009053e-06
12288 6 7.05425085299003e-06 7.05424987650877e-06 7.05424899001068e-06
12800 6.25 7.0362355981689e-06 7.03623441105767e-06 7.03623329419196e-06
