# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.46363401412964 0 0.408382892608643 0 2.3722972869873 0 0 0 0 0 0 0 0 0 37.951566688491 151339.170548567 0 151339.170548567 160 645235 2371 642864 0 0 0 0 2.46219110488892 1717848857.30587 266
512 0.25 411.89838044863 411.89838044863 5.03441095352173 2.1850049495697 2.59788179397583 0 2.44157719612122 3 234884.593785964 234884.593785964 513224 513224 169211.516007234 169211.516007234 369728 369728 74.6964177658025 270541.806330302 6697.64198637434 263844.164343928 186 659384 16520 642864 0 0 0 0 5.02280855178833 1717848859.87665 905
1024 0.5 387.014952144127 387.014952144127 7.50038909912109 4.65098309516907 4.96456289291382 0 2.57917618751526 6 220694.846443575 220694.846443575 1026448 1026448 158989.182473715 158989.182473715 739456 739456 96.2211051383289 263919.900489149 7000.08539881343 256919.815090335 284 678383 17951 660432 0 0 0 0 7.47910714149475 1717848862.34263 1544
1536 0.75 421.934267332718 388.575335394673 9.24850702285767 6.39910101890564 6.65359210968018 0 2.59881782531738 9 240607.54713063 240607.54713063 1539672 1539672 173334.347547101 173334.347547101 1109184 1109184 117.922941691102 261906.468126847 7396.38895384745 254510.079172999 310 679829 19397 660432 0 0 0 0 9.21864891052246 1717848864.09074 2183
2048 1 458.027624540668 398.862937807031 10.709193944931 7.859787940979 7.99607968330383 0 2.8182270526886 12 261189.743974733 261189.743974733 2052896 2052896 188161.819517969 188161.819517969 1478912 1478912 151.117852203579 365679.401723747 7614.12827029641 358065.273453451 492 1324147 20851 1303296 0 0 0 0 10.670224905014 1717848865.55143 2822
2560 1.25 446.641476111595 409.51777814803 12.9246010780334 10.0751950740814 10.0874502658844 0 2.84204483032227 15 254696.80548433 254696.80548433 2566120 2566120 183484.288533098 183484.288533098 1848640 1848640 181.167669268403 467137.310545751 7769.41426786656 459367.896277885 518 1325544 22248 1303296 0 0 0 0 12.8757607936859 1717848867.76684 3461
3072 1.5 453.697291003955 414.393779896121 14.7516150474548 11.9022090435028 11.8486413955688 0 2.94804930686951 18 258720.376086904 258720.376086904 3079344 3079344 186382.880009234 186382.880009234 2218368 2218368 198.417233179429 460025.188011058 8096.86990604597 451928.318105013 616 1344570 23706 1320864 0 0 0 0 14.6938462257385 1717848869.59385 4100
3584 1.75 473.31253148395 419.43868927607 16.1598501205444 13.3104441165924 13.1938972473145 0 2.97015571594238 21 269905.94517591 269905.94517591 3592568 3592568 194440.995156109 194440.995156109 2588096 2588096 215.107935718886 453750.297972333 8408.09044037238 445342.20753196 642 1346007 25143 1320864 0 0 0 0 16.0944502353668 1717848871.00209 4739
4096 2 488.181068735593 425.412721968807 17.5980319976807 14.7486259937286 14.5144922733307 0 3.18553185462952 24 278384.712023062 278384.712023062 4105792 4105792 200549.122423859 200549.122423859 2957824 2957824 240.632541277352 537792.001479591 8561.26476709005 529230.736712501 824 1990319 26591 1963728 0 0 0 0 17.5239481925964 1717848872.44027 5378
4608 2.25 500.475263393594 431.269747457928 19.0340220928192 16.1846160888672 15.8320071697235 0 3.20593190193176 27 285395.462866571 285395.462866571 4619016 4619016 205599.686871096 205599.686871096 3327552 3327552 264.20863747321 621957.750925971 8678.91020730555 613278.840718666 850 1991723 27995 1963728 0 0 0 0 18.9536046981812 1717848873.87626 6017
5120 2.5 512.468560358647 437.092742564903 20.4114589691162 17.5620529651642 17.1500618457794 0 3.30590724945068 30 292234.627135007 292234.627135007 5132240 5132240 210526.639871424 210526.639871424 3697280 3697280 278.408291189945 613732.680904588 8971.00196435619 604761.678940232 948 2010755 29459 1981296 0 0 0 0 20.323194026947 1717848875.2537 6656
5632 2.75 521.902123126194 442.836288929801 21.818480014801 18.969074010849 18.4937012195587 0 3.32873558998108 33 297614.105821464 297614.105821464 5645464 5645464 214402.031310224 214402.031310224 4067008 4067008 291.748732694052 605149.131388564 9230.99005681767 595918.141331746 974 2012191 30895 1981296 0 0 0 0 21.7228221893311 1717848876.66072 7295
6144 3 519.621337302563 449.054340622425 23.6337718963623 20.7843658924103 20.1904282569885 0 3.536780834198 36 296313.490239745 296313.490239745 6158688 6158688 213465.064220224 213465.064220224 4436736 4436736 311.90613324766 675067.388982048 9337.72616602608 665729.662816022 1156 2656506 32346 2624160 0 0 0 0 23.5303699970245 1717848878.47601 7934
6656 3.25 526.373778592278 453.679277333118 25.076956987381 22.227550983429 21.5245141983032 0 3.55628776550293 39 300164.062382492 300164.062382492 6671912 6671912 216239.02712374 216239.02712374 4806464 4806464 331.602806840928 748134.215749034 9442.51659819363 738691.69915084 1182 2657909 33749 2624160 0 0 0 0 24.9658699035645 1717848879.91919 8573
7168 3.5 531.923583624257 458.194238765486 26.5370190143585 23.6876130104065 22.9237868785858 0 3.66238951683044 42 303328.832535529 303328.832535529 7185136 7185136 218518.936362477 218518.936362477 5176192 5176192 343.183043160558 738344.479334007 9689.38575891221 728655.093575095 1280 2676939 35211 2641728 0 0 0 0 26.4181950092316 1717848881.37926 9212
7680 3.75 537.236692666441 462.45177885508 27.9779949188232 25.1285889148712 24.2961404323578 0 3.68577861785889 45 306358.627063379 306358.627063379 7698360 7698360 220701.608784642 220701.608784642 5545920 5545920 353.626142691453 727400.555846255 9901.26039310056 717499.295453155 1306 2678385 36657 2641728 0 0 0 0 27.8516838550568 1717848882.82023 9851
8192 4 541.699073433966 466.589450835817 29.4324309825897 26.5830249786377 25.6372511386871 0 3.88689184188843 48 308903.294737859 308903.294737859 8211584 8211584 222534.794469548 222534.794469548 5915648 5915648 370.469927073129 788024.315844981 9993.20231449181 778031.11353049 1488 3322710 38118 3284592 0 0 0 0 29.2983117103577 1717848884.27467 10490
8704 4.25 544.207197213478 470.595540158079 30.9636979103088 28.1142919063568 27.0610897541046 0 3.90653514862061 51 310333.549536322 310333.549536322 8724808 8724808 223565.154012605 223565.154012605 6285376 6285376 386.92073084495 851715.536625363 10075.3133356447 841640.223289719 1514 3324116 39524 3284592 0 0 0 0 30.8214015960693 1717848885.80593 11129
9216 4.5 549.137168729487 474.119441466257 32.35023188591 29.500825881958 28.3866086006165 0 4.00851607322693 54 313144.86031558 313144.86031558 9238032 9238032 225590.430133351 225590.430133351 6655104 6655104 396.606813223816 841156.124087371 10292.0981798043 830864.025907567 1612 3343153 40993 3302160 0 0 0 0 32.2003037929535 1717848887.19247 11768
9728 4.75 552.587151362653 477.593026209491 33.7947509288788 30.9453449249268 29.7684595584869 0 4.03015112876892 57 315112.209078829 315112.209078829 9751256 9751256 227007.713665568 227007.713665568 7024832 7024832 405.832526680993 830638.096535601 10488.8087113005 820149.287824301 1638 3344595 42435 3302160 0 0 0 0 33.6374416351318 1717848888.63699 12407
10240 5 555.584311174839 480.97262412248 35.2477290630341 32.398323059082 31.1089217662811 0 4.22996306419373 60 316821.336131551 316821.336131551 10264480 10264480 228238.973557834 228238.973557834 7394560 7394560 419.927741347981 883563.48527485 10558.3557935359 873005.129481314 1820 3988919 43895 3945024 0 0 0 0 35.0822274684906 1717848890.08997 13046
10752 5.25 558.305876124712 484.142802643744 36.701817035675 33.852411031723 32.4552290439606 0 4.25061178207397 63 318373.305520255 318373.305520255 10777704 10777704 229357.016630931 229357.016630931 7764288 7764288 433.759998284253 939611.04957325 10624.2941599298 928986.75541332 1846 3990349 45325 3945024 0 0 0 0 36.5291657447815 1717848891.54405 13685
11264 5.5 561.40336531655 487.138814657017 38.1181650161743 35.2687590122223 33.8107271194458 0 4.35443329811096 66 320139.645290246 320139.645290246 11290928 11290928 230629.492724175 230629.492724175 8134016 8134016 442.026105923914 928690.348162233 10821.2819586793 917869.066203553 1944 4009409 46817 3962592 0 0 0 0 37.9376673698425 1717848892.9604 14324
11776 5.75 564.152431404256 489.997895712491 39.5416169166565 36.6922109127045 35.1707894802094 0 4.37479758262634 69 321707.297172242 321707.297172242 11804152 11804152 231758.833509148 231758.833509148 8503744 8503744 449.800416188033 917600.62787107 11000.6630779008 906599.96479317 1970 4010882 48290 3962592 0 0 0 0 39.3536310195923 1717848894.38385 14963
12288 6 566.32414722933 492.814949319245 40.9901070594788 38.1407010555267 36.5075640678406 0 4.57430720329285 72 322945.715708473 322945.715708473 12317376 12317376 232650.993674229 232650.993674229 8873472 8873472 461.79144379907 964455.892127438 11061.3551487388 953394.536978699 2152 4655236 49780 4605456 0 0 0 0 40.7939834594727 1717848895.83234 15602
12800 6.25 568.394606787797 495.458242008646 42.4345810413361 39.585175037384 37.8438215255737 0 4.59493231773376 75 324126.392971178 324126.392971178 12830600 12830600 233501.556864932 233501.556864932 9243200 9243200 473.559983383053 1014311.68067334 11110.3619836489 1003201.31868969 2178 4656669 51213 4605456 0 0 0 0 42.2312424182892 1717848897.27682 16241
13312 6.5 570.320227255263 498.012561459617 43.8789870738983 41.0295810699463 39.2271337509155 0 4.70365715026855 78 325224.475903172 325224.475903172 13343824 13343824 234292.618869593 234292.618869593 9612928 9612928 480.668637799239 1003170.06491678 11286.684328717 991883.380588067 2276 4675733 52709 4623024 0 0 0 0 43.6679580211639 1717848898.72122 16880
13824 6.75 572.102300244839 500.452097417898 45.3243269920349 42.4749209880829 40.6040604114532 0 4.72411370277405 81 326240.701045397 326240.701045397 13857048 13857048 235024.71029436 235024.71029436 9982656 9982656 486.83691074855 990834.504822324 11435.582943993 979398.921878331 2302 4677212 54188 4623024 0 0 0 0 45.1059145927429 1717848900.16656 17519
14336 7 573.03802775154 502.876050164995 46.8255450725555 43.9761390686035 41.9956409931183 0 4.93187093734741 84 326774.298616396 326774.298616396 14370272 14370272 235409.11547169 235409.11547169 10352384 10352384 497.318365022243 1033052.19274279 11486.5635191795 1021565.62922361 2484 5321564 55676 5265888 0 0 0 0 46.598733663559 1717848901.66778 18158
14848 7.25 572.811255717519 505.227823668147 48.4141530990601 45.564747095108 43.464834690094 0 4.95360255241394 87 326644.982115964 326644.982115964 14883496 14883496 235315.955504363 235315.955504363 10722112 10722112 506.332345775166 1075459.19663551 11496.9366078605 1063962.26002765 2510 5322996 57108 5265888 0 0 0 0 48.1799006462097 1717848903.25639 18797
15360 7.5 571.203183785853 507.583850610367 50.1180500984192 47.2686440944672 45.1029908657074 0 5.07493257522583 90 325727.980883678 325727.980883678 15396720 15396720 234655.345260862 234655.345260862 11091840 11091840 512.057760604236 1063382.05643013 11644.1296683197 1051737.92676182 2608 5342055 58599 5283456 0 0 0 0 49.8752362728119 1717848904.96029 19436
15872 7.75 569.305542443751 509.680676804367 51.8564820289612 49.0070760250092 46.757444858551 0 5.10306715965271 93 324645.853016835 324645.853016835 15909944 15909944 233875.777329604 233875.777329604 11461568 11461568 515.783649364621 1047909.40356495 11742.0206990144 1036167.38286593 2634 5343538 60082 5283456 0 0 0 0 51.6060559749603 1717848906.69872 20075
16384 8 569.961385616107 511.463877802679 53.3791449069977 50.5297389030457 48.1640646457672 0 5.31152653694153 96 325019.846857156 325019.846857156 16423168 16423168 234145.203534524 234145.203534524 11831296 11831296 524.248882672983 1084522.33075806 11768.7546357185 1072753.57612234 2816 5987889 61569 5926320 0 0 0 0 53.097069978714 1717848908.22138 20714
16896 8.25 571.075816198502 513.097607098679 54.8565111160278 52.0071051120758 49.5288577079773 0 5.33156156539917 99 325655.349658511 325655.349658511 16936392 16936392 234603.021523822 234603.021523822 12201024 12201024 532.692309847247 1124156.2731821 11786.6150799358 1112369.65810216 2842 5989322 63002 5926320 0 0 0 0 54.5904879570007 1717848909.69875 21353
17408 8.5 572.811104797308 514.632031200726 56.2701580524445 53.4207520484924 50.8748645782471 0 5.43767881393433 102 326644.896053882 326644.896053882 17449616 17449616 235315.893504999 235315.893504999 12570752 12570752 537.505515477341 1111942.10818948 11916.6826248621 1100025.42556462 2940 6008384 64496 5943888 0 0 0 0 55.9960823059082 1717848911.1124 21992
17920 8.75 573.311748867845 516.201120449668 57.7933349609375 54.9439289569855 52.3390703201294 0 5.45887970924377 105 326930.387778835 326930.387778835 17962840 17962840 235521.562539345 235521.562539345 12940480 12940480 543.061291496327 1101826.25812407 12057.3540762878 1089768.90404778 2966 6009860 65972 5943888 0 0 0 0 57.5114500522614 1717848912.63557 22631
18432 9 574.199789463168 517.687838042957 59.2757589817047 56.4263529777527 53.7095813751221 0 5.6642541885376 108 327436.791941606 327436.791941606 18476064 18476064 235886.377509598 235886.377509598 13310208 13310208 550.826836063245 1135823.62023865 12085.1335969675 1123738.48664168 3148 6654213 67461 6586752 0 0 0 0 58.986355304718 1717848914.118 23270
18944 9.25 574.910441965897 519.117051264454 60.7714710235596 57.9220650196075 55.0882253646851 0 5.68714928627014 111 327842.040741673 327842.040741673 18989288 18989288 236178.31987463 236178.31987463 13679936 13679936 557.77986563892 1171062.52298058 12085.347726039 1158977.17525454 3174 6655645 68893 6586752 0 0 0 0 60.4743211269379 1717848915.61371 23909
19456 9.5 576.598740564889 520.429179065377 62.1627509593964 59.3133449554443 56.4172539710999 0 5.78972125053406 114 328804.79114186 328804.79114186 19502512 19502512 236871.887946195 236871.887946195 14049664 14049664 562.527490064573 1160138.62918694 12214.9572339795 1147923.67195296 3272 6674706 70386 6604320 0 0 0 0 61.8564460277557 1717848917.00499 24548
19968 9.75 577.676744867418 521.752197220232 63.6100308895111 60.7606248855591 57.8036952018738 0 5.81083679199219 117 329419.521897595 329419.521897595 20015736 20015736 237314.741695934 237314.741695934 14419392 14419392 567.311326317816 1149774.54958629 12341.1741681711 1137433.37541812 3298 6676186 71866 6604320 0 0 0 0 63.2963051795959 1717848918.45227 25187
