# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00267970670171545 -0.00267970670171545 -0.00267970670171545
1024 0.5 -0.00532740027685446 -0.00532740027685446 -0.00532740027685446
1536 0.75 -0.00792528343256927 -0.00792528343256927 -0.00792528343256927
2048 1 -0.0104619227617221 -0.0104619227617221 -0.0104619227617221
2560 1.25 -0.0129651143204301 -0.0129651143204301 -0.0129651143204301
3072 1.5 -0.0155109991425364 -0.0155109991425364 -0.0155109991425364
3584 1.75 -0.0181005718883951 -0.0181005718883951 -0.0181005718883951
4096 2 -0.0206902218523573 -0.0206902218523595 -0.0206902218523573
4608 2.25 -0.0232618072668535 -0.0232618072668844 -0.0232618072668535
5120 2.5 -0.0258113105526854 -0.0258113106277154 -0.0258113105526854
5632 2.75 -0.0283354497946653 -0.0283354501166018 -0.0283354497946653
6144 3 -0.0308312790080624 -0.0308312795751971 -0.0308312790080625
6656 3.25 -0.0332953452977871 -0.0332953461065002 -0.0332953452977871
7168 3.5 -0.0357234726594652 -0.0357234737049099 -0.0357234726594642
7680 3.75 -0.0381103333449959 -0.0381103346158724 -0.0381103333449924
8192 4 -0.0404533886234069 -0.0404533900881072 -0.0404533886233996
8704 4.25 -0.0427508769631243 -0.0427508785751125 -0.0427508769631138
9216 4.5 -0.0450008919868942 -0.0450008936552327 -0.0450008919868768
9728 4.75 -0.0472013194870819 -0.0472013210820236 -0.0472013194870468
10240 5 -0.0493506281942871 -0.0493506295710673 -0.0493506281942279
10752 5.25 -0.0514822859674196 -0.0514823018359799 -0.0514822859673548
11264 5.5 -0.0536058004338728 -0.0536058188532735 -0.0536058004338126
11776 5.75 -0.0556786584027223 -0.0556786798315959 -0.0556786584026902
12288 6 -0.0577011703481159 -0.0577011952665672 -0.0577011703480929
12800 6.25 -0.0596868369175196 -0.0596868368579592 -0.0596868369174749
13312 6.5 -0.0618523350326979 -0.0618523349627389 -0.0618523350326299
