# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000280574330606246
512 0.25 0.000285374310429928
1024 0.5 0.000291733471933076
1536 0.75 0.000274661794524197
2048 1 0.00025276026657591
2560 1.25 0.000242926182022285
3072 1.5 0.000266027129665197
3584 1.75 0.000301819258295838
4096 2 0.000335445435921802
4608 2.25 0.000369350732733573
5120 2.5 0.000404149389564665
5632 2.75 0.000438315334116979
6144 3 0.000469556720556152
6656 3.25 0.000496755202523042
7168 3.5 0.000520926352591836
7680 3.75 0.000544460960425153
8192 4 0.000569302516527398
8704 4.25 0.000595556496983923
9216 4.5 0.000621626856383686
9728 4.75 0.000645705307801711
10240 5 0.000667358652429145
10752 5.25 0.000687931790898086
11264 5.5 0.000709493465168312
11776 5.75 0.000733230174270003
12288 6 0.000758583051312822
12800 6.25 0.000783790291302489
13312 6.5 0.000807386823372488
13824 6.75 0.000829470534737628
14336 7 0.000851723376339472
14848 7.25 0.00087615094724422
15360 7.5 0.000903502040830659
15872 7.75 0.000932528752344536
16384 8 0.000960578066091233
16896 8.25 0.000985196346561287
17408 8.5 0.00100603851004914
17920 8.75 0.00102608422611637
18432 9 0.00105066752876788
18944 9.25 0.00108340447731746
19456 9.5 0.00112128868060757
19968 9.75 0.00115467840475832
20480 10 0.00117539682144543
20992 10.25 0.00118652075317945
21504 10.5 0.00120163042564089
22016 10.75 0.00123115744596942
22528 11 0.00127069220567624
23040 11.25 0.00130640568801955
23552 11.5 0.00133104775090993
24064 11.75 0.00134951754448714
24576 12 0.00136877408095233
25088 12.25 0.00138968311926081
25600 12.5 0.00141189079039582
26112 12.75 0.00143883195455516
26624 13 0.00147119355529368
27136 13.25 0.00150146102906248
27648 13.5 0.0015232322720875
28160 13.75 0.00154137535818019
28672 14 0.00156402934301107
29184 14.25 0.00158901613118784
29696 14.5 0.00160919093248502
30208 14.75 0.00162784763732404
30720 15 0.0016552864660368
31232 15.25 0.00169041150286056
31744 15.5 0.00171969730938401
32256 15.75 0.00173697423502525
32768 16 0.00175144722936266
33280 16.25 0.00177233234410117
33792 16.5 0.00179771028229969
34304 16.75 0.00182337964900416
34816 17 0.00185088791606554
35328 17.25 0.00188027601877648
35840 17.5 0.00190513743584526
36352 17.75 0.00192226184374393
36864 18 0.00193822169997207
37376 18.25 0.00196006738610702
37888 18.5 0.00198663800340475
38400 18.75 0.00201420604412442
38912 19 0.00204274459840989
39424 19.25 0.00207078357774858
39936 19.5 0.00209209603730202
40448 19.75 0.00210504650463963
40960 20 0.0021192951618921
41472 20.25 0.00214537036269798
41984 20.5 0.00218081353694451
42496 20.75 0.00221283328528453
43008 21 0.0022327630057505
43520 21.25 0.00224370624808655
44032 21.5 0.00225581255103299
44544 21.75 0.00227710900276684
45056 22 0.00230714683800706
45568 22.25 0.00233743098938768
46080 22.5 0.00235963698164426
46592 22.75 0.00237429165249278
47104 23 0.00238939553135641
47616 23.25 0.00241076573246002
48128 23.5 0.0024369377263512
48640 23.75 0.00246318562391125
49152 24 0.00248618864482902
49664 24.25 0.00250427207461455
50176 24.5 0.00251788776389894
50688 24.75 0.0025317383911861
51200 25 0.00255240320869579
51712 25.25 0.00258109662390714
52224 25.5 0.00261112413082455
52736 25.75 0.00263477875071293
53248 26 0.00265146340926989
53760 26.25 0.00266761394887519
54272 26.5 0.00268942879967853
54784 26.75 0.00271628187866202
55296 27 0.00274096567900978
55808 27.25 0.00275727600071764
56320 27.5 0.00276825986978298
56832 27.75 0.00278484388948057
57344 28 0.00281354691689992
57856 28.25 0.00284731577359844
58368 28.5 0.00287277598066125
58880 28.75 0.00288620914181208
59392 29 0.00289763790652602
59904 29.25 0.00291789842379363
60416 29.5 0.00294616249969341
60928 29.75 0.00297301631561331
61440 30 0.00299250349420981
61952 30.25 0.00300738716317996
62464 30.5 0.00302426414917863
62976 30.75 0.00304715112550676
63488 31 0.00307528592566793
64000 31.25 0.00310394635379908
64512 31.5 0.00312728023954209
65024 31.75 0.00314331252483166
65536 32 0.00315706957068244
66048 32.25 0.00317639539059733
66560 32.5 0.0032033971792698
67072 32.75 0.00323183520912025
67584 33 0.00325444830726812
68096 33.25 0.00327149132988599
68608 33.5 0.00329022084510128
69120 33.75 0.00331633427563538
69632 34 0.00334725949520613
70144 34.25 0.00337428496614135
70656 34.5 0.00339145373475173
71168 34.75 0.00340278948145832
71680 35 0.00341984908666382
72192 35.25 0.0034500121154408
72704 35.5 0.00348726159284576
73216 35.75 0.00351764249364435
73728 36 0.00353514928944601
74240 36.25 0.00354884573012049
74752 36.5 0.00357131086863688
75264 36.75 0.00360297362092972
75776 37 0.0036328117382084
76288 37.25 0.00365363887433663
76800 37.5 0.00367091176509317
77312 37.75 0.00369439729761832
77824 38 0.00372560786236495
