# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 2.97860368396092e-07 2.97860368405876e-07 2.97860368414743e-07
1024 0.5 4.96139968066166e-07 4.96139968337801e-07 4.96139968554644e-07
1536 0.75 7.98186791089492e-07 7.98186790571506e-07 7.98186790245271e-07
2048 1 1.20290328798612e-06 1.20290328821111e-06 1.20290328823316e-06
2560 1.25 1.68888247875626e-06 1.68888247831286e-06 1.68888247892556e-06
3072 1.5 2.10051019254903e-06 2.10051019250872e-06 2.1005101924433e-06
3584 1.75 2.32969656415461e-06 2.32969656521211e-06 2.32969656456535e-06
4096 2 2.36251591003128e-06 2.36251590950474e-06 2.36251590925186e-06
4608 2.25 2.24898930551896e-06 2.24898930440229e-06 2.24898930513889e-06
5120 2.5 2.11454626352221e-06 2.11454626239765e-06 2.11454626208375e-06
5632 2.75 2.08346731565552e-06 2.08346731538344e-06 2.08346731432113e-06
6144 3 2.16500050546329e-06 2.16500050980223e-06 2.16500051127593e-06
6656 3.25 2.25329865438487e-06 2.25329865485314e-06 2.25329865569225e-06
7168 3.5 2.26473132427022e-06 2.26473133178821e-06 2.26473133322308e-06
7680 3.75 2.20896857843561e-06 2.20896858813025e-06 2.20896858234684e-06
8192 4 2.15462241249713e-06 2.15462241683148e-06 2.15462241772385e-06
8704 4.25 2.14822917549974e-06 2.14822918486108e-06 2.14822919434278e-06
9216 4.5 2.17457804901533e-06 2.17457806701337e-06 2.17457806277453e-06
9728 4.75 2.19132849496297e-06 2.1913285085897e-06 2.19132850789183e-06
10240 5 2.17565216065502e-06 2.17565217923459e-06 2.17565218073902e-06
10752 5.25 2.14350510200396e-06 2.14350511394129e-06 2.1435050812032e-06
11264 5.5 2.1139465213729e-06 2.11394652464821e-06 2.11394650117421e-06
11776 5.75 2.09435280139632e-06 2.09435282027484e-06 2.09435283088239e-06
12288 6 2.07947900211292e-06 2.07947900744737e-06 2.07947902095296e-06
12800 6.25 2.06232650750586e-06 2.06232651201136e-06 2.06232652512185e-06
13312 6.5 2.03780574461626e-06 2.03780569556237e-06 2.03780577942458e-06
13824 6.75 2.00498660253819e-06 2.00498655960716e-06 2.00498656625059e-06
14336 7 1.97243805349596e-06 1.9724380153951e-06 1.97243796555146e-06
14848 7.25 1.94684918550986e-06 1.9468491322723e-06 1.94684916292e-06
15360 7.5 1.93165351723502e-06 1.93165350218032e-06 1.9316535028312e-06
15872 7.75 1.92668569481617e-06 1.92668561379784e-06 1.92668567537221e-06
16384 8 1.92655265674905e-06 1.92655254317699e-06 1.92655266491667e-06
16896 8.25 1.92600568716062e-06 1.92600555280298e-06 1.92600564665179e-06
17408 8.5 1.91811280738e-06 1.91811261031627e-06 1.91811268308307e-06
17920 8.75 1.90780377872956e-06 1.90780355397069e-06 1.90780363472946e-06
18432 9 1.90264301068448e-06 1.90264293459664e-06 1.90264301074598e-06
18944 9.25 1.90736833360441e-06 1.9073682794372e-06 1.90736829627337e-06
19456 9.5 1.91800035327757e-06 1.91800024944739e-06 1.91800018551144e-06
19968 9.75 1.92255157606414e-06 1.92255142149979e-06 1.92255133037042e-06
20480 10 1.92231215722033e-06 1.9223121980787e-06 1.92231214113221e-06
20992 10.25 1.92698230762023e-06 1.92698240704052e-06 1.92698239212767e-06
21504 10.5 1.93783316646853e-06 1.9378330386815e-06 1.93783299431193e-06
