# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.13991561062047e-05 1.13991561062108e-05 1.1399156106217e-05
1024 0.5 1.60622056584314e-05 1.60622056584745e-05 1.60622056584918e-05
1536 0.75 1.73616886329344e-05 1.73616886329762e-05 1.7361688632992e-05
2048 1 1.38585612646319e-05 1.38585612646008e-05 1.38585612645702e-05
2560 1.25 1.21132048889503e-05 1.21132048890075e-05 1.21132048890655e-05
3072 1.5 1.55798210680496e-05 1.5579821068033e-05 1.55798210680627e-05
3584 1.75 2.14202145543586e-05 2.14202145543698e-05 2.14202145546058e-05
4096 2 1.61147959294992e-05 1.61147959294042e-05 1.61147959287942e-05
4608 2.25 1.82080180971516e-05 1.82080180966288e-05 1.82080180987139e-05
5120 2.5 1.9056994978731e-05 1.90569949782004e-05 1.90569949823333e-05
5632 2.75 1.67109335532023e-05 1.67109335524513e-05 1.67109335497865e-05
6144 3 1.68280812661933e-05 1.68280812641865e-05 1.68280812634434e-05
6656 3.25 1.97847100370126e-05 1.97847100172571e-05 1.97847100423787e-05
7168 3.5 2.75661774173639e-05 2.75661771367895e-05 2.75661774202124e-05
7680 3.75 2.64960715575793e-05 2.64960709146657e-05 2.64960715396653e-05
8192 4 1.89529566239166e-05 1.89529584574524e-05 1.89529568178572e-05
8704 4.25 2.33970434978272e-05 2.33970479147265e-05 2.33970438947101e-05
9216 4.5 3.2991071667375e-05 3.29910671035262e-05 3.29910715466988e-05
9728 4.75 3.1697193552957e-05 3.16971879347523e-05 3.16971931891185e-05
10240 5 2.61060891201643e-05 2.61060831728197e-05 2.61060896960531e-05
10752 5.25 2.55960138824208e-05 2.55960059332231e-05 2.5596014613198e-05
11264 5.5 2.21690304712797e-05 2.21690278174775e-05 2.21690306006107e-05
11776 5.75 3.17556848244758e-05 3.17556716928828e-05 3.17556794003031e-05
12288 6 2.43942096372911e-05 2.43942076752381e-05 2.43942135935601e-05
12800 6.25 2.82339371448001e-05 2.82339514571758e-05 2.8233930362416e-05
13312 6.5 2.2227191107848e-05 2.22271563422359e-05 2.22271913612755e-05
13824 6.75 2.36799493208647e-05 2.36799223835307e-05 2.36799463896297e-05
14336 7 2.72305897287867e-05 2.72306098818767e-05 2.72305954057065e-05
14848 7.25 1.97945895553114e-05 1.97946091297374e-05 1.97945961106537e-05
15360 7.5 2.00321891778398e-05 2.00321933632769e-05 2.00321998169076e-05
15872 7.75 2.0716041076694e-05 2.07160464281687e-05 2.07160397764871e-05
16384 8 2.5440386791286e-05 2.54403904136814e-05 2.54403852028462e-05
16896 8.25 2.35424885731907e-05 2.35424823903771e-05 2.35424769874145e-05
17408 8.5 2.27046951294066e-05 2.27047011369637e-05 2.2704701975174e-05
17920 8.75 2.36611843980383e-05 2.36611997320554e-05 2.36611977235465e-05
18432 9 1.96564843830917e-05 1.96564685681453e-05 1.96564609834087e-05
18944 9.25 2.31693916048542e-05 2.31693579013972e-05 2.31693721311159e-05
19456 9.5 1.67360042243125e-05 1.67360017813572e-05 1.67360327931067e-05
19968 9.75 1.50317626262548e-05 1.50317509503715e-05 1.50317422922244e-05
20480 10 1.56987065628873e-05 1.56987050873891e-05 1.56987070138501e-05
20992 10.25 1.71652721992396e-05 1.71652921903976e-05 1.71652481689259e-05
21504 10.5 1.43378504470814e-05 1.43378456416774e-05 1.43378395129947e-05
22016 10.75 1.3539614904072e-05 1.35396484536925e-05 1.3539638103112e-05
22528 11 1.39153820514981e-05 1.39154082817182e-05 1.39153956548662e-05
23040 11.25 1.31202674734241e-05 1.31202844652596e-05 1.31202671397384e-05
23552 11.5 1.37294393422238e-05 1.37294392361007e-05 1.37294393424947e-05
24064 11.75 1.5707577857737e-05 1.57075780273554e-05 1.57075780128927e-05
24576 12 1.57775193912463e-05 1.57775196851547e-05 1.57775195849612e-05
25088 12.25 1.35564884067293e-05 1.35564885890787e-05 1.3556488547954e-05
25600 12.5 1.19211618163652e-05 1.19211662206049e-05 1.19211833967035e-05
26112 12.75 1.22822516412254e-05 1.22822516220095e-05 1.22822528230511e-05
26624 13 1.36463618342537e-05 1.36463221103641e-05 1.36462860687553e-05
27136 13.25 1.64061864317369e-05 1.64061862384846e-05 1.64061871324148e-05
27648 13.5 1.8016240486785e-05 1.80162410920126e-05 1.80162407978282e-05
