# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:05:52+0200
# parameter filename: "TOV_0_subgrid_2.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
# Run ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.11825609207153 0 0.206993103027344 0 2.01954317092896 0 0 0 0 0 0 0 0 0 40.8107102199511 59671.5369123716 0 59671.5369123716 160 427375 2287 425088 0 0 0 0 2.11680865287781 1717520752.1786 266
512 0.5 2817.60708851576 2817.60708851576 2.88273406028748 0.638839960098267 0.847823143005371 0 2.03750514984131 3 374629.038489055 374629.038489055 239328 239328 183933.390738309 183933.390738309 117504 117504 89.4388046446207 216649.77874748 7752.18210587303 208897.596641607 186 441060 15972 425088 0 0 0 0 2.87300992012024 1717520752.94308 905
1024 1 2601.81033477115 2601.81033477115 3.62754607200623 1.38365197181702 1.51017475128174 0 2.16289091110229 6 345936.702111173 345936.702111173 478656 478656 169846.178653861 169846.178653861 235008 235008 115.237227222154 211327.127944142 8116.66797967188 203210.45996447 284 456291 17379 438912 0 0 0 0 3.60994648933411 1717520753.68789 1544
1536 1.5 2614.08817955151 2614.08817955151 4.3096239566803 2.06572985649109 2.13486528396606 0 2.17704772949219 9 347569.164353169 347569.164353169 717984 717984 170647.676361123 170647.676361123 352512 352512 140.705267135729 210360.352042663 8539.33828750858 201821.013755154 310 457683 18771 438912 0 0 0 0 4.28484630584717 1717520754.36997 2183
2048 2 2534.28416369305 2534.28416369305 5.08493304252625 2.84103894233704 2.78346037864685 0 2.40056395530701 12 336958.422404628 336958.422404628 957312 957312 165438.070205882 165438.070205882 470016 470016 178.14680418967 248956.248315459 8692.69503565496 240263.553279804 492 884194 20194 864000 0 0 0 0 5.05240511894226 1717520755.14528 2822
2560 2.5 2501.28404651471 2501.28404651471 5.84204602241516 3.59815192222595 3.42829537391663 0 2.41599559783936 15 332570.726824595 332570.726824595 1196640 1196640 163283.82255648 163283.82255648 587520 587520 212.946602549742 366810.051630955 8860.89870687526 357949.15292408 518 885587 21587 864000 0 0 0 0 5.80228638648987 1717520755.90239 3461
3072 3 2512.36469797537 2512.36469797537 6.54263305664062 4.29873895645142 4.07531881332397 0 2.50921583175659 18 334044.010242805 334044.010242805 1435968 1435968 164007.167483832 164007.167483832 705024 705024 233.452225050069 361529.952018164 9250.54441760899 352279.407600555 616 900841 23017 877824 0 0 0 0 6.49478483200073 1717520756.60298 4100
3584 3.5 2534.84158820026 2534.84158820026 7.21461892127991 4.9707248210907 4.69397306442261 0 2.52291560173035 21 337032.537567107 337032.537567107 1675296 1675296 165474.458877713 165474.458877713 822528 822528 253.109733072717 357859.473811464 9605.87142145719 348253.602390007 642 902238 24414 877824 0 0 0 0 7.1596519947052 1717520757.27496 4739
4096 4 2511.48962227303 2511.48962227303 7.97754311561584 5.73364901542664 5.34859609603882 0 2.72463583946228 24 333927.660177423 333927.660177423 1914624 1914624 163950.042541984 163950.042541984 940032 940032 282.242279693937 387044.3156225 9755.61691012182 377288.698712378 824 1328750 25838 1302912 0 0 0 0 7.9145143032074 1717520758.03789 5378
4608 4.5 2476.30132351896 2506.52931908019 8.78590893745422 6.54201483726501 6.05128359794617 0 2.73699712753296 27 329249.02397508 329249.02397508 2153952 2153952 161652.950399317 161652.950399317 1057536 1057536 309.365962414504 486334.629020606 9884.71788419203 476449.911136414 850 1330143 27231 1302912 0 0 0 0 8.7151083946228 1717520758.84625 6017
5120 5 2436.58681817258 2499.19678152799 9.63127708435059 7.38738298416138 6.83499789237976 0 2.86691999435425 30 323968.583344226 323968.583344226 2393280 2393280 159060.387490306 159060.387490306 1175040 1175040 324.717218011424 477980.526350083 10181.744398682 467798.781951401 948 1345400 28664 1316736 0 0 0 0 9.55164337158203 1717520759.69162 6656
5632 5.5 2424.69547885281 2491.06661451987 10.4098680019379 8.16597390174866 7.52605390548706 0 2.88640236854553 33 322387.510868269 322387.510868269 2632608 2632608 158284.120859511 158284.120859511 1292544 1292544 336.360100740824 466949.30913102 10353.9961319796 456595.31299904 974 1346796 30060 1316736 0 0 0 0 10.322452545166 1717520760.47021 7295
6144 6 2401.78800812309 2483.50518492517 11.2371940612793 8.99329996109009 8.23845458030701 0 3.12126469612122 36 319341.733560046 319341.733560046 2871936 2871936 156788.721170275 156788.721170275 1410048 1410048 358.150485167112 487565.862015444 10437.3855076773 477128.476507767 1156 1773315 31491 1741824 0 0 0 0 11.1414566040039 1717520761.29754 7934
6656 6.5 2366.94338925906 2473.05395403116 12.1300621032715 9.88616800308228 8.99448585510254 0 3.13864827156067 39 314708.793035884 314708.793035884 3111264 3111264 154514.064450831 154514.064450831 1527552 1527552 375.688519993065 565928.830796651 10425.196969485 555503.633827166 1182 1774714 32890 1741824 0 0 0 0 12.0261807441711 1717520762.19041 8573
7168 7 2338.71214868441 2462.4295349163 13.0190551280975 10.7751610279083 9.82046008110046 0 3.24740290641785 42 310955.167289079 310955.167289079 3350592 3350592 152671.129066118 152671.129066118 1645056 1645056 387.670205756164 556851.984646255 10672.1855997519 546179.799046503 1280 1789975 34327 1755648 0 0 0 0 12.9070518016815 1717520763.0794 9212
