# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:05:52+0200
# parameter filename: "TOV_0_subgrid_2.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
# Run ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00455543169554168 -0.00455543169554168 -0.00455543169554168
1024 1 -0.00900326771949779 -0.00900326771949779 -0.00900326771949779
1536 1.5 -0.0132803616817401 -0.0132803616817401 -0.0132803616817401
2048 2 -0.0175531257871039 -0.0175531257871039 -0.0175531257871039
2560 2.5 -0.0219219405409644 -0.0219219405409644 -0.0219219405409644
3072 3 -0.0262854850336147 -0.0262854850336147 -0.0262854850336147
3584 3.5 -0.030619131563678 -0.030619131563678 -0.030619131563678
4096 4 -0.0349111763885051 -0.0349111763885051 -0.0349111763885051
4608 4.5 -0.0391400615473143 -0.0391400615473143 -0.0391400615473143
5120 5 -0.0432897648944609 -0.0432897648944609 -0.0432897648944609
5632 5.5 -0.0473487556843584 -0.0473487556843584 -0.0473487556843584
6144 6 -0.0513101470104278 -0.0513101470104278 -0.0513101470104278
6656 6.5 -0.0552265726763881 -0.0552265726763882 -0.0552265726763881
7168 7 -0.0593489632901185 -0.0593489632901184 -0.0593489632901183
7680 7.5 -0.0633853428484876 -0.0633853428484877 -0.0633853428484876
8192 8 -0.0673395966653197 -0.0673395966653202 -0.06733959666532
8704 8.5 -0.0712080414506822 -0.0712080414506824 -0.0712080414506821
9216 9 -0.0749819490962847 -0.0749819490962846 -0.0749819490962843
9728 9.5 -0.078659253198881 -0.0786592531988812 -0.078659253198881
10240 10 -0.0822441017523461 -0.0822441017523464 -0.0822441017523463
10752 10.5 -0.0857377338535445 -0.0857377338535449 -0.0857377338535449
11264 11 -0.0891362480567661 -0.0891362480567667 -0.0891362480567663
11776 11.5 -0.0924363902792271 -0.0924363902792272 -0.0924363902792269
12288 12 -0.0956401103517067 -0.0956401103517065 -0.0956401103517066
12800 12.5 -0.0987522216445031 -0.0987522216445035 -0.0987522216445035
13312 13 -0.101775784345303 -0.101775784345305 -0.101775784345304
13824 13.5 -0.104712118547188 -0.104712118547189 -0.104712118547189
14336 14 -0.107563621475368 -0.107563621475368 -0.107563621475368
14848 14.5 -0.110332985790124 -0.110332985790124 -0.110332985790124
15360 15 -0.11302282003811 -0.11302282003811 -0.11302282003811
15872 15.5 -0.11563692718352 -0.11563692718352 -0.11563692718352
16384 16 -0.118178735816511 -0.118178735816512 -0.118178735816511
16896 16.5 -0.120651593326371 -0.120651593326371 -0.120651593326372
17408 17 -0.123062194103996 -0.123062194103996 -0.123062194103996
17920 17.5 -0.125417726766421 -0.125417726766421 -0.125417726766421
18432 18 -0.127719984558365 -0.127719984558365 -0.127719984558364
18944 18.5 -0.129966588578503 -0.129966588578503 -0.129966588578504
19456 19 -0.132159718162805 -0.132159718162805 -0.132159718162806
19968 19.5 -0.134306289306997 -0.134306289306998 -0.134306289306998
20480 20 -0.136413168309428 -0.136413168309429 -0.136413168309429
20992 20.5 -0.138485352947256 -0.138485352947256 -0.138485352947256
21504 21 -0.140526338479917 -0.140526338479916 -0.140526338479915
