# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669861657531523
1024 1 0.66986230811435
1536 1.5 0.669862734145138
2048 2 0.669862754483462
2560 2.5 0.669862541037609
3072 3 0.669861917381751
3584 3.5 0.669861490729485
4096 4 0.66986494095124
4608 4.5 0.669869395871951
5120 5 0.669868634085646
5632 5.5 0.669869695980911
6144 6 0.669867230733956
6656 6.5 0.669866340985198
7168 7 0.669864434019739
7680 7.5 0.669863372021385
8192 8 0.669859414250776
8704 8.5 0.669856275413473
9216 9 0.669869713341485
9728 9.5 0.669883080412695
10240 10 0.669865229771064
10752 10.5 0.669849109245374
11264 11 0.669845955307744
11776 11.5 0.669852306710084
12288 12 0.669856214664688
12800 12.5 0.669849597679367
13312 13 0.669843566426777
13824 13.5 0.66984695125176
14336 14 0.669854798222906
14848 14.5 0.669848652670872
15360 15 0.669849813108502
15872 15.5 0.669853183546822
16384 16 0.669853751689652
16896 16.5 0.669859800858273
17408 17 0.669861515374454
17920 17.5 0.669860481127007
18432 18 0.669867586770529
18944 18.5 0.669874540155882
19456 19 0.669877135838409
19968 19.5 0.669878407933865
20480 20 0.669885440955198
20992 20.5 0.669891769327319
21504 21 0.669913573166717
22016 21.5 0.669954336436946
22528 22 0.670028806579837
23040 22.5 0.670140448646814
23552 23 0.670279634859033
24064 23.5 0.670421219995586
24576 24 0.670542991446303
25088 24.5 0.670639047315141
25600 25 0.67072215198845
26112 25.5 0.670807031277394
26624 26 0.670899061121177
27136 26.5 0.670990006834294
27648 27 0.671068843043495
28160 27.5 0.67113301228793
28672 28 0.671198318474738
29184 28.5 0.671266874310472
29696 29 0.671337937171065
30208 29.5 0.671397861661151
30720 30 0.671429830553869
31232 30.5 0.671448066905677
31744 31 0.671474134462204
32256 31.5 0.671501444038221
32768 32 0.671514194094974
33280 32.5 0.671522875397768
33792 33 0.671530990246781
34304 33.5 0.671544369515596
34816 34 0.671549463161588
35328 34.5 0.671548899354171
35840 35 0.671556756675369
36352 35.5 0.67156949182885
36864 36 0.671573146321647
37376 36.5 0.671578491265104
37888 37 0.671592949120947
38400 37.5 0.671608483042196
38912 38 0.67162291459157
39424 38.5 0.671640055141478
39936 39 0.671656471005838
40448 39.5 0.671679499529164
40960 40 0.67170102746121
41472 40.5 0.671723374673676
41984 41 0.671746962038019
42496 41.5 0.671775393127949
43008 42 0.671807711008704
43520 42.5 0.671829470096416
44032 43 0.67185424476099
44544 43.5 0.671885332441858
45056 44 0.671914511158754
45568 44.5 0.671944164087487
46080 45 0.671969229982947
46592 45.5 0.671996552503278
47104 46 0.672022798482151
47616 46.5 0.672047488982339
48128 47 0.672071865400445
48640 47.5 0.672095764138342
49152 48 0.67211815689818
49664 48.5 0.672134805866848
50176 49 0.672154728595778
50688 49.5 0.672172101725076
51200 50 0.672184173156552
51712 50.5 0.672202517924621
52224 51 0.672215049991154
52736 51.5 0.67222203167949
53248 52 0.672228942438421
53760 52.5 0.672237990600179
54272 53 0.672247384217371
54784 53.5 0.672246319981291
55296 54 0.672244037654569
55808 54.5 0.672247985527554
56320 55 0.67225270841926
56832 55.5 0.672249066615533
57344 56 0.672236695962937
57856 56.5 0.672232515079027
58368 57 0.672231298224484
58880 57.5 0.672224405512392
59392 58 0.672211660196792
59904 58.5 0.672196749155613
60416 59 0.672187500608226
60928 59.5 0.672174280238762
61440 60 0.67215390313399
61952 60.5 0.672138707831082
62464 61 0.672124099914277
62976 61.5 0.672112973729709
63488 62 0.67210018808628
64000 62.5 0.672082030513429
64512 63 0.672061754632797
65024 63.5 0.6720421076963
65536 64 0.672019022929427
66048 64.5 0.671994916905103
66560 65 0.671984533326076
67072 65.5 0.671981232570279
67584 66 0.671979429216014
68096 66.5 0.671968549246519
68608 67 0.671952182910446
69120 67.5 0.671932781267839
69632 68 0.671913068795991
70144 68.5 0.671904432663723
70656 69 0.671905865378632
71168 69.5 0.671899297050387
71680 70 0.671887492875597
72192 70.5 0.671871915708689
72704 71 0.671857121093587
73216 71.5 0.671849741752615
73728 72 0.671849282509237
74240 72.5 0.671850279966773
74752 73 0.671842478559222
75264 73.5 0.671826867866574
75776 74 0.671815811938715
76288 74.5 0.671820676035635
76800 75 0.671825553167393
77312 75.5 0.671821446190386
77824 76 0.671816402024665
78336 76.5 0.671813598527887
78848 77 0.6718122003116
79360 77.5 0.671815503205631
79872 78 0.671821058910401
80384 78.5 0.671828693551656
80896 79 0.67182502972711
81408 79.5 0.671818191207044
81920 80 0.671824858159445
82432 80.5 0.671839369998135
82944 81 0.671845766228744
83456 81.5 0.671841771967139
83968 82 0.671838893559016
84480 82.5 0.671849573295469
84992 83 0.671864399579073
85504 83.5 0.671869419202808
86016 84 0.671867854152437
86528 84.5 0.671870394264043
87040 85 0.671881303165432
87552 85.5 0.671891075124846
88064 86 0.671894812906389
88576 86.5 0.671895847837372
89088 87 0.671902065697996
89600 87.5 0.671908365651508
90112 88 0.671913005043072
90624 88.5 0.671919707376892
91136 89 0.671923142801081
91648 89.5 0.671923340485533
92160 90 0.671926719812722
92672 90.5 0.671933863890086
93184 91 0.671937842082653
93696 91.5 0.671935432681512
94208 92 0.671937733082256
94720 92.5 0.671941524000874
95232 93 0.671942509782855
95744 93.5 0.671940279526298
96256 94 0.67194193013283
96768 94.5 0.671942856056663
97280 95 0.67193862443802
97792 95.5 0.671936611711586
98304 96 0.671936268874647
98816 96.5 0.671932002257761
99328 97 0.671928110104659
99840 97.5 0.67192293315654
100352 98 0.6719202817053
100864 98.5 0.671915180688768
101376 99 0.671907758282556
101888 99.5 0.671900149482635
102400 100 0.671896923183593
102912 100.5 0.671891584504846
103424 101 0.671879532817078
103936 101.5 0.671869958133785
104448 102 0.671864803393765
104960 102.5 0.671860025433777
105472 103 0.671849100719223
105984 103.5 0.671835380810965
106496 104 0.67182831196783
107008 104.5 0.671823511970298
107520 105 0.671810686189648
108032 105.5 0.671797070591109
108544 106 0.671785921863723
109056 106.5 0.671778994190363
109568 107 0.671769963604169
110080 107.5 0.671755254675946
110592 108 0.67174267679047
111104 108.5 0.671736164929624
111616 109 0.671726360555802
112128 109.5 0.671710416951957
112640 110 0.671696334057096
113152 110.5 0.671688264230238
113664 111 0.671679316450601
114176 111.5 0.671664304656573
114688 112 0.671652068477429
115200 112.5 0.671643711406345
115712 113 0.671631967782207
116224 113.5 0.671617553742267
116736 114 0.671606761688374
117248 114.5 0.671596388355861
117760 115 0.671585592981636
118272 115.5 0.671575710871732
118784 116 0.671565366142066
119296 116.5 0.671552475917804
119808 117 0.671539650854285
