# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 5.20536011010835e-07 5.20536011013311e-07 5.20536011015994e-07
1024 1 9.92506564553881e-07 9.92506564552385e-07 9.92506564553573e-07
1536 1.5 2.6317295204363e-06 2.6317295204363e-06 2.6317295204363e-06
2048 2 4.26960098168932e-06 4.26960098168932e-06 4.26960098168932e-06
2560 2.5 5.14289712294532e-06 5.14289712294531e-06 5.14289712294531e-06
3072 3 5.8885112071459e-06 5.88851120714589e-06 5.88851120714588e-06
3584 3.5 6.57217182526039e-06 6.57217182526037e-06 6.57217182526037e-06
4096 4 6.75065502727852e-06 6.75065502727852e-06 6.75065502727852e-06
4608 4.5 7.09910881918174e-06 7.09910881918174e-06 7.09910881918175e-06
5120 5 7.21523161533419e-06 7.21523161533402e-06 7.21523161533408e-06
5632 5.5 7.20182064109654e-06 7.20182064109606e-06 7.20182064109796e-06
6144 6 7.42026498011292e-06 7.42026498014223e-06 7.42026498012744e-06
6656 6.5 7.37302901125662e-06 7.37302901107095e-06 7.3730290116724e-06
7168 7 7.85739786802746e-06 7.85739786719298e-06 7.85739786679464e-06
7680 7.5 7.41174739330746e-06 7.41174715940683e-06 7.41174715966137e-06
8192 8 7.21862694148534e-06 7.21862697172219e-06 7.21862703529627e-06
8704 8.5 7.90723739441408e-06 7.90723728374432e-06 7.90723720274804e-06
9216 9 7.5743223221802e-06 7.57432187821291e-06 7.57432158660442e-06
9728 9.5 7.65930864233885e-06 7.6593067664024e-06 7.6593048817483e-06
10240 10 7.49563817429482e-06 7.49563627021681e-06 7.49563459655266e-06
10752 10.5 7.48466614141724e-06 7.4846595865093e-06 7.48465146894976e-06
11264 11 7.51340104491062e-06 7.51336877550256e-06 7.51332116914223e-06
11776 11.5 7.17452878486613e-06 7.17448164577429e-06 7.17442802109836e-06
12288 12 7.18072011101596e-06 7.18068308613517e-06 7.18063544167116e-06
12800 12.5 7.9323412157075e-06 7.8249942146766e-06 7.70965351318749e-06
13312 13 7.50982358657034e-06 7.39531735347123e-06 7.27039091860146e-06
13824 13.5 6.5483243921075e-06 6.42266286164954e-06 6.42272228251802e-06
14336 14 6.44877940415751e-06 6.40759184016074e-06 6.40771745544221e-06
14848 14.5 6.84933918869775e-06 6.73810004364064e-06 6.61646468198542e-06
15360 15 6.70950115144956e-06 6.56998311557845e-06 6.41425319176774e-06
15872 15.5 6.05013305613146e-06 6.04995378731317e-06 6.04972962452143e-06
16384 16 5.84987107621716e-06 5.84950869340415e-06 5.84910401286226e-06
16896 16.5 5.69407031964261e-06 5.69352897282248e-06 5.6929700748144e-06
17408 17 5.49798499494285e-06 5.49739979274107e-06 5.49679979952242e-06
17920 17.5 5.63111742101415e-06 5.63049084334902e-06 5.62853304611791e-06
18432 18 6.43877385716372e-06 6.43812086872169e-06 6.43506751637143e-06
18944 18.5 7.22342372982027e-06 7.2233873150278e-06 7.2210974748816e-06
19456 19 7.68563887633015e-06 7.68578787424875e-06 7.68349820294378e-06
19968 19.5 8.59715120064324e-06 8.37043836681985e-06 8.11803983004827e-06
20480 20 9.44860033224759e-06 9.23940738476246e-06 9.00608355014059e-06
