# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -7.26821090469151e-07 -7.2682109049377e-07 -7.26821090636967e-07
1024 1 -2.06300835507817e-06 -2.06300835616874e-06 -2.06300835812584e-06
1536 1.5 -2.34218191457295e-06 -2.34218191525623e-06 -2.34218191632385e-06
2048 2 -2.714906102267e-06 -2.71490613580436e-06 -2.71490611898544e-06
2560 2.5 -3.50285201913435e-06 -3.50285213555286e-06 -3.50285219528817e-06
3072 3 -3.50347979254989e-06 -3.50347962728502e-06 -3.50347937978049e-06
3584 3.5 -3.74990398530841e-06 -3.74990116959803e-06 -3.74989790706192e-06
4096 4 -4.52123797198401e-06 -4.52123825140003e-06 -4.52123839064124e-06
4608 4.5 -5.282783932612e-06 -5.28277899445285e-06 -5.28277346530123e-06
5120 5 -5.67425715332836e-06 -5.67425787288267e-06 -5.67425822145172e-06
5632 5.5 -6.15989920691777e-06 -6.15989465480439e-06 -6.15989144083606e-06
6144 6 -6.96102729246104e-06 -6.96111014181486e-06 -6.96118441346706e-06
6656 6.5 -8.07726449540249e-06 -8.07739594574991e-06 -8.07752528940496e-06
7168 7 -9.24803384335526e-06 -9.24825408177747e-06 -9.24850379435879e-06
7680 7.5 -1.00544400414246e-05 -1.00547670490779e-05 -1.00551174261303e-05
8192 8 -1.09133588378843e-05 -1.09137459802662e-05 -1.09141436867609e-05
8704 8.5 -1.2179657808312e-05 -1.21799247226094e-05 -1.21802237704657e-05
9216 9 -1.34569753319486e-05 -1.3457191088575e-05 -1.3457446686147e-05
9728 9.5 -1.46516316880726e-05 -1.46528971396028e-05 -1.46541978066368e-05
10240 10 -1.55079130359354e-05 -1.5509783993398e-05 -1.55117446886417e-05
10752 10.5 -1.70506323545012e-05 -1.70530995117409e-05 -1.70556837997681e-05
11264 11 -1.79964776744378e-05 -1.79996517202755e-05 -1.80029684601696e-05
11776 11.5 -1.89424469659373e-05 -1.89465747035429e-05 -1.89508783010869e-05
12288 12 -2.01382228541129e-05 -2.01434258609804e-05 -2.01489395569067e-05
12800 12.5 -2.19301783191723e-05 -2.19364286169417e-05 -2.19430139184822e-05
13312 13 -2.30165324485725e-05 -2.30239366140559e-05 -2.30317910996811e-05
13824 13.5 -2.38142525463425e-05 -2.38232854607673e-05 -2.38329682288462e-05
14336 14 -2.35166332409762e-05 -2.35274701481216e-05 -2.35391573080526e-05
14848 14.5 -2.34027822089354e-05 -2.34155166351308e-05 -2.34297239875921e-05
15360 15 -2.29201088937243e-05 -2.29445166574125e-05 -2.29714383347263e-05
15872 15.5 -2.22838025238956e-05 -2.23113513015075e-05 -2.23418443035638e-05
16384 16 -2.23945887754221e-05 -2.24140620101517e-05 -2.24355873202322e-05
16896 16.5 -2.31438233805829e-05 -2.31657870919508e-05 -2.31900851395562e-05
17408 17 -2.42556310090477e-05 -2.42802250563469e-05 -2.43072085176455e-05
17920 17.5 -2.6706027807176e-05 -2.67487226705941e-05 -2.67958128702668e-05
18432 18 -2.93948992331891e-05 -2.94419827561401e-05 -2.94940293435753e-05
18944 18.5 -2.8632631821144e-05 -2.86827013984123e-05 -2.87398307419058e-05
19456 19 -2.80392821893035e-05 -2.80957144641893e-05 -2.8158286795387e-05
19968 19.5 -2.92939442854534e-05 -2.93554631113304e-05 -2.94237532130122e-05
20480 20 -3.04554971245049e-05 -3.05225755019163e-05 -3.05967785033665e-05
20992 20.5 -3.02552134516506e-05 -3.03276255372468e-05 -3.04081422015088e-05
21504 21 -2.9754299945177e-05 -2.98322084331249e-05 -2.9918983512874e-05
22016 21.5 -3.12505408670238e-05 -3.13341613022616e-05 -3.14270234182789e-05
22528 22 -3.33570551792893e-05 -3.34466904274137e-05 -3.35457700981872e-05
23040 22.5 -3.62260198235808e-05 -3.63217981761972e-05 -3.64268232526327e-05
23552 23 -3.96446681949911e-05 -3.97461145966672e-05 -3.98573738691122e-05
24064 23.5 -4.17276257224928e-05 -4.18701648762789e-05 -4.20263883893534e-05
