# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127929384966425
1024 1 0.127874898135792
1536 1.5 0.127849933323646
2048 2 0.127852341467501
2560 2.5 0.12787070936028
3072 3 0.127892701452828
3584 3.5 0.127909691167523
4096 4 0.127918429527691
4608 4.5 0.127919893621242
5120 5 0.127917283706091
5632 5.5 0.127914259972643
6144 6 0.12791323539406
6656 6.5 0.127914936574425
7168 7 0.127918931452959
7680 7.5 0.127924003864706
8192 8 0.127929156747052
8704 8.5 0.127933926484719
9216 9 0.127938487062178
9728 9.5 0.127942231280395
10240 10 0.127944911577986
10752 10.5 0.127948699870906
11264 11 0.127953769334092
11776 11.5 0.127959565387159
12288 12 0.127965283756658
12800 12.5 0.127970509065671
13312 13 0.127976204137143
13824 13.5 0.127982685061195
14336 14 0.12798946424273
14848 14.5 0.127995912480511
15360 15 0.128002289991516
15872 15.5 0.128008630626483
16384 16 0.12801434135626
16896 16.5 0.1280195695919
17408 17 0.128023809427886
17920 17.5 0.12802716365879
18432 18 0.128029854980739
18944 18.5 0.128031660920076
19456 19 0.12803225760837
19968 19.5 0.128031992953386
20480 20 0.128031158810807
20992 20.5 0.128029725220602
21504 21 0.128028239657653
22016 21.5 0.128026810085825
22528 22 0.128025688876612
23040 22.5 0.128024544961393
23552 23 0.128022588782252
24064 23.5 0.128018686973136
24576 24 0.128012714578599
25088 24.5 0.128005582138099
25600 25 0.127998610311373
26112 25.5 0.127992692844966
26624 26 0.127987632898969
27136 26.5 0.127982588620547
27648 27 0.127976713803973
28160 27.5 0.127970180841037
28672 28 0.127963795355069
29184 28.5 0.127957598545523
29696 29 0.127951165795364
30208 29.5 0.12794368149549
30720 30 0.127934676318329
31232 30.5 0.127925012606292
31744 31 0.127915573679692
32256 31.5 0.127905699456827
32768 32 0.127894319852037
33280 32.5 0.127881517168288
33792 33 0.127867407802576
34304 33.5 0.127851948214106
34816 34 0.127834688290033
35328 34.5 0.12781559666894
35840 35 0.127795297601367
36352 35.5 0.127774069708448
36864 36 0.127752115012037
37376 36.5 0.12772916748981
37888 37 0.127703631051968
38400 37.5 0.127672370806104
38912 38 0.127632922948463
39424 38.5 0.127584789720977
39936 39 0.127531723921619
40448 39.5 0.127474221601269
40960 40 0.127411863554229
41472 40.5 0.127344278414463
41984 41 0.12727157253031
42496 41.5 0.127193693695549
43008 42 0.127111186170498
43520 42.5 0.127023423513276
44032 43 0.126933326489469
44544 43.5 0.126845301224471
45056 44 0.126762716916863
45568 44.5 0.126686646179102
46080 45 0.126616950693606
46592 45.5 0.126554369139842
47104 46 0.126499579787765
47616 46.5 0.126454311738116
48128 47 0.12642383737472
48640 47.5 0.12640525195103
49152 48 0.126395289326098
49664 48.5 0.126391486672277
50176 49 0.126392425697819
50688 49.5 0.126396810042381
51200 50 0.126403898588982
51712 50.5 0.12641378178231
52224 51 0.126425916279577
52736 51.5 0.126440075031568
53248 52 0.126456438403208
53760 52.5 0.126475037812952
54272 53 0.126495518518005
54784 53.5 0.1265173189531
55296 54 0.12654049691251
55808 54.5 0.126565093805419
56320 55 0.126590504424426
56832 55.5 0.126616176260277
57344 56 0.126641989087936
57856 56.5 0.12666852946315
58368 57 0.126695331331953
58880 57.5 0.126721763869988
59392 58 0.126747687666166
59904 58.5 0.126773404922007
60416 59 0.126799395348116
60928 59.5 0.12682546713019
61440 60 0.12685147547496
61952 60.5 0.126877713876771
62464 61 0.126903959049827
62976 61.5 0.126930000752879
63488 62 0.126955454457926
64000 62.5 0.126980037231793
64512 63 0.127003777655303
65024 63.5 0.127026822935578
65536 64 0.127049054218042
66048 64.5 0.127070610157674
66560 65 0.127091937978126
67072 65.5 0.12711280289871
67584 66 0.127132954142578
68096 66.5 0.127152216455174
68608 67 0.12717091003943
69120 67.5 0.127189320438943
69632 68 0.127207427469693
70144 68.5 0.12722519515468
70656 69 0.127242083803525
71168 69.5 0.127257107378704
71680 70 0.12727024787692
72192 70.5 0.127281805121824
72704 71 0.127291946189254
73216 71.5 0.127300704266603
73728 72 0.127307611840887
74240 72.5 0.127312164547484
74752 73 0.127313986008872
75264 73.5 0.127313423389573
75776 74 0.127311228027417
76288 74.5 0.127307660128234
76800 75 0.127302015487103
77312 75.5 0.127293920062782
77824 76 0.127283991491978
78336 76.5 0.1272727561693
78848 77 0.127260464023171
79360 77.5 0.127247248318689
79872 78 0.127233171664143
80384 78.5 0.12721831435656
80896 79 0.127202639262022
81408 79.5 0.127186867177293
81920 80 0.12717185463145
82432 80.5 0.127157311117479
82944 81 0.127142582291121
83456 81.5 0.127127845446412
83968 82 0.127113944890558
84480 82.5 0.127101351359966
84992 83 0.127089454019115
85504 83.5 0.127077614109677
86016 84 0.127066100669255
86528 84.5 0.127055493823333
87040 85 0.127045889940512
87552 85.5 0.127036721011706
88064 86 0.127027711656883
88576 86.5 0.12701913393521
89088 87 0.127011291323602
89600 87.5 0.127004029925688
90112 88 0.126997193946207
90624 88.5 0.126990820071285
91136 89 0.126984825155589
91648 89.5 0.126979273966412
92160 90 0.126974417428671
92672 90.5 0.126970232165401
93184 91 0.126966369695861
93696 91.5 0.126962801111858
94208 92 0.126959985908136
94720 92.5 0.126957797611164
95232 93 0.126956020793964
95744 93.5 0.1269546770067
96256 94 0.126953993189127
96768 94.5 0.126953851148757
97280 95 0.126954083703421
97792 95.5 0.126954935323854
98304 96 0.126956427860824
98816 96.5 0.12695838004884
99328 97 0.126960859963301
99840 97.5 0.126963959442513
100352 98 0.126967695712541
100864 98.5 0.126971970149173
101376 99 0.126976769745596
101888 99.5 0.126982260189714
102400 100 0.126988523667699
102912 100.5 0.126995337145859
103424 101 0.127002534124681
103936 101.5 0.127010537745093
104448 102 0.127019398593845
104960 102.5 0.127028784301245
105472 103 0.127038492968799
105984 103.5 0.127048693715998
106496 104 0.12705971397746
107008 104.5 0.127071251184226
107520 105 0.127082888898766
108032 105.5 0.127094849284121
108544 106 0.127107351874942
109056 106.5 0.12712028031763
109568 107 0.127133305973075
110080 107.5 0.127146309645183
110592 108 0.127159602604522
111104 108.5 0.127173276820131
111616 109 0.127186934462573
112128 109.5 0.127200447646229
112640 110 0.127214212313434
113152 110.5 0.127228358494276
113664 111 0.127242539377861
114176 111.5 0.127256528102127
114688 112 0.127270713274082
115200 112.5 0.127285139874418
115712 113 0.127299491905084
116224 113.5 0.127313805788969
116736 114 0.127328291446506
117248 114.5 0.127342868421925
117760 115 0.127357402586089
118272 115.5 0.127371865403397
118784 116 0.127386248241396
119296 116.5 0.127400447762353
119808 117 0.127414585594361
120320 117.5 0.127428809316867
120832 118 0.127442703418017
121344 118.5 0.127456103097838
121856 119 0.127469351012622
122368 119.5 0.127482493614627
122880 120 0.127495280180651
123392 120.5 0.127507497570724
123904 121 0.127519323711961
124416 121.5 0.127531011577777
124928 122 0.127542174862957
125440 122.5 0.127552621693259
125952 123 0.127562606956298
126464 123.5 0.127572361209855
126976 124 0.12758162441511
127488 124.5 0.127590038683694
128000 125 0.127597731722865
128512 125.5 0.127604940904282
129024 126 0.127611721194703
129536 126.5 0.127617612658596
130048 127 0.127622401880282
130560 127.5 0.12762654465843
131072 128 0.127630026089504
131584 128.5 0.127632502415763
132096 129 0.127633823203132
132608 129.5 0.127634255097235
133120 130 0.127633831639129
133632 130.5 0.127632303556367
134144 131 0.127629587960504
134656 131.5 0.127625819034642
135168 132 0.12762118469629
135680 132.5 0.127615483004516
136192 133 0.127608438523414
136704 133.5 0.127600355751878
137216 134 0.127591413154268
137728 134.5 0.127581378020733
138240 135 0.127570232299706
138752 135.5 0.127558052920147
139264 136 0.1275449019751
139776 136.5 0.12753086361883
140288 137 0.127516009719772
140800 137.5 0.1275002989848
141312 138 0.127483713178606
141824 138.5 0.12746641035894
142336 139 0.127448655158735
142848 139.5 0.127430452858199
143360 140 0.127411600249339
143872 140.5 0.127392304736061
144384 141 0.127372948328831
144896 141.5 0.12735350005987
145408 142 0.127333857227325
145920 142.5 0.12731416234353
146432 143 0.127294647604619
146944 143.5 0.127275461350933
147456 144 0.12725646672376
147968 144.5 0.127237709029995
148480 145 0.127219480295138
148992 145.5 0.127201848562934
149504 146 0.127184673607442
150016 146.5 0.127167973055064
150528 147 0.127151940022175
151040 147.5 0.127136730485917
151552 148 0.12712221340826
152064 148.5 0.127108137599036
152576 149 0.127094780409604
153088 149.5 0.127082426509134
153600 150 0.127070738376682
154112 150.5 0.127059504811553
154624 151 0.127048946749466
