# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127929384966425
1024 1 0.00127874898135792
1536 1.5 0.00127849933323646
2048 2 0.00127852341467501
2560 2.5 0.0012787070936028
3072 3 0.00127892701452828
3584 3.5 0.00127909691167523
4096 4 0.00127918429527691
4608 4.5 0.00127919893621242
5120 5 0.00127917283706091
5632 5.5 0.00127914259972643
6144 6 0.00127913235394061
6656 6.5 0.00127914936574426
7168 7 0.00127918931452959
7680 7.5 0.00127924003864706
8192 8 0.00127929156747052
8704 8.5 0.00127933926484719
9216 9 0.00127938487062178
9728 9.5 0.00127942231280395
10240 10 0.00127944911577986
10752 10.5 0.00127948699870906
11264 11 0.00127953769334093
11776 11.5 0.00127959565387159
12288 12 0.00127965283756658
12800 12.5 0.00127970509065671
13312 13 0.00127976204137143
13824 13.5 0.00127982685061195
14336 14 0.0012798946424273
14848 14.5 0.00127995912480511
15360 15 0.00128002289991517
15872 15.5 0.00128008630626484
16384 16 0.0012801434135626
16896 16.5 0.00128019569591901
17408 17 0.00128023809427886
17920 17.5 0.00128027163658791
18432 18 0.00128029854980739
18944 18.5 0.00128031660920076
19456 19 0.0012803225760837
19968 19.5 0.00128031992953386
20480 20 0.00128031158810807
20992 20.5 0.00128029725220602
21504 21 0.00128028239657653
22016 21.5 0.00128026810085826
22528 22 0.00128025688876612
23040 22.5 0.00128024544961393
23552 23 0.00128022588782252
24064 23.5 0.00128018686973136
24576 24 0.00128012714578599
25088 24.5 0.001280055821381
25600 25 0.00127998610311373
26112 25.5 0.00127992692844966
26624 26 0.00127987632898969
27136 26.5 0.00127982588620548
27648 27 0.00127976713803973
28160 27.5 0.00127970180841037
28672 28 0.00127963795355069
29184 28.5 0.00127957598545523
29696 29 0.00127951165795364
30208 29.5 0.0012794368149549
30720 30 0.00127934676318329
31232 30.5 0.00127925012606292
31744 31 0.00127915573679692
32256 31.5 0.00127905699456828
32768 32 0.00127894319852037
