# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.021738452688028 0.0217384526879201 0.0217384525760683
1024 1 0.0196531148131103 0.0196531148129714 0.0196531147408503
1536 1.5 0.0176527785832957 0.0176527785837918 0.0176527782390559
2048 2 0.0157324998235368 0.0157324998260275 0.0157324991643414
2560 2.5 0.0138833228881008 0.0138833228013144 0.0138833220066496
3072 3 0.0121012465616125 0.0121012461301072 0.0121012454693094
3584 3.5 0.0103701612204442 0.0103701600668905 0.0103701599430384
4096 4 0.00854926589241795 0.00854926397006091 0.00854926402186659
4608 4.5 0.00650619110354537 0.0065061882040057 0.00650618825801618
5120 5 0.00530436156437387 0.0053043616291809 0.00530436168800259
5632 5.5 0.00556802252874262 0.00556802261292771 0.00556802269271336
6144 6 0.00579426582067134 0.00579426594006013 0.00579426606984484
6656 6.5 0.00597728366103292 0.00597728367277291 0.0059772837380427
7168 7 0.00611349563990211 0.00611349543028109 0.0061134953178974
7680 7.5 0.00620609613536189 0.00620609571603521 0.00620609543437124
8192 8 0.00625806536954395 0.00625806478044645 0.00625806437004775
8704 8.5 0.00627304722452888 0.00627304635393071 0.00627304571548609
9216 9 0.00625455116453348 0.00625454975933439 0.00625454861541578
9728 9.5 0.00620562991440995 0.00620562765249148 0.0062056255787641
10240 10 0.00612884980548489 0.00612884638741485 0.00612884294777592
10752 10.5 0.00602693334963495 0.00602692848169468 0.00602692325181041
11264 11 0.00590432484534034 0.00590431817103341 0.00590431075315006
11776 11.5 0.005763423972474 0.00576341535783113 0.00576340581978237
12288 12 0.00560487674280325 0.00560486601950256 0.00560485453850913
12800 12.5 0.00543122204103416 0.00543120890645116 0.00543119548703707
13312 13 0.00524336399391649 0.00524334790438851 0.00524333226635749
13824 13.5 0.00505091875491554 0.00505097288761103 0.00505091556426234
14336 14 0.00488509851135276 0.00488515718536004 0.00488509138748387
14848 14.5 0.00470647810153569 0.00470652812657398 0.00470645948985712
15360 15 0.004517387515566 0.00451742090534055 0.00451735283022694
15872 15.5 0.0043225560152752 0.00432256433778398 0.00432250059294816
16384 16 0.00412456480017448 0.00412453740917257 0.00412448202450059
16896 16.5 0.00392542257348505 0.00392534106363592 0.00392528313596007
17408 17 0.003724683690285 0.00372459013458131 0.00372448647938441
17920 17.5 0.00352109784329515 0.00352099008543481 0.00352084425143537
18432 18 0.00331535699340785 0.00331523172055143 0.00331503991081059
18944 18.5 0.00310904198860814 0.00310898323607506 0.00310879198999531
19456 19 0.00290283335962169 0.00290284605464121 0.00290265723691551
19968 19.5 0.00269811508640364 0.00269817655605901 0.0026979658016517
20480 20 0.00249223010168288 0.00249231919867571 0.00249207560568686
20992 20.5 0.0022869710450109 0.00228703051879849 0.00228673234882841
21504 21 0.00213224668790951 0.00213244914511036 0.00213258457222013
22016 21.5 0.00201709018341228 0.00201724200481346 0.00201732093507954
22528 22 0.00190078270953035 0.00190086857179869 0.0019008840156024
23040 22.5 0.00181732469636403 0.00181719661404992 0.00181700316997824
23552 23 0.00177565335113156 0.00177552277260658 0.00177531687475266
24064 23.5 0.0017355489620565 0.00173542763993927 0.00173519323356536
24576 24 0.0016968292393622 0.00169671286229033 0.00169646719234963
25088 24.5 0.00166079969109324 0.00166068892080506 0.00166069034739088
25600 25 0.00162800686368031 0.00162766430699185 0.00162780801767321
26112 25.5 0.00159753489318333 0.00159652208552661 0.00159629196746235
26624 26 0.0015691866735152 0.00156706150809344 0.00156581101247013
27136 26.5 0.00154423145257341 0.00154065713108435 0.00153763628782105
27648 27 0.00152294849195657 0.0015175465861658 0.00151341111113576
28160 27.5 0.00150381428565614 0.00149783448867441 0.00149373825959796
28672 28 0.00148689085933651 0.00148103851130455 0.00147754956375364
29184 28.5 0.00147106213272683 0.00146567525730888 0.00146304407449597
29696 29 0.00145531857122208 0.00145054334865537 0.00144884027463588
30208 29.5 0.00143895878137701 0.00143482707079147 0.00143402673985548
30720 30 0.00142228205534448 0.00141885927124926 0.00141878412357193
31232 30.5 0.00140601724593326 0.00140416367590108 0.0014038120386545
31744 31 0.00139052191249019 0.00139020063096635 0.00138943872249729
32256 31.5 0.00137580052547981 0.00137692449428154 0.00137550183034617
32768 32 0.00136152522721106 0.00136397261807921 0.00136153300760849
33280 32.5 0.00134749295758098 0.00135129548583513 0.0013474195754412
33792 33 0.00133423624500546 0.00133967095260841 0.00133389924088662
34304 33.5 0.00132283772883966 0.00133027712054973 0.00132221392176406
34816 34 0.00131384835359849 0.0013236299711484 0.00131935531001794
35328 34.5 0.0013206934980099 0.00133067379419607 0.00133049214863277
35840 35 0.00134288577098667 0.00137103616740961 0.00136222614697246
36352 35.5 0.00138116262330981 0.00141599381451542 0.00139674108646781
36864 36 0.0014191607463575 0.00145786100727258 0.00143093624594171
37376 36.5 0.00145652930676283 0.00149307128247073 0.00146472716520944
37888 37 0.00149333535764778 0.00152452637445664 0.00149844578805035
38400 37.5 0.00152969346461022 0.0015545850937791 0.00153206056111938
38912 38 0.00156502394439689 0.00158363367664284 0.00156669518672112
39424 38.5 0.00159904073116035 0.00161162629909381 0.0016010017325241
39936 39 0.00163093068683166 0.00163846841313357 0.00163340831721358
40448 39.5 0.00166042391164728 0.00166417052192491 0.00166355308572086
40960 40 0.00168775420186251 0.00168887389974051 0.00169163241031357
41472 40.5 0.00171298859618307 0.00171256831691932 0.00171766599283799
41984 41 0.00173603392362087 0.0017350199617303 0.00174148370277952
42496 41.5 0.00175763285995767 0.00175664381740747 0.00176378571819449
43008 42 0.0017780971234465 0.00177794841386324 0.00178493564566021
43520 42.5 0.00179811808328884 0.00179928131707511 0.00180482038757467
44032 43 0.00181984623398897 0.00182126353079588 0.00182353440463369
44544 43.5 0.00184526470365936 0.00184539196838997 0.00184181162810596
45056 44 0.00187402735182371 0.00187158792166083 0.00185964244301036
45568 44.5 0.00190504501188799 0.00189928308719885 0.0018770674159862
46080 45 0.00193777297295164 0.00192782981377479 0.00189635894720608
46592 45.5 0.00196970290244171 0.00195650144724427 0.00192353235499895
47104 46 0.00199890160236147 0.00198515411007604 0.00195204955444321
47616 46.5 0.00202432984045939 0.00201377761607041 0.00198145689775995
48128 47 0.00204648311825953 0.002040970578922 0.00201111836339248
48640 47.5 0.00206597932474653 0.00206631896648417 0.00204093362248545
49152 48 0.00208176900995338 0.0020895338960779 0.0020704224522832
49664 48.5 0.00209360330108147 0.00211070591815534 0.00209857720141282
50176 49 0.00209658273145642 0.00213011271305625 0.00212412405319296
50688 49.5 0.0020946880519271 0.0021478607421204 0.00214718545722157
51200 50 0.00209389327800654 0.00216439094219016 0.00216831451746172
51712 50.5 0.00209548936513856 0.00217980656692255 0.00218752622471443
52224 51 0.00210017970888245 0.00219479694240511 0.00220549873612451
52736 51.5 0.00210830493126435 0.00220996926830033 0.00222282499195667
53248 52 0.00212137405724903 0.00222517213922048 0.00223933050824913
53760 52.5 0.00214037504780949 0.00224062123124715 0.00225440562237132
54272 53 0.00216101142702843 0.00226488669732346 0.00226692065506771
54784 53.5 0.00218282447599849 0.00229396044461139 0.00227763109142255
55296 54 0.00220554542908005 0.00231944432615599 0.00228263466143169
55808 54.5 0.00222862615827713 0.00234212970957507 0.00231591669632542
56320 55 0.00225137829522348 0.00236242770917333 0.00234647834827461
56832 55.5 0.00228662473668347 0.0023809418945708 0.00237284819866399
57344 56 0.00232602142771149 0.00239827370153372 0.00239600830073602
57856 56.5 0.00236244889158136 0.00241443271411502 0.00241627305939666
58368 57 0.00239568746544738 0.00242968705679332 0.00243442661892889
58880 57.5 0.00242523466440131 0.0024541419156479 0.00245109309173694
59392 58 0.00247661171162858 0.00250627915013264 0.00249781934803832
59904 58.5 0.0025398143091881 0.00255720102518968 0.00254870405286252
60416 59 0.00260212175477799 0.00260694402796965 0.00259849078706733
60928 59.5 0.00266286809257198 0.00265515399778282 0.00264680475243167
61440 60 0.00272124919433662 0.00270152279179523 0.00269335128904316
61952 60.5 0.00277725196223625 0.00274608355827345 0.0027380855018499
62464 61 0.00283073552333336 0.00278880058029001 0.00278109895359318
62976 61.5 0.00288125159640764 0.00282959393108326 0.00282246885528749
63488 62 0.00292878520271161 0.00286902469685402 0.00286237333631926
64000 62.5 0.00297336250423773 0.00290759355038074 0.00290135905420863
64512 63 0.00301495262639268 0.00294539602336623 0.0029398307320367
65024 63.5 0.0030479839593598 0.00298190746204845 0.00297693394861109
65536 64 0.00307432719815114 0.00301693829554363 0.00301215101585925
66048 64.5 0.00309695710378302 0.00305033788580417 0.00304546711504373
66560 65 0.00311650151538375 0.00308159623748221 0.00307660794093551
67072 65.5 0.00313332127300304 0.0031106063472327 0.00310557680841233
67584 66 0.00314703379719671 0.00313683325691017 0.00313182438193643
