# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00032883882394
1024 1 1.0002689632041
1536 1.5 1.00021753102502
2048 2 1.0003261567388
2560 2.5 1.00048834009878
3072 3 1.00067886866227
3584 3.5 1.00090522503653
4096 4 1.00115796298884
4608 4.5 1.00142350712559
5120 5 1.00174372201493
5632 5.5 1.00208328072213
6144 6 1.00243419371882
6656 6.5 1.00277153413514
7168 7 1.00310632962077
7680 7.5 1.00343371625801
8192 8 1.00374993717538
8704 8.5 1.00410413100969
9216 9 1.00458016748561
9728 9.5 1.00505408554425
10240 10 1.00558104981378
10752 10.5 1.0061253893683
11264 11 1.00668276270085
11776 11.5 1.00724684108532
12288 12 1.00781359912958
12800 12.5 1.00838016416159
13312 13 1.00894369837845
13824 13.5 1.00949975498187
14336 14 1.01003159179271
14848 14.5 1.01068326344549
15360 15 1.01133707886522
15872 15.5 1.01198156372494
16384 16 1.01261258627494
16896 16.5 1.01322701721218
17408 17 1.01382225071211
17920 17.5 1.01439546654687
18432 18 1.01493794575531
18944 18.5 1.01545152652223
19456 19 1.0159399069638
19968 19.5 1.0164024123731
20480 20 1.01683736647084
20992 20.5 1.01724668765345
21504 21 1.01763154876586
22016 21.5 1.01799489483336
22528 22 1.01833446678914
23040 22.5 1.01865133284901
23552 23 1.01894723641638
24064 23.5 1.01922447132323
24576 24 1.01948370111786
25088 24.5 1.01972472835569
25600 25 1.0199466792516
26112 25.5 1.0201505021263
26624 26 1.02033677610266
27136 26.5 1.02062581633526
27648 27 1.0209088295478
28160 27.5 1.021167695461
28672 28 1.02140030253291
29184 28.5 1.02160672677172
29696 29 1.02178728273479
30208 29.5 1.02194082506819
30720 30 1.02206439028733
31232 30.5 1.02215731500364
31744 31 1.02221896201579
32256 31.5 1.02246017328396
32768 32 1.0228129399949
33280 32.5 1.02316092541314
33792 33 1.02350581180634
34304 33.5 1.02384827867289
34816 34 1.0241869131989
35328 34.5 1.02451919533852
35840 35 1.0248428400795
36352 35.5 1.02515750360308
36864 36 1.0254643996788
37376 36.5 1.02576427034705
37888 37 1.02605599814721
38400 37.5 1.02633725942884
38912 38 1.02660654983286
39424 38.5 1.02686376313128
39936 39 1.02711026441383
40448 39.5 1.0273447340836
40960 40 1.02756507169452
41472 40.5 1.02776929184969
41984 41 1.02797314699251
42496 41.5 1.02817006466372
43008 42 1.02834753560903
43520 42.5 1.02850425541445
44032 43 1.02863935628698
44544 43.5 1.02875311956257
45056 44 1.02884559159872
45568 44.5 1.02891580606375
46080 45 1.02896322263685
46592 45.5 1.02899190567246
47104 46 1.02900750241192
47616 46.5 1.02901450230449
48128 47 1.02901596655362
48640 47.5 1.02901230813732
49152 48 1.02899865578611
49664 48.5 1.02886192848508
50176 49 1.02867410587324
50688 49.5 1.02842873508369
51200 50 1.0281286026476
51712 50.5 1.02782894490128
52224 51 1.02756705502149
52736 51.5 1.02734276735322
53248 52 1.02712539750721
53760 52.5 1.02691981917538
54272 53 1.0267307339226
54784 53.5 1.0265623584134
55296 54 1.02641805169566
55808 54.5 1.02729468282933
56320 55 1.02721579553537
56832 55.5 1.02746866778796
57344 56 1.02697504973329
57856 56.5 1.02794990355453
58368 57 1.0277009054271
58880 57.5 1.02880556254876
59392 58 1.02874050309387
59904 58.5 1.02995112484806
60416 59 1.02949199383788
60928 59.5 1.02911733757713
61440 60 1.03012375450191
61952 60.5 1.03091236123213
62464 61 1.03053789673846
62976 61.5 1.02991295293446
63488 62 1.02833921674186
64000 62.5 1.02779751626085
64512 63 1.02884653192046
65024 63.5 1.02758719180943
65536 64 1.02856033097694
66048 64.5 1.02954838491013
66560 65 1.03026053705741
67072 65.5 1.03070442526785
67584 66 1.03215058855444
68096 66.5 1.0334688424084
68608 67 1.03329962190267
69120 67.5 1.03322631489488
69632 68 1.03446560152147
70144 68.5 1.03559057369623
70656 69 1.03591592426633
71168 69.5 1.03764137563495
71680 70 1.0389888513841
72192 70.5 1.04007193865654
72704 71 1.03968538420268
73216 71.5 1.04058643499473
73728 72 1.04059811717917
74240 72.5 1.04130143148352
74752 73 1.04215287054407
75264 73.5 1.04200061346706
75776 74 1.03897934714173
76288 74.5 1.04026665174823
76800 75 1.04169005655046
77312 75.5 1.04293029612596
77824 76 1.04390665071284
78336 76.5 1.04147716200403
78848 77 1.03884845750524
79360 77.5 1.0382404234078
79872 78 1.03849405043458
80384 78.5 1.03715013415826
80896 79 1.03822067511651
81408 79.5 1.03863913663252
81920 80 1.04028265686844
82432 80.5 1.04181162296992
82944 81 1.04303250726031
83456 81.5 1.04343652304511
83968 82 1.04490324186537
84480 82.5 1.04591035517564
84992 83 1.04496573884068
85504 83.5 1.04496112746157
86016 84 1.04180440771097
86528 84.5 1.03843800992374
87040 85 1.03821903060019
87552 85.5 1.0376673610156
88064 86 1.03802017289213
88576 86.5 1.03864703878023
89088 87 1.03872353179474
89600 87.5 1.03777241463407
90112 88 1.03611000354825
90624 88.5 1.03663642529749
91136 89 1.03829925239316
91648 89.5 1.03973957975556
92160 90 1.0409281113296
92672 90.5 1.04134084486417
93184 91 1.0429344203666
93696 91.5 1.04538614880252
94208 92 1.04753944390772
94720 92.5 1.04903808340346
95232 93 1.05022370739944
95744 93.5 1.05142037712679
96256 94 1.05277954382892
96768 94.5 1.05379887051101
97280 95 1.05362787062079
97792 95.5 1.0525083156756
98304 96 1.05371559059439
98816 96.5 1.05453294134205
99328 97 1.0530337850334
99840 97.5 1.05396695991749
100352 98 1.05525793771791
100864 98.5 1.05617605257365
101376 99 1.05573327769384
101888 99.5 1.05622073883965
102400 100 1.05196369621979
102912 100.5 1.05032081201141
103424 101 1.05093989260353
103936 101.5 1.05141788692133
104448 102 1.05117344358302
104960 102.5 1.0507188327436
105472 103 1.05083706975828
105984 103.5 1.04995178320029
106496 104 1.05004924634391
107008 104.5 1.05059247539091
107520 105 1.05075529126362
108032 105.5 1.05139985857776
108544 106 1.0525026354237
109056 106.5 1.05288316478476
109568 107 1.05381279631585
110080 107.5 1.05426176970532
110592 108 1.05527908740133
111104 108.5 1.05434057848078
111616 109 1.04894962510503
112128 109.5 1.04819101569651
112640 110 1.04725462179539
113152 110.5 1.04472825969531
113664 111 1.04374632406101
114176 111.5 1.04403494608216
114688 112 1.04494717109174
115200 112.5 1.04614273597992
115712 113 1.04739187215805
116224 113.5 1.04844217541996
116736 114 1.04977058776112
117248 114.5 1.05139904136657
117760 115 1.05405345786293
118272 115.5 1.05627799760369
118784 116 1.05776023459262
119296 116.5 1.05843905873583
119808 117 1.05907015026705
120320 117.5 1.06075835959924
120832 118 1.06213127889933
121344 118.5 1.06286547347511
121856 119 1.06259807815326
122368 119.5 1.06288596759033
122880 120 1.06376282244923
123392 120.5 1.06479935868614
123904 121 1.06779026361358
124416 121.5 1.06923800863571
124928 122 1.06942523819146
125440 122.5 1.0686445271763
125952 123 1.06416805414803
126464 123.5 1.06271088405427
126976 124 1.06136171599985
127488 124.5 1.06050765674521
128000 125 1.05948011427656
128512 125.5 1.05731109148894
129024 126 1.05674349122792
