# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000280574330606246
512 0.5 0.000292131850539274
1024 1 0.000259269737480171
1536 1.5 0.000255124593713649
2048 2 0.000244560087264292
2560 2.5 0.000226543669127811
3072 3 0.000228410177130747
3584 3.5 0.000224287833549691
4096 4 0.000249197817023025
4608 4.5 0.000281625925897352
5120 5 0.000300867003958552
5632 5.5 0.000338307299509802
6144 6 0.000353178183939651
6656 6.5 0.00038599753044477
7168 7 0.000401175770750578
7680 7.5 0.000441409800987086
8192 8 0.000459130957915707
8704 8.5 0.000462958875494843
9216 9 0.000491973521877381
9728 9.5 0.0005344786816293
10240 10 0.000550485195897885
10752 10.5 0.000552416986077012
11264 11 0.000583894471942584
11776 11.5 0.000609225008859168
12288 12 0.000624792060739662
12800 12.5 0.000665290860388718
13312 13 0.000672507682650869
13824 13.5 0.000677376887469092
14336 14 0.000708990758833669
14848 14.5 0.000707496669372282
15360 15 0.000744527069458517
15872 15.5 0.000763779869797407
16384 16 0.000783357602228349
16896 16.5 0.000798182716274118
17408 17 0.000816943174225399
17920 17.5 0.000826039519881097
18432 18 0.000853981201768148
18944 18.5 0.000866424566726684
19456 19 0.000892481116336025
19968 19.5 0.000904602995104684
20480 20 0.000930025406638571
20992 20.5 0.000940756442610477
21504 21 0.000960215622955521
22016 21.5 0.000980586216870291
22528 22 0.000999808650882852
23040 22.5 0.00101412825040886
23552 23 0.00102232639369922
24064 23.5 0.00104488535418046
24576 24 0.00106837333441609
25088 24.5 0.00107438532285756
25600 25 0.00108987601545397
26112 25.5 0.0011128478964223
26624 26 0.00113409199499474
27136 26.5 0.00113859672409175
27648 27 0.0011610662557732
28160 27.5 0.00117669766677687
28672 28 0.00119600435367732
29184 28.5 0.00121356143416571
29696 29 0.00123030626432641
30208 29.5 0.00124352491554569
30720 30 0.00125823481116656
31232 30.5 0.00127925642854468
31744 31 0.00129500562426259
32256 31.5 0.00131968521468448
32768 32 0.00133388374044152
33280 32.5 0.00135105774198301
33792 33 0.00136579531293453
34304 33.5 0.00139445860928061
34816 34 0.00141014766865327
35328 34.5 0.00143251982142487
35840 35 0.00145167338062059
36352 35.5 0.00147347669182998
36864 36 0.00148786477852714
37376 36.5 0.00151334237447243
37888 37 0.00154091702608171
38400 37.5 0.00156296778017843
38912 38 0.00158563370541527
39424 38.5 0.00161403461685225
39936 39 0.00164750312559388
40448 39.5 0.00167526005635199
40960 40 0.00168363796216031
41472 40.5 0.00171868456825917
41984 41 0.00174279076912988
42496 41.5 0.00176671816735427
43008 42 0.00177231256081244
43520 42.5 0.00177972747042031
44032 43 0.00181157881477856
44544 43.5 0.00183029907917703
45056 44 0.0018437074798822
45568 44.5 0.00185972892366497
46080 45 0.00187360089468432
46592 45.5 0.00189530915999983
47104 46 0.00191964269223943
47616 46.5 0.00194767982366729
48128 47 0.00196759519593419
48640 47.5 0.00197749905868426
49152 48 0.00199353418034158
49664 48.5 0.00200303909668353
50176 49 0.00201404781853652
50688 49.5 0.00202762705486498
51200 50 0.00202915779703623
51712 50.5 0.00203895836562173
52224 51 0.00204407751301247
52736 51.5 0.0020488731939772
53248 52 0.0020531394302199
53760 52.5 0.00205591541091409
54272 53 0.00206320121953046
54784 53.5 0.00206136692632458
55296 54 0.00206752101437539
55808 54.5 0.00206590589301173
56320 55 0.00207120348368324
56832 55.5 0.00207258967848359
57344 56 0.00207305062637032
57856 56.5 0.00207419513263156
58368 57 0.0020782716167473
58880 57.5 0.00207952400212734
59392 58 0.00207929654562002
59904 58.5 0.00208111921343546
60416 59 0.00208490471461306
60928 59.5 0.00208743992358916
61440 60 0.00208494830967279
61952 60.5 0.00209153225061362
62464 61 0.00209129026224687
62976 61.5 0.00209221231462767
63488 62 0.00209572532004591
64000 62.5 0.00209846774738935
64512 63 0.00210122521922727
65024 63.5 0.00210300698964799
65536 64 0.00210864909559404
66048 64.5 0.00210674966589028
66560 65 0.00211572046094113
67072 65.5 0.00211596618911114
67584 66 0.00212293093892976
68096 66.5 0.00212135089567377
68608 67 0.00213024725222023
69120 67.5 0.00213294316562879
69632 68 0.00213637161094145
70144 68.5 0.00214316029071791
70656 69 0.00214936797449729
71168 69.5 0.00215000258735365
71680 70 0.002156519607378
72192 70.5 0.00216556463611293
72704 71 0.00217579533464653
73216 71.5 0.00217726841626806
73728 72 0.00218467608285097
74240 72.5 0.00219403340648672
74752 73 0.00220656875107864
75264 73.5 0.00221873478442983
75776 74 0.0022198190498921
76288 74.5 0.00223672983874584
76800 75 0.00224773772602568
77312 75.5 0.00225929449138633
77824 76 0.00226972149358395
78336 76.5 0.00228703269039519
78848 77 0.00229512727586199
79360 77.5 0.00231238645864189
79872 78 0.00232246250176857
80384 78.5 0.00233945884338116
80896 79 0.0023506599543667
81408 79.5 0.00236465397824492
81920 80 0.00237889393193007
82432 80.5 0.00239283968570375
82944 81 0.00240473234805032
83456 81.5 0.00241856253934934
83968 82 0.00243092542299105
84480 82.5 0.00244303348967252
84992 83 0.00245675514896025
85504 83.5 0.00246805728214941
86016 84 0.00247892981885631
86528 84.5 0.00249038433842058
87040 85 0.00250345204788728
87552 85.5 0.00251302107722065
88064 86 0.00252509847466155
88576 86.5 0.00253445781855387
89088 87 0.00254517109965867
89600 87.5 0.00255672813705764
90112 88 0.00256465551385125
90624 88.5 0.00257609656491344
91136 89 0.00258682671968202
91648 89.5 0.00259454719718782
92160 90 0.00260363100392974
92672 90.5 0.00261305116127465
93184 91 0.00262457366953869
93696 91.5 0.00263017302017288
94208 92 0.00264040929668223
94720 92.5 0.0026483688578838
95232 93 0.00265747613448297
95744 93.5 0.00266338756528732
96256 94 0.00267363134201906
96768 94.5 0.00268071653891927
97280 95 0.0026878758826737
97792 95.5 0.00269481619494574
98304 96 0.00270490251502202
98816 96.5 0.00270698165182565
99328 97 0.00271917084395501
99840 97.5 0.00272166800956776
100352 98 0.00273072458209409
100864 98.5 0.00273519700842541
101376 99 0.00274516828366156
101888 99.5 0.00274551737678352
102400 100 0.0027547836136721
102912 100.5 0.00275992606695988
103424 101 0.00276548644973668
103936 101.5 0.00277057150993322
104448 102 0.00277283466092819
104960 102.5 0.00278250412133758
105472 103 0.00278507591281706
105984 103.5 0.00278870566160308
106496 104 0.00279180055121708
107008 104.5 0.00280030005275254
107520 105 0.00280102640970754
108032 105.5 0.00280711624610934
108544 106 0.00280885965822192
109056 106.5 0.00281361432392639
109568 107 0.00281856347438134
110080 107.5 0.00282146622480582
110592 108 0.00282396873352286
111104 108.5 0.00282981803793757
111616 109 0.00283243830641068
112128 109.5 0.0028356253697462
112640 110 0.002839223831076
113152 110.5 0.00284397082546543
113664 111 0.00284681085715166
114176 111.5 0.00284982312763837
114688 112 0.00285387988279492
115200 112.5 0.00285710915082414
115712 113 0.002861581710165
116224 113.5 0.00286358017080156
116736 114 0.0028678757016619
117248 114.5 0.00287177446771572
117760 115 0.0028739219202534
118272 115.5 0.00287882131905907
118784 116 0.00288764160794072
119296 116.5 0.00289572985118711
119808 117 0.00290340655405141
120320 117.5 0.0029178877192288
120832 118 0.00292683722976432
121344 118.5 0.0029327988532277
121856 119 0.00294892257100292
122368 119.5 0.00295745160354482
122880 120 0.00296416558366221
123392 120.5 0.00297578260525517
123904 121 0.00298771734351438
124416 121.5 0.00299968342987111
124928 122 0.00300561469908453
125440 122.5 0.00301417583361124
125952 123 0.00302942140206777
126464 123.5 0.00303997935714501
126976 124 0.00304497527164518
127488 124.5 0.00305687018845473
128000 125 0.00307033513290832
128512 125.5 0.00307856717712625
129024 126 0.00308701679942232
