# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713103
512 0.5 -0.000136360269183303
1024 1 -0.000149939074232883
1536 1.5 -0.000148266548529434
2048 2 -0.000133619131888171
2560 2.5 -0.000135761134755096
3072 3 -0.000157926215157716
3584 3.5 -0.00015794503444372
4096 4 -0.000135524192664227
4608 4.5 -0.000158023938597297
5120 5 -0.000155689920476176
5632 5.5 -0.000168558132281426
6144 6 -0.000178114695399764
6656 6.5 -0.000198123879029632
7168 7 -0.000200250406241704
7680 7.5 -0.000214983018334026
8192 8 -0.000230451337601908
8704 8.5 -0.000244921383171905
9216 9 -0.000255349765742558
9728 9.5 -0.000253912477394801
10240 10 -0.000269574805541691
10752 10.5 -0.000280007972258479
11264 11 -0.000299918230136977
11776 11.5 -0.000306119410314089
12288 12 -0.000297872090974534
12800 12.5 -0.000313739224562901
13312 13 -0.000314197255052799
13824 13.5 -0.000324859191919472
14336 14 -0.000341955969298838
14848 14.5 -0.00034079088858826
15360 15 -0.000348484093719555
15872 15.5 -0.000359461032049949
16384 16 -0.000370887565523983
16896 16.5 -0.000384401497469083
17408 17 -0.00039214099629396
17920 17.5 -0.000407938818323821
18432 18 -0.000416766684913638
18944 18.5 -0.00042502834275136
19456 19 -0.000441778186251851
19968 19.5 -0.000463501253486495
20480 20 -0.000476776937378483
20992 20.5 -0.000480547455434354
21504 21 -0.00049572080841427
22016 21.5 -0.000522808698516772
22528 22 -0.000540830780623397
23040 22.5 -0.000551230816337421
23552 23 -0.000559541330596943
24064 23.5 -0.000591905664131274
24576 24 -0.000602248681814405
25088 24.5 -0.000612445765221698
25600 25 -0.0006292904834357
26112 25.5 -0.000651659608339963
26624 26 -0.000672141078486683
27136 26.5 -0.000680800212377538
27648 27 -0.000700868815099516
28160 27.5 -0.000713012246809449
28672 28 -0.000735315669159002
29184 28.5 -0.000755357524699459
29696 29 -0.000771691499379907
30208 29.5 -0.000783456549362507
30720 30 -0.00080890725865443
31232 30.5 -0.000823171681387937
31744 31 -0.000838866708770526
32256 31.5 -0.000854299650713036
32768 32 -0.000873073363917008
33280 32.5 -0.000898082234393573
33792 33 -0.000920184571354011
34304 33.5 -0.00094141719080256
34816 34 -0.000951004758517717
35328 34.5 -0.000966303867826925
35840 35 -0.000980082064066945
36352 35.5 -0.00101839451578247
36864 36 -0.00103947480702938
37376 36.5 -0.00105391055065779
37888 37 -0.00106451355800871
38400 37.5 -0.00108384961317106
38912 38 -0.00111534533563644
39424 38.5 -0.00113576283946782
39936 39 -0.00115810129990091
40448 39.5 -0.00117686179501121
40960 40 -0.00118424267128683
41472 40.5 -0.00121562606522743
41984 41 -0.00124843942932803
42496 41.5 -0.00126276943185118
43008 42 -0.00128283919619272
43520 42.5 -0.00128924769801429
44032 43 -0.00133432635244209
44544 43.5 -0.00135934781113839
45056 44 -0.00136576257522906
45568 44.5 -0.00138969484768466
46080 45 -0.00141343986118114
46592 45.5 -0.00144668841852974
47104 46 -0.00146651067645994
47616 46.5 -0.00147607435517035
48128 47 -0.00151132236493436
48640 47.5 -0.00153261168724033
49152 48 -0.00155336753394394
49664 48.5 -0.00158013443692427
50176 49 -0.00159439441105422
50688 49.5 -0.00162258406782547
51200 50 -0.00164481476921964
51712 50.5 -0.00167004827681228
52224 51 -0.00168843943131207
52736 51.5 -0.00171139494725239
53248 52 -0.00173897057837051
53760 52.5 -0.00175913651996844
54272 53 -0.00178133324017494
54784 53.5 -0.00180399009967936
55296 54 -0.00182528670385078
55808 54.5 -0.00184739924377397
56320 55 -0.00187198014641346
56832 55.5 -0.00189546033567529
57344 56 -0.00191757921611433
57856 56.5 -0.00193356510073063
58368 57 -0.00196416137023379
58880 57.5 -0.00198635736032614
59392 58 -0.00200492262659308
59904 58.5 -0.00202637274920593
60416 59 -0.00204933016145426
60928 59.5 -0.00207690331830706
61440 60 -0.00209368577900658
61952 60.5 -0.00211757527122114
62464 61 -0.00214287855565689
62976 61.5 -0.00216139211569428
63488 62 -0.00218307608089646
64000 62.5 -0.00220651660798566
64512 63 -0.00223188526024617
65024 63.5 -0.0022521170464805
65536 64 -0.00226905829359613
66048 64.5 -0.00229869047582455
66560 65 -0.0023207682278297
67072 65.5 -0.00234176616937184
67584 66 -0.00235759975734652
68096 66.5 -0.00238361079942514
68608 67 -0.00241184327344806
69120 67.5 -0.00242832431662199
69632 68 -0.00244879015936865
70144 68.5 -0.0024723644626541
70656 69 -0.0024980383220439
71168 69.5 -0.00251735317882822
71680 70 -0.00253824913619458
72192 70.5 -0.00255781960167401
72704 71 -0.00258508605001742
73216 71.5 -0.00260800578038966
73728 72 -0.00262610427959936
74240 72.5 -0.00264683995995141
74752 73 -0.00266985904799017
75264 73.5 -0.00269448313756385
75776 74 -0.0027162033653642
76288 74.5 -0.00273127516951892
76800 75 -0.00275764543549094
77312 75.5 -0.00278282033507664
77824 76 -0.00279870688112058
78336 76.5 -0.00282231999815561
78848 77 -0.00284557162050393
79360 77.5 -0.00286440774540557
79872 78 -0.00288534065267021
80384 78.5 -0.00290608341042942
80896 79 -0.00293224880818362
81408 79.5 -0.00295244835058905
81920 80 -0.00296685556477405
82432 80.5 -0.00299332779935491
82944 81 -0.00301516683629552
83456 81.5 -0.00303169816938169
83968 82 -0.00305486078269606
84480 82.5 -0.00307692328365583
84992 83 -0.00309845257811344
85504 83.5 -0.00311429052245263
86016 84 -0.0031343892866765
86528 84.5 -0.00316207893010694
87040 85 -0.00317827992571645
87552 85.5 -0.00319643363164249
88064 86 -0.00321949918912058
88576 86.5 -0.00323760690760782
89088 87 -0.00325967545748316
89600 87.5 -0.00327687810455969
90112 88 -0.00329870816706346
90624 88.5 -0.00332118082500901
91136 89 -0.00333788541854754
91648 89.5 -0.00335441284848395
92160 90 -0.00337821119344403
92672 90.5 -0.00339962864446848
93184 91 -0.00342030595804081
93696 91.5 -0.00343403079936353
94208 92 -0.00345388021072601
94720 92.5 -0.00347796685697144
95232 93 -0.00349833626394951
95744 93.5 -0.00351877176815732
96256 94 -0.00353010174648523
96768 94.5 -0.00355277382484683
97280 95 -0.00357923487817011
97792 95.5 -0.00359453128749586
98304 96 -0.00361187302033007
98816 96.5 -0.00363033735391854
99328 97 -0.00365560712876542
99840 97.5 -0.00367281905945593
100352 98 -0.00368893476338197
100864 98.5 -0.00371129171297416
101376 99 -0.00373035765782795
101888 99.5 -0.00374935355043617
102400 100 -0.00376875994793
102912 100.5 -0.00378816839040671
103424 101 -0.00380927334807125
103936 101.5 -0.00382605148136406
104448 102 -0.00384630378223187
104960 102.5 -0.00386717365870548
105472 103 -0.00388521177710638
105984 103.5 -0.00390290871038762
106496 104 -0.00392310722294717
107008 104.5 -0.0039460130603321
107520 105 -0.0039600673081435
108032 105.5 -0.00397728413991634
108544 106 -0.00400198249740551
109056 106.5 -0.00402002996832336
109568 107 -0.00403452889616419
110080 107.5 -0.00405540209576591
110592 108 -0.00407437451486491
111104 108.5 -0.00409516422215164
111616 109 -0.00411074658036078
112128 109.5 -0.00412837227689928
112640 110 -0.00414798683398101
113152 110.5 -0.00416766392407242
113664 111 -0.00418477763107852
114176 111.5 -0.00419950170599763
114688 112 -0.00421973499752766
115200 112.5 -0.00424064958590089
115712 113 -0.00425490779743538
116224 113.5 -0.0042688486177534
116736 114 -0.00428976986261127
117248 114.5 -0.00430848150493466
117760 115 -0.00432605300100694
118272 115.5 -0.00433801869577743
118784 116 -0.00435487834435885
119296 116.5 -0.00437742394672516
119808 117 -0.00439224359876609
120320 117.5 -0.00440501728816583
120832 118 -0.00442235484308246
121344 118.5 -0.00444224468705223
121856 119 -0.00445757049123367
122368 119.5 -0.00446941436462313
122880 120 -0.00448682370901685
123392 120.5 -0.00450664553617212
123904 121 -0.00451934587259611
124416 121.5 -0.00453410776409862
124928 122 -0.00455292628801025
125440 122.5 -0.00456776956855982
125952 123 -0.00458308665685773
126464 123.5 -0.00459905258803036
126976 124 -0.00461438592328961
127488 124.5 -0.00463284493460248
128000 125 -0.00464686481898044
128512 125.5 -0.00466074593221368
129024 126 -0.00468024236701716
129536 126.5 -0.00469340623056917
130048 127 -0.00470743747382944
130560 127.5 -0.00472482086090942
131072 128 -0.00474099390192507
131584 128.5 -0.0047549185939128
132096 129 -0.00476872804389399
132608 129.5 -0.00478563229857614
133120 130 -0.00480194140889001
133632 130.5 -0.00481452935854014
134144 131 -0.00482998166092652
134656 131.5 -0.00484548780211989
135168 132 -0.00486087280611723
135680 132.5 -0.00487563136421152
136192 133 -0.00488799980841277
136704 133.5 -0.00490366615293393
137216 134 -0.00491964723308792
137728 134.5 -0.00493535348090983
138240 135 -0.00494581514975749
138752 135.5 -0.00495854037399155
139264 136 -0.00497888773415842
139776 136.5 -0.00499323953297294
140288 137 -0.00500215339559727
140800 137.5 -0.00501680952050865
141312 138 -0.00503405665881044
141824 138.5 -0.00504975793360408
142336 139 -0.00505953977725017
142848 139.5 -0.00507210526602463
143360 140 -0.00509176582874503
143872 140.5 -0.00510452113196177
144384 141 -0.00511585159682614
144896 141.5 -0.00512868453836535
145408 142 -0.00514638273180969
145920 142.5 -0.0051617532510631
146432 143 -0.00517094326999589
146944 143.5 -0.00518555779160801
147456 144 -0.00520185276492742
147968 144.5 -0.00521701829245817
148480 145 -0.00522932169180729
148992 145.5 -0.00524186131339318
