# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 6.54637937840674e-06
512 0.5 2.09562413729532e-05
1024 1 3.04519510237384e-05
1536 1.5 3.54286663510743e-05
2048 2 3.64811259372908e-05
2560 2.5 3.6202070522884e-05
3072 3 3.67359262577561e-05
3584 3.5 3.78586092868705e-05
4096 4 3.8353431247589e-05
4608 4.5 3.81557756991147e-05
5120 5 3.81396726150693e-05
5632 5.5 3.86403136703929e-05
6144 6 3.90344359066143e-05
6656 6.5 3.90155746296866e-05
7168 7 3.89933799023831e-05
7680 7.5 3.92676449978098e-05
8192 8 3.96117940546815e-05
8704 8.5 3.96876985948459e-05
9216 9 3.96952555331569e-05
9728 9.5 3.98997142711163e-05
10240 10 4.01900814683658e-05
10752 10.5 4.03544954932891e-05
11264 11 4.03816150101733e-05
11776 11.5 4.05722201586663e-05
12288 12 4.08503404890332e-05
12800 12.5 4.10471715083592e-05
13312 13 4.1165144841608e-05
13824 13.5 4.13045424771816e-05
14336 14 4.1569496700556e-05
14848 14.5 4.18133139444071e-05
15360 15 4.19913375123699e-05
15872 15.5 4.21746400716215e-05
16384 16 4.24249710497135e-05
16896 16.5 4.27008265723875e-05
17408 17 4.2888172740849e-05
17920 17.5 4.3122335719335e-05
18432 18 4.34110903765948e-05
18944 18.5 4.36933696824864e-05
19456 19 4.39618472323766e-05
19968 19.5 4.41810007099188e-05
20480 20 4.44882128185036e-05
20992 20.5 4.48489880136823e-05
21504 21 4.51075442662155e-05
22016 21.5 4.53880036054785e-05
22528 22 4.57209036203326e-05
23040 22.5 4.60612833805433e-05
23552 23 4.6403134101359e-05
24064 23.5 4.6725494416246e-05
24576 24 4.70467573109296e-05
25088 24.5 4.74337950807491e-05
25600 25 4.78052340053868e-05
26112 25.5 4.81476118229384e-05
26624 26 4.8538037455819e-05
27136 26.5 4.89296006670672e-05
27648 27 4.93377192649541e-05
28160 27.5 4.97126606313949e-05
28672 28 5.00706439935514e-05
29184 28.5 5.05217309751766e-05
29696 29 5.09498986199905e-05
30208 29.5 5.13673462158728e-05
30720 30 5.17980131445082e-05
31232 30.5 5.22352519854706e-05
31744 31 5.26885733641278e-05
32256 31.5 5.3112949287168e-05
32768 32 5.35386647477699e-05
33280 32.5 5.40006850475844e-05
33792 33 5.45156655735807e-05
34304 33.5 5.50020372532573e-05
34816 34 5.54434905244852e-05
35328 34.5 5.59169600752864e-05
35840 35 5.63993683225373e-05
36352 35.5 5.69253498961383e-05
36864 36 5.74768398190278e-05
37376 36.5 5.79692454934547e-05
37888 37 5.84691294684642e-05
38400 37.5 5.89823935087911e-05
38912 38 5.94875621329172e-05
39424 38.5 6.00436550197887e-05
39936 39 6.05565057129848e-05
40448 39.5 6.10637096295638e-05
40960 40 6.15174925103729e-05
41472 40.5 6.20060441147608e-05
41984 41 6.25099079027256e-05
42496 41.5 6.30274917745298e-05
43008 42 6.3549669264698e-05
43520 42.5 6.39992062147212e-05
44032 43 6.45338898914958e-05
44544 43.5 6.51007501703193e-05
45056 44 6.5610145586122e-05
45568 44.5 6.61482677396809e-05
46080 45 6.66382286339389e-05
46592 45.5 6.71806374598473e-05
47104 46 6.77235615721429e-05
47616 46.5 6.82244118116212e-05
48128 47 6.87875540270533e-05
48640 47.5 6.93056486216268e-05
49152 48 6.98629364867068e-05
49664 48.5 7.04034489076021e-05
50176 49 7.08839364249556e-05
50688 49.5 7.14081240008924e-05
51200 50 7.19764037429465e-05
51712 50.5 7.25396331473973e-05
52224 51 7.30472082363111e-05
52736 51.5 7.35282837164718e-05
53248 52 7.40447803567161e-05
53760 52.5 7.4612438020862e-05
54272 53 7.51680972462423e-05
54784 53.5 7.56497429776233e-05
55296 54 7.61418752895018e-05
55808 54.5 7.66520071834927e-05
56320 55 7.71898217718031e-05
56832 55.5 7.77451308356355e-05
57344 56 7.8233312917502e-05
57856 56.5 7.87022077254483e-05
58368 57 7.92280495522495e-05
58880 57.5 7.97447511247694e-05
59392 58 8.02691892137734e-05
59904 58.5 8.07638182521261e-05
60416 59 8.12510298859036e-05
60928 59.5 8.17490552813881e-05
61440 60 8.22476193321046e-05
61952 60.5 8.27786697568454e-05
62464 61 8.32663543647017e-05
62976 61.5 8.37574548856933e-05
63488 62 8.42494910135065e-05
64000 62.5 8.47410342486513e-05
64512 63 8.52663074822536e-05
65024 63.5 8.57607029520809e-05
65536 64 8.62385160880874e-05
66048 64.5 8.6735756756167e-05
66560 65 8.7248476681564e-05
67072 65.5 8.77630187847149e-05
67584 66 8.82318140398442e-05
68096 66.5 8.87168792639158e-05
68608 67 8.92342813599397e-05
69120 67.5 8.97309578484679e-05
69632 68 9.02312687763424e-05
70144 68.5 9.07137585874581e-05
70656 69 9.11970976654807e-05
71168 69.5 9.17014445302231e-05
71680 70 9.22108772253796e-05
72192 70.5 9.27015430270228e-05
72704 71 9.31803284019874e-05
73216 71.5 9.36573502944357e-05
73728 72 9.41644298871473e-05
74240 72.5 9.46891264153313e-05
74752 73 9.51558619675277e-05
75264 73.5 9.56387540156579e-05
75776 74 9.61369517875659e-05
76288 74.5 9.66200383571277e-05
76800 75 9.71301425981462e-05
77312 75.5 9.76297880838016e-05
77824 76 9.81029974465286e-05
78336 76.5 9.85822823905038e-05
78848 77 9.90919845523145e-05
79360 77.5 9.95948784901735e-05
79872 78 0.000100071234245624
80384 78.5 0.000100554121013634
80896 79 0.000101043927603783
81408 79.5 0.000101548804864727
81920 80 0.000102037168128582
82432 80.5 0.000102528710370796
82944 81 0.000103017549255879
83456 81.5 0.000103484752259653
83968 82 0.000103991711356351
84480 82.5 0.000104507826707659
84992 83 0.000104999190935321
85504 83.5 0.000105480145477004
86016 84 0.000105962492714455
86528 84.5 0.000106473463454481
87040 85 0.000106965640571068
87552 85.5 0.000107459064176199
88064 86 0.00010797016716964
88576 86.5 0.000108470625857654
89088 87 0.000108973849495266
89600 87.5 0.0001094702264707
90112 88 0.000109975080510137
90624 88.5 0.00011048738405491
91136 89 0.000110975657023077
91648 89.5 0.000111470623096373
92160 90 0.000111985369290265
92672 90.5 0.000112506034708234
93184 91 0.000113034043018187
93696 91.5 0.000113513796807394
94208 92 0.000114012625623297
94720 92.5 0.00011453319179358
95232 93 0.000115050390667235
95744 93.5 0.000115588776163783
96256 94 0.000116099682769699
96768 94.5 0.000116592014888975
97280 95 0.000117111855246985
97792 95.5 0.000117633854379297
98304 96 0.000118164040577886
98816 96.5 0.000118684339240457
99328 97 0.00011919692090037
99840 97.5 0.000119707406041787
100352 98 0.000120229489559402
100864 98.5 0.000120741258440674
101376 99 0.000121265473531603
101888 99.5 0.00012179142017371
102400 100 0.000122285608349531
102912 100.5 0.000122804870857888
103424 101 0.000123317183156886
103936 101.5 0.000123821682410372
104448 102 0.000124340035190831
104960 102.5 0.000124843779758123
105472 103 0.000125341544965576
105984 103.5 0.000125835528610577
106496 104 0.000126338874301315
107008 104.5 0.000126846034385881
107520 105 0.000127321848224997
108032 105.5 0.000127805712785239
108544 106 0.000128305748571798
109056 106.5 0.000128783640858578
109568 107 0.00012925315382769
110080 107.5 0.000129730349514187
110592 108 0.000130212592677649
111104 108.5 0.000130677993871065
111616 109 0.000131131821044367
112128 109.5 0.000131590454571051
112640 110 0.000132053834977696
113152 110.5 0.00013252288905153
113664 111 0.000132956660749528
114176 111.5 0.000133385543469662
114688 112 0.000133840459488626
115200 112.5 0.000134286904101368
115712 113 0.000134714883637519
116224 113.5 0.000135139989677978
116736 114 0.000135557523288256
117248 114.5 0.000135986402385446
117760 115 0.000136420575859862
118272 115.5 0.000136833240449951
118784 116 0.000137237273663597
119296 116.5 0.000137652524670569
119808 117 0.000138064397328917
120320 117.5 0.000138481609636867
120832 118 0.000138889157971573
121344 118.5 0.000139286254870031
121856 119 0.000139693731031771
122368 119.5 0.000140093860964141
122880 120 0.000140499655144054
123392 120.5 0.00014090464085878
123904 121 0.000141296612563154
124416 121.5 0.000141695241566532
124928 122 0.000142103443688117
125440 122.5 0.000142504475877648
125952 123 0.000142902210778616
126464 123.5 0.000143292453836151
126976 124 0.000143702069562576
127488 124.5 0.000144119297913927
128000 125 0.000144507701766418
128512 125.5 0.000144908426630305
129024 126 0.000145332028886115
129536 126.5 0.000145728404977465
130048 127 0.000146131247114801
130560 127.5 0.000146558774680981
131072 128 0.000146967640542231
131584 128.5 0.000147375577008322
132096 129 0.000147791459191953
132608 129.5 0.00014821602844452
133120 130 0.000148643347906428
133632 130.5 0.000149049116412504
134144 131 0.000149477798574135
134656 131.5 0.000149912647012204
135168 132 0.000150337082306611
135680 132.5 0.000150759946383076
136192 133 0.000151184724660542
136704 133.5 0.000151619309206472
137216 134 0.000152058552154941
137728 134.5 0.000152493615049656
138240 135 0.000152917228370164
138752 135.5 0.000153341295522774
139264 136 0.000153794837449547
139776 136.5 0.000154236012842509
140288 137 0.000154666830891211
140800 137.5 0.000155108948046895
141312 138 0.000155549413636608
141824 138.5 0.000155992363538126
142336 139 0.000156438062598573
142848 139.5 0.000156884399651374
143360 140 0.000157332742952112
143872 140.5 0.000157780706236736
144384 141 0.000158220625004782
144896 141.5 0.000158672568315607
145408 142 0.000159126478030362
145920 142.5 0.000159581349589864
146432 143 0.00016002870167128
146944 143.5 0.000160472667978302
147456 144 0.000160928859151962
147968 144.5 0.000161390832783443
148480 145 0.000161838058510674
148992 145.5 0.000162286283549146
149504 146 0.000162748267588115
150016 146.5 0.000163197834257002
150528 147 0.000163654788333934
151040 147.5 0.000164111824806023
151552 148 0.000164563059181982
152064 148.5 0.000165019300924723
152576 149 0.000165471480023562
153088 149.5 0.000165937379741959
153600 150 0.000166391889671972
154112 150.5 0.000166830308331381
154624 151 0.000167291619600616
155136 151.5 0.000167760819644409
155648 152 0.000168202201158428
156160 152.5 0.000168643778194628
156672 153 0.000169106715648949
157184 153.5 0.000169563223112453
157696 154 0.000170005101745961
158208 154.5 0.000170453601021021
158720 155 0.000170899922463019
159232 155.5 0.00017134891832185
159744 156 0.000171796498670916
160256 156.5 0.000172231371805236
160768 157 0.000172668893630531
161280 157.5 0.000173114182978468
161792 158 0.000173554189455344
162304 158.5 0.000173978790144103
162816 159 0.00017440178967287
163328 159.5 0.000174837538708289
163840 160 0.00017527330711686
164352 160.5 0.000175685552116251
164864 161 0.000176095531730053
165376 161.5 0.00017652381543869
165888 162 0.00017694443950024
166400 162.5 0.000177353997138549
166912 163 0.000177760599613851
167424 163.5 0.000178165141191595
167936 164 0.000178578890664721
168448 164.5 0.000178982475176199
168960 165 0.000179376676448807
169472 165.5 0.000179778222470438
169984 166 0.000180167154358925
170496 166.5 0.000180560283488938
171008 167 0.000180960230202412
171520 167.5 0.000181343743992382
172032 168 0.000181723604722529
172544 168.5 0.000182107580055956
173056 169 0.000182491131610641
173568 169.5 0.000182876518417696
174080 170 0.000183251947039569
174592 170.5 0.00018361321462549
175104 171 0.000183997134464795
175616 171.5 0.000184376709411527
176128 172 0.000184734329944703
176640 172.5 0.00018510394725909
177152 173 0.000185475113079406
177664 173.5 0.000185837529681625
178176 174 0.000186200629622577
178688 174.5 0.000186560188498023
179200 175 0.000186927319349327
179712 175.5 0.000187287986036096
180224 176 0.000187642664436658
180736 176.5 0.00018800474319025
181248 177 0.000188365205854058
181760 177.5 0.000188721793552181
182272 178 0.000189079890190032
182784 178.5 0.000189432290137764
183296 179 0.000189787831560257
183808 179.5 0.00019015088216714
184320 180 0.000190501628232048
184832 180.5 0.000190848377323624
185344 181 0.000191207161342093
185856 181.5 0.000191568117725912
186368 182 0.000191916098244299
186880 182.5 0.000192260295821094
187392 183 0.000192613905887291
187904 183.5 0.000192978211970471
188416 184 0.000193324656952062
188928 184.5 0.000193663017982679
189440 185 0.000194019791039127
189952 185.5 0.000194378067354419
190464 186 0.000194723117319492
190976 186.5 0.000195066676432185
191488 187 0.000195415295436031
192000 187.5 0.000195763201046239
192512 188 0.000196114853027628
193024 188.5 0.000196458994111738
193536 189 0.000196798687513122
194048 189.5 0.000197153348180459
194560 190 0.000197500181885386
195072 190.5 0.000197841297228089
195584 191 0.000198195474792308
196096 191.5 0.000198541136056303
196608 192 0.000198884507544451
197120 192.5 0.000199238700555464
197632 193 0.000199588255190915
198144 193.5 0.000199935228522534
198656 194 0.000200280635294717
199168 194.5 0.000200636332559356
199680 195 0.000200995280156002
200192 195.5 0.000201338372189853
200704 196 0.000201685672219363
201216 196.5 0.000202049837333845
201728 197 0.000202406122088283
202240 197.5 0.00020275395305065
202752 198 0.000203107184151778
203264 198.5 0.00020346626909816
203776 199 0.000203828048735068
204288 199.5 0.000204184235989402
204800 200 0.000204534934905632
205312 200.5 0.000204894639811829
205824 201 0.000205259650595609
206336 201.5 0.000205619938327642
206848 202 0.000205976312401516
207360 202.5 0.000206330078379638
207872 203 0.00020670023306766
208384 203.5 0.000207070908792299
208896 204 0.000207421774680958
209408 204.5 0.000207779868757585
209920 205 0.000208158866094332
210432 205.5 0.000208524758991354
210944 206 0.000208877913968554
211456 206.5 0.000209244790130025
211968 207 0.000209618086383101
212480 207.5 0.000209981726003985
212992 208 0.000210344778278659
213504 208.5 0.000210710709886782
214016 209 0.000211077889327304
214528 209.5 0.00021144386389318
215040 210 0.000211805186991327
215552 210.5 0.000212171397497125
216064 211 0.000212536794134962
216576 211.5 0.000212898154873283
217088 212 0.000213263375978511
217600 212.5 0.000213627220638992
218112 213 0.000213985803248918
218624 213.5 0.000214347762095685
219136 214 0.000214709636316845
219648 214.5 0.00021506552376752
220160 215 0.000215423666519283
220672 215.5 0.000215778488524823
221184 216 0.000216132962942621
221696 216.5 0.000216491922313688
222208 217 0.000216842246169838
222720 217.5 0.000217189839381026
223232 218 0.000217543123907142
223744 218.5 0.000217898582511117
224256 219 0.000218249665538684
224768 219.5 0.000218590130986814
225280 220 0.000218939722506124
225792 220.5 0.00021929684981583
226304 221 0.000219640692621861
226816 221.5 0.000219983560240621
227328 222 0.00022033077889409
227840 222.5 0.000220680026310595
228352 223 0.000221030879938536
228864 223.5 0.00022137412844542
229376 224 0.000221712495752583
229888 224.5 0.000222067046871496
230400 225 0.00022242181584123
230912 225.5 0.000222759535769389
231424 226 0.000223100845908541
231936 226.5 0.00022345717228634
232448 227 0.000223809735926053
232960 227.5 0.000224151619098583
233472 228 0.000224491621502681
233984 228.5 0.000224846908305317
234496 229 0.000225204732335087
235008 229.5 0.00022554343019696
235520 230 0.000225887064944657
236032 230.5 0.000226246276406932
236544 231 0.000226600547721654
237056 231.5 0.000226945994171793
237568 232 0.000227297962149954
238080 232.5 0.000227655298542667
238592 233 0.000228010937777591
239104 233.5 0.000228366828850995
239616 234 0.000228723719682934
240128 234.5 0.000229079766523358
240640 235 0.000229435572356623
241152 235.5 0.000229793215944961
241664 236 0.000230154251913383
242176 236.5 0.00023050930587996
242688 237 0.00023086668637286
243200 237.5 0.000231228495352728
243712 238 0.000231586643039078
244224 238.5 0.000231949030761884
244736 239 0.000232306906572116
245248 239.5 0.000232662135031071
245760 240 0.000233028532997251
246272 240.5 0.00023339075248133
246784 241 0.000233745102301607
247296 241.5 0.000234107507373941
247808 242 0.000234472273835117
248320 242.5 0.000234832879833793
248832 243 0.00023519286619827
249344 243.5 0.000235549128862234
249856 244 0.000235911010392945
250368 244.5 0.00023627697008459
250880 245 0.000236631145837673
251392 245.5 0.000236983152792942
251904 246 0.000237345235261274
252416 246.5 0.000237706866137185
252928 247 0.000238060947462835
253440 247.5 0.000238408431091898
253952 248 0.000238766514431237
254464 248.5 0.000239132508222676
254976 249 0.000239481263580597
255488 249.5 0.000239824580483394
256000 250 0.000240183183900939
256512 250.5 0.000240542425789369
257024 251 0.000240888191588619
257536 251.5 0.000241232190961772
258048 252 0.000241584204396453
258560 252.5 0.000241940300498738
259072 253 0.000242284739194149
259584 253.5 0.000242626297561888
260096 254 0.000242977760838811
260608 254.5 0.000243325389192397
261120 255 0.000243667905188148
261632 255.5 0.000244013674793925
262144 256 0.000244355017098533
262656 256.5 0.000244696974770993
263168 257 0.000245042782249864
263680 257.5 0.000245381945892465
264192 258 0.000245718766519119
264704 258.5 0.000246058616843855
265216 259 0.000246398820483398
265728 259.5 0.000246735363866894
266240 260 0.000247071533272799
266752 260.5 0.000247408782950746
267264 261 0.000247745020436367
267776 261.5 0.000248081378704567
268288 262 0.00024841796213103
268800 262.5 0.000248753800154596
269312 263 0.000249085521911949
269824 263.5 0.000249418518407119
270336 264 0.000249757084576103
270848 264.5 0.000250085976122968
271360 265 0.000250409407386572
271872 265.5 0.000250743885363669
272384 266 0.000251077085037686
272896 266.5 0.000251401315162602
273408 267 0.000251724226147795
273920 267.5 0.000252052416035793
274432 268 0.000252383599855698
274944 268.5 0.000252708294219424
275456 269 0.00025302509258442
275968 269.5 0.00025334697853322
276480 270 0.000253676720933305
276992 270.5 0.000253997753911675
277504 271 0.000254308701819911
278016 271.5 0.000254626360825174
278528 272 0.000254953880669787
279040 272.5 0.000255271624639635
279552 273 0.00025557467462351
280064 273.5 0.000255888136492065
280576 274 0.000256211389930925
281088 274.5 0.000256519320430486
281600 275 0.000256821470971284
282112 275.5 0.000257130823479199
282624 276 0.000257440679492969
283136 276.5 0.000257745251617512
283648 277 0.000258045378623373
284160 277.5 0.000258347604500126
284672 278 0.000258650439562346
285184 278.5 0.000258950110553978
285696 279 0.000259248675135694
286208 279.5 0.000259545965502619
286720 280 0.000259840812917472
287232 280.5 0.000260137748820753
287744 281 0.00026043506832579
288256 281.5 0.000260726277488529
288768 282 0.000261017590961577
289280 282.5 0.000261314348279495
289792 283 0.000261606350534805
290304 283.5 0.000261895449379357
290816 284 0.000262189489369491
291328 284.5 0.000262480537205426
291840 285 0.000262769924825799
292352 285.5 0.000263063386605486
292864 286 0.000263357187343107
293376 286.5 0.000263644633601597
293888 287 0.00026393410732272
294400 287.5 0.000264231572642712
294912 288 0.000264525565235752
295424 288.5 0.000264810918235427
295936 289 0.000265101738835138
296448 289.5 0.000265403264076701
296960 290 0.000265698346055878
297472 290.5 0.00026598542229573
297984 291 0.000266281369838563
298496 291.5 0.000266584173932197
299008 292 0.000266883365434013
299520 292.5 0.00026717587189909
300032 293 0.000267469865457061
300544 293.5 0.000267775833983573
301056 294 0.00026807863254902
301568 294.5 0.00026837053185076
302080 295 0.000268666960068916
302592 295.5 0.000268973435297414
303104 296 0.000269277365923538
303616 296.5 0.000269574284092484
304128 297 0.000269872224863514
304640 297.5 0.000270179796785917
305152 298 0.000270488179326197
305664 298.5 0.000270787241020926
306176 299 0.000271089259714946
306688 299.5 0.000271397900101721
307200 300 0.000271704457328187
307712 300.5 0.000272010172623615
308224 301 0.00027231419140156
308736 301.5 0.00027261898822979
309248 302 0.000272929952713853
309760 302.5 0.000273237326522133
310272 303 0.000273540273237884
310784 303.5 0.000273847553079693
311296 304 0.000274156837199072
311808 304.5 0.000274463201874563
312320 305 0.000274766471571223
312832 305.5 0.000275071241621405
