# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.52131147487427e-05 1.52131147498627e-05 1.52131147510978e-05
1024 1 1.21433648323248e-05 1.21433648880809e-05 1.21433649088088e-05
1536 1.5 1.38739634243096e-05 1.3873963369564e-05 1.3873963244708e-05
2048 2 1.49629512440173e-05 1.49629512440281e-05 1.49629512440389e-05
2560 2.5 3.64275911012765e-05 3.64275941455014e-05 3.64275934754066e-05
3072 3 2.4080360224585e-05 2.4080359858637e-05 2.40803608752181e-05
3584 3.5 3.00696917630339e-05 3.00696895759087e-05 3.00696855828093e-05
4096 4 2.03325551067689e-05 2.0332551371163e-05 2.03325459411571e-05
4608 4.5 2.05575490749938e-05 2.05575522713788e-05 2.05575568332887e-05
5120 5 2.42912600811947e-05 2.4291369978993e-05 2.42914802800676e-05
5632 5.5 2.36395529968217e-05 2.36395720176155e-05 2.36395926269987e-05
6144 6 2.4503465144533e-05 2.4501519395904e-05 2.44996065710809e-05
6656 6.5 2.39597380526679e-05 2.39586369919658e-05 2.39580253007377e-05
7168 7 1.87036097235357e-05 1.87012088371512e-05 1.86963744331196e-05
7680 7.5 2.17778508725243e-05 2.17703674005293e-05 2.17611183327479e-05
8192 8 2.4113590957196e-05 2.40974208274683e-05 2.40808749513828e-05
8704 8.5 2.29065314105134e-05 2.2903601377512e-05 2.28995029287855e-05
9216 9 2.22192904460382e-05 2.22251842258917e-05 2.22276222181092e-05
9728 9.5 2.01966914145168e-05 2.01888489169111e-05 2.01763756393321e-05
10240 10 1.73082729138431e-05 1.729987668261e-05 1.72854089725529e-05
10752 10.5 1.83592941947794e-05 1.83490404754651e-05 1.8329783165866e-05
11264 11 1.6928496727402e-05 1.68806158245159e-05 1.68432673780151e-05
11776 11.5 2.17855278174532e-05 2.18597180227666e-05 2.19118155519291e-05
12288 12 1.60463807736926e-05 1.60462567479069e-05 1.60422065971873e-05
12800 12.5 2.50223649373428e-05 2.5055209092592e-05 2.50812660915496e-05
13312 13 1.9848926903656e-05 1.98551698040423e-05 1.9864547820413e-05
13824 13.5 2.11012165454703e-05 2.11129530816127e-05 2.11237794449986e-05
14336 14 1.70953623306035e-05 1.71164786288773e-05 1.71401641176681e-05
14848 14.5 2.7683758148845e-05 2.7695671236303e-05 2.77082246358071e-05
15360 15 2.43756396204265e-05 2.44377225665545e-05 2.44319736742606e-05
15872 15.5 3.4241693874014e-05 3.42927953283751e-05 3.43602422351779e-05
16384 16 2.77573074902841e-05 2.77560590394929e-05 2.77561390589825e-05
16896 16.5 3.42942598822473e-05 3.42958402260801e-05 3.42974351599e-05
17408 17 2.6662986734933e-05 2.66686994069005e-05 2.66765488496966e-05
17920 17.5 2.38228767916026e-05 2.38231372829198e-05 2.38236095178708e-05
18432 18 2.73043176014322e-05 2.73119753905425e-05 2.73137566340719e-05
18944 18.5 3.90527202289006e-05 3.90452860963154e-05 3.90413048935854e-05
19456 19 2.26917743044615e-05 2.26709649472875e-05 2.26572347418804e-05
19968 19.5 3.1020729178371e-05 3.10313713234725e-05 3.10400213438561e-05
20480 20 3.25654000403058e-05 3.2560219093697e-05 3.25552952732274e-05
20992 20.5 3.89002418008893e-05 3.88989987357283e-05 3.88961670280316e-05
21504 21 2.26964895058637e-05 2.27069458048012e-05 2.27071823837209e-05
22016 21.5 4.12675499101569e-05 4.12766449640738e-05 4.12908705813353e-05
22528 22 3.62227737573792e-05 3.62118889739467e-05 3.62311656613302e-05
23040 22.5 2.92007155930085e-05 2.92087736565255e-05 2.92089156194909e-05
23552 23 2.90608351856785e-05 2.9067510097999e-05 2.90650340934955e-05
24064 23.5 3.23071587540302e-05 3.22960119728658e-05 3.22959912283561e-05
24576 24 2.5479191264507e-05 2.548767725351e-05 2.54785242492673e-05
25088 24.5 3.58945955214337e-05 3.59199906922029e-05 3.59275205987256e-05
25600 25 2.49535599858478e-05 2.49712674926932e-05 2.49834094874337e-05
26112 25.5 2.60803888470224e-05 2.61003531271292e-05 2.6100756065793e-05
26624 26 3.84958726699892e-05 3.85188308512508e-05 3.85219709386884e-05
27136 26.5 3.61253529280752e-05 3.6141014958619e-05 3.61594473484549e-05
27648 27 4.31181485372834e-05 4.31233682606009e-05 4.30916128571832e-05
28160 27.5 4.42390693989785e-05 4.43056480553547e-05 4.43925895861779e-05
28672 28 4.35911313094231e-05 4.36548506155059e-05 4.37089231679937e-05
29184 28.5 3.29549000784587e-05 3.29998188174588e-05 3.30249292419947e-05
29696 29 3.51023332736794e-05 3.51544664460732e-05 3.520130951119e-05
30208 29.5 3.35390174717497e-05 3.35385425281243e-05 3.35394262961532e-05
30720 30 4.46835899973168e-05 4.47362662433886e-05 4.47964025853215e-05
31232 30.5 4.91664977233887e-05 4.92075568873595e-05 4.92709779284745e-05
31744 31 2.89642498879923e-05 2.90013263239396e-05 2.90463382072489e-05
32256 31.5 4.06593542279202e-05 4.06707428386453e-05 4.06918425465636e-05
32768 32 3.08657654181183e-05 3.08691589899571e-05 3.08712431723194e-05
33280 32.5 2.64410215961547e-05 2.64528720558302e-05 2.64571503401498e-05
33792 33 4.03939508737295e-05 4.03951301455781e-05 4.0393749336746e-05
34304 33.5 4.99627868837484e-05 4.99695153082561e-05 4.99771552887745e-05
34816 34 2.83238579272808e-05 2.83358546208673e-05 2.83475649670132e-05
35328 34.5 2.6662500163717e-05 2.66716683200511e-05 2.66689746257035e-05
35840 35 3.02179007828046e-05 3.01918446333536e-05 3.01796478258016e-05
36352 35.5 2.09187066711095e-05 2.09217376648155e-05 2.09209694645504e-05
36864 36 3.32817007979672e-05 3.32740058539912e-05 3.32714906670387e-05
37376 36.5 2.37955810090219e-05 2.3828207361224e-05 2.38241745239528e-05
37888 37 3.47562200133812e-05 3.47365803664559e-05 3.47276280622821e-05
38400 37.5 3.40317479351589e-05 3.40468396941252e-05 3.40426319708092e-05
38912 38 3.812474740321e-05 3.81290447736738e-05 3.81290853163011e-05
39424 38.5 3.17740456604151e-05 3.17927032733843e-05 3.17979861880693e-05
39936 39 2.9312899750722e-05 2.92776685303283e-05 2.92735943044116e-05
40448 39.5 3.83829835430997e-05 3.83684975874828e-05 3.83502398346975e-05
40960 40 3.93797126500744e-05 3.94117494718707e-05 3.94465896113042e-05
41472 40.5 4.28191044331682e-05 4.27974195236754e-05 4.27899319176065e-05
41984 41 2.8071710599416e-05 2.80884915199271e-05 2.81115266943771e-05
42496 41.5 4.10139904264548e-05 4.10240859855225e-05 4.10361065389341e-05
43008 42 5.38789391766002e-05 5.39588366000393e-05 5.40584623625925e-05
43520 42.5 3.97038806806764e-05 3.97509627772712e-05 3.98139056081999e-05
44032 43 3.92046030846177e-05 3.92352310620635e-05 3.92464794370871e-05
44544 43.5 4.77613275030903e-05 4.77729573828892e-05 4.77863432076556e-05
45056 44 4.18771091752968e-05 4.18713292203157e-05 4.18640956606712e-05
45568 44.5 4.50281712200893e-05 4.50130339836812e-05 4.4993668125366e-05
46080 45 6.93071302850167e-05 6.92767257409235e-05 6.92549580421316e-05
46592 45.5 5.96514861322741e-05 5.96347179414982e-05 5.96212104498387e-05
47104 46 7.89971124629792e-05 7.89841738455691e-05 7.89850973117352e-05
47616 46.5 5.47990401451722e-05 5.48063780124413e-05 5.48048313865246e-05
48128 47 6.73465460766804e-05 6.73305047138785e-05 6.73188192991645e-05
48640 47.5 7.69991278486576e-05 7.69945518878265e-05 7.6992637654766e-05
49152 48 5.85821102320758e-05 5.85787966025747e-05 5.85674911001847e-05
49664 48.5 8.07396512413513e-05 8.0735764444238e-05 8.07340268653286e-05
50176 49 6.67373731150847e-05 6.67301449689417e-05 6.67284396037519e-05
50688 49.5 5.80222949912882e-05 5.80148122020335e-05 5.80161201032125e-05
51200 50 5.48175189306362e-05 5.48313324388004e-05 5.48412381739423e-05
51712 50.5 5.36264403669163e-05 5.36331634230379e-05 5.36363800203701e-05
52224 51 5.10252668778884e-05 5.10419247350266e-05 5.10427585252565e-05
52736 51.5 5.3180743471853e-05 5.31928920343471e-05 5.32001109911515e-05
53248 52 4.42420807686911e-05 4.42388016263439e-05 4.42365668336595e-05
53760 52.5 5.19499137830085e-05 5.19724632115565e-05 5.2012907510449e-05
54272 53 4.74894890778008e-05 4.74957136721992e-05 4.75214353940898e-05
54784 53.5 5.17685432192967e-05 5.17753017360148e-05 5.17990621331407e-05
55296 54 5.16900008856356e-05 5.17033048576199e-05 5.17257347908133e-05
55808 54.5 5.37318081687895e-05 5.37374007160994e-05 5.3739787954452e-05
56320 55 5.61000672908742e-05 5.61031519637162e-05 5.61152670175539e-05
56832 55.5 4.22768112413281e-05 4.22709234990545e-05 4.22659708510717e-05
57344 56 4.74118498866007e-05 4.74152280442616e-05 4.74207414241167e-05
57856 56.5 3.06532444368996e-05 3.06428971829106e-05 3.06723274120791e-05
58368 57 2.70136738630468e-05 2.70073878977881e-05 2.70023058256572e-05
58880 57.5 3.99261012967355e-05 3.99135426311165e-05 3.9892440520291e-05
59392 58 3.22334581224882e-05 3.2144470000606e-05 3.20357415317327e-05
59904 58.5 2.62129720232984e-05 2.62076386012968e-05 2.6203497924778e-05
60416 59 2.69506643603558e-05 2.69452155657779e-05 2.69408615394177e-05
60928 59.5 3.42694923636504e-05 3.42555297475211e-05 3.42364399172818e-05
61440 60 2.91845741427934e-05 2.91693179022121e-05 2.91547946460742e-05
61952 60.5 3.21224031033167e-05 3.21129610524916e-05 3.20634886421727e-05
62464 61 2.70854822352059e-05 2.70819482414853e-05 2.70785448644598e-05
62976 61.5 3.03942800634311e-05 3.03727102249316e-05 3.03533916790429e-05
63488 62 3.36020226610606e-05 3.35748163332445e-05 3.35516161639337e-05
