# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 5.43801864798743e-07 5.43800864219117e-07 5.43800038638652e-07
1024 1 1.23037681706285e-06 1.23037801333254e-06 1.23037916573175e-06
1536 1.5 2.1043102350243e-06 2.10431010563596e-06 2.10430999902144e-06
2048 2 2.37569237068765e-06 2.37569220865164e-06 2.37569205879112e-06
2560 2.5 2.13143896202593e-06 2.13143910963999e-06 2.13143928425729e-06
3072 3 2.18080951969707e-06 2.18080970532432e-06 2.18080985779663e-06
3584 3.5 2.2758588307896e-06 2.27585914780659e-06 2.27585946054625e-06
4096 4 2.1711576732375e-06 2.17115820169266e-06 2.17115887473724e-06
4608 4.5 2.19898375262988e-06 2.19898281753688e-06 2.19898202501018e-06
5120 5 2.19821398290613e-06 2.19821742481513e-06 2.19822080784397e-06
5632 5.5 2.13124803464205e-06 2.1312521236354e-06 2.13125610572749e-06
6144 6 2.09251754805041e-06 2.09251707323033e-06 2.09251711997085e-06
6656 6.5 2.06203255591906e-06 2.06203780350756e-06 2.06204400430696e-06
7168 7 2.00494314943833e-06 2.00495069040153e-06 2.00495912086038e-06
7680 7.5 1.95800452148322e-06 1.95801050729771e-06 1.9580166685984e-06
8192 8 1.9471676035395e-06 1.94717884111643e-06 1.94719052581333e-06
8704 8.5 1.94136234254531e-06 1.94137377604751e-06 1.94138700640727e-06
9216 9 1.93408791084618e-06 1.93409603391575e-06 1.93410609200279e-06
9728 9.5 1.9495090732385e-06 1.94952369525631e-06 1.94953952413293e-06
10240 10 1.94865685279138e-06 1.94867028808675e-06 1.94868363769324e-06
10752 10.5 1.93753887373357e-06 1.93754444307936e-06 1.93754939998532e-06
11264 11 1.95200979628037e-06 1.95201811854886e-06 1.95202924845539e-06
11776 11.5 1.95836668810297e-06 1.95838634026849e-06 1.95840960231148e-06
12288 12 1.96025838884078e-06 1.9602828282479e-06 1.96031045944056e-06
12800 12.5 1.94039835014059e-06 1.9404092885842e-06 1.94042224648409e-06
13312 13 1.93005404966449e-06 1.93005721082128e-06 1.93006465178577e-06
13824 13.5 1.92790076659257e-06 1.92790686424567e-06 1.92791447816671e-06
14336 14 1.9157557517253e-06 1.91577792264612e-06 1.91579798302079e-06
14848 14.5 1.89352962784063e-06 1.89354353038701e-06 1.8935588456449e-06
15360 15 1.88383582382154e-06 1.8838161233751e-06 1.88379627579459e-06
15872 15.5 1.86314119477538e-06 1.86310157224664e-06 1.86305699037165e-06
16384 16 1.85919974101655e-06 1.8591489748751e-06 1.85909362486716e-06
16896 16.5 1.85990126786659e-06 1.85983307663109e-06 1.85976052166316e-06
17408 17 1.85515430840092e-06 1.85506172107464e-06 1.85496723999675e-06
17920 17.5 1.84830894471118e-06 1.84820497361255e-06 1.84809033211837e-06
18432 18 1.88639924439943e-06 1.88630158650492e-06 1.88618769758787e-06
18944 18.5 1.88476713866612e-06 1.88467748089501e-06 1.88457236155702e-06
19456 19 1.8230897207032e-06 1.82298518729193e-06 1.82286600578891e-06
19968 19.5 1.85226004971785e-06 1.8521526084514e-06 1.85202953622553e-06
20480 20 1.8638792820111e-06 1.86376589444595e-06 1.86363941626382e-06
20992 20.5 1.84416520387173e-06 1.84405445894343e-06 1.84393639648563e-06
21504 21 1.86694376750715e-06 1.86687468592246e-06 1.86680066615149e-06
22016 21.5 1.8819010637918e-06 1.88187713056133e-06 1.88186304088842e-06
22528 22 1.88341770876505e-06 1.88345497711487e-06 1.88349235352376e-06
23040 22.5 1.90522434521808e-06 1.90527648524808e-06 1.90533528396835e-06
23552 23 1.91007295436496e-06 1.91009836519411e-06 1.91015206817069e-06
24064 23.5 1.89950682114778e-06 1.89954846053148e-06 1.89962333984014e-06
24576 24 1.90261675411896e-06 1.90269490609537e-06 1.90279592173019e-06
25088 24.5 1.90143335513248e-06 1.90152588132883e-06 1.90164162021418e-06
25600 25 1.8734548512112e-06 1.87355488497586e-06 1.8736578081121e-06
26112 25.5 1.86198265022987e-06 1.8620652191393e-06 1.8621546490356e-06
26624 26 1.86781209739978e-06 1.8678683445481e-06 1.86793074812349e-06
27136 26.5 1.82146286967515e-06 1.82152568871403e-06 1.82158121479772e-06
27648 27 1.76294535758546e-06 1.76304309132313e-06 1.76312362089202e-06
28160 27.5 1.6842659406471e-06 1.68435694662729e-06 1.68443610817918e-06
28672 28 1.66548018189998e-06 1.66558079437394e-06 1.66565890402887e-06
29184 28.5 1.71152983837399e-06 1.7116194854201e-06 1.71168904256506e-06
29696 29 1.76869793132807e-06 1.76878807237336e-06 1.76883509121853e-06
30208 29.5 1.8005691787998e-06 1.80062732892813e-06 1.80065205051874e-06
30720 30 1.79739106228896e-06 1.79741270927775e-06 1.79740587215552e-06
31232 30.5 1.84479306052807e-06 1.84476834084889e-06 1.84473942742963e-06
31744 31 1.88489860873201e-06 1.88485456421906e-06 1.88480534948173e-06
32256 31.5 1.87157998335456e-06 1.87152021719575e-06 1.87146236653146e-06
32768 32 1.85274583513454e-06 1.85271046584875e-06 1.85265371852997e-06
33280 32.5 1.87731479922317e-06 1.87723450975158e-06 1.87716173854444e-06
33792 33 1.87955560403952e-06 1.87944266525858e-06 1.87934823569729e-06
34304 33.5 1.87191856073705e-06 1.87177122633007e-06 1.87167015323413e-06
34816 34 1.88750717471338e-06 1.88736215579231e-06 1.88726859392569e-06
35328 34.5 1.86985878010813e-06 1.86973627537028e-06 1.86966074706983e-06
35840 35 1.87156942788242e-06 1.87148347752209e-06 1.87140393114977e-06
36352 35.5 1.88139569453514e-06 1.88137127202846e-06 1.88129431998658e-06
36864 36 1.86806182417205e-06 1.86807827146341e-06 1.86802202134983e-06
37376 36.5 1.8458023294061e-06 1.84581792506437e-06 1.84577344836444e-06
37888 37 1.84827856746615e-06 1.84825814833026e-06 1.84820201147601e-06
38400 37.5 1.8705732539104e-06 1.87055194808071e-06 1.87048855257108e-06
38912 38 1.86841888589857e-06 1.86843049146959e-06 1.86841286523556e-06
39424 38.5 1.85231194165275e-06 1.85237003200454e-06 1.85240713250623e-06
39936 39 1.86946016347344e-06 1.86956122400579e-06 1.86964954015834e-06
40448 39.5 1.88559462428991e-06 1.88570016280068e-06 1.88580862282797e-06
40960 40 1.86536883750327e-06 1.86549203473198e-06 1.86562422572164e-06
41472 40.5 1.83133519589942e-06 1.83147539949535e-06 1.83163818768314e-06
41984 41 1.78083014240311e-06 1.78103105509415e-06 1.78124169371164e-06
42496 41.5 1.7830237681127e-06 1.78326787742369e-06 1.78349951539387e-06
43008 42 1.76325109123772e-06 1.7634675568978e-06 1.76365991437843e-06
43520 42.5 1.75900960778208e-06 1.75916976170708e-06 1.75934227055807e-06
44032 43 1.75267573911493e-06 1.75278966939824e-06 1.75291573150339e-06
44544 43.5 1.7567136073624e-06 1.75680787748024e-06 1.75691544856126e-06
45056 44 1.7682880350121e-06 1.76836509516299e-06 1.76846229668324e-06
45568 44.5 1.74799573881748e-06 1.74806740241449e-06 1.74815730097254e-06
46080 45 1.7456910294945e-06 1.74574650205098e-06 1.74582425853628e-06
46592 45.5 1.79338382997124e-06 1.79339864098197e-06 1.79347929112679e-06
47104 46 1.82144904720308e-06 1.82145787211052e-06 1.82154868410056e-06
47616 46.5 1.80436444432995e-06 1.80438054926919e-06 1.80446030952703e-06
48128 47 1.80606756876067e-06 1.80609855339356e-06 1.80619182471666e-06
48640 47.5 1.85227770904501e-06 1.85234491316465e-06 1.85247844290978e-06
49152 48 1.81731356698495e-06 1.81735204219678e-06 1.81747404313463e-06
49664 48.5 1.81847564769584e-06 1.81853160376451e-06 1.8186174027751e-06
50176 49 1.81534680556567e-06 1.81541049858601e-06 1.81548947772101e-06
50688 49.5 1.77605753622142e-06 1.7761219349899e-06 1.77623698621205e-06
51200 50 1.79133871290432e-06 1.79137903034306e-06 1.79149907300017e-06
51712 50.5 1.80196081401039e-06 1.80199283640659e-06 1.80210193580734e-06
52224 51 1.86188146090066e-06 1.86193345514385e-06 1.86203494572345e-06
52736 51.5 1.86325635393329e-06 1.86327585026389e-06 1.86335797669002e-06
53248 52 1.86331673178737e-06 1.86334846586385e-06 1.86341445493629e-06
53760 52.5 1.8670694827242e-06 1.86710805806191e-06 1.8671442499768e-06
54272 53 1.85014576101781e-06 1.85022066582087e-06 1.85023318170083e-06
54784 53.5 1.86860610559495e-06 1.86866147393418e-06 1.86867468643437e-06
55296 54 1.85776712833883e-06 1.85781854466703e-06 1.85783897160898e-06
55808 54.5 1.85653912062638e-06 1.85659607445715e-06 1.85661154770204e-06
56320 55 1.8140144357095e-06 1.81410175183482e-06 1.81413205139248e-06
56832 55.5 1.77264460353889e-06 1.77274216764958e-06 1.77279275680702e-06
57344 56 1.78883731043709e-06 1.78891130913258e-06 1.78894614854318e-06
57856 56.5 1.80131816442883e-06 1.80141477421557e-06 1.80146627325839e-06
58368 57 1.79380399924703e-06 1.79394614128965e-06 1.79399340744271e-06
58880 57.5 1.7602358554515e-06 1.76040747243336e-06 1.76050757508916e-06
59392 58 1.78090902038268e-06 1.78104422118968e-06 1.78121577949296e-06
59904 58.5 1.77533863996388e-06 1.77546314445322e-06 1.77564878987364e-06
60416 59 1.73248010976867e-06 1.73259203823685e-06 1.73276655340285e-06
60928 59.5 1.70613395522561e-06 1.7061970022729e-06 1.70634035001822e-06
61440 60 1.64504687137681e-06 1.64513171403736e-06 1.64531074211977e-06
61952 60.5 1.66504191180467e-06 1.66519035218464e-06 1.66541047523139e-06
62464 61 1.63738606723021e-06 1.63758235883688e-06 1.63779353534677e-06
62976 61.5 1.64592819081045e-06 1.64606129520457e-06 1.64626383691189e-06
63488 62 1.64023586376994e-06 1.6403321405624e-06 1.64053127833773e-06
64000 62.5 1.63803010399981e-06 1.63811769104643e-06 1.63834879089805e-06
64512 63 1.64008667297603e-06 1.64017325647342e-06 1.64043278164305e-06
65024 63.5 1.59243231682149e-06 1.59251610069127e-06 1.59279012937274e-06
65536 64 1.54708771354246e-06 1.54712771059103e-06 1.54736993489295e-06
66048 64.5 1.53463670049622e-06 1.53467054793372e-06 1.53482011898549e-06
66560 65 1.56529207581843e-06 1.56538474402364e-06 1.56558898613697e-06
67072 65.5 1.57310903614582e-06 1.57330617589679e-06 1.57361449112477e-06
67584 66 1.56584421083678e-06 1.56603711171812e-06 1.56636113282415e-06
68096 66.5 1.53041385216237e-06 1.53056122741749e-06 1.53084395418963e-06
68608 67 1.51290890456489e-06 1.51305319612184e-06 1.51331489767904e-06
69120 67.5 1.51239027984862e-06 1.51255242798961e-06 1.51284600790335e-06
69632 68 1.52820253953636e-06 1.52834898165374e-06 1.52863488155249e-06
70144 68.5 1.51739999451517e-06 1.51755527480877e-06 1.51784964837785e-06
70656 69 1.49948308951875e-06 1.4995872975532e-06 1.4998740977466e-06
71168 69.5 1.47949893579298e-06 1.47957485257486e-06 1.47984202892103e-06
71680 70 1.43539944720392e-06 1.43543873805936e-06 1.43562621832347e-06
72192 70.5 1.44189849534906e-06 1.44201740160038e-06 1.44218840011919e-06
72704 71 1.42493655731285e-06 1.42501630457775e-06 1.42525703832065e-06
73216 71.5 1.42680750212295e-06 1.42682829948068e-06 1.42705046245109e-06
73728 72 1.38138348597784e-06 1.38140414813563e-06 1.38159542218392e-06
74240 72.5 1.3589013629619e-06 1.35890747405785e-06 1.35901471158538e-06
74752 73 1.35767157726981e-06 1.35767738030282e-06 1.35775828990396e-06
75264 73.5 1.3389227265619e-06 1.33894848828916e-06 1.33912862097963e-06
75776 74 1.33914451633148e-06 1.33916211401886e-06 1.33932828394969e-06
76288 74.5 1.28792220608928e-06 1.28790448573438e-06 1.28802247071093e-06
76800 75 1.28238553026795e-06 1.28233719153974e-06 1.28232762240705e-06
77312 75.5 1.29162913625906e-06 1.29155493809753e-06 1.2915097166131e-06
77824 76 1.2568184800134e-06 1.25681025153335e-06 1.25685798008717e-06
78336 76.5 1.23548126012447e-06 1.23545280988755e-06 1.23558731371897e-06
78848 77 1.20985440080041e-06 1.20984591654205e-06 1.20996901592725e-06
79360 77.5 1.21227610346464e-06 1.21227600864253e-06 1.21233830907727e-06
79872 78 1.18303820842174e-06 1.18307764062044e-06 1.18315611324857e-06
80384 78.5 1.15701224613631e-06 1.15706429236981e-06 1.15711741536384e-06
80896 79 1.16260347676126e-06 1.16267795762905e-06 1.16269603206371e-06
81408 79.5 1.12993000931771e-06 1.13008018325897e-06 1.13017321510557e-06
81920 80 1.14290298095694e-06 1.14303952957176e-06 1.14320011576846e-06
82432 80.5 1.05725071905876e-06 1.05739642971906e-06 1.05758317543468e-06
82944 81 1.06841944293961e-06 1.06859148115975e-06 1.0687145223348e-06
83456 81.5 1.04068642044507e-06 1.04086513806577e-06 1.04097133497049e-06
83968 82 1.01133497376616e-06 1.0115503221956e-06 1.01173989541336e-06
84480 82.5 1.00257305526118e-06 1.00280973225761e-06 1.00303468442781e-06
84992 83 9.65761544958718e-07 9.65980307996896e-07 9.66253186864709e-07
85504 83.5 9.89617755984684e-07 9.89846787534681e-07 9.90081469094432e-07
86016 84 9.43782673039421e-07 9.43992767922701e-07 9.44257009159366e-07
86528 84.5 9.16737344422567e-07 9.16988369863349e-07 9.1728324643696e-07
87040 85 9.34305128288248e-07 9.34560055043187e-07 9.34782931567549e-07
87552 85.5 9.32481929535957e-07 9.32694294956263e-07 9.32891788562318e-07
88064 86 8.96197863108524e-07 8.96378689563388e-07 8.9660389379115e-07
88576 86.5 8.41937703444095e-07 8.42037877811674e-07 8.42296437088639e-07
89088 87 8.80809581866955e-07 8.80879508242619e-07 8.81126555035845e-07
89600 87.5 8.22131997002041e-07 8.22253256703105e-07 8.22446238024799e-07
90112 88 8.37681661330618e-07 8.37785434376598e-07 8.37915967463555e-07
90624 88.5 8.01803806551173e-07 8.01828099860639e-07 8.01951423749825e-07
91136 89 8.12982003080873e-07 8.12959260723416e-07 8.13073384797458e-07
91648 89.5 8.04741726939179e-07 8.04750795653348e-07 8.04826267443053e-07
92160 90 7.81710941175044e-07 7.81695563467555e-07 7.8169383512692e-07
92672 90.5 7.93479731047412e-07 7.93381352867875e-07 7.93305876638903e-07
93184 91 7.70558452552481e-07 7.70457788732571e-07 7.70362848055932e-07
93696 91.5 7.67614057069041e-07 7.67423038304309e-07 7.67390963998523e-07
94208 92 7.67030869946477e-07 7.66840497460661e-07 7.66794174814077e-07
94720 92.5 7.38858874655137e-07 7.386243309404e-07 7.38439498104517e-07
95232 93 7.5422371630441e-07 7.53893341665752e-07 7.53681010897709e-07
95744 93.5 7.39474793348352e-07 7.39226202322214e-07 7.39138038350931e-07
96256 94 7.34635564795898e-07 7.34407194745645e-07 7.34416936563122e-07
96768 94.5 6.94567506799895e-07 6.94290576324146e-07 6.94187108358158e-07
97280 95 7.19510379968962e-07 7.1911139393778e-07 7.1886898996389e-07
97792 95.5 6.94776308165196e-07 6.94448861776122e-07 6.94366823476057e-07
98304 96 7.1856925717973e-07 7.18455038186307e-07 7.18552962919109e-07
98816 96.5 6.91339375058528e-07 6.91295014980792e-07 6.91372134524883e-07
99328 97 6.95597374702454e-07 6.95278249765058e-07 6.95141637416464e-07
99840 97.5 7.25074804810073e-07 7.24764509590223e-07 7.24667293895953e-07
100352 98 6.88246188226171e-07 6.88211326071278e-07 6.88313248339945e-07
100864 98.5 6.87072739148963e-07 6.87264200783275e-07 6.87425740200274e-07
101376 99 6.82637244601973e-07 6.82715689640947e-07 6.82740029064891e-07
101888 99.5 7.05594128489153e-07 7.0553714920807e-07 7.05470013661719e-07
102400 100 6.74005005617745e-07 6.73965104767825e-07 6.7394626990201e-07
102912 100.5 6.88126699861905e-07 6.88176939693471e-07 6.8825435275134e-07
103424 101 6.78635791028419e-07 6.78706663332276e-07 6.78842275819534e-07
103936 101.5 6.93009314451495e-07 6.9308248059886e-07 6.93172314843962e-07
104448 102 6.69678331890041e-07 6.69728202344354e-07 6.69797353552671e-07
104960 102.5 6.60763313317239e-07 6.60816062298741e-07 6.60929033134968e-07
105472 103 7.01888477571555e-07 7.01998115097348e-07 7.0213051197119e-07
105984 103.5 6.64065105573225e-07 6.64198930548628e-07 6.64311623463035e-07
106496 104 6.74302933312262e-07 6.7445970687481e-07 6.74584991972454e-07
107008 104.5 6.63968632185725e-07 6.64042758181227e-07 6.64243749663289e-07
107520 105 6.83872950255555e-07 6.83909057846039e-07 6.84119028572424e-07
108032 105.5 6.69909997851177e-07 6.70026820298164e-07 6.7021183787976e-07
108544 106 6.57446584049071e-07 6.57687244591843e-07 6.57957146456942e-07
109056 106.5 6.60598409559479e-07 6.60849758361522e-07 6.61250083327418e-07
