# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.5076413778259e-05 2.50764137774597e-05 2.50764137760201e-05
1024 1 3.19927055183976e-05 3.19927056160912e-05 3.1992705725263e-05
1536 1.5 2.94740398517164e-05 2.94740398949209e-05 2.94740397488603e-05
2048 2 2.33999539400296e-05 2.33999558857638e-05 2.33999554663453e-05
2560 2.5 3.64275911012765e-05 3.64275941455014e-05 3.64275934754066e-05
3072 3 2.4080360224585e-05 2.4080359858637e-05 2.40803608752181e-05
3584 3.5 3.00696917630339e-05 3.00696895759087e-05 3.00696855828093e-05
4096 4 2.7900664350528e-05 2.79005272732025e-05 2.7900387448541e-05
4608 4.5 2.51660931783681e-05 2.51660920849949e-05 2.51660920962767e-05
5120 5 2.42912600811947e-05 2.4291369978993e-05 2.42914802800676e-05
5632 5.5 2.75372491578112e-05 2.75371686852956e-05 2.75370877012537e-05
6144 6 2.87278979296622e-05 2.87278117254742e-05 2.87277296470865e-05
6656 6.5 2.93290822772023e-05 2.93304436186669e-05 2.93317876469257e-05
7168 7 1.95544509813139e-05 1.95558596258439e-05 1.9556902431792e-05
7680 7.5 2.40452826313674e-05 2.4045415873335e-05 2.40453482722762e-05
8192 8 2.46336883868864e-05 2.46394345451512e-05 2.46467173044735e-05
8704 8.5 2.29065314105134e-05 2.2903601377512e-05 2.28995029287855e-05
9216 9 2.22192904460382e-05 2.22251842258917e-05 2.22276222181092e-05
9728 9.5 2.01966914145168e-05 2.01888489169111e-05 2.01763756393321e-05
10240 10 2.06976589409707e-05 2.07005971289507e-05 2.06991887961819e-05
10752 10.5 1.83711398244307e-05 1.83681653045337e-05 1.83713427800293e-05
11264 11 2.36286462583903e-05 2.36676913714706e-05 2.37059346439824e-05
11776 11.5 2.2501313360268e-05 2.2475287128661e-05 2.24492226674462e-05
12288 12 1.84612013217601e-05 1.84620705128947e-05 1.84574266412068e-05
12800 12.5 2.80169583827073e-05 2.80101722648042e-05 2.8001638487503e-05
13312 13 2.1234747440746e-05 2.14405724291474e-05 2.16625335630685e-05
13824 13.5 2.82016395191297e-05 2.81887069252515e-05 2.81768140943527e-05
14336 14 2.89886989054166e-05 2.89860612092817e-05 2.89827117827922e-05
14848 14.5 3.28298909081455e-05 3.28275176980127e-05 3.28251570350068e-05
15360 15 2.98254451117327e-05 2.98239108776542e-05 2.98219621622733e-05
15872 15.5 3.4241693874014e-05 3.42927953283751e-05 3.43602422351779e-05
16384 16 2.77573074902841e-05 2.77560590394929e-05 2.77561390589825e-05
16896 16.5 3.42942598822473e-05 3.42958402260801e-05 3.42974351599e-05
17408 17 2.6662986734933e-05 2.66686994069005e-05 2.66765488496966e-05
17920 17.5 2.86647212812947e-05 2.86358038456572e-05 2.86066604798286e-05
18432 18 2.89525430975855e-05 2.8966003320317e-05 2.89772179078758e-05
