# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.69312746631049e-07 7.69312746631068e-07 7.69312746631071e-07
1024 1 2.72922478936965e-06 2.72922478936966e-06 2.72922478936967e-06
1536 1.5 3.63424835100791e-06 3.63424835100791e-06 3.63424835100792e-06
2048 2 4.26960098168901e-06 4.269600981689e-06 4.269600981689e-06
2560 2.5 5.1428971229623e-06 5.1428971229623e-06 5.14289712296229e-06
3072 3 5.88851120381687e-06 5.88851120381686e-06 5.88851120381686e-06
3584 3.5 7.40291160668269e-06 7.40291160668301e-06 7.40291160668283e-06
4096 4 8.92135181467658e-06 8.92135181467655e-06 8.9213518146765e-06
4608 4.5 9.95030515558593e-06 9.95030515558175e-06 9.95030515558214e-06
5120 5 1.23349849075533e-05 1.23349849075541e-05 1.23349849075536e-05
5632 5.5 1.66946246498261e-05 1.66946246498243e-05 1.66946246498237e-05
6144 6 2.16201340600702e-05 2.16201340600668e-05 2.16201340600607e-05
6656 6.5 2.77916521055405e-05 2.77916521055303e-05 2.77916521055171e-05
7168 7 3.55318730853258e-05 3.55318730853122e-05 3.55318730852992e-05
7680 7.5 4.41113367183169e-05 4.4111336718321e-05 4.4111336718324e-05
8192 8 5.14509897724674e-05 5.14509897724808e-05 5.14509897725111e-05
8704 8.5 5.51280358141001e-05 5.51280358140848e-05 5.51280358141323e-05
9216 9 5.46412521314729e-05 5.46412521314552e-05 5.46412521314965e-05
9728 9.5 5.29167157394714e-05 5.2916715739506e-05 5.29167157395266e-05
10240 10 5.4576261574536e-05 5.45762615746077e-05 5.45762615745852e-05
10752 10.5 6.15267335705063e-05 6.15267335705297e-05 6.15267335704695e-05
11264 11 7.03798188856491e-05 7.03798188856071e-05 7.03798188855977e-05
11776 11.5 7.54400497456692e-05 7.54400497456419e-05 7.54400497457052e-05
12288 12 7.46516290882599e-05 7.46516290882813e-05 7.46516290883226e-05
12800 12.5 7.15564096061548e-05 7.15564096062146e-05 7.15564096061553e-05
13312 13 7.07635060023061e-05 7.07635060023879e-05 7.07635060022744e-05
13824 13.5 7.26740553114787e-05 7.26740553115093e-05 7.26740553114564e-05
14336 14 7.40104244083775e-05 7.40104244082719e-05 7.40104244083456e-05
14848 14.5 7.27441786792007e-05 7.27441786790344e-05 7.27441786791721e-05
15360 15 7.04359162227952e-05 7.04359162227336e-05 7.04359162228285e-05
15872 15.5 6.93151552142767e-05 6.93151552143218e-05 6.93151552143478e-05
16384 16 6.89191183797702e-05 6.89191183797869e-05 6.89191183797953e-05
16896 16.5 6.70831840163672e-05 6.70831840163594e-05 6.70831840163597e-05
17408 17 6.33251010662234e-05 6.33251010662725e-05 6.33251010662819e-05
17920 17.5 5.94854458517797e-05 5.94854458517658e-05 5.94854458518394e-05
18432 18 5.70528952927952e-05 5.70528952926071e-05 5.70528952927172e-05
18944 18.5 5.54099617102606e-05 5.54099617100974e-05 5.5409961710133e-05
19456 19 5.32725128582958e-05 5.32725128583605e-05 5.32725128582915e-05
19968 19.5 5.06958169142802e-05 5.06958169144595e-05 5.06958169143615e-05
20480 20 4.87499794507367e-05 4.87499794508409e-05 4.8749979450789e-05
20992 20.5 4.78069301539948e-05 4.78069301540789e-05 4.78069301540851e-05
21504 21 4.69849176010022e-05 4.69849176011534e-05 4.69849176011477e-05
22016 21.5 4.50742442117279e-05 4.5074244211796e-05 4.50742442117213e-05
22528 22 4.14274089751183e-05 4.14274089749497e-05 4.14274089748732e-05
23040 22.5 3.60462351618529e-05 3.60462351616602e-05 3.60462351616717e-05
23552 23 2.9310880600906e-05 2.93108806009515e-05 2.93108806010286e-05
24064 23.5 2.1826284084069e-05 2.18262840842308e-05 2.18262840842207e-05
24576 24 1.44622107211204e-05 1.44622107211822e-05 1.44622107210157e-05
25088 24.5 8.38986082210001e-06 8.38986082214318e-06 8.38986082198841e-06
25600 25 5.64998106763125e-06 5.64998106753857e-06 5.64998106745586e-06
26112 25.5 5.20857906373562e-06 5.20857906370379e-06 5.20857906370832e-06
26624 26 5.37635480815678e-06 5.37635480808127e-06 5.37635480822288e-06
27136 26.5 5.90863671042704e-06 5.90863671046922e-06 5.90863671046367e-06
27648 27 6.38985178291157e-06 6.38985178281804e-06 6.38985178262101e-06
28160 27.5 6.56719291447101e-06 6.56719291445357e-06 6.56719291449317e-06
28672 28 6.4633861288137e-06 6.46338612905098e-06 6.46338612918942e-06
29184 28.5 6.2878978238607e-06 6.28789782390281e-06 6.28789782402114e-06
29696 29 6.15237433540323e-06 6.15237433564586e-06 6.15237433535854e-06
30208 29.5 5.89901374054927e-06 5.89901374065703e-06 5.89901374050208e-06
30720 30 5.35817754624367e-06 5.35817754618134e-06 5.35817754633585e-06
31232 30.5 4.69312446017944e-06 4.6931244601601e-06 4.69312446021031e-06
31744 31 4.26704606758548e-06 4.2670460676391e-06 4.26704606760094e-06
32256 31.5 4.21703490069195e-06 4.21703490056999e-06 4.21703490032725e-06
32768 32 4.36116845155614e-06 4.36116845153868e-06 4.36116845159606e-06
33280 32.5 4.47326978508892e-06 4.47326978525136e-06 4.47326978525077e-06
33792 33 4.47561772239573e-06 4.47561772239305e-06 4.47561772241743e-06
34304 33.5 4.42357459410028e-06 4.4235745940784e-06 4.42357459388179e-06
34816 34 4.43517527574812e-06 4.43517527570826e-06 4.43517527552589e-06
35328 34.5 4.56677872836221e-06 4.5667787285152e-06 4.56677872847636e-06
35840 35 4.69685521570236e-06 4.69685521595675e-06 4.69685521592234e-06
36352 35.5 4.65549195403978e-06 4.6554919541372e-06 4.65549195413739e-06
36864 36 4.48715849901947e-06 4.48715849899468e-06 4.48715849884854e-06
37376 36.5 4.40105412772883e-06 4.40105412756497e-06 4.40105412761202e-06
37888 37 4.44482353263572e-06 4.44482353269558e-06 4.44482353302867e-06
38400 37.5 4.44206615843629e-06 4.44206615872196e-06 4.44206615892198e-06
38912 38 4.27663998589091e-06 4.27663998625559e-06 4.27663998602334e-06
39424 38.5 4.03139825499266e-06 4.03139825492284e-06 4.0313982551817e-06
39936 39 3.81879995933827e-06 3.81879995928256e-06 3.81879995938592e-06
40448 39.5 3.64429043950406e-06 3.64429043919171e-06 3.64429043945022e-06
40960 40 3.48240927230513e-06 3.48240927230838e-06 3.4824092720265e-06
41472 40.5 3.31684124163946e-06 3.31684124209422e-06 3.31684124186816e-06
41984 41 3.07096920295413e-06 3.07096920326219e-06 3.07096920352742e-06
42496 41.5 2.68652213158443e-06 2.68652213133127e-06 2.68652213151685e-06
43008 42 2.2576287698968e-06 2.25762876966531e-06 2.25762876950973e-06
43520 42.5 1.9427933411321e-06 1.9427933413566e-06 1.942793341027e-06
44032 43 1.75716927004713e-06 1.757169270272e-06 1.75716927022857e-06
44544 43.5 1.55417164639024e-06 1.55417164596227e-06 1.55417164646546e-06
45056 44 1.20410851203005e-06 1.20410851194301e-06 1.20410851203743e-06
45568 44.5 7.40163140303426e-07 7.40163140323411e-07 7.40163140280995e-07
46080 45 6.06731289079183e-07 6.06731289017308e-07 6.06731289085167e-07
46592 45.5 4.55097922104064e-07 4.55097922399522e-07 4.55097922293471e-07
47104 46 2.76951139507864e-07 2.7695113966588e-07 2.7695113960771e-07
47616 46.5 2.90292504951292e-07 2.90292505432733e-07 2.90292505190756e-07
48128 47 1.34699322801365e-07 1.34699323359711e-07 1.34699323125544e-07
48640 47.5 7.95804427563467e-08 7.9580443042745e-08 7.95804430320837e-08
49152 48 2.20751068649779e-07 2.2075106841077e-07 2.20751068680077e-07
49664 48.5 1.48800448144175e-07 1.48800448286245e-07 1.48800448214054e-07
50176 49 1.09037279562622e-07 1.09037279287407e-07 1.09037279652807e-07
50688 49.5 1.66441864930569e-07 1.66441864793313e-07 1.66441865139891e-07
51200 50 9.59159403618331e-08 9.59159404567425e-08 9.59159402498327e-08
51712 50.5 6.24646914367519e-08 6.2464690804622e-08 6.24646912835776e-08
52224 51 8.80193244769473e-08 8.80193242032292e-08 8.80193243728036e-08
52736 51.5 5.81398206338611e-08 5.81398204544527e-08 5.81398205994882e-08
53248 52 1.19365728563477e-07 1.19365728547087e-07 1.19365728416466e-07
53760 52.5 1.38848542135087e-07 1.38848542260298e-07 1.38848542311339e-07
54272 53 1.67493567390818e-08 1.67493570514841e-08 1.67493569481142e-08
54784 53.5 2.03454599223501e-06 2.03454599209952e-06 2.03454599165483e-06
55296 54 4.33470143950638e-06 4.33470143895699e-06 4.33470143852317e-06
55808 54.5 6.51354336842612e-06 6.51354336841978e-06 6.51354336859149e-06
56320 55 9.24077389356981e-06 9.24077389410107e-06 9.24077389440138e-06
56832 55.5 1.26183381033393e-05 1.26183381035139e-05 1.26183381032485e-05
57344 56 1.61391456310359e-05 1.61391456309592e-05 1.6139145630382e-05
57856 56.5 1.94865716037261e-05 1.94865716039475e-05 1.94865716039102e-05
58368 57 2.28184455045579e-05 2.28184455044825e-05 2.28184455050809e-05
