# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 3.14181399345398 0 0.301564455032349 0 3.0348072052002 0 0 0 0 0 0 0 0 0 27.4623757331357 40154.2183027264 0 40154.2183027264 160 427319 2231 425088 0 0 0 0 3.13922309875488 1716973077.4975 266
512 0.5 1873.75278342266 1873.75278342266 4.32561111450195 0.960638999938965 1.26592063903809 0 3.06297159194946 3 249134.170083877 249134.170083877 239328 239328 122318.581701832 122318.581701832 117504 117504 59.4831410103363 143968.15741083 5036.45715917188 138931.700251658 186 440695 15607 425088 0 0 0 0 4.30771708488464 1716973078.6813 905
1024 1 1838.59878982054 1838.59878982054 5.32298493385315 1.95801281929016 2.14677119255066 0 3.24728727340698 6 244460.095094539 244460.095094539 478656 478656 120023.728999485 120023.728999485 235008 235008 76.8210265030657 140762.252296238 5295.29854407812 135466.95375216 284 455924 17012 438912 0 0 0 0 5.29319095611572 1716973079.67867 1544
1536 1.5 1803.23690668832 1803.23690668832 6.35958695411682 2.99461483955383 3.09347152709961 0 3.2696704864502 9 239758.379113279 239758.379113279 717984 717984 117715.305268614 117715.305268614 352512 352512 93.6892791567551 139957.086702677 5573.59358748226 134383.493115195 310 457316 18404 438912 0 0 0 0 6.31939506530762 1716973080.71527 2183
2048 2 1754.77983167495 1754.77983167495 7.46805095672607 4.10307884216309 4.0355589389801 0 3.57773733139038 12 233315.526419502 233315.526419502 957312 957312 114552.027411741 114552.027411741 470016 470016 119.446745361767 166817.285237567 5721.49910282863 161095.786134738 492 883827 19827 864000 0 0 0 0 7.41492223739624 1716973081.82374 2822
2560 2.5 1750.36387921816 1750.36387921816 8.50676012039185 5.14178800582886 4.91499662399292 0 3.59496903419495 15 232728.381380846 232728.381380846 1196640 1196640 114263.754035361 114263.754035361 587520 587520 143.10519067175 246402.916251951 5852.55683484603 240550.359417105 518 885220 21220 864000 0 0 0 0 8.4438533782959 1716973082.86245 3461
3072 3 1772.62186596417 1752.04416099157 9.45764207839966 6.09266996383667 5.7865879535675 0 3.73779964447021 18 235687.803298596 235687.803298596 1435968 1435968 115716.755410141 115716.755410141 705024 705024 156.903161983845 242884.460343054 6117.5889094326 236766.871433621 616 900475 22651 877824 0 0 0 0 9.38408470153809 1716973083.81333 4100
3584 3.5 1788.06544599567 1754.13035399706 10.4116940498352 7.04672193527222 6.65806078910828 0 3.75683617591858 21 237741.181699585 237741.181699585 1675296 1675296 116724.912314597 116724.912314597 822528 822528 169.968655882073 240212.332257889 6352.5119114546 233859.820346434 642 901870 24046 877824 0 0 0 0 10.3279047012329 1716973084.76738 4739
4096 4 1783.253238765 1757.95096556026 11.440101146698 8.07512903213501 7.52805614471436 0 4.05269503593445 24 237101.350626194 237101.350626194 1914624 1914624 116410.771426579 116410.771426579 940032 940032 189.670619745877 260005.188970025 6462.09335198893 253543.095618036 824 1328383 25471 1302912 0 0 0 0 11.3458194732666 1716973085.79579 5378
4608 4.5 1778.87292649317 1758.50012963812 12.471862077713 9.10688996315002 8.4052255153656 0 4.06997346878052 27 236518.944306532 236518.944306532 2153952 2153952 116124.824641474 116124.824641474 1057536 1057536 208.034326901261 326947.338326324 6556.76984928512 320390.568477039 850 1329776 26864 1302912 0 0 0 0 12.3673603534698 1716973086.82755 6017
5120 5 1790.88495380204 1760.89362605648 13.4158689975739 10.0508968830109 9.27352356910706 0 4.21596670150757 30 238116.06345752 238116.06345752 2393280 2393280 116908.969784197 116908.969784197 1175040 1175040 219.199488714797 322571.118964979 6784.80355763148 315786.315407348 948 1345034 28298 1316736 0 0 0 0 13.3006052970886 1716973087.77155 6656
5632 5.5 1798.23708833905 1763.01218318861 14.3757560253143 11.0107839107513 10.1456437110901 0 4.23347902297974 33 239093.603265561 239093.603265561 2632608 2632608 117388.917126773 117388.917126773 1292544 1292544 229.30833224883 318248.760316163 6971.91890173453 311276.841414428 974 1346429 29693 1316736 0 0 0 0 14.2498571872711 1716973088.73144 7295
6144 6 1792.35664865802 1765.7368946556 15.4161450862885 12.0511729717255 10.9977531433105 0 4.56389379501343 36 238311.740005571 238311.740005571 2871936 2871936 117005.042024396 117005.042024396 1410048 1410048 243.074859329059 330825.788853587 7001.18966339395 323824.599190193 1156 1772950 31126 1741824 0 0 0 0 15.2797708511353 1716973089.77183 7934
6656 6.5 1788.39428630529 1766.67955149103 16.4493350982666 13.0843629837036 11.871110200882 0 4.58145380020142 39 237784.904307152 237784.904307152 3111264 3111264 116746.379010009 116746.379010009 1527552 1527552 257.30496565884 387518.533878381 7060.15993632485 380458.373942056 1182 1774348 32524 1741824 0 0 0 0 16.302622795105 1716973090.80502 8573
7168 7 1795.48232686809 1768.37396563928 17.4001979827881 14.0352258682251 12.7455506324768 0 4.72340989112854 42 238727.330180381 238727.330180381 3350592 3350592 117209.086297949 117209.086297949 1645056 1645056 266.400418050376 382580.218430707 7254.68493284282 375325.533497864 1280 1789607 33959 1755648 0 0 0 0 17.2424781322479 1716973091.75588 9212
7680 7.5 1800.36176321364 1769.83431469617 18.361958026886 14.996985912323 13.6236820220947 0 4.74150919914246 45 239376.100036886 239376.100036886 3589920 3589920 117527.615902587 117527.615902587 1762560 1762560 274.783486374251 377944.847068674 7420.20936822757 370524.637700446 1306 1791005 35357 1755648 0 0 0 0 18.1935079097748 1716973092.71764 9851
8192 8 1797.55374802432 1771.60704871664 19.3867461681366 16.0217740535736 14.4911432266235 0 5.03582072257996 48 239002.746337313 239002.746337313 3829248 3829248 117344.308671027 117344.308671027 1880064 1880064 287.196493832781 389389.217788735 7475.8922317112 381913.325557024 1488 2217526 36790 2180736 0 0 0 0 19.2073721885681 1716973093.74243 10490
8704 8.5 1794.32929059575 1772.5096053237 20.4186980724335 17.0537259578705 15.3684275150299 0 5.0534815788269 51 238574.02247761 238574.02247761 4068576 4068576 117133.81609009 117133.81609009 1997568 1997568 298.993882176546 439327.353808285 7521.57722407833 431805.776584207 1514 2218922 38186 2180736 0 0 0 0 20.2290663719177 1716973094.77438 11129
9216 9 1799.6051939219 1773.74527694063 21.3689210414886 18.0039489269257 16.2392423152924 0 5.19346570968628 54 239275.506583856 239275.506583856 4307904 4307904 117478.227059222 117478.227059222 2115072 2115072 306.451940542026 433817.616810111 7685.66651136728 426131.950298744 1612 2234175 39615 2194560 0 0 0 0 21.1683676242828 1716973095.72461 11768
9728 9.5 1804.72810561897 1774.93613187508 22.3151950836182 18.9502229690552 17.1063747406006 0 5.21270632743835 57 239956.648923098 239956.648923098 4547232 4547232 117812.650734806 117812.650734806 2232576 2232576 313.698667336526 429151.487821329 7835.36334761667 421316.124473713 1638 2235573 41013 2194560 0 0 0 0 22.1042094230652 1716973096.67088 12407
10240 10 1803.30030770827 1776.36773361121 23.328369140625 19.963397026062 17.9579482078552 0 5.50733280181885 60 239766.808912892 239766.808912892 4786560 4786560 117719.444087196 117719.444087196 2350080 2350080 323.624539260023 437741.106224155 7866.42248882562 429874.683735329 1820 2662094 42446 2619648 0 0 0 0 23.1061625480652 1716973097.68406 13046
10752 10.5 1800.31446091313 1777.23663035384 24.3613040447235 20.9963319301605 18.8398473262787 0 5.52483677864075 63 239369.810723009 239369.810723009 5025888 5025888 117524.528008409 117524.528008409 2467584 2467584 333.607613702135 482360.387088238 7911.68023722262 474448.706851016 1846 2663540 43892 2619648 0 0 0 0 24.1287796497345 1716973098.71699 13685
11264 11 1802.94815014257 1778.22918981312 25.3289980888367 21.9640259742737 19.7226495742798 0 5.6694073677063 66 239719.986042956 239719.986042956 5265216 5265216 117696.455241307 117696.455241307 2585088 2585088 339.614990943974 476247.595572647 8058.36452776621 468189.231044881 1944 2678848 45376 2633472 0 0 0 0 25.0858223438263 1716973099.68468 14324
11776 11.5 1807.54168909471 1779.16766289994 26.2690081596375 22.9040360450745 20.5842628479004 0 5.68940114974976 69 240330.742982033 240330.742982033 5504544 5504544 117996.321464103 117996.321464103 2702592 2702592 345.837833040801 471452.607466254 8200.19146746185 463252.415998792 1970 2680297 46825 2633472 0 0 0 0 26.015394449234 1716973100.62469 14963
12288 12 1805.72363000632 1780.29928386718 27.2888989448547 23.9239268302917 21.441064119339 0 5.98296236991882 72 240089.01384564 240089.01384564 5743872 5743872 117877.638566813 117877.638566813 2820096 2820096 353.977166209963 478062.579298902 8227.14755725969 469835.431741642 2152 3106872 48312 3058560 0 0 0 0 27.0242233276367 1716973101.64458 15602
12800 12.5 1805.10983789303 1781.0566781541 28.294203042984 24.929230928421 22.2976031303406 0 5.99992704391479 75 240007.404046257 240007.404046257 5983200 5983200 117837.570217657 117837.570217657 2937600 2937600 362.538777252133 518311.88428075 8262.84906810762 510049.035212643 2178 3108317 49757 3058560 0 0 0 0 28.0197954177856 1716973102.64989 16241
13312 13 1809.19678051731 1781.97665712964 29.2328050136566 25.8678328990936 23.1522386074066 0 6.15295219421387 78 240550.803937582 240550.803937582 6222528 6222528 118104.36583217 118104.36583217 3055104 3055104 367.728900666506 512251.9502128 8393.62595358548 503858.324259215 2276 3123623 51239 3072384 0 0 0 0 28.9478795528412 1716973103.58849 16880
13824 13.5 1812.43242239246 1782.86651274679 30.1797649860382 26.8147928714752 24.0100977420807 0 6.1734471321106 81 240981.014881302 240981.014881302 6461856 6461856 118315.58853378 118315.58853378 3172608 3172608 372.467413416927 506487.283096254 8505.15885624014 497982.124240014 2302 3125066 52682 3072384 0 0 0 0 29.8845093250275 1716973104.53545 17519
14336 14 1811.94603220032 1783.89789044524 31.180370092392 27.815397977829 24.8590922355652 0 6.4619677066803 84 240916.344441354 240916.344441354 6701184 6701184 118283.836982037 118283.836982037 3290112 3290112 379.986460713148 512616.922304796 8536.56510949329 504080.357195302 2484 3551634 54162 3497472 0 0 0 0 30.8746123313904 1716973105.53606 18158
14848 14.5 1810.68404194235 1784.63937704608 32.1938560009003 28.8288838863373 25.7174618244171 0 6.47962117195129 87 240748.550216655 240748.550216655 6940512 6940512 118201.454257997 118201.454257997 3407616 3407616 386.943711533139 548587.825753574 8553.98829817413 540033.8374554 2510 3553080 55608 3497472 0 0 0 0 31.8778235912323 1716973106.54954 18797
15360 15 1810.73931484127 1785.42300314215 33.1870450973511 29.8220729827881 26.6345417499542 0 6.61966300010681 90 240755.899301295 240755.899301295 7179840 7179840 118205.062472838 118205.062472838 3525120 3525120 391.911283955346 543233.450069754 8681.1096437819 534552.340425972 2608 3568380 57084 3511296 0 0 0 0 32.860518693924 1716973107.54273 19436
15872 15.5 1814.25524471817 1786.14787265096 34.1213941574097 30.7564220428467 27.4835782051086 0 6.64106202125549 93 241223.377337727 241223.377337727 7419168 7419168 118434.582375202 118434.582375202 3642624 3642624 396.214661403545 537769.806462106 8786.17310559549 528983.63335651 2634 3569825 58529 3511296 0 0 0 0 33.7845296859741 1716973108.47708 20075
16384 16 1811.73147710629 1786.99599261968 35.157763004303 31.79279088974 28.3701581954956 0 6.93630623817444 96 240887.817196052 240887.817196052 7658496 7658496 118269.830825499 118269.830825499 3760128 3760128 402.793043645153 542923.476513876 8811.06099789394 534112.415515982 2816 3996391 60007 3936384 0 0 0 0 34.7965319156647 1716973109.51345 20714
16896 16.5 1809.43146914327 1787.56322960538 36.1929631233215 32.8279910087585 29.2414355278015 0 6.95480465888977 99 240582.008137289 240582.008137289 7897824 7897824 118119.686305673 118119.686305673 3877632 3877632 408.255590012903 575071.442221751 8809.71831852719 566261.723903224 2842 3997834 61450 3936384 0 0 0 0 35.8350579738617 1716973110.54865 21353
17408 17 1812.32391592783 1788.19070959624 37.1337699890137 33.7687978744507 30.1025633811951 0 7.09379768371582 102 240966.587861765 240966.587861765 8137152 8137152 118308.505231769 118308.505231769 3995136 3995136 412.446989791943 569504.243488916 8922.22395089922 560582.019538017 2940 4013141 62933 3950208 0 0 0 0 36.7650997638702 1716973111.48946 21992
17920 17.5 1814.69107161875 1788.79964049084 38.0816249847412 34.7166528701782 30.973700761795 0 7.11113023757935 105 241281.32488243 241281.32488243 8376480 8376480 118463.033155272 118463.033155272 4112640 4112640 416.718004735886 564774.591580561 9027.53011812546 555747.061462436 2966 4014584 64376 3950208 0 0 0 0 37.7026851177216 1716973112.43731 22631
18432 18 1813.40728119413 1789.50401953458 39.09880900383 35.733836889267 31.8458025455475 0 7.39327239990234 108 241110.632107571 241110.632107571 8615808 8615808 118379.227316353 118379.227316353 4230144 4230144 422.721256024641 569406.359108354 9051.69468379965 560354.664424554 3148 4441148 65852 4375296 0 0 0 0 38.7085456848145 1716973113.45449 23270
18944 18.5 1812.27083445867 1790.01294225421 40.1144461631775 36.7494740486145 32.7053127288818 0 7.41315269470215 111 240959.530149625 240959.530149625 8855136 8855136 118305.040073462 118305.040073462 4347648 4347648 427.850305047361 599582.804034398 9055.44495789988 590527.359076498 3174 4442596 67300 4375296 0 0 0 0 39.7134602069855 1716973114.47013 23909
19456 19 1814.48523031667 1790.58190090005 41.0616140365601 37.6966419219971 33.5704481601715 0 7.55351448059082 114 241253.956222905 241253.956222905 9094464 9094464 118449.595835072 118449.595835072 4465152 4465152 431.441521030386 593908.488133074 9155.71769892051 584752.770434154 3272 4457908 68788 4389120 0 0 0 0 40.6503381729126 1716973115.4173 24548
19968 19.5 1816.68194110608 1791.12561465254 42.0068490505219 38.6418769359589 34.4380989074707 0 7.57192993164062 117 241546.030889464 241546.030889464 9333792 9333792 118592.997115405 118592.997115405 4582656 4582656 435.210561551462 589152.755173711 9252.51840481144 579900.236768899 3298 4459359 70239 4389120 0 0 0 0 41.5850784778595 1716973116.36253 25187
20480 20 1815.33897865754 1791.74717181143 43.0269861221313 39.6620140075684 35.3126685619354 0 7.85545492172241 120 241367.470602306 241367.470602306 9573120 9573120 118505.328526764 118505.328526764 4700160 4700160 440.479663104989 593013.311197396 9271.72098398597 583741.59021341 3480 4885933 71725 4814208 0 0 0 0 42.5945584774017 1716973117.38267 25826
20992 20.5 1812.99176529782 1792.19925191508 44.0711691379547 40.7061970233917 36.2014224529266 0 7.87298345565796 123 241055.385113999 241055.385113999 9812448 9812448 118352.102438642 118352.102438642 4817664 4817664 444.99526352766 621008.2986912 9272.21712724539 611736.081563955 3506 4887387 73179 4814208 0 0 0 0 43.6284432411194 1716973118.42686 26465
21504 21 1813.79430061351 1792.67365536608 45.0455529689789 41.6805808544159 37.0954701900482 0 8.04424381256104 126 241162.090209572 241162.090209572 10051776 10051776 118404.49194405 118404.49194405 4935168 4935168 448.297218922717 615572.835665273 9366.31756808144 606206.518097191 3604 4902696 74664 4828032 0 0 0 0 44.5918219089508 1716973119.40124 27104
22016 21.5 1810.09168743384 1793.04874051684 46.1252369880676 42.7602648735046 38.0669226646423 0 8.06181168556213 129 240669.790761203 240669.790761203 10291104 10291104 118162.785355681 118162.785355681 5052672 5052672 449.970037711153 608556.430436622 9419.71198360189 599136.71845302 3630 4904146 76114 4828032 0 0 0 0 45.6603887081146 1716973120.48092 27743
22528 22 1806.80042622772 1793.39491048527 47.1993651390076 43.8343930244446 38.9907903671265 0 8.3782947063446 132 240232.184671238 240232.184671238 10530432 10530432 117947.931824146 117947.931824146 5170176 5170176 454.402877924351 611492.511123185 9429.40792415567 602063.103199029 3812 5330723 77603 5253120 0 0 0 0 46.7232506275177 1716973121.55505 28382
23040 22.5 1801.9114744155 1793.52314284177 48.3172359466553 44.9522638320923 39.9239816665649 0 8.39648342132568 135 239582.149638285 239582.149638285 10769760 10769760 117628.781049844 117628.781049844 5287680 5287680 456.795406412819 635268.254966132 9394.21079938393 625874.044166748 3838 5332175 79055 5253120 0 0 0 0 47.830073595047 1716973122.67292 29021
23552 23 1802.49162925325 1793.70144163598 49.3013851642609 45.9364130496979 40.8205809593201 0 8.55036735534668 138 239659.287025512 239659.287025512 11009088 11009088 117666.653557652 117666.653557652 5405184 5405184 459.390395751649 629497.376780587 9473.15821218877 620024.218568398 3936 5347481 80537 5266944 0 0 0 0 48.8026516437531 1716973123.65707 29660
24064 23.5 1802.10969536044 1793.83134082836 50.3099501132965 46.9449779987335 41.7426853179932 0 8.57141804695129 141 239608.505095123 239608.505095123 11248416 11248416 117641.720913129 117641.720913129 5522688 5522688 461.991089871509 624321.312320383 9545.87046788068 614775.441852502 3962 5348933 81989 5266944 0 0 0 0 49.8004720211029 1716973124.66564 30299
24576 24 1791.92112308283 1793.87620110388 51.5813801288605 48.2164080142975 42.7689771652222 0 8.96828699111938 144 238253.832525093 238253.832525093 11487744 11487744 116976.610914847 116976.610914847 5640192 5640192 460.941245737469 620065.607819642 9449.8629197522 610615.74489989 4144 5775509 83477 5692032 0 0 0 0 51.0604059696198 1716973125.93707 30938
25088 24.5 1786.75566184691 1793.66812688467 52.7281849384308 49.3632128238678 43.7444915771484 0 8.98730802536011 147 237567.032799166 237567.032799166 11727072 11727072 116639.409605367 116639.409605367 5757696 5757696 463.729095869913 643026.065971537 9430.08588929702 633595.98008224 4170 5776955 84923 5692032 0 0 0 0 52.1960217952728 1716973127.08387 31577
25600 25 1787.79934564827 1793.53673411333 53.7061920166016 50.3412199020386 44.6429286003113 0 9.12650942802429 150 237705.800997393 237705.800997393 11966400 11966400 116707.541283919 116707.541283919 5875200 5875200 466.498633637924 638117.169760827 9511.80563118688 628605.36412964 4268 5792265 86409 5705856 0 0 0 0 53.162757396698 1716973128.06188 32216
26112 25.5 1788.66676170617 1793.40550800319 54.6881151199341 51.3231430053711 45.5468854904175 0 9.14501237869263 153 237821.132636453 237821.132636453 12205728 12205728 116764.166204179 116764.166204179 5992704 5992704 469.302290158842 633777.537027737 9588.42557865326 624189.111449083 4294 5793715 87859 5705856 0 0 0 0 54.1340854167938 1716973129.0438 32855
26624 26 1785.88311476723 1793.26858772569 55.7760169506073 52.4110448360443 46.4709529876709 0 9.44791197776794 156 237451.018939452 237451.018939452 12445056 12445056 116582.449732005 116582.449732005 6110208 6110208 472.215990938055 635036.043119824 9580.48223581129 625455.560884013 4476 6220291 89347 6130944 0 0 0 0 55.2102315425873 1716973130.1317 33494
