# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713103
512 0.5 -0.000141556953313485
1024 1 -0.000215464804303011
1536 1.5 -0.000312357772078752
2048 2 -0.000408666146204612
2560 2.5 -0.000493514224306563
3072 3 -0.00056519591856661
3584 3.5 -0.000627460312596416
4096 4 -0.000689681144186492
4608 4.5 -0.000757156284157366
5120 5 -0.000825708787526778
5632 5.5 -0.00088603286819886
6144 6 -0.000933647366473901
6656 6.5 -0.000973229011006951
7168 7 -0.00101219411342039
7680 7.5 -0.00105298084521728
8192 8 -0.00109434887927807
8704 8.5 -0.00113562319734359
9216 9 -0.00117420443578341
9728 9.5 -0.0012049267855282
10240 10 -0.00123006141848904
10752 10.5 -0.00126217379574137
11264 11 -0.00130586111842253
11776 11.5 -0.00134594914067715
12288 12 -0.00136868580569494
12800 12.5 -0.00138619184454985
13312 13 -0.00142244436538735
13824 13.5 -0.00147946174809535
14336 14 -0.00153378659003183
14848 14.5 -0.00156718064534398
15360 15 -0.00158904233028589
15872 15.5 -0.00162330235928736
16384 16 -0.00167814713223433
16896 16.5 -0.00173700931596521
17408 17 -0.00178255883961103
17920 17.5 -0.00182020285268085
18432 18 -0.00186619438298127
18944 18.5 -0.00191969814799137
19456 19 -0.00196577365784399
19968 19.5 -0.00200488126117707
20480 20 -0.00205645498498566
20992 20.5 -0.00212586097103093
21504 21 -0.00218917046276977
22016 21.5 -0.00222565391493277
22528 22 -0.00225005145943136
23040 22.5 -0.00229367765824163
23552 23 -0.00236180415642879
24064 23.5 -0.0024297328042157
24576 24 -0.00247901199637904
25088 24.5 -0.00251762955514427
25600 25 -0.00256039343811547
26112 25.5 -0.00260802183248538
26624 26 -0.00265605125006884
27136 26.5 -0.00270977890663031
27648 27 -0.00277496740474151
28160 27.5 -0.00284137286459329
28672 28 -0.00289146515388326
29184 28.5 -0.00292465111123713
29696 29 -0.00296072733737895
30208 29.5 -0.00301715579793236
30720 30 -0.00309063215899867
31232 30.5 -0.00316294513094188
31744 31 -0.00321955210164812
32256 31.5 -0.00326109802603899
32768 32 -0.00330102784905594
33280 32.5 -0.00335359378624885
33792 33 -0.00342176552959682
34304 33.5 -0.0034950331074911
34816 34 -0.00355809616284686
35328 34.5 -0.00360494442246371
35840 35 -0.00364237255136751
36352 35.5 -0.00368490478683443
36864 36 -0.00374311323268589
37376 36.5 -0.00381237102011326
37888 37 -0.00387500802445233
38400 37.5 -0.00391889253586937
38912 38 -0.00395244987347026
39424 38.5 -0.00399473977128604
39936 39 -0.0040518844057606
40448 39.5 -0.00411148736867888
40960 40 -0.00416075660869705
41472 40.5 -0.00420123056009217
41984 41 -0.00424218774650446
42496 41.5 -0.0042871310966108
43008 42 -0.00433301896673202
43520 42.5 -0.00437860253503459
44032 43 -0.00442613642800607
44544 43.5 -0.00447476557574928
45056 44 -0.00451836230051324
45568 44.5 -0.0045534443231057
46080 45 -0.00458609379497187
46592 45.5 -0.00462623357065623
47104 46 -0.00467530226962161
47616 46.5 -0.00472359010150646
48128 47 -0.0047613116737651
48640 47.5 -0.00479001453619529
49152 48 -0.00482088842714942
49664 48.5 -0.00486198366878465
50176 49 -0.00490881644582288
50688 49.5 -0.00494946110917108
51200 50 -0.00497902114583735
51712 50.5 -0.00500546930067596
52224 51 -0.00503847367718687
52736 51.5 -0.00507676973181318
53248 52 -0.00511187516790151
53760 52.5 -0.00514155754033632
54272 53 -0.00517198480849374
54784 53.5 -0.00520625538610954
55296 54 -0.00523865233213149
55808 54.5 -0.005264124199374
56320 55 -0.00528782994695534
56832 55.5 -0.00531890339579168
57344 56 -0.00535655894428681
57856 56.5 -0.00538933118266725
58368 57 -0.00541040456560504
58880 57.5 -0.00542811268266634
59392 58 -0.00545557857640602
59904 58.5 -0.00549276712973668
