# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.90741394939631e-05 1.90741394939632e-05 1.90741394939634e-05
1024 1 3.1585349474466e-05 3.15853494744685e-05 3.1585349474471e-05
1536 1.5 4.1486099579016e-05 4.14860995790328e-05 4.14860995790497e-05
2048 2 2.20730770721214e-05 2.20730770721213e-05 2.20730770721193e-05
2560 2.5 2.78416091896512e-05 2.78416091896477e-05 2.78416091896414e-05
3072 3 4.09253680015932e-05 4.09253680015929e-05 4.09253680015926e-05
3584 3.5 4.45472275688756e-05 4.45472275688636e-05 4.45472275688445e-05
4096 4 2.65665676259395e-05 2.65665676259461e-05 2.65665676259461e-05
4608 4.5 4.30940377037741e-05 4.30940377038292e-05 4.30940377037582e-05
5120 5 4.40923215182506e-05 4.40923215183714e-05 4.40923215183696e-05
5632 5.5 3.50130279737184e-05 3.50130279735526e-05 3.50130279735871e-05
6144 6 4.05719696862156e-05 4.05719696861226e-05 4.0571969686207e-05
6656 6.5 3.23237157928861e-05 3.2323715792586e-05 3.23237157923819e-05
7168 7 3.23908555753328e-05 3.23908555750526e-05 3.2390855574962e-05
7680 7.5 3.11192682360429e-05 3.11192682358342e-05 3.11192682359123e-05
8192 8 2.9878153627236e-05 2.98781536267489e-05 2.98781536267707e-05
8704 8.5 3.83368363484366e-05 3.83368363488066e-05 3.83368363476538e-05
9216 9 2.67649008393002e-05 2.67649008392875e-05 2.67649008390165e-05
9728 9.5 3.07452330204718e-05 3.0745233020197e-05 3.07452330191258e-05
10240 10 2.33165973048922e-05 2.3316597303626e-05 2.33165973040487e-05
10752 10.5 2.6443317229413e-05 2.64433172283732e-05 2.64433172288095e-05
11264 11 3.69722904016791e-05 3.69722904004831e-05 3.6972290400963e-05
11776 11.5 3.58356730948566e-05 3.58356730940672e-05 3.5835673093947e-05
12288 12 3.88965747862324e-05 3.88965747869881e-05 3.8896574787477e-05
12800 12.5 3.92324760848959e-05 3.92324760842254e-05 3.92324760831015e-05
13312 13 4.10413152447367e-05 4.10413152461802e-05 4.1041315245258e-05
13824 13.5 3.56524516180128e-05 3.56524516195728e-05 3.56524516197855e-05
14336 14 2.23101749753219e-05 2.23101749777335e-05 2.2310174973447e-05
14848 14.5 2.47440779848518e-05 2.47440779832859e-05 2.47440779847071e-05
15360 15 2.44284913716336e-05 2.44284913715068e-05 2.44284913702172e-05
15872 15.5 2.52634481113203e-05 2.52634481137133e-05 2.52634481137373e-05
16384 16 2.93031069466165e-05 2.93031069484294e-05 2.9303106947257e-05
16896 16.5 4.38459955140302e-05 4.38459955146057e-05 4.38459955130245e-05
17408 17 5.1301034145285e-05 5.13010341438201e-05 5.1301034143442e-05
17920 17.5 5.1444850624774e-05 5.14448506215792e-05 5.14448506231753e-05
18432 18 5.75158542906116e-05 5.75158542907856e-05 5.75158542911404e-05
18944 18.5 5.01191237153482e-05 5.01191237159623e-05 5.0119123717087e-05
19456 19 3.21518954645519e-05 3.21518954646413e-05 3.21518954660505e-05
19968 19.5 3.12762867445469e-05 3.12762867426397e-05 3.12762867393394e-05
20480 20 3.62504054423774e-05 3.62504054415065e-05 3.62504054417404e-05
20992 20.5 3.90505886810792e-05 3.90505886804459e-05 3.90505886799187e-05
21504 21 4.5488405293956e-05 4.54884052906272e-05 4.54884052924296e-05
22016 21.5 5.46884987021516e-05 5.46884986993379e-05 5.46884987010616e-05
22528 22 5.82782604760954e-05 5.82782604758399e-05 5.82782604752723e-05
23040 22.5 5.51081801769024e-05 5.5108180176269e-05 5.51081801745524e-05
23552 23 4.42976025419189e-05 4.42976025417817e-05 4.42976025416438e-05
24064 23.5 3.6316290487574e-05 3.6316290489549e-05 3.63162904920901e-05
24576 24 3.82486472689352e-05 3.82486472721905e-05 3.8248647270698e-05
25088 24.5 4.35954020932762e-05 4.35954020951099e-05 4.35954020935492e-05
25600 25 4.51918222452698e-05 4.51918222498653e-05 4.5191822246101e-05
26112 25.5 4.39022075645493e-05 4.39022075619137e-05 4.39022075614584e-05
26624 26 4.24919941080479e-05 4.24919941099143e-05 4.24919941068938e-05
27136 26.5 3.93397685392918e-05 3.93397685410146e-05 3.93397685385232e-05
27648 27 4.14551949518189e-05 4.14551949508045e-05 4.14551949489111e-05
28160 27.5 4.9017675727949e-05 4.90176757280907e-05 4.90176757260399e-05
28672 28 5.62905687672833e-05 5.62905687701229e-05 5.62905687698863e-05
29184 28.5 5.89884664571748e-05 5.89884664576624e-05 5.89884664607757e-05
29696 29 5.71528769049849e-05 5.71528769024648e-05 5.71528769056299e-05
30208 29.5 5.16215301526649e-05 5.16215301525275e-05 5.16215301521747e-05
30720 30 4.27491356307342e-05 4.27491356332564e-05 4.27491356304277e-05
31232 30.5 3.40059158795756e-05 3.4005915880217e-05 3.40059158784146e-05
31744 31 3.89980042703961e-05 3.89980042696581e-05 3.8998004268171e-05
32256 31.5 4.57509054139526e-05 4.57509054152711e-05 4.57509054127962e-05
32768 32 4.90249345476321e-05 4.90249345486647e-05 4.90249345469037e-05
33280 32.5 4.47623458104133e-05 4.47623458107857e-05 4.47623458103181e-05
33792 33 4.10235513064045e-05 4.10235513075149e-05 4.10235513061571e-05
34304 33.5 4.46214990879898e-05 4.46214990879719e-05 4.46214990906835e-05
34816 34 5.00034478047247e-05 5.00034478022394e-05 5.00034478055725e-05
35328 34.5 5.05663604062797e-05 5.05663604035881e-05 5.05663604044426e-05
35840 35 4.52348073755407e-05 4.52348073763229e-05 4.52348073750031e-05
36352 35.5 4.00571072073268e-05 4.00571072108257e-05 4.00571072079945e-05
36864 36 4.04885917807503e-05 4.04885917831349e-05 4.04885917808282e-05
37376 36.5 4.54693259380733e-05 4.54693259386666e-05 4.54693259390795e-05
37888 37 4.92319941788557e-05 4.92319941781821e-05 4.923199418161e-05
38400 37.5 4.7114654552812e-05 4.71146545504333e-05 4.71146545539232e-05
38912 38 3.93034010558398e-05 3.93034010532378e-05 3.93034010532617e-05
39424 38.5 3.9066523790929e-05 3.90665237911288e-05 3.90665237928146e-05
39936 39 3.57018935824074e-05 3.57018935818583e-05 3.57018935792117e-05
40448 39.5 3.70000487691211e-05 3.70000487701875e-05 3.70000487724537e-05
40960 40 4.31155207414659e-05 4.31155207401474e-05 4.31155207418342e-05
41472 40.5 5.05820495534504e-05 5.05820495518034e-05 5.0582049556005e-05
41984 41 4.75386747992793e-05 4.75386747994491e-05 4.75386747989493e-05
42496 41.5 4.19818535632473e-05 4.19818535617428e-05 4.1981853563046e-05
43008 42 5.60173123173067e-05 5.6017312314209e-05 5.60173123177897e-05
43520 42.5 6.13923091445935e-05 6.1392309144297e-05 6.13923091454927e-05
44032 43 6.06584040221345e-05 6.0658404025695e-05 6.06584040264569e-05
44544 43.5 6.04553205593968e-05 6.04553205632036e-05 6.0455320565343e-05
45056 44 6.29402002634586e-05 6.29402002644125e-05 6.29402002646396e-05
45568 44.5 6.3906638982901e-05 6.39066389815519e-05 6.39066389773851e-05
46080 45 5.9905752579286e-05 5.99057525764625e-05 5.99057525723934e-05
46592 45.5 5.36855384273241e-05 5.36855384230121e-05 5.36855384238535e-05
47104 46 5.40568471374191e-05 5.40568471423839e-05 5.40568471396029e-05
47616 46.5 5.59559288398334e-05 5.59559288408739e-05 5.59559288399048e-05
48128 47 5.30845792410255e-05 5.30845792402721e-05 5.30845792386658e-05
48640 47.5 5.30024010278713e-05 5.30024010392229e-05 5.30024010357055e-05
49152 48 4.77265767976518e-05 4.77265768019548e-05 4.77265767950152e-05
49664 48.5 4.48495755668417e-05 4.48495755694862e-05 4.48495755683725e-05
50176 49 5.68131309779103e-05 5.68131309836146e-05 5.68131309786577e-05
50688 49.5 6.88063936801532e-05 6.88063936812068e-05 6.88063936835291e-05
51200 50 7.24246137545182e-05 7.24246137485604e-05 7.24246137569991e-05
51712 50.5 6.70441990399769e-05 6.70441990318923e-05 6.70441990384428e-05
52224 51 5.57869952502034e-05 5.57869952463083e-05 5.57869952454854e-05
52736 51.5 4.51515953272534e-05 4.51515953257323e-05 4.51515953269918e-05
53248 52 4.25443734671626e-05 4.25443734682899e-05 4.25443734671718e-05
53760 52.5 4.13303298302495e-05 4.13303298295109e-05 4.13303298305918e-05
54272 53 3.86173982673789e-05 3.86173982641497e-05 3.86173982666164e-05
54784 53.5 3.62191529991461e-05 3.62191529969247e-05 3.62191530031718e-05
55296 54 4.56607273823365e-05 4.56607273767185e-05 4.56607273820229e-05
55808 54.5 5.50352631803282e-05 5.50352631768372e-05 5.50352631789086e-05
56320 55 5.63288596634954e-05 5.63288596652008e-05 5.63288596637498e-05
