# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.21006791327878e-05 -2.2100679132792e-05 -2.2100679132792e-05
1024 1 -3.62287541966523e-05 -3.62287541966539e-05 -3.62287541966554e-05
1536 1.5 -4.92643348479751e-05 -4.92643348479717e-05 -4.92643348479682e-05
2048 2 -3.42753664049646e-05 -3.42753664049547e-05 -3.42753664049448e-05
2560 2.5 -2.94572666535745e-05 -2.94572666535807e-05 -2.94572666535869e-05
3072 3 -5.28675849749369e-05 -5.28675849749588e-05 -5.28675849749805e-05
3584 3.5 -4.69655787401315e-05 -4.69655787401341e-05 -4.69655787401292e-05
4096 4 -2.92958046885749e-05 -2.92958046885669e-05 -2.92958046885442e-05
4608 4.5 -2.67109341865922e-05 -2.67109341866055e-05 -2.67109341865827e-05
5120 5 -3.5709416444182e-05 -3.57094164441007e-05 -3.57094164441392e-05
5632 5.5 -4.07981396562199e-05 -4.07981396560326e-05 -4.07981396560485e-05
6144 6 -3.38417496569772e-05 -3.38417496570931e-05 -3.38417496570605e-05
6656 6.5 -4.92142420858128e-05 -4.92142420857093e-05 -4.92142420862609e-05
7168 7 -4.12844313655515e-05 -4.12844313650513e-05 -4.12844313647974e-05
7680 7.5 -3.84428342072649e-05 -3.84428342079342e-05 -3.84428342081552e-05
8192 8 -3.47869404471819e-05 -3.47869404463622e-05 -3.47869404464926e-05
8704 8.5 -2.61142656589625e-05 -2.61142656604108e-05 -2.61142656600808e-05
