# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 9.60890392241188e-07 9.60890392241183e-07 9.6089039224118e-07
1024 1 1.6598223358491e-06 1.65982233584913e-06 1.65982233584915e-06
1536 1.5 2.40509959582328e-06 2.40509959582329e-06 2.40509959582331e-06
2048 2 2.58298794833824e-06 2.58298794833829e-06 2.58298794833831e-06
2560 2.5 2.51827400871908e-06 2.51827400871908e-06 2.51827400871906e-06
3072 3 2.68568375100726e-06 2.68568375100705e-06 2.68568375100702e-06
3584 3.5 2.62404992984876e-06 2.62404992984839e-06 2.62404992984834e-06
4096 4 2.48846770965516e-06 2.48846770965519e-06 2.48846770965502e-06
4608 4.5 2.50777754552921e-06 2.50777754552892e-06 2.50777754552856e-06
5120 5 2.50741936375311e-06 2.50741936375228e-06 2.50741936375169e-06
5632 5.5 2.49576329823362e-06 2.49576329823318e-06 2.49576329823326e-06
6144 6 2.49969042162666e-06 2.49969042162559e-06 2.49969042162659e-06
6656 6.5 2.46963097794205e-06 2.46963097794173e-06 2.46963097794028e-06
7168 7 2.36352229689506e-06 2.36352229689894e-06 2.36352229689972e-06
7680 7.5 2.27090184550722e-06 2.27090184551136e-06 2.27090184551226e-06
8192 8 2.25725760627689e-06 2.25725760628146e-06 2.25725760627994e-06
8704 8.5 2.31207048659652e-06 2.3120704865979e-06 2.31207048659573e-06
9216 9 2.37727330140749e-06 2.37727330140597e-06 2.37727330140429e-06
9728 9.5 2.4326744053148e-06 2.43267440530766e-06 2.4326744053057e-06
10240 10 2.47279045983179e-06 2.4727904598353e-06 2.47279045983438e-06
10752 10.5 2.48816842933345e-06 2.4881684293336e-06 2.48816842933346e-06
11264 11 2.51514651388871e-06 2.5151465138866e-06 2.51514651388796e-06
11776 11.5 2.59992409618584e-06 2.59992409618892e-06 2.59992409618611e-06
12288 12 2.636244267164e-06 2.6362442671656e-06 2.63624426716108e-06
12800 12.5 2.55127736077106e-06 2.55127736077011e-06 2.55127736076807e-06
13312 13 2.49282064633487e-06 2.49282064633682e-06 2.49282064633636e-06
13824 13.5 2.46431936985654e-06 2.46431936985287e-06 2.46431936984685e-06
14336 14 2.36067446316198e-06 2.36067446315431e-06 2.36067446314863e-06
14848 14.5 2.2542341606792e-06 2.25423416067001e-06 2.25423416067311e-06
15360 15 2.25656530519366e-06 2.25656530519478e-06 2.25656530519286e-06
15872 15.5 2.33427431313712e-06 2.33427431313344e-06 2.3342743131274e-06
16384 16 2.41547417535923e-06 2.41547417534968e-06 2.41547417535838e-06
16896 16.5 2.46395423913751e-06 2.46395423913875e-06 2.46395423913369e-06
17408 17 2.4761992220223e-06 2.47619922200579e-06 2.47619922201613e-06
17920 17.5 2.49911610153972e-06 2.499116101523e-06 2.4991161015343e-06
18432 18 2.49293184014279e-06 2.49293184014837e-06 2.49293184014144e-06
18944 18.5 2.42242413773566e-06 2.42242413774451e-06 2.42242413774162e-06
19456 19 2.41784668632296e-06 2.41784668632147e-06 2.41784668632593e-06
19968 19.5 2.45420648669606e-06 2.45420648669149e-06 2.45420648669502e-06
20480 20 2.41659857602751e-06 2.41659857602762e-06 2.41659857602796e-06
20992 20.5 2.37958256059548e-06 2.37958256058247e-06 2.37958256058705e-06
21504 21 2.38234574639293e-06 2.38234574639412e-06 2.38234574638784e-06
22016 21.5 2.4074222730419e-06 2.40742227304092e-06 2.40742227304093e-06
22528 22 2.44120250363871e-06 2.44120250363092e-06 2.44120250363844e-06
23040 22.5 2.45423508411562e-06 2.45423508410987e-06 2.45423508411356e-06
23552 23 2.47539825733319e-06 2.47539825733329e-06 2.47539825733391e-06
24064 23.5 2.49892600241637e-06 2.49892600241291e-06 2.49892600241804e-06
24576 24 2.49653297162362e-06 2.49653297161593e-06 2.49653297163164e-06
25088 24.5 2.51788614422126e-06 2.51788614421072e-06 2.51788614421731e-06
25600 25 2.59763971031943e-06 2.59763971032651e-06 2.59763971031651e-06
26112 25.5 2.60638060063424e-06 2.60638060064251e-06 2.60638060063949e-06
26624 26 2.50625395536189e-06 2.50625395535908e-06 2.50625395536096e-06
27136 26.5 2.44281788659914e-06 2.44281788660075e-06 2.44281788659392e-06
27648 27 2.40139315738307e-06 2.40139315739401e-06 2.40139315739054e-06
28160 27.5 2.33548837756623e-06 2.33548837756258e-06 2.33548837756975e-06
28672 28 2.31861275085084e-06 2.3186127508386e-06 2.31861275084133e-06
29184 28.5 2.36842775851825e-06 2.36842775850805e-06 2.36842775851126e-06
29696 29 2.41606017289794e-06 2.41606017289316e-06 2.41606017289071e-06
30208 29.5 2.42461951692366e-06 2.42461951692133e-06 2.42461951690461e-06
30720 30 2.41692363826783e-06 2.41692363827433e-06 2.41692363826223e-06
31232 30.5 2.44504969210549e-06 2.44504969211731e-06 2.4450496921099e-06
31744 31 2.49349263085998e-06 2.49349263085968e-06 2.49349263086094e-06
32256 31.5 2.52639132226302e-06 2.5263913222551e-06 2.5263913222565e-06
32768 32 2.56392746179331e-06 2.56392746179806e-06 2.56392746178683e-06
33280 32.5 2.59346169744808e-06 2.59346169745033e-06 2.59346169744062e-06
33792 33 2.60567426283526e-06 2.6056742628317e-06 2.60567426282744e-06
34304 33.5 2.61790740548534e-06 2.61790740548404e-06 2.61790740547691e-06
34816 34 2.6095899946192e-06 2.6095899946218e-06 2.60958999462205e-06
35328 34.5 2.57634748436556e-06 2.57634748437535e-06 2.5763474843866e-06
35840 35 2.54355140453489e-06 2.54355140453106e-06 2.54355140454519e-06
36352 35.5 2.54012403417657e-06 2.54012403416892e-06 2.54012403418766e-06
36864 36 2.56718051951002e-06 2.56718051952309e-06 2.56718051952676e-06
37376 36.5 2.5927788601336e-06 2.59277886014386e-06 2.59277886012813e-06
37888 37 2.62887327931005e-06 2.62887327930361e-06 2.62887327929239e-06
38400 37.5 2.66300000162793e-06 2.66300000163004e-06 2.66300000162862e-06
38912 38 2.65341792713327e-06 2.653417927133e-06 2.65341792713456e-06
39424 38.5 2.63553183142937e-06 2.63553183142878e-06 2.63553183142734e-06
39936 39 2.63327188655356e-06 2.63327188655776e-06 2.63327188655248e-06
40448 39.5 2.61915339933518e-06 2.61915339932982e-06 2.61915339932552e-06
40960 40 2.59591300452285e-06 2.59591300450382e-06 2.59591300451346e-06
41472 40.5 2.56445860669997e-06 2.5644586066878e-06 2.56445860668985e-06
41984 41 2.52796263182072e-06 2.52796263181873e-06 2.52796263181424e-06
42496 41.5 2.50891601487872e-06 2.5089160148893e-06 2.50891601489463e-06
43008 42 2.51180055971775e-06 2.51180055972988e-06 2.51180055973296e-06
43520 42.5 2.52291867341416e-06 2.52291867341946e-06 2.52291867341471e-06
44032 43 2.52009137171416e-06 2.52009137170785e-06 2.52009137170807e-06
44544 43.5 2.51631927801094e-06 2.51631927800667e-06 2.516319278006e-06
