# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.125 1.70710642007978e-08 1.70710642007981e-08 1.70710642007983e-08
1024 0.25 8.19365709086197e-08 8.19365709086212e-08 8.19365709086233e-08
1536 0.375 2.29110560403939e-07 2.29110560403939e-07 2.29110560403939e-07
2048 0.5 5.59277676479516e-07 5.59277676479517e-07 5.59277676479517e-07
2560 0.625 1.04307046139809e-06 1.04307046139809e-06 1.04307046139809e-06
3072 0.75 1.63138592993921e-06 1.63138592993921e-06 1.63138592993921e-06
3584 0.875 2.25028489646918e-06 2.25028489646918e-06 2.25028489646918e-06
4096 1 2.8222065537511e-06 2.8222065537511e-06 2.8222065537511e-06
4608 1.125 3.29630264751125e-06 3.29630264749383e-06 3.29630264749393e-06
5120 1.25 4.16911604492567e-06 4.16911604485594e-06 4.16911604485607e-06
5632 1.375 5.10940687867883e-06 5.10940687856591e-06 5.10940687856608e-06
6144 1.5 6.09845478589179e-06 6.09845478583062e-06 6.09845478583083e-06
6656 1.625 7.11511117704679e-06 7.11511117705514e-06 7.11511117705536e-06
7168 1.75 8.13560555028122e-06 8.13560555031566e-06 8.13560555031582e-06
7680 1.875 9.13403857035251e-06 9.13403857034126e-06 9.13403857034167e-06
8192 2 1.00834536018106e-05 1.00834536017658e-05 1.00834536017672e-05
