# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 3.01465392112732 0 1.14263916015625 0 1.99555492401123 0 0 0 0 0 0 0 0 0 41.6663381220024 531688.11526021 0 531688.11526021 160 2030015 2447 2027568 0 0 0 0 3.01329898834229 1717589825.31801 266
512 0.125 91.8718328710951 91.8718328710951 8.12687993049622 4.89812803268433 6.04422569274902 0 2.10006403923035 3 499314.020311486 499314.020311486 2445704 2445704 408985.634232625 408985.634232625 2003264 2003264 87.3884856647494 981616.613524573 8066.62944597686 973549.984078596 186 2044572 17004 2027568 0 0 0 0 8.1151556968689 1717589830.43024 905
1024 0.25 91.5888087199153 86.5458804096226 13.0552799701691 9.82652807235718 10.8330676555634 0 2.2886700630188 6 497775.812981182 497775.812981182 4891408 4891408 407725.696247761 407725.696247761 4006528 4006528 109.800489537514 927622.885739318 8214.78662503001 919408.099114288 284 2077419 18459 2058960 0 0 0 0 13.0356755256653 1717589835.35864 1544
1536 0.375 91.0882058227075 87.228997448603 18.0495510101318 14.8207991123199 15.6917707920074 0 2.37529253959656 9 495055.087407598 495055.087407598 7337112 7337112 405497.163442712 405497.163442712 6009792 6009792 129.783089046112 881621.189295403 8359.13366669879 873262.055628705 310 2078878 19918 2058960 0 0 0 0 18.0227127075195 1717589840.35291 2183
2048 0.5 90.3502336451506 87.6331621994677 23.151223897934 19.9224720001221 20.6103663444519 0 2.66534781455994 12 491044.284059732 491044.284059732 9782816 9782816 402211.93433982 402211.93433982 8013056 8013056 161.362843595118 1210409.84599286 8340.09760640037 1202069.74838646 492 4107920 21392 4086528 0 0 0 0 23.1158888339996 1717589845.45458 2822
2560 0.625 89.6888548341246 87.7573100566623 28.3154809474945 25.0867290496826 25.5756740570068 0 2.75780820846558 15 487449.757829417 487449.757829417 12228520 12228520 399267.675756506 399267.675756506 10016320 10016320 187.604462849026 1499794.0235374 8255.32634381181 1491538.69719359 518 4109355 22827 4086528 0 0 0 0 28.2727997303009 1717589850.61884 3461
3072 0.75 89.3702489145393 87.8620636838443 33.4401481151581 30.2113962173462 30.5712056159973 0 2.93348789215088 18 485718.167225076 485718.167225076 14674224 14674224 397849.338492301 397849.338492301 12019584 12019584 200.770841579604 1438224.36357892 8401.35346283542 1429823.01011608 616 4142228 24308 4117920 0 0 0 0 33.389303445816 1717589855.74351 4100
3584 0.875 89.0091295872757 87.9040117634404 38.6183800697327 35.3896281719208 35.608870267868 0 3.02791571617126 21 483755.520595819 483755.520595819 17119928 17119928 396241.74438561 396241.74438561 14022848 14022848 211.994657603278 1376795.64872419 8493.07750523477 1368302.57121895 642 4143689 25769 4117920 0 0 0 0 38.5586221218109 1717589860.92174 4739
4096 1 88.4755506094048 87.9036483161144 43.9179589748383 40.6892070770264 40.7291686534882 0 3.29886531829834 24 480855.57339472 480855.57339472 19565632 19565632 393866.412035553 393866.412035553 16026112 16026112 232.690119206661 1611987.45668033 8480.3318107635 1603507.12486957 824 6172720 27232 6145488 0 0 0 0 43.8496122360229 1717589866.22132 5378
4608 1.125 88.0192784089499 87.844066145736 49.2413990497589 46.012647151947 45.872077703476 0 3.38755941390991 27 478375.780626405 478375.780626405 22011336 22011336 391835.226094726 391835.226094726 18029376 18029376 251.089140230957 1832388.59267937 8434.33946463753 1823954.25321474 850 6174114 28626 6145488 0 0 0 0 49.1653866767883 1717589871.54476 6017
