# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.125 0.00370665141989941
1024 0.25 0.00370604456512877
1536 0.375 0.00370539492298867
2048 0.5 0.0037047170715174
2560 0.625 0.00370402477380616
3072 0.75 0.0037033305080263
3584 0.875 0.00370264514736987
4096 1 0.00370197719433102
4608 1.125 0.00370133092166481
5120 1.25 0.00370070729729069
5632 1.375 0.0037001024199904
6144 1.5 0.00369950147578495
6656 1.625 0.00369889856212616
7168 1.75 0.00369829167935865
7680 1.875 0.00369767899614098
8192 2 0.00369705878757933
8704 2.125 0.00369642938915316
9216 2.25 0.00369578916699522
9728 2.375 0.00369513650142956
10240 2.5 0.00369446977880304
10752 2.625 0.00369378731290396
11264 2.75 0.00369308729729349
11776 2.875 0.00369236797248413
12288 3 0.00369162765846255
12800 3.125 0.00369086477478127
13312 3.25 0.00369007587897657
13824 3.375 0.00368924948167813
14336 3.5 0.003688381989947
14848 3.625 0.00368747194057203
15360 3.75 0.00368651853925856
15872 3.875 0.00368552055822381
16384 4 0.00368447716069029
16896 4.125 0.00368338860768263
17408 4.25 0.00368225610405131
17920 4.375 0.00368108161746124
18432 4.5 0.0036798677005783
18944 4.625 0.00367861729902109
19456 4.75 0.00367733356385075
19968 4.875 0.00367601969897191
20480 5 0.00367467883256767
20992 5.125 0.00367331391116914
21504 5.25 0.00367192761576226
22016 5.375 0.00367052230068258
22528 5.5 0.00366909995506236
23040 5.625 0.00366766218136324
23552 5.75 0.00366621020044661
24064 5.875 0.0036647448715027
24576 6 0.00366326671905854
25088 6.125 0.00366177596168961
25600 6.25 0.00366027254122768
26112 6.375 0.00365875615162318
26624 6.5 0.00365722627663591
27136 6.625 0.00365568224938432
27648 6.75 0.0036541232925937
28160 6.875 0.00365254852788564
28672 7 0.00365095698046614
29184 7.125 0.00364934758325126
29696 7.25 0.00364771918228623
30208 7.375 0.00364607054423222
30720 7.5 0.00364440037307208
31232 7.625 0.00364270734865843
31744 7.75 0.00364099014124897
32256 7.875 0.00363924721582533
32768 8 0.00363747654567908
33280 8.125 0.00363567609723992
33792 8.25 0.00363384396390767
34304 8.375 0.00363197839811767
34816 8.5 0.00363007779818919
35328 8.625 0.00362814066677232
35840 8.75 0.00362616558895665
36352 8.875 0.00362415130655343
36864 9 0.0036220969019381
37376 9.125 0.00362000202282572
37888 9.25 0.00361786704290647
38400 9.375 0.0036156929581094
38912 9.5 0.00361348082291904
39424 9.625 0.00361123125809761
39936 9.75 0.00360894434238336
40448 9.875 0.00360661998930229
