# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.125 1.00020367134969
1024 0.25 1.0001940722406
1536 0.375 1.0001847522671
2048 0.5 1.00017583273989
2560 0.625 1.00016732452047
3072 0.75 1.00015921741778
3584 0.875 1.0001514966076
4096 1 1.00014414452394
4608 1.125 1.00013714528661
5120 1.25 1.00015157270266
5632 1.375 1.00018193923287
6144 1.5 1.00021467109647
6656 1.625 1.00024965870133
7168 1.75 1.00028679071856
7680 1.875 1.00032594667249
8192 2 1.00036700932329
8704 2.125 1.00040984926585
9216 2.25 1.00045432637762
9728 2.375 1.00050027734443
10240 2.5 1.00054753241168
10752 2.625 1.00059588190105
11264 2.75 1.00064530324304
11776 2.875 1.00069998661729
12288 3 1.00075616943525
12800 3.125 1.00081374366245
13312 3.25 1.00087260028468
13824 3.375 1.00093262416681
14336 3.5 1.00099517891016
14848 3.625 1.00105965593819
15360 3.75 1.00112518129672
15872 3.875 1.00119164419629
16384 4 1.00125892964637
16896 4.125 1.00132692446924
17408 4.25 1.00139551937618
17920 4.375 1.00146460609741
18432 4.5 1.00153407601821
18944 4.625 1.00160382587467
19456 4.75 1.00167375909154
19968 4.875 1.0017437912575
20480 5 1.00181383557201
20992 5.125 1.00187930196731
21504 5.25 1.0019410833828
22016 5.375 1.0020146260049
22528 5.5 1.00208931477215
23040 5.625 1.00216535282307
23552 5.75 1.00224114252422
24064 5.875 1.00231660694274
24576 6 1.0023916652768
25088 6.125 1.00246623860042
