# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 4.25810836981524e-08 4.25810836872558e-08 4.25810836848263e-08
1024 0.25 1.36129472590845e-07 1.36129472596416e-07 1.36129472578117e-07
1536 0.375 2.73395541997803e-07 2.73395542036819e-07 2.73395542014522e-07
2048 0.5 4.3895194128093e-07 4.38951941288459e-07 4.38951941276865e-07
2560 0.625 6.14755576336691e-07 6.1475557639655e-07 6.1475557646144e-07
3072 0.75 7.5087214266256e-07 7.50872142794894e-07 7.50872142685512e-07
3584 0.875 8.13234782028322e-07 8.13234782195286e-07 8.13234782196424e-07
4096 1 8.18888108344009e-07 8.18888108457477e-07 8.18888108326602e-07
4608 1.125 8.58262074884967e-07 8.58262075379316e-07 8.5826207537483e-07
5120 1.25 8.46154278776665e-07 8.46154279466363e-07 8.46154279150359e-07
5632 1.375 7.93648558110457e-07 7.93648556044838e-07 7.93648556883322e-07
6144 1.5 8.05213894392429e-07 8.05213892685363e-07 8.05213895667761e-07
6656 1.625 8.99514674049096e-07 8.99514672447006e-07 8.99514676257981e-07
7168 1.75 9.54647087528637e-07 9.54647090681271e-07 9.54647092623226e-07
7680 1.875 9.36100556572263e-07 9.36100560140619e-07 9.36100560075521e-07
8192 2 8.6647493411176e-07 8.6647493564342e-07 8.66474936435935e-07
8704 2.125 8.84028430045509e-07 8.84028429286342e-07 8.840284297954e-07
9216 2.25 9.6424128037884e-07 9.642412795683e-07 9.64241280785452e-07
9728 2.375 9.80932375810591e-07 9.80932374911629e-07 9.80932370883107e-07
10240 2.5 9.74365079163238e-07 9.74365082056282e-07 9.74365078217871e-07
10752 2.625 1.00403646104986e-06 1.00403646074734e-06 1.00403646100305e-06
11264 2.75 1.02015232093395e-06 1.02015231886249e-06 1.02015232080883e-06
11776 2.875 1.00303290468669e-06 1.00303291145222e-06 1.00303291821099e-06
12288 3 9.90510386138886e-07 9.90510385822935e-07 9.90510390283616e-07
12800 3.125 1.01769062795704e-06 1.01769062181632e-06 1.0176906226625e-06
13312 3.25 1.0804877967902e-06 1.08048779776102e-06 1.08048780017969e-06
13824 3.375 1.10246534681514e-06 1.10246535188071e-06 1.1024653509205e-06
14336 3.5 1.07406948893353e-06 1.07406948914995e-06 1.07406948856536e-06
14848 3.625 1.05085554383123e-06 1.0508555430867e-06 1.05085554393997e-06
15360 3.75 1.06542770341586e-06 1.06542770699893e-06 1.06542770325974e-06
15872 3.875 1.1293030295984e-06 1.12930302862619e-06 1.12930302492948e-06
16384 4 1.16115527013618e-06 1.16115526383187e-06 1.1611552571235e-06
16896 4.125 1.18446046198339e-06 1.18446045691777e-06 1.18446045711962e-06
17408 4.25 1.17063879378664e-06 1.17063878940201e-06 1.17063879430181e-06
17920 4.375 1.16027423888769e-06 1.1602742321152e-06 1.16027423932875e-06
18432 4.5 1.206734772435e-06 1.20673476970282e-06 1.2067347751183e-06
18944 4.625 1.26434113329288e-06 1.264341137899e-06 1.26434113883621e-06
19456 4.75 1.27162876890567e-06 1.27162876941379e-06 1.27162877347834e-06
19968 4.875 1.26505511889136e-06 1.26505511728779e-06 1.26505512242506e-06
20480 5 1.29090081076947e-06 1.29090080326579e-06 1.29090080644529e-06
20992 5.125 1.31241078861159e-06 1.31241077567303e-06 1.31241078780856e-06
21504 5.25 1.32595502403551e-06 1.32595501395671e-06 1.32595502532821e-06
22016 5.375 1.33338098989594e-06 1.33338098767861e-06 1.3333809884457e-06
22528 5.5 1.34322813406358e-06 1.34322812392268e-06 1.34322812722617e-06
23040 5.625 1.36234238459053e-06 1.36234237627291e-06 1.36234237737591e-06
23552 5.75 1.38174851207512e-06 1.38174850072471e-06 1.38174851085398e-06
24064 5.875 1.37435572134736e-06 1.37435571718574e-06 1.37435572826021e-06
24576 6 1.35356370341303e-06 1.35356369266208e-06 1.35356371832355e-06
25088 6.125 1.37659541204927e-06 1.37659541542622e-06 1.3765954194658e-06
25600 6.25 1.39935509353246e-06 1.39935509653595e-06 1.39935510734924e-06
26112 6.375 1.40545968717288e-06 1.40545968822574e-06 1.40545969653444e-06
26624 6.5 1.38875500520855e-06 1.38875500826522e-06 1.38875501103648e-06
27136 6.625 1.37602796182063e-06 1.37602795529577e-06 1.37602795392856e-06
27648 6.75 1.38131667151897e-06 1.3813166518181e-06 1.38131665908812e-06
28160 6.875 1.40240997249934e-06 1.40240995465211e-06 1.40240995678597e-06
28672 7 1.41567722938523e-06 1.41567723371548e-06 1.41567723014945e-06
29184 7.125 1.41259338583795e-06 1.4125933974082e-06 1.41259339003565e-06
29696 7.25 1.41860005224616e-06 1.41860006488697e-06 1.4186000582423e-06
30208 7.375 1.4276073120121e-06 1.42760733075713e-06 1.4276073314938e-06
30720 7.5 1.43784343984033e-06 1.43784345430485e-06 1.43784346122514e-06
31232 7.625 1.4574830250233e-06 1.45748303500947e-06 1.45748302933857e-06
31744 7.75 1.48429042975148e-06 1.48429042785026e-06 1.48429043259448e-06
32256 7.875 1.49208243492737e-06 1.49208244730024e-06 1.4920824489153e-06
32768 8 1.49740998748963e-06 1.49740998676372e-06 1.4974099939618e-06
33280 8.125 1.52570836075882e-06 1.52570839593064e-06 1.52570838907036e-06
33792 8.25 1.55108494604355e-06 1.55108497359486e-06 1.55108497191444e-06
34304 8.375 1.56285166880674e-06 1.56285169252839e-06 1.56285169144077e-06
34816 8.5 1.57353438600918e-06 1.57353438789853e-06 1.57353439118616e-06
35328 8.625 1.59029871476053e-06 1.59029869932784e-06 1.59029870160539e-06
35840 8.75 1.61306968387632e-06 1.61306968430964e-06 1.61306968049168e-06
36352 8.875 1.62072020530781e-06 1.62072020806981e-06 1.62072020551009e-06
36864 9 1.62961797835634e-06 1.62961799610016e-06 1.62961798946868e-06
37376 9.125 1.63599569254477e-06 1.6359956988645e-06 1.63599569187865e-06
37888 9.25 1.64904304492771e-06 1.6490430599923e-06 1.64904304811644e-06
38400 9.375 1.66452853961932e-06 1.66452854055195e-06 1.66452853498547e-06
38912 9.5 1.67029429572156e-06 1.67029429190508e-06 1.67029428775617e-06
39424 9.625 1.66993053033834e-06 1.66993052407786e-06 1.66993052490802e-06
39936 9.75 1.66589649884604e-06 1.66589648903064e-06 1.66589647681747e-06
40448 9.875 1.67290113963725e-06 1.67290112067387e-06 1.67290113848523e-06
40960 10 1.68053480459783e-06 1.68053478775176e-06 1.68053481362227e-06
41472 10.125 1.68221163571474e-06 1.6822116448499e-06 1.68221162927183e-06
41984 10.25 1.67265420529004e-06 1.67265420770722e-06 1.67265420447852e-06
42496 10.375 1.66894564758394e-06 1.66894564856639e-06 1.66894564364116e-06
43008 10.5 1.68013354015502e-06 1.68013354847101e-06 1.6801335294635e-06
43520 10.625 1.68481705292875e-06 1.68481707214362e-06 1.68481705939521e-06
44032 10.75 1.6871079930833e-06 1.68710802886419e-06 1.68710800210335e-06
44544 10.875 1.68642628030543e-06 1.68642630579178e-06 1.6864262907128e-06
45056 11 1.69091965644564e-06 1.69091967076812e-06 1.69091966064771e-06
45568 11.125 1.69801071830782e-06 1.69801070804691e-06 1.69801069820177e-06
46080 11.25 1.70290211046466e-06 1.70290209241088e-06 1.70290209159644e-06
46592 11.375 1.71496998314654e-06 1.71496997369074e-06 1.71496996057199e-06
47104 11.5 1.72645956783138e-06 1.72645956059837e-06 1.72645954482902e-06
47616 11.625 1.73317535941603e-06 1.73317535433199e-06 1.73317534543418e-06
48128 11.75 1.73707476772502e-06 1.73707475117083e-06 1.73707474267777e-06
48640 11.875 1.74244273923599e-06 1.74244271721028e-06 1.74244271857242e-06
49152 12 1.75932853464189e-06 1.75932851431009e-06 1.75932853923796e-06
49664 12.125 1.77941065208787e-06 1.77941063694751e-06 1.77941065135151e-06
50176 12.25 1.78941984671316e-06 1.78941982536695e-06 1.78941983895567e-06
50688 12.375 1.79581248282241e-06 1.79581249082472e-06 1.79581249964618e-06
51200 12.5 1.80894065023644e-06 1.80894066111497e-06 1.80894065435225e-06
51712 12.625 1.83047958220082e-06 1.8304795778474e-06 1.8304795679972e-06
52224 12.75 1.83911390705988e-06 1.83911390031774e-06 1.83911386582349e-06
52736 12.875 1.8339648416469e-06 1.83396482588e-06 1.83396479932566e-06
53248 13 1.83406910385639e-06 1.83406906899631e-06 1.83406907586264e-06
53760 13.125 1.84413022696102e-06 1.84413019140156e-06 1.84413019042949e-06
54272 13.25 1.86601796782456e-06 1.86601795192022e-06 1.86601792311641e-06
54784 13.375 1.87237205398358e-06 1.87237201583479e-06 1.87237199111011e-06
55296 13.5 1.86392715241218e-06 1.8639271373728e-06 1.86392711319454e-06
55808 13.625 1.86231297692726e-06 1.86231294457448e-06 1.86231291311135e-06
56320 13.75 1.87592660806446e-06 1.87592661100092e-06 1.87592655010238e-06
56832 13.875 1.8889126991754e-06 1.88891268030857e-06 1.88891264098186e-06
57344 14 1.88751231408846e-06 1.88751226557454e-06 1.88751225363928e-06
57856 14.125 1.88029814605367e-06 1.88029813059704e-06 1.88029810912954e-06
58368 14.25 1.87916589158868e-06 1.87916588944142e-06 1.87916587665982e-06
58880 14.375 1.89946170684057e-06 1.89946172123536e-06 1.89946171310807e-06
59392 14.5 1.91148173511989e-06 1.9114817476773e-06 1.91148168749331e-06
59904 14.625 1.90654539256104e-06 1.90654539758197e-06 1.90654531450114e-06
60416 14.75 1.89344071312078e-06 1.89344075150852e-06 1.89344066210669e-06
60928 14.875 1.89569626816363e-06 1.8956962486905e-06 1.89569614462997e-06
61440 15 1.90757628085268e-06 1.90757623167812e-06 1.90757620208362e-06
61952 15.125 1.91714479333322e-06 1.91714476355237e-06 1.91714481912062e-06
62464 15.25 1.91863575132343e-06 1.91863576151879e-06 1.91863581567653e-06
62976 15.375 1.92629410771193e-06 1.92629410107422e-06 1.92629413410179e-06
63488 15.5 1.9363144288031e-06 1.93631439625123e-06 1.93631444876282e-06
64000 15.625 1.94070846133325e-06 1.94070841747549e-06 1.94070846419446e-06
64512 15.75 1.94174919787803e-06 1.94174915196457e-06 1.94174913336716e-06
65024 15.875 1.93905804031466e-06 1.93905798438591e-06 1.93905801756151e-06
65536 16 1.94205286549792e-06 1.94205281328137e-06 1.94205284855697e-06
66048 16.125 1.95142205966617e-06 1.95142205936515e-06 1.95142213649147e-06
66560 16.25 1.96507021453506e-06 1.96507021035006e-06 1.96507026458155e-06
67072 16.375 1.9705977711962e-06 1.97059777039033e-06 1.97059783193979e-06
67584 16.5 1.96466319506165e-06 1.9646631915854e-06 1.96466323233681e-06
68096 16.625 1.95802017495688e-06 1.95802015289904e-06 1.95802013619322e-06
68608 16.75 1.96630006281086e-06 1.96630008938898e-06 1.96630010771594e-06
69120 16.875 1.97669461978225e-06 1.97669463229035e-06 1.97669464404255e-06
69632 17 1.98009390575521e-06 1.9800939019097e-06 1.98009387431267e-06
70144 17.125 1.97378214600495e-06 1.97378209279117e-06 1.9737820588631e-06
70656 17.25 1.97617293742439e-06 1.9761728774889e-06 1.97617278718385e-06
71168 17.375 1.98365517811624e-06 1.98365515987729e-06 1.9836550381109e-06
71680 17.5 1.98909415740836e-06 1.98909413687378e-06 1.98909400384475e-06
72192 17.625 1.98339407357524e-06 1.98339406918046e-06 1.98339395517111e-06
72704 17.75 1.97471866644621e-06 1.9747186271746e-06 1.97471855408157e-06
73216 17.875 1.97397180709406e-06 1.97397174135079e-06 1.97397171210926e-06
73728 18 1.97330473836217e-06 1.97330467265653e-06 1.97330466261051e-06
74240 18.125 1.96995654729728e-06 1.9699565037597e-06 1.9699564989901e-06
74752 18.25 1.96756665200768e-06 1.96756670028169e-06 1.96756679258283e-06
75264 18.375 1.96816199157249e-06 1.9681620425129e-06 1.96816217590077e-06
75776 18.5 1.97214259980398e-06 1.97214255482645e-06 1.97214255956695e-06
76288 18.625 1.96906420894602e-06 1.96906413826238e-06 1.96906402052735e-06
76800 18.75 1.96621924943493e-06 1.96621924280374e-06 1.96621917797135e-06
77312 18.875 1.96141522731513e-06 1.96141518371548e-06 1.9614151601184e-06
77824 19 1.96263404402039e-06 1.96263401179429e-06 1.96263395220186e-06
78336 19.125 1.96014751502493e-06 1.96014757212466e-06 1.9601475833481e-06
78848 19.25 1.95279998695703e-06 1.9528000950485e-06 1.95280015676101e-06
79360 19.375 1.9467297193239e-06 1.94672976669031e-06 1.94672985216192e-06
79872 19.5 1.94137981277433e-06 1.94137985132244e-06 1.94137999914486e-06
80384 19.625 1.93805170539578e-06 1.93805180057547e-06 1.9380519473175e-06
80896 19.75 1.92907874923638e-06 1.92907880470162e-06 1.92907893883954e-06
81408 19.875 1.92381095189847e-06 1.92381100361565e-06 1.92381095067017e-06
81920 20 1.91975748008323e-06 1.91975740777056e-06 1.91975730892966e-06
82432 20.125 1.91998568102635e-06 1.91998557728724e-06 1.91998548177991e-06
82944 20.25 1.91528452708314e-06 1.91528458020016e-06 1.91528466922754e-06
83456 20.375 1.91041285726284e-06 1.91041286891211e-06 1.9104130216963e-06
83968 20.5 1.90406590183365e-06 1.90406590723204e-06 1.90406606056055e-06
84480 20.625 1.90126003433995e-06 1.90126003759122e-06 1.90126026018472e-06
84992 20.75 1.90317300009476e-06 1.90317302234331e-06 1.90317334034848e-06
85504 20.875 1.90473717780336e-06 1.90473720677126e-06 1.90473742523056e-06
86016 21 1.90179313890176e-06 1.90179312030477e-06 1.90179314679345e-06
86528 21.125 1.89696149454125e-06 1.89696145828075e-06 1.89696133941562e-06
87040 21.25 1.89973998034514e-06 1.89974003392937e-06 1.89973994911508e-06
87552 21.375 1.90635530793811e-06 1.9063553969053e-06 1.90635539935551e-06
88064 21.5 1.91536256756494e-06 1.91536261130798e-06 1.91536250151006e-06
88576 21.625 1.9192732333237e-06 1.91927335393348e-06 1.91927318903049e-06
89088 21.75 1.9294430562471e-06 1.92944315046235e-06 1.92944305260342e-06
89600 21.875 1.9406129001048e-06 1.94061295957033e-06 1.94061292107575e-06
90112 22 1.95123099595688e-06 1.95123102179414e-06 1.95123097103209e-06
90624 22.125 1.95653535980767e-06 1.95653542579269e-06 1.95653551607829e-06
91136 22.25 1.96312083088577e-06 1.96312079311926e-06 1.96312094061519e-06
91648 22.375 1.97708576506116e-06 1.97708563453949e-06 1.97708568448931e-06
92160 22.5 1.99445164713394e-06 1.99445156535869e-06 1.99445147948497e-06
92672 22.625 2.00718721192251e-06 2.00718717185456e-06 2.00718701995885e-06
93184 22.75 2.0171176862232e-06 2.01711773312452e-06 2.01711746738225e-06
93696 22.875 2.03013914994697e-06 2.03013924791601e-06 2.03013896318792e-06
94208 23 2.04838319839106e-06 2.04838324100189e-06 2.0483830396264e-06
94720 23.125 2.0651627782186e-06 2.06516275974808e-06 2.06516265247442e-06
95232 23.25 2.08142854178065e-06 2.08142855584884e-06 2.08142866206593e-06
