# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00267444636699476 -0.00267444636699476 -0.00267444636699476
1024 0.5 -0.00530748534834765 -0.00530748534834765 -0.00530748534834765
1536 0.75 -0.00787231319410646 -0.00787231319410646 -0.00787231319410646
2048 1 -0.0103462430703432 -0.0103462430703432 -0.0103462430703432
2560 1.25 -0.0127453677788593 -0.0127453677788593 -0.0127453677788593
3072 1.5 -0.0151675329277915 -0.0151675329277915 -0.0151675329277915
3584 1.75 -0.0176570008762845 -0.0176570008762845 -0.0176570008762845
4096 2 -0.0201892752345588 -0.0201892752345588 -0.0201892752345588
4608 2.25 -0.0227161207038809 -0.022716120703881 -0.0227161207038809
5120 2.5 -0.0252241374636386 -0.0252241374636386 -0.0252241374636386
5632 2.75 -0.0277159655985445 -0.0277159655985446 -0.0277159655985446
6144 3 -0.030189080385854 -0.0301890803858544 -0.0301890803858546
6656 3.25 -0.0326396248020815 -0.0326396248020832 -0.0326396248020829
7168 3.5 -0.035063245671366 -0.0350632456713686 -0.0350632456713676
7680 3.75 -0.0374558844579473 -0.0374558844579479 -0.0374558844579468
8192 4 -0.0398140584337239 -0.0398140584337182 -0.0398140584337189
8704 4.25 -0.0421328340532585 -0.0421328340532385 -0.0421328340532486
9216 4.5 -0.0444055412622034 -0.0444055412621431 -0.0444055412621885
9728 4.75 -0.0466289015617908 -0.0466289015616715 -0.0466289015617635
10240 5 -0.0487997218750782 -0.0487997218749367 -0.0487997218750216
10752 5.25 -0.0509155984833617 -0.050915598483241 -0.0509155984832624
11264 5.5 -0.0529751196825113 -0.0529751196823645 -0.0529751196823603
11776 5.75 -0.0550690263248538 -0.0550690263248982 -0.0550690263246142
12288 6 -0.0571458978102112 -0.0571458978100796 -0.0571458978098931
12800 6.25 -0.0591713535025216 -0.0591713535023315 -0.0591713535020967
13312 6.5 -0.0611460875255674 -0.0611460875255404 -0.0611460875250903
13824 6.75 -0.0631142070531363 -0.06311420705302 -0.0631142070526865
14336 7 -0.0653594739526713 -0.0653594739526036 -0.0653594739523724
14848 7.25 -0.0675629764050234 -0.0675629764050492 -0.0675629764049416
15360 7.5 -0.0697236564105971 -0.0697236564107224 -0.0697236564107298
15872 7.75 -0.0718409769843937 -0.071840976984631 -0.0718409769846347
16384 8 -0.0739148917864222 -0.0739148917866803 -0.0739148917865912
16896 8.25 -0.0759454929419857 -0.0759454929420439 -0.0759454929419507
17408 8.5 -0.0779328235271044 -0.0779328235269093 -0.07793282352686
17920 8.75 -0.0798772620498942 -0.0798772620495946 -0.0798772620494847
18432 9 -0.0817794075704859 -0.0817794075701539 -0.0817794075699148
18944 9.25 -0.083640366518035 -0.0836403665177027 -0.0836403665172927
