# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000828583928641199
512 0.25 -0.000802648159967128
1024 0.5 -0.000827341209628571
1536 0.75 -0.000854337148615693
2048 1 -0.000881788640964126
2560 1.25 -0.000906854749553533
3072 1.5 -0.000928000926422282
3584 1.75 -0.000946128725078943
4096 2 -0.000963081560322804
4608 2.25 -0.00098009531549012
5120 2.5 -0.000997585287529933
5632 2.75 -0.00101505430482522
6144 3 -0.00103169070135008
6656 3.25 -0.00104718697164259
7168 3.5 -0.00106319264591677
7680 3.75 -0.00108202917218071
8192 4 -0.00110480337885842
8704 4.25 -0.00113050421674461
9216 4.5 -0.00115676417177654
9728 4.75 -0.00118162787098228
10240 5 -0.00120492208277452
10752 5.25 -0.00122815084381915
11264 5.5 -0.00125303538778668
11776 5.75 -0.0012798920860202
12288 6 -0.00130716355108559
12800 6.25 -0.00133248137192003
13312 6.5 -0.00135439051493228
13824 6.75 -0.00137333573635258
14336 7 -0.00139115742051704
14848 7.25 -0.00140955925070806
15360 7.5 -0.00142867286413257
15872 7.75 -0.0014468547566688
16384 8 -0.00146179277538051
16896 8.25 -0.00147218197551303
17408 8.5 -0.00147880520731878
17920 8.75 -0.00148421904382224
18432 9 -0.00149136867927509
18944 9.25 -0.00150060547451514
19456 9.5 -0.0015100596112828
19968 9.75 -0.0015177490169136
20480 10 -0.00152323328438439
20992 10.25 -0.00152736186429789
21504 10.5 -0.00153222237138787
22016 10.75 -0.00153985779547858
22528 11 -0.00155070849066184
23040 11.25 -0.0015631542306642
23552 11.5 -0.00157505267458331
24064 11.75 -0.00158546962334607
24576 12 -0.00159439080247482
25088 12.25 -0.00160190846984959
25600 12.5 -0.00160936925117005
26112 12.75 -0.0016200119631386
26624 13 -0.00163541207878186
27136 13.25 -0.00165184724976765
27648 13.5 -0.00166384684755672
28160 13.75 -0.00167133011226327
28672 14 -0.00167919090473453
29184 14.25 -0.00168975672751502
29696 14.5 -0.0017006780145405
30208 14.75 -0.00171098281684346
30720 15 -0.00172329817297234
31232 15.25 -0.00173801006735421
31744 15.5 -0.0017508973494468
32256 15.75 -0.00175937873407018
32768 16 -0.00176621686312187
33280 16.25 -0.00177464850447523
33792 16.5 -0.00178481421387493
34304 16.75 -0.00179693136513234
34816 17 -0.00181218788502772
35328 17.25 -0.00182802952883389
35840 17.5 -0.001838565440847
36352 17.75 -0.00184284147090829
36864 18 -0.00184752555388855
37376 18.25 -0.00185852553312712
37888 18.5 -0.00187458657116884
38400 18.75 -0.00189102145213701
38912 19 -0.00190478284048275
39424 19.25 -0.00191407650849024
39936 19.5 -0.00191877512408139
40448 19.75 -0.00192330730997731
40960 20 -0.00193383746326873
41472 20.25 -0.00195044745271073
41984 20.5 -0.0019665606162673
42496 20.75 -0.00197731061547147
43008 21 -0.00198401568655513
43520 21.25 -0.00198998671012432
44032 21.5 -0.0019971372692762
44544 21.75 -0.00200734982554565
45056 22 -0.00202161236716055
45568 22.25 -0.0020363318331329
46080 22.5 -0.00204540008495236
46592 22.75 -0.00204786301042177
47104 23 -0.00204994984514507
47616 23.25 -0.00205797809226847
48128 23.5 -0.0020718451019177
48640 23.75 -0.00208620066419283
49152 24 -0.00209582978179022
49664 24.25 -0.00209984731450003
50176 24.5 -0.00210257256533176
50688 24.75 -0.00210979485877329
51200 25 -0.00212241973493107
51712 25.25 -0.00213491457204174
52224 25.5 -0.00214189455782384
52736 25.75 -0.00214461995110907
53248 26 -0.00214863334051773
53760 26.25 -0.00215662072193059
54272 26.5 -0.00216649167673367
54784 26.75 -0.00217539773311883
55296 27 -0.00218257766656567
55808 27.25 -0.00218853903192075
56320 27.5 -0.0021941451286098
56832 27.75 -0.00220082705629758
57344 28 -0.00220958613664146
57856 28.25 -0.00221912404738965
58368 28.5 -0.00222648504975719
58880 28.75 -0.00223048277984169
59392 29 -0.00223364662491666
59904 29.25 -0.00223974330660048
60416 29.5 -0.00224948572236469
60928 29.75 -0.00225953724883009
61440 30 -0.00226620762835121
61952 30.25 -0.00226962897366099
62464 30.5 -0.00227345031918103
62976 30.75 -0.00228044115914452
63488 31 -0.00228935591696201
64000 31.25 -0.00229668683543879
64512 31.5 -0.00230090391536379
65024 31.75 -0.00230409123241537
65536 32 -0.00230928909496213
66048 32.25 -0.00231682841822301
66560 32.5 -0.00232401039195316
67072 32.75 -0.00232857041074296
67584 33 -0.00233163262759304
68096 33.25 -0.00233621523787055
68608 33.5 -0.00234316263937189
69120 33.75 -0.00235003508834096
69632 34 -0.00235436989725387
70144 34.25 -0.00235667722668643
70656 34.5 -0.00235944870392154
71168 34.75 -0.00236423111451352
71680 35 -0.0023705135266365
72192 35.25 -0.00237672590786723
72704 35.5 -0.00238151549034096
73216 35.75 -0.00238458354238184
73728 36 -0.00238703115349774
74240 36.25 -0.00239062745416029
74752 36.5 -0.00239614585591568
75264 36.75 -0.00240239651069866
75776 37 -0.00240721032109844
76288 37.25 -0.00240963014665767
76800 37.5 -0.00241118617406024
77312 37.75 -0.00241461008290728
77824 38 -0.0024207958875205
78336 38.25 -0.00242742806115914
78848 38.5 -0.00243152692113541
79360 38.75 -0.00243305868998307
79872 39 -0.00243473271852834
80384 39.25 -0.00243836199921359
80896 39.5 -0.00244314964795675
81408 39.75 -0.00244776895746415
81920 40 -0.00245201595321503
82432 40.25 -0.00245564713133795
82944 40.5 -0.00245781072064213
83456 40.75 -0.00245889862364849
83968 41 -0.00246090063196124
84480 41.25 -0.00246457296551409
84992 41.5 -0.00246840198107443
85504 41.75 -0.00247158896769063
86016 42 -0.00247522359143699
86528 42.25 -0.00247892223067305
87040 42.5 -0.00247992333696367
87552 42.75 -0.00247811566793796
88064 43 -0.00247821557237268
88576 43.25 -0.00248332777843514
89088 43.5 -0.00248958225956378
89600 43.75 -0.00249134077713005
90112 44 -0.00248920628127632
90624 44.25 -0.00248848076635449
91136 44.5 -0.00249130287769664
91648 44.75 -0.00249461899836301
92160 45 -0.00249556263406332
92672 45.25 -0.00249522804145174
93184 45.5 -0.00249617380905719
93696 45.75 -0.00249840581849641
94208 46 -0.0024997233791306
94720 46.25 -0.00249952934883598
95232 46.5 -0.00249986778932104
95744 46.75 -0.00250155397327712
96256 47 -0.00250210782566898
96768 47.25 -0.00250032025099488
97280 47.5 -0.00249979539853329
97792 47.75 -0.00250342403850454
98304 48 -0.00250718106931459
98816 48.25 -0.00250542152383089
99328 48.5 -0.00250027096907491
99840 48.75 -0.00249900761524033
100352 49 -0.00250321776095493
100864 49.25 -0.00250718248973345
101376 49.5 -0.00250669420429545
101888 49.75 -0.00250356667412425
102400 50 -0.0025012659408897
102912 50.25 -0.00250089914657464
103424 50.5 -0.0025019522084271
103936 50.75 -0.0025035616588098
104448 51 -0.00250452294251336
