# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:39:58+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
# Run ID: run-TOV_pert_110_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.39.55-1626
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.14224555326721e-05 1.14224555326919e-05 1.14224555327115e-05
1024 0.5 1.61058768275308e-05 1.61058768275522e-05 1.61058768274926e-05
1536 0.75 2.05820269069057e-05 2.05820269069119e-05 2.05820269069192e-05
2048 1 2.74915635242818e-05 2.7491563524289e-05 2.74915635242968e-05
2560 1.25 3.44745062370231e-05 3.44745062370297e-05 3.44745062370378e-05
3072 1.5 4.12573617305145e-05 4.12573617305449e-05 4.12573617305788e-05
3584 1.75 4.74181347534161e-05 4.74181347534584e-05 4.74181347535062e-05
4096 2 5.26054629410136e-05 5.2605462941036e-05 5.26054629410869e-05
4608 2.25 5.67527052935681e-05 5.67527052935177e-05 5.6752705293643e-05
5120 2.5 6.01234262105547e-05 6.01234262104406e-05 6.01234262107188e-05
5632 2.75 6.31386569611447e-05 6.31386569610848e-05 6.31386569609842e-05
6144 3 6.60828203719004e-05 6.60828203718891e-05 6.60828203713539e-05
6656 3.25 6.89319259391235e-05 6.89319259390924e-05 6.89319259387227e-05
7168 3.5 7.14146784754928e-05 7.14146784754476e-05 7.14146784760553e-05
7680 3.75 7.32576142208473e-05 7.32576142212751e-05 7.32576142217863e-05
8192 4 7.44184913833406e-05 7.44184913838792e-05 7.44184913851616e-05
8704 4.25 7.50902548002901e-05 7.5090254800471e-05 7.50902547996152e-05
9216 4.5 7.54653657263805e-05 7.54653657264563e-05 7.54653657231638e-05
9728 4.75 7.54845196026167e-05 7.5484519602172e-05 7.54845195997091e-05
10240 5 7.48095866421151e-05 7.48095866415256e-05 7.48095866413563e-05
10752 5.25 7.30611299732679e-05 7.30611299729991e-05 7.30611299718156e-05
11264 5.5 7.01470846121662e-05 7.01470846130252e-05 7.0147084610516e-05
11776 5.75 6.64652371956623e-05 6.64652371984752e-05 6.64652371978635e-05
12288 6 6.2805327117486e-05 6.28053271210399e-05 6.28053271209166e-05
12800 6.25 5.98859805345308e-05 5.9885980535872e-05 5.98859805345559e-05
13312 6.5 5.80327616936973e-05 5.80327617142005e-05 5.80327616762695e-05
13824 6.75 5.55574517254498e-05 5.55574517231318e-05 5.55574517274248e-05
14336 7 5.43380315626362e-05 5.43380315716018e-05 5.43380315390002e-05
14848 7.25 5.13527711750873e-05 5.13527712060013e-05 5.13527711526209e-05
15360 7.5 4.58694443265246e-05 4.5869443932533e-05 4.58694445338226e-05
15872 7.75 4.3672301427244e-05 4.36723007841637e-05 4.36723013716084e-05
16384 8 4.03964146058024e-05 4.03964138389402e-05 4.03964147456614e-05
16896 8.25 3.87538324941404e-05 3.8753835856182e-05 3.87538330747213e-05
17408 8.5 3.73945315111411e-05 3.73945343488078e-05 3.73945315436399e-05
17920 8.75 3.73016909523969e-05 3.73016939190269e-05 3.73016911909695e-05
18432 9 3.40252972269699e-05 3.40253483348282e-05 3.40253255648059e-05
18944 9.25 3.60740234859297e-05 3.60740235026028e-05 3.60740234859018e-05
19456 9.5 3.78204768149964e-05 3.78204767731363e-05 3.78204768120995e-05
19968 9.75 3.7723956412313e-05 3.7723956345292e-05 3.77239564273932e-05
20480 10 3.93028966278176e-05 3.93028966065308e-05 3.93028966411139e-05
20992 10.25 4.02306080335008e-05 4.02306081000544e-05 4.02306080327751e-05
21504 10.5 4.03284900055437e-05 4.0328490143054e-05 4.0328489994448e-05
22016 10.75 4.07937400739575e-05 4.07937401549767e-05 4.07937400201861e-05
22528 11 4.63048119544959e-05 4.63048122195895e-05 4.63048119257952e-05
23040 11.25 5.15628636341281e-05 5.15628639570863e-05 5.15628636581855e-05
23552 11.5 5.6030986296326e-05 5.60309865823063e-05 5.60309863794064e-05
24064 11.75 5.90265687811219e-05 5.90265690531284e-05 5.90265688748917e-05
24576 12 5.95344020488605e-05 5.95344023747964e-05 5.95344020207342e-05
25088 12.25 5.72177918192525e-05 5.72177922500077e-05 5.72177916134605e-05
25600 12.5 5.30502507478718e-05 5.30502514611286e-05 5.3050250725326e-05
26112 12.75 4.80759343746619e-05 4.80759351070029e-05 4.80759345776197e-05
26624 13 4.71921161047492e-05 4.71921163608202e-05 4.71921161262696e-05
27136 13.25 4.65172141511625e-05 4.65172164046324e-05 4.65172152691625e-05
27648 13.5 4.64776257330912e-05 4.64776280919087e-05 4.64776272240229e-05
28160 13.75 4.72149054451478e-05 4.72149046757397e-05 4.72149052454157e-05
28672 14 4.77910611351796e-05 4.77910574433715e-05 4.77910584351056e-05
29184 14.25 4.6893982187669e-05 4.68939793551713e-05 4.68939794621118e-05
29696 14.5 4.42945580023044e-05 4.42945576082102e-05 4.42945593755507e-05
30208 14.75 4.16616405462525e-05 4.16616271392134e-05 4.16616354322311e-05
30720 15 3.97621689531037e-05 3.97621609006905e-05 3.97621729414121e-05
31232 15.25 3.88560974093572e-05 3.88560852116728e-05 3.8856094201339e-05
31744 15.5 4.01399671888297e-05 4.01399405930771e-05 4.01399731941391e-05
32256 15.75 4.06303151579981e-05 4.06303173854759e-05 4.06303182487829e-05
32768 16 4.02554407588454e-05 4.02555278174267e-05 4.02554263227305e-05
33280 16.25 3.85456307758102e-05 3.85457852937207e-05 3.85456125294831e-05
33792 16.5 3.48255808483805e-05 3.48256533281756e-05 3.48255808416589e-05
34304 16.75 3.42902642017882e-05 3.42900281536294e-05 3.42902523076343e-05
34816 17 3.34304364673225e-05 3.34302254623466e-05 3.34304484474079e-05
35328 17.25 3.0989128143117e-05 3.09896265190468e-05 3.09892404061262e-05
35840 17.5 3.19416730346646e-05 3.19423237699538e-05 3.19417162246241e-05
36352 17.75 3.05445602431707e-05 3.05444206563627e-05 3.05445117643248e-05
36864 18 3.13084796517836e-05 3.13084715234311e-05 3.13082897055471e-05
37376 18.25 3.16153762603066e-05 3.16151464573766e-05 3.16152870249562e-05
37888 18.5 2.77575060534364e-05 2.77572982095198e-05 2.77574291430595e-05
38400 18.75 2.7350104648574e-05 2.73497006134015e-05 2.73500621261725e-05
38912 19 2.63864421325167e-05 2.63866528015368e-05 2.63865245486922e-05
39424 19.25 3.0317183594451e-05 3.03171148167967e-05 3.03171837780753e-05
39936 19.5 3.05412720725095e-05 3.05410766841168e-05 3.05412910713293e-05
40448 19.75 2.65941232707937e-05 2.65941860107225e-05 2.65941163362749e-05
40960 20 2.53412032136352e-05 2.53412495128561e-05 2.53412101194908e-05
41472 20.25 2.68553127841205e-05 2.68567311160255e-05 2.68550473467334e-05
41984 20.5 2.59410889586275e-05 2.59410819611801e-05 2.59410758788004e-05
42496 20.75 2.56306787712573e-05 2.56309986730134e-05 2.56304302651656e-05
43008 21 2.51526011297484e-05 2.51527713085646e-05 2.51519872363342e-05
43520 21.25 2.48398496736676e-05 2.48281951697146e-05 2.48309363492046e-05
44032 21.5 2.49104847911323e-05 2.49105493994849e-05 2.49108293203518e-05
44544 21.75 2.53963731393531e-05 2.53952971480202e-05 2.53961884046215e-05
45056 22 2.5841182745681e-05 2.5838338037072e-05 2.58396325152772e-05
45568 22.25 2.38774265277354e-05 2.38729164360457e-05 2.38738628462045e-05
46080 22.5 2.52825211165384e-05 2.52977794136689e-05 2.5304428649502e-05
46592 22.75 2.39226130895208e-05 2.39434107076678e-05 2.39553903196347e-05
47104 23 2.37535155197538e-05 2.37540826626811e-05 2.37538280262601e-05
47616 23.25 2.39931388074424e-05 2.39937397449063e-05 2.39935927950791e-05
48128 23.5 2.25880111344476e-05 2.25885351669741e-05 2.25892642846712e-05
48640 23.75 2.28656938351007e-05 2.28690127884543e-05 2.28707392958131e-05
49152 24 2.47697418801834e-05 2.47690298673367e-05 2.47737592962127e-05
49664 24.25 2.19276252160697e-05 2.19275620629823e-05 2.19276487750834e-05
50176 24.5 2.38923929220215e-05 2.38927321501178e-05 2.38925854616254e-05
50688 24.75 2.5593193694396e-05 2.55931548600758e-05 2.55928670087539e-05
51200 25 2.67795098795628e-05 2.67794201489992e-05 2.6780342819135e-05
51712 25.25 2.67016033205605e-05 2.67016125527427e-05 2.670189953295e-05
52224 25.5 2.5892447415919e-05 2.58919390309814e-05 2.58932192957729e-05
52736 25.75 2.35265341927111e-05 2.35263628728905e-05 2.35281182093379e-05
53248 26 2.52691775050325e-05 2.52687199915994e-05 2.52684585407594e-05
53760 26.25 2.85434043213971e-05 2.85434499626501e-05 2.85429692233448e-05
54272 26.5 2.98885963793976e-05 2.98881809681734e-05 2.98883841613029e-05
54784 26.75 3.13004076905431e-05 3.13006319247776e-05 3.13003361834765e-05
55296 27 3.12849793645091e-05 3.12853942806193e-05 3.12860778171715e-05
55808 27.25 3.2029149133242e-05 3.20293031740838e-05 3.20295162412297e-05
56320 27.5 3.03899378891293e-05 3.03896042009747e-05 3.03894179398385e-05
56832 27.75 2.84564091412054e-05 2.84567790132416e-05 2.84569108919718e-05
57344 28 2.97485625740104e-05 2.97487287012515e-05 2.97488912526559e-05
57856 28.25 3.04409048039483e-05 3.04407412383819e-05 3.0440619347509e-05
58368 28.5 3.1809318331886e-05 3.1809005585629e-05 3.18091457290587e-05
58880 28.75 3.17714124198212e-05 3.1771160128844e-05 3.1771266714732e-05
59392 29 3.14754561147085e-05 3.14745484104252e-05 3.14741778482531e-05
59904 29.25 3.02524827909414e-05 3.0251472700028e-05 3.02508495357372e-05
60416 29.5 2.91850273218366e-05 2.91843059346162e-05 2.91856957049732e-05
60928 29.75 2.78378427267712e-05 2.78352527619416e-05 2.78358544058975e-05
61440 30 2.69362382401714e-05 2.69374895116983e-05 2.69344908556572e-05
61952 30.25 2.78665253460402e-05 2.78664651343762e-05 2.78665760021653e-05
