# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.3946032961292e-07 -9.39460329612939e-07 -9.39460329612941e-07
1024 1 -3.61481010496438e-06 -3.61481010496438e-06 -3.61481010496439e-06
1536 1.5 -5.83889642752077e-06 -5.83889642752077e-06 -5.83889642752076e-06
2048 2 -5.27970280770482e-06 -5.27970280770482e-06 -5.2797028077048e-06
2560 2.5 -5.98504311387227e-06 -5.98504311387226e-06 -5.98504311387224e-06
3072 3 -6.87020656305052e-06 -6.87020656305052e-06 -6.87020656305055e-06
3584 3.5 -7.94961698826031e-06 -7.94961698825993e-06 -7.94961698825992e-06
4096 4 -1.12956371576017e-05 -1.12956371576018e-05 -1.12956371576019e-05
4608 4.5 -1.94020206560051e-05 -1.94020206559986e-05 -1.94020206559976e-05
5120 5 -3.90672538132652e-05 -3.90672538132447e-05 -3.90672538132457e-05
5632 5.5 -7.23862477491703e-05 -7.23862477491378e-05 -7.23862477491437e-05
6144 6 -0.000113878847684393 -0.000113878847684378 -0.000113878847684394
6656 6.5 -0.000161389862542732 -0.000161389862542742 -0.000161389862542754
7168 7 -0.000212228104765054 -0.000212228104765078 -0.000212228104765029
7680 7.5 -0.000265665147541194 -0.000265665147541133 -0.000265665147541109
8192 8 -0.000322136420079571 -0.000322136420079625 -0.000322136420079504
8704 8.5 -0.000382728080347116 -0.000382728080347104 -0.000382728080347063
9216 9 -0.000445344470443918 -0.000445344470443861 -0.000445344470443951
9728 9.5 -0.000507450492946849 -0.000507450492946751 -0.000507450492946985
10240 10 -0.00056758152576166 -0.00056758152576151 -0.00056758152576167
10752 10.5 -0.000625557808031156 -0.000625557808031084 -0.000625557808030927
11264 11 -0.000682189358239237 -0.000682189358239286 -0.000682189358239021
11776 11.5 -0.000738511713634553 -0.000738511713634577 -0.000738511713634607
12288 12 -0.000794590967157465 -0.000794590967157444 -0.000794590967157624
12800 12.5 -0.000849560859968308 -0.000849560859968333 -0.000849560859968243
13312 13 -0.000903108589348083 -0.000903108589348106 -0.000903108589347874
13824 13.5 -0.000956059671006261 -0.000956059671006215 -0.000956059671006106
14336 14 -0.001009253409292 -0.00100925340929195 -0.00100925340929192
14848 14.5 -0.00106284829418878 -0.0010628482941888 -0.00106284829418884
15360 15 -0.00111700628374222 -0.00111700628374229 -0.00111700628374247
15872 15.5 -0.00117214769640798 -0.00117214769640801 -0.0011721476964082
16384 16 -0.00122810255795969 -0.00122810255795967 -0.00122810255795964
16896 16.5 -0.00128400379831401 -0.00128400379831395 -0.0012840037983138
17408 17 -0.00133935671324159 -0.00133935671324153 -0.00133935671324145
17920 17.5 -0.00139438724453138 -0.0013943872445314 -0.00139438724453137
18432 18 -0.00144930977012452 -0.00144930977012458 -0.00144930977012463
18944 18.5 -0.0015041743170331 -0.00150417431703305 -0.00150417431703331
19456 19 -0.00155936527417117 -0.00155936527417093 -0.00155936527417127
19968 19.5 -0.00161523804014015 -0.00161523804013996 -0.00161523804014002
20480 20 -0.00167123314880998 -0.00167123314881021 -0.00167123314880992
20992 20.5 -0.00172620121412886 -0.00172620121412933 -0.00172620121412908
21504 21 -0.00177974671044692 -0.00177974671044706 -0.00177974671044723
22016 21.5 -0.00183275885945521 -0.00183275885945485 -0.00183275885945522
22528 22 -0.00188656722148841 -0.00188656722148804 -0.00188656722148804
23040 22.5 -0.00194176790794566 -0.00194176790794572 -0.0019417679079453
23552 23 -0.00199768399011614 -0.00199768399011648 -0.00199768399011621
24064 23.5 -0.00205284044897029 -0.00205284044897041 -0.00205284044897064
24576 24 -0.00210622515990074 -0.00210622515990046 -0.00210622515990078
25088 24.5 -0.00215813057559847 -0.00215813057559821 -0.00215813057559818
25600 25 -0.0022095470429651 -0.00220954704296533 -0.00220954704296506
26112 25.5 -0.00226101670098822 -0.00226101670098851 -0.00226101670098836
26624 26 -0.00231252150150982 -0.00231252150150952 -0.00231252150150964
27136 26.5 -0.00236393372656974 -0.00236393372656934 -0.00236393372656948
27648 27 -0.00241457637261748 -0.00241457637261772 -0.00241457637261768
28160 27.5 -0.00246268142240368 -0.00246268142240429 -0.00246268142240413
