# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127678805862478
1024 1 0.00127354124439373
1536 1.5 0.00127037543622526
2048 2 0.00126721428584189
2560 2.5 0.00126409192277152
3072 3 0.0012610766517838
3584 3.5 0.00125822134000961
4096 4 0.00125556547617571
4608 4.5 0.00125313605765425
5120 5 0.0012508366762665
5632 5.5 0.00124860157151329
6144 6 0.00124642082760753
6656 6.5 0.00124428421070237
7168 7 0.00124217993632714
7680 7.5 0.00124009608206928
8192 8 0.00123802512382016
8704 8.5 0.00123598027088389
9216 9 0.00123393497136623
9728 9.5 0.00123185714104511
10240 10 0.00122976191868613
10752 10.5 0.0012276580300594
11264 11 0.00122553047123995
11776 11.5 0.00122335364336179
12288 12 0.00122110696589591
12800 12.5 0.0012187883358698
13312 13 0.00121640513237963
13824 13.5 0.00121395392983053
14336 14 0.00121141645425686
14848 14.5 0.00120877759781768
15360 15 0.00120603866609375
15872 15.5 0.00120320503153602
16384 16 0.00120026888373926
16896 16.5 0.00119721525020201
17408 17 0.00119404133539808
17920 17.5 0.00119075863422813
18432 18 0.00118737474713712
18944 18.5 0.00118388261849146
19456 19 0.0011802713637836
19968 19.5 0.00117653848388424
20480 20 0.00117264555274923
20992 20.5 0.00116857137914042
21504 21 0.00116431814342339
22016 21.5 0.00115988939727407
22528 22 0.00115528747202387
23040 22.5 0.00115051437484686
23552 23 0.00114557651749825
24064 23.5 0.00114048744571087
24576 24 0.00113526688844167
25088 24.5 0.00112993800851945
25600 25 0.00112452085068703
26112 25.5 0.00111902740145432
26624 26 0.00111346468963026
27136 26.5 0.00110784390356026
27648 27 0.00110218515688029
28160 27.5 0.0010965114050569
28672 28 0.00109083800316648
29184 28.5 0.00108516915818617
29696 29 0.0010795030848272
30208 29.5 0.00107383857318392
30720 30 0.00106817813458888
31232 30.5 0.00106252841504423
31744 31 0.00105689776370493
32256 31.5 0.00105129028910999
32768 32 0.00104570136902485
33280 32.5 0.00104012164038126
33792 33 0.00103454713214862
34304 33.5 0.00102898424349952
34816 34 0.00102344376562984
35328 34.5 0.00101793118629044
35840 35 0.00101244379022723
36352 35.5 0.00100697642637503
36864 36 0.0010015294005169
37376 36.5 0.000996111400242287
37888 37 0.000990735321775462
38400 37.5 0.000985410534280861
38912 38 0.000980138535671037
39424 38.5 0.000974916694734019
39936 39 0.000969746919535525
40448 39.5 0.000964640147152079
40960 40 0.000959611121731169
41472 40.5 0.000954668409090454
41984 41 0.000949810646817226
42496 41.5 0.00094503384239432
43008 42 0.000940341693352883
43520 42.5 0.000935746380506744
44032 43 0.000931258327727578
44544 43.5 0.000926877606455014
45056 44 0.000922597976339415
45568 44.5 0.000918417985889742
46080 45 0.000914344364639221
46592 45.5 0.000910383868924627
47104 46 0.000906535551349312
47616 46.5 0.000902793815311729
48128 47 0.000899156934054373
48640 47.5 0.000895628820463697
49152 48 0.000892212499462225
49664 48.5 0.000888905363611722
50176 49 0.000885702710298043
50688 49.5 0.000882603806697357
51200 50 0.000879611658195464
51712 50.5 0.00087672700682282
52224 51 0.000873944937682026
52736 51.5 0.00087125954040537
53248 52 0.000868670182809355
53760 52.5 0.00086617984904168
54272 53 0.000863789644351518
54784 53.5 0.000861494536232759
55296 54 0.000859286011574126
55808 54.5 0.000857158045792406
56320 55 0.000855109511722226
56832 55.5 0.00085313844434572
57344 56 0.000851238306716913
57856 56.5 0.000849395412317405
58368 57 0.000847599058429468
58880 57.5 0.00084585081882816
59392 58 0.000844149917930212
59904 58.5 0.000842492420876763
60416 59 0.000840876130850204
60928 59.5 0.000839302219904861
61440 60 0.000837770702609327
61952 60.5 0.000836277975317153
62464 61 0.000834821481724931
62976 61.5 0.000833404749303239
63488 62 0.000832033050142769
64000 62.5 0.000830706869826496
64512 63 0.000829422873035407
65024 63.5 0.000828180598936679
65536 64 0.000826984729776263
66048 64.5 0.000825839414287583
66560 65 0.000824743553474317
67072 65.5 0.000823694564938471
67584 66 0.000822694828301659
68096 66.5 0.000821751913516657
68608 67 0.000820909387199532
69120 67.5 0.000820185324276273
69632 68 0.000819578486981782
70144 68.5 0.000819090914061838
70656 69 0.000818725522542347
71168 69.5 0.000818482520452189
71680 70 0.000818360438982491
72192 70.5 0.000818357313059778
72704 71 0.000818468923184871
73216 71.5 0.000818687125028567
73728 72 0.000819002471163195
74240 72.5 0.000819408447594216
