# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.97985791598206e-05 1.97985791598255e-05 1.97985791598304e-05
1024 1 3.63531995915846e-05 3.63531995915976e-05 3.63531995916146e-05
1536 1.5 5.44851016194242e-05 5.44851016194488e-05 5.4485101619458e-05
2048 2 7.18275551466264e-05 7.18275551466929e-05 7.1827555146693e-05
2560 2.5 8.61259402396529e-05 8.61259402397654e-05 8.6125940239739e-05
3072 3 9.38826543720883e-05 9.3882654371905e-05 9.38826543718864e-05
3584 3.5 9.20530588414568e-05 9.20530588410068e-05 9.20530588409988e-05
4096 4 9.08356571271818e-05 9.08356571271605e-05 9.08356571271275e-05
4608 4.5 8.8900917439724e-05 8.89009174394524e-05 8.89009174395096e-05
5120 5 8.46061312921216e-05 8.46061312916117e-05 8.4606131291834e-05
5632 5.5 8.31663866416806e-05 8.31663866412311e-05 8.31663866415219e-05
6144 6 8.42111922203315e-05 8.42111922206446e-05 8.42111922212633e-05
6656 6.5 8.24102390351724e-05 8.24102390360878e-05 8.24102390362892e-05
7168 7 7.54965495452171e-05 7.54965495463277e-05 7.54965495457599e-05
7680 7.5 6.75396480932221e-05 6.75396480942336e-05 6.75396480932621e-05
8192 8 6.27597208920519e-05 6.27597208913935e-05 6.27597208908757e-05
8704 8.5 6.00370222630209e-05 6.0037022260389e-05 6.00370222610152e-05
9216 9 5.59247228862609e-05 5.59247228875224e-05 5.59247228861096e-05
9728 9.5 5.98321845762034e-05 5.98321845764242e-05 5.98321845752652e-05
10240 10 4.68543935956722e-05 4.6854393597308e-05 4.68543935966949e-05
10752 10.5 3.88104389277806e-05 3.88104389274192e-05 3.88104389271093e-05
11264 11 4.86294687430015e-05 4.8629468743799e-05 4.86294687440307e-05
11776 11.5 4.91323492567295e-05 4.91323492559048e-05 4.91323492569466e-05
12288 12 5.06358391519246e-05 5.06358391530397e-05 5.06358391514081e-05
12800 12.5 6.14836611387566e-05 6.14836611385265e-05 6.14836611366809e-05
13312 13 6.02394977763054e-05 6.02394977770644e-05 6.02394977763395e-05
13824 13.5 5.57593365990312e-05 5.57593366002642e-05 5.57593365995177e-05
14336 14 3.42200448383112e-05 3.42200448360228e-05 3.42200448378105e-05
14848 14.5 3.81958615709694e-05 3.81958615712912e-05 3.8195861572927e-05
15360 15 3.79821082912945e-05 3.79821082903842e-05 3.7982108293012e-05
15872 15.5 3.58834095075191e-05 3.58834095070481e-05 3.58834095086775e-05
16384 16 5.3423526745938e-05 5.34235267480259e-05 5.34235267489666e-05
16896 16.5 7.12482966352657e-05 7.12482966362053e-05 7.12482966351659e-05
17408 17 8.07531522170241e-05 8.075315221544e-05 8.07531522129585e-05
17920 17.5 8.10724578207566e-05 8.1072457817838e-05 8.10724578166868e-05
18432 18 7.92890331161981e-05 7.92890331143807e-05 7.92890331141562e-05
18944 18.5 7.0306037595801e-05 7.03060375949959e-05 7.03060375940321e-05
19456 19 5.01923722237494e-05 5.01923722239092e-05 5.01923722251001e-05
19968 19.5 3.93853073185908e-05 3.93853073204292e-05 3.9385307319419e-05
20480 20 4.15956109957563e-05 4.15956109950876e-05 4.15956109961724e-05
20992 20.5 4.75548532298676e-05 4.75548532304406e-05 4.75548532338926e-05
21504 21 5.88658795311033e-05 5.88658795316411e-05 5.88658795286692e-05
22016 21.5 6.73664267671553e-05 6.73664267697432e-05 6.73664267660344e-05
22528 22 7.06033259763825e-05 7.06033259761261e-05 7.06033259750457e-05
23040 22.5 6.66269330311252e-05 6.66269330263155e-05 6.66269330289065e-05
