# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.20623198172502e-05 -2.20623198172517e-05 -2.2062319817252e-05
1024 1 -3.65118127531993e-05 -3.65118127532012e-05 -3.65118127532033e-05
1536 1.5 -4.95781187754801e-05 -4.95781187754609e-05 -4.95781187754417e-05
2048 2 -3.46157066311838e-05 -3.46157066311568e-05 -3.46157066311298e-05
2560 2.5 -2.9253753003449e-05 -2.92537530034483e-05 -2.92537530034477e-05
3072 3 -4.4187744059764e-05 -4.41877440597606e-05 -4.41877440597658e-05
3584 3.5 -3.59811189440731e-05 -3.598111894405e-05 -3.59811189440384e-05
4096 4 -2.89107228819933e-05 -2.89107228819863e-05 -2.89107228819787e-05
4608 4.5 -2.6245205681678e-05 -2.62452056816959e-05 -2.62452056817147e-05
5120 5 -3.34564226646568e-05 -3.34564226646776e-05 -3.34564226646643e-05
5632 5.5 -3.69259266125806e-05 -3.69259266123788e-05 -3.69259266124026e-05
6144 6 -2.39312770194309e-05 -2.39312770193051e-05 -2.39312770193075e-05
6656 6.5 -4.54084861275367e-05 -4.5408486127141e-05 -4.54084861272958e-05
7168 7 -3.59407794836086e-05 -3.59407794839027e-05 -3.59407794837917e-05
7680 7.5 -3.52120737029538e-05 -3.5212073703225e-05 -3.52120737024141e-05
8192 8 -3.02563383867703e-05 -3.02563383869746e-05 -3.02563383866408e-05
8704 8.5 -1.99619099870477e-05 -1.99619099866058e-05 -1.99619099881055e-05
9216 9 -3.04237304833839e-05 -3.04237304829843e-05 -3.04237304845504e-05
9728 9.5 -4.27872831288672e-05 -4.27872831286833e-05 -4.27872831293093e-05
10240 10 -5.39587484060295e-05 -5.39587484065915e-05 -5.39587484061452e-05
10752 10.5 -6.66073708696365e-05 -6.66073708703785e-05 -6.66073708693986e-05
11264 11 -8.4292817030882e-05 -8.42928170303168e-05 -8.429281702925e-05
11776 11.5 -0.000103125225097826 -0.000103125225096195 -0.000103125225095749
12288 12 -0.000113750060081668 -0.000113750060080635 -0.000113750060081956
12800 12.5 -0.000115170963202435 -0.000115170963202257 -0.00011517096320412
13312 13 -0.000109173364199323 -0.000109173364198474 -0.00010917336420026
13824 13.5 -9.23841299801626e-05 -9.23841299813752e-05 -9.23841299824634e-05
14336 14 -8.59643761796818e-05 -8.59643761821601e-05 -8.59643761816096e-05
14848 14.5 -8.05837018630747e-05 -8.05837018646938e-05 -8.05837018627199e-05
15360 15 -7.52546065687947e-05 -7.52546065679446e-05 -7.52546065666502e-05
15872 15.5 -7.25437340141724e-05 -7.25437340120032e-05 -7.25437340125995e-05
16384 16 -7.51766442100259e-05 -7.51766442088873e-05 -7.51766442095545e-05
16896 16.5 -8.21926019901009e-05 -8.21926019906387e-05 -8.21926019900708e-05
17408 17 -8.88916107995431e-05 -8.88916108007493e-05 -8.8891610799968e-05
17920 17.5 -9.0469490683645e-05 -9.0469490684504e-05 -9.04694906853593e-05
18432 18 -8.65889997527518e-05 -8.65889997519495e-05 -8.65889997538456e-05
18944 18.5 -8.15409775089132e-05 -8.15409775074709e-05 -8.15409775083623e-05
19456 19 -7.79786681430461e-05 -7.79786681426266e-05 -7.79786681428384e-05
19968 19.5 -7.29213044855224e-05 -7.29213044861178e-05 -7.29213044868812e-05
20480 20 -6.33327640466688e-05 -6.33327640465707e-05 -6.33327640473658e-05
20992 20.5 -5.38084695618201e-05 -5.38084695611301e-05 -5.38084695610413e-05
21504 21 -5.66695581304275e-05 -5.66695581298136e-05 -5.66695581318126e-05
22016 21.5 -6.11160258677228e-05 -6.11160258657391e-05 -6.11160258678248e-05
22528 22 -6.59122663754424e-05 -6.59122663755174e-05 -6.59122663730551e-05
23040 22.5 -7.03787259160096e-05 -7.03787259113992e-05 -7.03787259112156e-05
23552 23 -7.20098424652621e-05 -7.2009842462676e-05 -7.20098424628273e-05
24064 23.5 -6.85943515968917e-05 -6.85943515932986e-05 -6.85943515955202e-05
24576 24 -6.68259726448505e-05 -6.6825972644354e-05 -6.68259726444542e-05
25088 24.5 -6.00316533668043e-05 -6.00316533670738e-05 -6.00316533649615e-05
25600 25 -5.11941652541049e-05 -5.11941652556393e-05 -5.11941652533555e-05
26112 25.5 -4.56326114134876e-05 -4.56326114143628e-05 -4.56326114136207e-05
26624 26 -4.29416647311026e-05 -4.2941664729714e-05 -4.29416647311414e-05
27136 26.5 -4.13434215155429e-05 -4.13434215140892e-05 -4.13434215126457e-05
27648 27 -4.36218953388721e-05 -4.36218953383508e-05 -4.36218953329415e-05
28160 27.5 -3.79815924847682e-05 -3.7981592485012e-05 -3.79815924836643e-05
28672 28 -4.13391786747875e-05 -4.13391786768072e-05 -4.13391786733913e-05
29184 28.5 -4.41788409327436e-05 -4.41788409321801e-05 -4.41788409300788e-05
29696 29 -4.05745779356535e-05 -4.05745779328224e-05 -4.05745779342151e-05
30208 29.5 -3.27360341895779e-05 -3.27360341873705e-05 -3.27360341909413e-05
30720 30 -3.33267723826757e-05 -3.33267723851795e-05 -3.33267723862922e-05
31232 30.5 -3.08527623777398e-05 -3.08527623799038e-05 -3.08527623773295e-05
31744 31 -3.63221556788686e-05 -3.63221556796276e-05 -3.63221556788928e-05
32256 31.5 -4.47897158299933e-05 -4.47897158329758e-05 -4.47897158328762e-05
32768 32 -4.90808911810506e-05 -4.90808911841551e-05 -4.9080891183028e-05
33280 32.5 -4.89227093075214e-05 -4.89227093068155e-05 -4.89227093045339e-05
33792 33 -5.39318776259697e-05 -5.39318776223526e-05 -5.393187762937e-05
34304 33.5 -5.86660056339538e-05 -5.86660056307335e-05 -5.86660056359815e-05
34816 34 -5.50798763697554e-05 -5.50798763705313e-05 -5.50798763715683e-05
35328 34.5 -5.72293247366184e-05 -5.72293247368857e-05 -5.72293247373793e-05
35840 35 -5.42286112469672e-05 -5.4228611246411e-05 -5.4228611247742e-05
36352 35.5 -4.80336407268448e-05 -4.80336407278879e-05 -4.80336407286195e-05
36864 36 -4.48946535070168e-05 -4.48946535097879e-05 -4.48946535081728e-05
37376 36.5 -4.94498939506388e-05 -4.9449893952365e-05 -4.94498939496573e-05
37888 37 -5.85318065549976e-05 -5.85318065538146e-05 -5.85318065527089e-05
38400 37.5 -6.30579871535291e-05 -6.3057987150744e-05 -6.3057987152318e-05
38912 38 -5.79857714441091e-05 -5.79857714421699e-05 -5.79857714443487e-05
39424 38.5 -5.21664445896367e-05 -5.21664445916187e-05 -5.21664445868407e-05
39936 39 -5.5314992412557e-05 -5.53149924129313e-05 -5.53149924119183e-05
40448 39.5 -4.53800153341158e-05 -4.53800153350387e-05 -4.53800153372514e-05
40960 40 -4.21859763433673e-05 -4.2185976343857e-05 -4.21859763430256e-05
41472 40.5 -4.06212415672728e-05 -4.06212415666519e-05 -4.06212415676681e-05
41984 41 -4.68831451925634e-05 -4.68831451888664e-05 -4.68831451890592e-05
42496 41.5 -4.71868654572849e-05 -4.71868654560045e-05 -4.71868654555271e-05
43008 42 -3.83923453531156e-05 -3.83923453534551e-05 -3.8392345349796e-05
43520 42.5 -3.31100612470197e-05 -3.3110061245678e-05 -3.31100612461303e-05
44032 43 -3.61241096409279e-05 -3.61241096417489e-05 -3.61241096429143e-05
44544 43.5 -3.52195584775135e-05 -3.52195584781957e-05 -3.52195584796636e-05
45056 44 -3.38006874792758e-05 -3.3800687473652e-05 -3.38006874802835e-05
45568 44.5 -3.59415230638951e-05 -3.59415230592018e-05 -3.59415230642103e-05
46080 45 -3.51051753703843e-05 -3.51051753710916e-05 -3.51051753709189e-05
46592 45.5 -3.23893734110075e-05 -3.23893734106991e-05 -3.23893734190355e-05
47104 46 -3.40900545537354e-05 -3.40900545479556e-05 -3.40900545541977e-05
47616 46.5 -3.02911637192784e-05 -3.02911637108086e-05 -3.02911637117134e-05
48128 47 -3.2741001542703e-05 -3.27410015462532e-05 -3.27410015449398e-05
48640 47.5 -3.91953524104008e-05 -3.91953524033441e-05 -3.91953524007687e-05
49152 48 -3.55126300064041e-05 -3.55126299974767e-05 -3.55126300058227e-05
49664 48.5 -2.85830732957554e-05 -2.85830732932337e-05 -2.85830732924289e-05
50176 49 -2.75560482340794e-05 -2.75560482286582e-05 -2.7556048235776e-05
50688 49.5 -3.46169907151461e-05 -3.46169907202396e-05 -3.46169907158624e-05
51200 50 -3.7724343791775e-05 -3.77243437939037e-05 -3.77243437958492e-05
51712 50.5 -3.28079398683231e-05 -3.28079398687136e-05 -3.28079398730517e-05
52224 51 -2.37423223787193e-05 -2.37423223795861e-05 -2.37423223796051e-05
52736 51.5 -2.35808442496173e-05 -2.35808442485399e-05 -2.35808442518961e-05
53248 52 -3.00865638639694e-05 -3.00865638654098e-05 -3.00865638658555e-05
53760 52.5 -3.10751678853704e-05 -3.10751678870431e-05 -3.107516789298e-05
54272 53 -2.03009049735509e-05 -2.03009049715249e-05 -2.03009049749809e-05
54784 53.5 -2.31115793998924e-05 -2.31115793930346e-05 -2.31115794050606e-05
55296 54 -2.14809197996153e-05 -2.14809197999019e-05 -2.14809198013638e-05
55808 54.5 -2.93965654823421e-05 -2.93965654813904e-05 -2.93965654821164e-05
56320 55 -2.89876972708641e-05 -2.89876972705589e-05 -2.89876972693551e-05
56832 55.5 -2.02983274451523e-05 -2.02983274452417e-05 -2.02983274436923e-05
57344 56 -2.00521557787133e-05 -2.0052155778449e-05 -2.00521557790042e-05
57856 56.5 -2.1431615567389e-05 -2.14316155670933e-05 -2.14316155654442e-05
58368 57 -1.96798150616652e-05 -1.9679815061338e-05 -1.96798150596918e-05
58880 57.5 -1.88147360776385e-05 -1.88147360816807e-05 -1.88147360805946e-05
59392 58 -1.84944124185953e-05 -1.84944124270045e-05 -1.84944124229554e-05
59904 58.5 -2.3476885375473e-05 -2.3476885372852e-05 -2.34768853683219e-05
60416 59 -2.51178310113882e-05 -2.51178310113588e-05 -2.5117831008155e-05
60928 59.5 -2.15928564482288e-05 -2.15928564485245e-05 -2.15928564501042e-05
61440 60 -2.1248755185266e-05 -2.12487551863005e-05 -2.12487551847141e-05
61952 60.5 -2.00327244445072e-05 -2.00327244446753e-05 -2.00327244440241e-05
62464 61 -2.3179778473388e-05 -2.31797784725286e-05 -2.31797784714827e-05
62976 61.5 -2.35691859624295e-05 -2.35691859611486e-05 -2.35691859594726e-05
63488 62 -1.97442328194643e-05 -1.97442328198314e-05 -1.97442328166201e-05
64000 62.5 -1.88396035974737e-05 -1.88396035968528e-05 -1.88396035933513e-05
64512 63 -2.02717956284321e-05 -2.02717956278953e-05 -2.02717956274823e-05
65024 63.5 -1.82030098542707e-05 -1.82030098607346e-05 -1.82030098499135e-05
65536 64 -1.74178881453284e-05 -1.74178881490427e-05 -1.74178881522509e-05
66048 64.5 -1.4551331613597e-05 -1.45513316214029e-05 -1.45513316123981e-05
66560 65 -1.68191853725122e-05 -1.68191853673559e-05 -1.6819185368717e-05
67072 65.5 -1.70216965394641e-05 -1.70216965391788e-05 -1.70216965395875e-05
67584 66 -1.57259349361787e-05 -1.57259349320321e-05 -1.57259349323307e-05
68096 66.5 -1.44264468128815e-05 -1.44264468142623e-05 -1.44264468165372e-05
68608 67 -1.41248307865502e-05 -1.41248307846984e-05 -1.41248307846785e-05
69120 67.5 -1.66627506490007e-05 -1.66627506447716e-05 -1.66627506446495e-05
69632 68 -1.52192051197044e-05 -1.52192051182103e-05 -1.52192051167019e-05
70144 68.5 -1.31652190633541e-05 -1.31652190575106e-05 -1.31652190593565e-05
70656 69 -1.50333338646331e-05 -1.50333338604006e-05 -1.50333338608413e-05
71168 69.5 -1.6941223397041e-05 -1.69412233964445e-05 -1.69412233958064e-05
71680 70 -1.97794832692066e-05 -1.97794832689861e-05 -1.97794832696006e-05
72192 70.5 -2.14072173688221e-05 -2.14072173696464e-05 -2.14072173693186e-05
72704 71 -2.15028727712828e-05 -2.1502872771522e-05 -2.15028727707599e-05
73216 71.5 -2.29892981403347e-05 -2.29892981425805e-05 -2.29892981402402e-05
73728 72 -2.34566574961429e-05 -2.34566574978161e-05 -2.34566574976929e-05
74240 72.5 -2.39819190395535e-05 -2.39819190396734e-05 -2.39819190405648e-05
74752 73 -2.43561362166441e-05 -2.43561362164546e-05 -2.43561362169814e-05
75264 73.5 -2.31242226049439e-05 -2.31242226060255e-05 -2.3124222604607e-05
75776 74 -2.04414305386366e-05 -2.04414305409116e-05 -2.04414305385341e-05
76288 74.5 -1.77901881705636e-05 -1.77901881685396e-05 -1.77901881684006e-05
76800 75 -2.01111184520703e-05 -2.01111184558263e-05 -2.01111184519987e-05
77312 75.5 -1.828829641168e-05 -1.82882964166161e-05 -1.82882964137978e-05
77824 76 -1.98968472797459e-05 -1.98968472772083e-05 -1.98968472791661e-05
78336 76.5 -2.12536206019539e-05 -2.12536206026647e-05 -2.12536206027969e-05
78848 77 -1.72345617557701e-05 -1.72345617579795e-05 -1.72345617558703e-05
79360 77.5 -1.81089989294772e-05 -1.8108998933925e-05 -1.81089989348257e-05
79872 78 -1.76319534987263e-05 -1.76319534979225e-05 -1.7631953501749e-05
80384 78.5 -1.63851075242333e-05 -1.63851075260055e-05 -1.63851075231118e-05
80896 79 -1.35739488547492e-05 -1.35739488554813e-05 -1.35739488558254e-05
81408 79.5 -1.35114053333597e-05 -1.35114053330125e-05 -1.35114053318549e-05
81920 80 -1.39473616835584e-05 -1.39473616808311e-05 -1.39473616808231e-05
82432 80.5 -1.2965759622255e-05 -1.29657596256686e-05 -1.29657596318921e-05
82944 81 -1.337343171073e-05 -1.33734317109097e-05 -1.3373431709011e-05
83456 81.5 -1.08354399333791e-05 -1.08354399321084e-05 -1.08354399334321e-05
83968 82 -1.22681359197504e-05 -1.2268135929949e-05 -1.22681359235642e-05
84480 82.5 -1.10028586728579e-05 -1.10028586805115e-05 -1.10028586837348e-05
84992 83 -1.0082254705235e-05 -1.00822547041024e-05 -1.00822547047023e-05
85504 83.5 -1.08430092063779e-05 -1.08430092065448e-05 -1.08430092055157e-05
86016 84 -1.24694148933578e-05 -1.24694148933875e-05 -1.24694148952442e-05
86528 84.5 -1.29134625803655e-05 -1.29134625799735e-05 -1.29134625817047e-05
87040 85 -1.34187224870164e-05 -1.34187224900321e-05 -1.3418722488008e-05
87552 85.5 -1.53986125306421e-05 -1.53986125284777e-05 -1.53986125294917e-05
88064 86 -1.49187634159677e-05 -1.49187634171098e-05 -1.49187634163144e-05
88576 86.5 -1.50396960004039e-05 -1.50396960009832e-05 -1.50396959988207e-05
89088 87 -1.72368596737327e-05 -1.72368596750313e-05 -1.72368596742426e-05
89600 87.5 -1.8527784675004e-05 -1.85277846759443e-05 -1.85277846764474e-05
90112 88 -1.80652903847834e-05 -1.80652903849612e-05 -1.80652903865262e-05
90624 88.5 -1.92990300048532e-05 -1.92990300056261e-05 -1.92990300066734e-05
91136 89 -1.89825613875985e-05 -1.89825613895305e-05 -1.89825613896637e-05
91648 89.5 -2.11770901193635e-05 -2.11770901183869e-05 -2.11770901178735e-05
92160 90 -2.18926811688477e-05 -2.1892681169303e-05 -2.18926811690717e-05
92672 90.5 -2.01814598361185e-05 -2.01814598389276e-05 -2.01814598376381e-05
93184 91 -2.21947371383769e-05 -2.21947371425302e-05 -2.21947371392675e-05
93696 91.5 -2.15946980007844e-05 -2.15946980014653e-05 -2.15946980008092e-05
94208 92 -1.87099249643239e-05 -1.87099249604208e-05 -1.87099249632694e-05
94720 92.5 -2.10066390264191e-05 -2.10066390232513e-05 -2.10066390238327e-05
95232 93 -2.19353544586637e-05 -2.19353544590906e-05 -2.19353544565325e-05
95744 93.5 -2.133758631168e-05 -2.13375863133717e-05 -2.13375863103375e-05
96256 94 -2.09105566861809e-05 -2.09105566868605e-05 -2.09105566858199e-05
96768 94.5 -2.23163658928954e-05 -2.23163658911048e-05 -2.23163658937079e-05
97280 95 -2.32813886468926e-05 -2.3281388647302e-05 -2.32813886500635e-05
97792 95.5 -2.30735934041073e-05 -2.30735934031638e-05 -2.30735934056743e-05
98304 96 -2.14311473402241e-05 -2.14311473424522e-05 -2.14311473412905e-05
98816 96.5 -2.31525717243561e-05 -2.3152571724195e-05 -2.31525717232723e-05
99328 97 -2.29351826196555e-05 -2.29351826181819e-05 -2.29351826173786e-05
99840 97.5 -2.24940115387117e-05 -2.24940115396426e-05 -2.24940115367011e-05
100352 98 -2.43197981349633e-05 -2.43197981350495e-05 -2.43197981328533e-05
100864 98.5 -2.43155208160766e-05 -2.4315520815163e-05 -2.43155208145725e-05
101376 99 -2.34835611627512e-05 -2.34835611612658e-05 -2.34835611625225e-05
101888 99.5 -2.61764892048335e-05 -2.61764892007547e-05 -2.61764892006302e-05
102400 100 -2.8168632564038e-05 -2.81686325607596e-05 -2.81686325605783e-05
102912 100.5 -2.71064163359271e-05 -2.71064163375938e-05 -2.71064163378095e-05
103424 101 -2.7642638148625e-05 -2.76426381475094e-05 -2.76426381472674e-05
103936 101.5 -2.64754850047486e-05 -2.6475485001959e-05 -2.64754850017768e-05
104448 102 -2.48734664991012e-05 -2.48734664989899e-05 -2.48734664981245e-05
104960 102.5 -2.4885647025938e-05 -2.48856470225576e-05 -2.48856470255098e-05
105472 103 -2.58825782908921e-05 -2.58825782938209e-05 -2.58825782919709e-05
105984 103.5 -2.77562184530998e-05 -2.77562184538423e-05 -2.7756218452343e-05
106496 104 -2.85757637095296e-05 -2.85757637091966e-05 -2.85757637092667e-05
107008 104.5 -2.8566562869148e-05 -2.85665628624417e-05 -2.85665628677328e-05
107520 105 -3.26546037706596e-05 -3.26546037667306e-05 -3.26546037718092e-05
108032 105.5 -3.24640043038216e-05 -3.24640043042796e-05 -3.24640043051526e-05
108544 106 -2.94736062488528e-05 -2.94736062486408e-05 -2.9473606249646e-05
109056 106.5 -2.96155839012675e-05 -2.9615583902184e-05 -2.96155839015411e-05
109568 107 -2.87224657134161e-05 -2.87224657176137e-05 -2.87224657142921e-05
110080 107.5 -2.73447850218066e-05 -2.73447850248942e-05 -2.73447850222208e-05
110592 108 -2.69289745663504e-05 -2.69289745652511e-05 -2.69289745657045e-05
111104 108.5 -2.77204723082871e-05 -2.77204723056877e-05 -2.77204723070413e-05
111616 109 -2.86969258101243e-05 -2.86969258090816e-05 -2.86969258090137e-05
112128 109.5 -2.91101175994165e-05 -2.91101175979002e-05 -2.91101175985025e-05
112640 110 -2.97307208751203e-05 -2.9730720873464e-05 -2.97307208716743e-05
113152 110.5 -3.09602965848113e-05 -3.09602965839998e-05 -3.09602965770055e-05
113664 111 -2.98997670416049e-05 -2.98997670406717e-05 -2.9899767034441e-05
114176 111.5 -2.9277940576391e-05 -2.92779405762269e-05 -2.92779405761389e-05
114688 112 -3.00616971113124e-05 -3.00616971115703e-05 -3.00616971101011e-05
115200 112.5 -3.05819044942802e-05 -3.05819044942837e-05 -3.05819044922123e-05
115712 113 -3.06358451823865e-05 -3.0635845182466e-05 -3.06358451811063e-05
116224 113.5 -3.06792237116627e-05 -3.06792237154249e-05 -3.06792237150966e-05
116736 114 -3.37252239177284e-05 -3.37252239188289e-05 -3.37252239185311e-05
117248 114.5 -3.47860153416152e-05 -3.4786015339836e-05 -3.47860153386001e-05
117760 115 -3.37570996023277e-05 -3.37570995993052e-05 -3.37570995975198e-05
118272 115.5 -3.32530260080351e-05 -3.32530260060317e-05 -3.32530260078433e-05
118784 116 -3.37556107638375e-05 -3.37556107629041e-05 -3.37556107633718e-05
119296 116.5 -3.39769626522886e-05 -3.39769626510212e-05 -3.39769626488846e-05
119808 117 -3.44547837583229e-05 -3.44547837581866e-05 -3.44547837584086e-05
120320 117.5 -3.56675263697835e-05 -3.56675263672508e-05 -3.56675263661147e-05
120832 118 -3.70362972188831e-05 -3.70362972135053e-05 -3.70362972128891e-05
121344 118.5 -3.75300349831152e-05 -3.75300349803443e-05 -3.75300349798756e-05
121856 119 -3.72119264226105e-05 -3.72119264264009e-05 -3.72119264235949e-05
122368 119.5 -3.68815423239348e-05 -3.68815423212234e-05 -3.68815423216911e-05
122880 120 -3.7028360719881e-05 -3.7028360718187e-05 -3.70283607202399e-05
123392 120.5 -3.76625729447952e-05 -3.76625729440477e-05 -3.76625729440691e-05
123904 121 -3.78218004010747e-05 -3.78218003997284e-05 -3.78218004014e-05
124416 121.5 -3.76036945029828e-05 -3.76036945048798e-05 -3.76036945020532e-05
124928 122 -3.84952462295802e-05 -3.84952462298727e-05 -3.84952462267229e-05
125440 122.5 -3.84155462223255e-05 -3.84155462176265e-05 -3.84155462209984e-05
125952 123 -3.7530891631451e-05 -3.75308916280703e-05 -3.7530891632314e-05
126464 123.5 -3.78403114402664e-05 -3.78403114388709e-05 -3.78403114401721e-05
126976 124 -3.81571879520064e-05 -3.81571879505938e-05 -3.81571879522015e-05
127488 124.5 -3.80620249056464e-05 -3.80620249069786e-05 -3.80620249040899e-05
128000 125 -3.80063811961967e-05 -3.80063811965413e-05 -3.80063811962708e-05
128512 125.5 -3.79348653426116e-05 -3.79348653426019e-05 -3.79348653415547e-05
129024 126 -3.73748252733053e-05 -3.73748252770922e-05 -3.73748252724649e-05
129536 126.5 -3.71960618838326e-05 -3.71960618827697e-05 -3.71960618828323e-05
130048 127 -3.69271853728488e-05 -3.69271853736492e-05 -3.69271853733236e-05
130560 127.5 -3.70543927816149e-05 -3.7054392779978e-05 -3.70543927798697e-05
131072 128 -3.70530033358249e-05 -3.70530033337193e-05 -3.70530033351404e-05
131584 128.5 -3.65792547219136e-05 -3.6579254720194e-05 -3.65792547222007e-05
132096 129 -3.60570911059568e-05 -3.60570911068042e-05 -3.6057091106185e-05
132608 129.5 -3.589549084655e-05 -3.58954908503132e-05 -3.58954908466603e-05
133120 130 -3.60189984378614e-05 -3.60189984421763e-05 -3.60189984381684e-05
133632 130.5 -3.61081515018233e-05 -3.61081515040868e-05 -3.61081515022044e-05
134144 131 -3.60336535484904e-05 -3.60336535486719e-05 -3.60336535494281e-05
134656 131.5 -3.5883844616494e-05 -3.58838446160771e-05 -3.58838446171401e-05
135168 132 -3.57241544317224e-05 -3.57241544297376e-05 -3.57241544298595e-05
135680 132.5 -3.55304138256356e-05 -3.55304138211623e-05 -3.55304138229237e-05
136192 133 -3.53242482085975e-05 -3.53242482043175e-05 -3.53242482079904e-05
136704 133.5 -3.52010907087148e-05 -3.52010907087848e-05 -3.52010907096087e-05
137216 134 -3.51700350937249e-05 -3.5170035098009e-05 -3.51700350940203e-05
137728 134.5 -3.50813661480293e-05 -3.50813661512782e-05 -3.50813661481068e-05
138240 135 -3.48201098086012e-05 -3.48201098088941e-05 -3.48201098101115e-05
138752 135.5 -3.45127882628294e-05 -3.45127882629913e-05 -3.45127882651731e-05
139264 136 -3.44194068150863e-05 -3.44194068161994e-05 -3.44194068151951e-05
139776 136.5 -3.45982971388544e-05 -3.45982971387581e-05 -3.45982971363719e-05
140288 137 -3.47319030408505e-05 -3.47319030389875e-05 -3.47319030396497e-05
140800 137.5 -3.44588059641228e-05 -3.44588059618167e-05 -3.44588059639104e-05
141312 138 -3.38051932022919e-05 -3.38051932010851e-05 -3.3805193201124e-05
141824 138.5 -3.31593029234039e-05 -3.31593029240567e-05 -3.31593029226329e-05
142336 139 -3.28096179594104e-05 -3.280961796077e-05 -3.28096179601883e-05
142848 139.5 -3.26467572984625e-05 -3.26467572977163e-05 -3.26467572984313e-05
