# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669405752319346
1024 1 0.668086481706009
1536 1.5 0.666020189546496
2048 2 0.663365288856729
2560 2.5 0.660311728582254
3072 3 0.65707226803989
3584 3.5 0.653869179630033
4096 4 0.650914113166253
4608 4.5 0.648385218785427
5120 5 0.646409452711302
5632 5.5 0.645056256788061
6144 6 0.644342720736138
6656 6.5 0.644244641041116
7168 7 0.644706873246255
7680 7.5 0.645650347755394
8192 8 0.646978036429176
8704 8.5 0.648583107661073
9216 9 0.650359480702229
9728 9.5 0.65221346868661
10240 10 0.654077565887816
10752 10.5 0.655926199600574
11264 11 0.65778215450566
11776 11.5 0.659695766386078
12288 12 0.661699677792144
12800 12.5 0.663777765244975
13312 13 0.6658854125989
13824 13.5 0.668000960866747
14336 14 0.670144187719477
14848 14.5 0.672339002915126
15360 15 0.67457575952064
15872 15.5 0.676827418467508
16384 16 0.679090527970601
16896 16.5 0.681385350569674
17408 17 0.683717074434146
17920 17.5 0.686061631755373
18432 18 0.688397262237254
18944 18.5 0.690730528961421
19456 19 0.693079166254302
19968 19.5 0.695443404023502
20480 20 0.697808997032255
20992 20.5 0.700171138141647
21504 21 0.702541310649484
22016 21.5 0.704932152228685
22528 22 0.70734591431848
23040 22.5 0.709777824594029
23552 23 0.712220723226527
24064 23.5 0.714661026757662
24576 24 0.717075549054028
25088 24.5 0.719441570202561
25600 25 0.721754688271813
26112 25.5 0.724034284810076
26624 26 0.726306053570547
27136 26.5 0.728577420229082
27648 27 0.730832258763622
28160 27.5 0.733049129790637
28672 28 0.7352202607547
29184 28.5 0.737352810172842
29696 29 0.739458569836916
30208 29.5 0.741545085016196
30720 30 0.743609756121701
31232 30.5 0.745638262312975
31744 31 0.747615769023376
32256 31.5 0.749545683816472
32768 32 0.751451060065866
33280 32.5 0.753350193617271
33792 33 0.755235587048962
34304 33.5 0.757084350903241
34816 34 0.758885848929415
35328 34.5 0.760652116886851
35840 35 0.762403202444218
36352 35.5 0.764147813724284
36864 36 0.765876686941911
37376 36.5 0.767570994418566
37888 37 0.769219345870895
38400 37.5 0.770829547970123
38912 38 0.772420437190618
39424 38.5 0.773998348866016
39936 39 0.775545414466295
40448 39.5 0.777038054366495
40960 40 0.778476494414087
41472 40.5 0.779887299074336
41984 41 0.781291873065896
42496 41.5 0.782680154776123
43008 42 0.78402617297376
43520 42.5 0.785326533028269
44032 43 0.786609127369708
44544 43.5 0.787899485484591
45056 44 0.789191299482638
45568 44.5 0.79046027543644
46080 45 0.79169932647407
46592 45.5 0.792926961646504
47104 46 0.794161146508735
47616 46.5 0.795396138089209
48128 47 0.79661132622518
48640 47.5 0.79779739057078
49152 48 0.798964906908503
49664 48.5 0.800126172270332
50176 49 0.801276152724493
50688 49.5 0.802397958232137
51200 50 0.803484952065991
51712 50.5 0.804549542446789
52224 51 0.805606242833342
52736 51.5 0.806651887023272
53248 52 0.807671724070261
53760 52.5 0.80866373327142
54272 53 0.809644282619256
54784 53.5 0.810624986010114
55296 54 0.81159677940471
55808 54.5 0.812546513007117
56320 55 0.813478040806161
56832 55.5 0.814403521181369
57344 56 0.815321316633381
57856 56.5 0.816217489703466
58368 57 0.817086772769887
58880 57.5 0.817938133881263
59392 58 0.818777462736523
59904 58.5 0.819596567542081
60416 59 0.820385743587145
60928 59.5 0.821148626770854
61440 60 0.821895006122752
61952 60.5 0.822624141268132
62464 61 0.823326808606277
62976 61.5 0.824002044947177
63488 62 0.824659473227673
64000 62.5 0.825303619521766
64512 63 0.825928127387729
65024 63.5 0.826530516238874
65536 64 0.827122006227264
66048 64.5 0.827713701277767
66560 65 0.828299478496058
67072 65.5 0.828863159162215
67584 66 0.829400351770414
68096 66.5 0.829922975325734
68608 67 0.830442102129898
69120 67.5 0.830956577325137
69632 68 0.831460868495032
70144 68.5 0.831954208491971
70656 69 0.832437036191921
71168 69.5 0.832906736914775
71680 70 0.833363919723886
72192 70.5 0.833817076827647
72704 71 0.834273004062976
73216 71.5 0.834725811344279
73728 72 0.835163509919166
74240 72.5 0.83558434257161
74752 73 0.835998648613506
75264 73.5 0.836413971848618
75776 74 0.836826058419272
76288 74.5 0.837226897613613
76800 75 0.837614607006445
77312 75.5 0.837991750502355
77824 76 0.838359922719032
78336 76.5 0.838720298112243
78848 77 0.839074586537366
79360 77.5 0.839421211323848
79872 78 0.839755048521064
80384 78.5 0.840075157717904
80896 79 0.840388207742155
81408 79.5 0.840699439977968
81920 80 0.841004641989915
82432 80.5 0.841296905005182
82944 81 0.841577676207954
83456 81.5 0.841854135653711
83968 82 0.842127605586106
84480 82.5 0.842391967572088
84992 83 0.842643665957902
85504 83.5 0.842886388522411
86016 84 0.84312385563408
86528 84.5 0.843353612722186
87040 85 0.843571215575297
87552 85.5 0.843776970469253
88064 86 0.843974782070354
88576 86.5 0.8441659817651
89088 87 0.84434785058301
89600 87.5 0.844518463882782
90112 88 0.844680220951353
90624 88.5 0.844836844903674
91136 89 0.844988363792211
91648 89.5 0.84513173195365
92160 90 0.8452662858694
92672 90.5 0.845395608900455
93184 91 0.845522772008083
93696 91.5 0.84564618067429
94208 92 0.845762068175621
94720 92.5 0.845869656742444
95232 93 0.845971894056054
95744 93.5 0.846071287556097
96256 94 0.846166480155268
96768 94.5 0.846253667887455
97280 95 0.846330934268667
97792 95.5 0.846400248723864
98304 96 0.84646447370745
98816 96.5 0.846522853438414
99328 97 0.846571422449423
99840 97.5 0.846608911764419
100352 98 0.8466396682001
100864 98.5 0.846667784435254
101376 99 0.846690600700858
101888 99.5 0.846702540470546
102400 100 0.846703903640893
102912 100.5 0.846700526685139
103424 101 0.846695275133369
103936 101.5 0.846685055522574
104448 102 0.846666398669176
104960 102.5 0.84663948092365
105472 103 0.846606106729922
105984 103.5 0.84656730543004
106496 104 0.846523561629273
107008 104.5 0.846474839602602
107520 105 0.846419948261271
108032 105.5 0.846357658332399
108544 106 0.846288531129438
109056 106.5 0.846214345478602
109568 107 0.846135695465248
110080 107.5 0.846051059155756
110592 108 0.845958692477617
111104 108.5 0.845859144778189
111616 109 0.845754735562527
112128 109.5 0.8456460434049
112640 110 0.845530754818677
113152 110.5 0.845407281751525
113664 111 0.845277328914856
114176 111.5 0.845142957422115
114688 112 0.845003079870393
115200 112.5 0.844855084890837
115712 113 0.844698718704247
116224 113.5 0.844536274717232
116736 114 0.844369205893764
117248 114.5 0.844196170015969
117760 115 0.844014954515242
118272 115.5 0.8438253741848
118784 116 0.843629330145986
119296 116.5 0.843428206284952
119808 117 0.843221126415287
120320 117.5 0.843006384195682
120832 118 0.842784046818429
121344 118.5 0.842555825599831
121856 119 0.842322317924444
122368 119.5 0.84208206829937
122880 120 0.841833981288696
123392 120.5 0.841579040922375
123904 121 0.841318625740875
124416 121.5 0.841052300980431
124928 122 0.840778506989546
125440 122.5 0.840496878554127
125952 123 0.840208519005547
126464 123.5 0.839913892297111
126976 124 0.839611945024622
127488 124.5 0.839302060224582
128000 125 0.838985396997476
128512 125.5 0.838662936173179
129024 126 0.838333378654338
129536 126.5 0.837994837288907
130048 127 0.837648036523533
130560 127.5 0.837295682718132
131072 128 0.83693844509288
131584 128.5 0.836573677657698
132096 129 0.83619906984542
132608 129.5 0.835815838551836
133120 130 0.835426903018684
133632 130.5 0.835032944870206
134144 131 0.834631741911482
134656 131.5 0.834221137709735
135168 132 0.833801522860266
135680 132.5 0.833375008717209
136192 133 0.832942711056208
136704 133.5 0.832503489242102
137216 134 0.832055437647873
137728 134.5 0.831598134793452
138240 135 0.831132909562333
138752 135.5 0.830660947315467
139264 136 0.830181758508665
139776 136.5 0.829693941785715
140288 137 0.829197074815414
140800 137.5 0.828692111156478
141312 138 0.828179816598103
141824 138.5 0.827659581444752
142336 139 0.827130381656469
142848 139.5 0.826592395253834
143360 140 0.826046698048884
143872 140.5 0.825493428062311
144384 141 0.824931316005053
144896 141.5 0.824359485023839
145408 142 0.823778843411129
145920 142.5 0.823190780475844
146432 143 0.822594934854109
146944 143.5 0.821989472342376
147456 144 0.821373678567215
147968 144.5 0.820748993103501
148480 145 0.820116791263844
148992 145.5 0.819476222502761
149504 146 0.818825412491203
150016 146.5 0.818164151556494
150528 147 0.817493942776653
151040 147.5 0.816815510507342
151552 148 0.816127773016383
152064 148.5 0.815429706251518
152576 149 0.814721885023178
153088 149.5 0.814005284686773
153600 150 0.813279502366969
154112 150.5 0.812543338611517
154624 151 0.811796700845425
155136 151.5 0.811040694753199
155648 152 0.810275772788317
156160 152.5 0.809500921226092
156672 153 0.808715175683625
157184 153.5 0.807919053537784
157696 154 0.807113633416126
158208 154.5 0.806298725247349
158720 155 0.805473025088846
159232 155.5 0.804636068935101
159744 156 0.803788958741692
160256 156.5 0.802932664130185
160768 157 0.802066452891177
161280 157.5 0.801188880738043
161792 158 0.800299871016478
162304 158.5 0.799400730743538
162816 159 0.798492126906643
163328 159.5 0.797573138827186
163840 160 0.796642706857255
164352 160.5 0.795701091659302
164864 161 0.794749193757381
165376 161.5 0.793787064135869
165888 162 0.792813954242983
166400 162.5 0.791829547984615
166912 163 0.790834278320838
167424 163.5 0.789828398039214
167936 164 0.788811475562888
168448 164.5 0.787783077480294
168960 165 0.786743409490371
169472 165.5 0.785692868285224
169984 166 0.784631291070902
170496 166.5 0.783558141905552
171008 167 0.782473306879987
171520 167.5 0.78137716823103
172032 168 0.780269828224194
172544 168.5 0.779150813442348
173056 169 0.778019832011006
173568 169.5 0.776877306343984
174080 170 0.775723624175698
174592 170.5 0.77455824778495
175104 171 0.773380344406324
175616 171.5 0.772190193368376
176128 172 0.770989038493308
176640 172.5 0.769777253310033
177152 173 0.768553545053614
177664 173.5 0.767316709072553
178176 174 0.766067547878281
178688 174.5 0.764807952797629
179200 175 0.763538215378537
179712 175.5 0.762256504415006
180224 176 0.760961509680506
180736 176.5 0.759654513732932
181248 177 0.758337739949866
181760 177.5 0.757011230071237
182272 178 0.755672815204957
182784 178.5 0.754321317722134
183296 179 0.752958359401516
183808 179.5 0.751586155734306
184320 180 0.75020454701869
184832 180.5 0.748811582315889
185344 181 0.747406716698841
185856 181.5 0.745991918225279
186368 182 0.744569180072262
186880 182.5 0.743138196181329
187392 183 0.741697518867767
187904 183.5 0.740247304855607
188416 184 0.73878960286722
188928 184.5 0.737325945551425
189440 185 0.735855851093828
189952 185.5 0.734378217369241
190464 186 0.732893348666635
190976 186.5 0.731402758042963
191488 187 0.729907311898642
192000 187.5 0.728406444715699
192512 188 0.726899318820201
193024 188.5 0.725386125421959
193536 189 0.723867966447555
194048 189.5 0.722346006372719
194560 190 0.72082135655232
195072 190.5 0.719295588601798
195584 191 0.717770449985963
196096 191.5 0.716246490535807
196608 192 0.714722490333299
197120 192.5 0.713197252583682
197632 193 0.711672096000262
198144 193.5 0.710150711742974
198656 194 0.708635913550279
199168 194.5 0.707126710169917
199680 195 0.705619194992001
200192 195.5 0.704110994848402
200704 196 0.702605000188909
201216 196.5 0.701108007159506
201728 197 0.699625429858757
202240 197.5 0.698158284292658
202752 198 0.696705197942081
203264 198.5 0.695265200406054
203776 199 0.693837973834311
204288 199.5 0.692423868841899
204800 200 0.691025156986733
205312 200.5 0.689645955997722
205824 201 0.688290086691751
206336 201.5 0.686959525810769
206848 202 0.685654710205717
207360 202.5 0.684375995366375
207872 203 0.683125546969705
208384 203.5 0.681907679287091
208896 204 0.680726187564048
209408 204.5 0.679582044718392
209920 205 0.67847538006315
210432 205.5 0.67740878600958
210944 206 0.67638671633654
211456 206.5 0.675412422628656
211968 207 0.674487215097958
212480 207.5 0.673611937496541
212992 208 0.67278772403791
213504 208.5 0.672016394511687
214016 209 0.671302018578039
214528 209.5 0.67065160065964
215040 210 0.670072180672388
215552 210.5 0.669566221480566
216064 211 0.669128667227709
216576 211.5 0.668753091573918
217088 212 0.668443299517449
217600 212.5 0.668215815634117
218112 213 0.6680896037774
218624 213.5 0.66807121048817
219136 214 0.668150672454662
