# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000245759997100508
512 0.5 0.000244305765558008
1024 1 0.000242671795578036
1536 1.5 0.000240877784950683
2048 2 0.000238920420280077
2560 2.5 0.000236839345514939
3072 3 0.000234670577805687
3584 3.5 0.000232439619808243
4096 4 0.000230163208264072
4608 4.5 0.000227854878317611
5120 5 0.000225521533682313
5632 5.5 0.000223162502476328
6144 6 0.000220771244212505
6656 6.5 0.000218335554791005
7168 7 0.000215838207358376
7680 7.5 0.000213259128060289
8192 8 0.00021057786664188
8704 8.5 0.000207773732550945
9216 9 0.000204824647759317
9728 9.5 0.000201709990873623
10240 10 0.000198412995807021
10752 10.5 0.00019492492399246
11264 11 0.000191241020094261
11776 11.5 0.000187359653705682
12288 12 0.00018328550066369
12800 12.5 0.000179027748389803
13312 13 0.000174604397225523
13824 13.5 0.000170040261998048
14336 14 0.000165358080663006
14848 14.5 0.00016058298242191
15360 15 0.000155744680624793
15872 15.5 0.000150873004380399
16384 16 0.000145993223205318
16896 16.5 0.000141127639101345
17408 17 0.000136296140023258
17920 17.5 0.000131522770023684
18432 18 0.000126830423604894
18944 18.5 0.000122236142317606
19456 19 0.000117753791994061
19968 19.5 0.000113396669805589
20480 20 0.000109176377888906
20992 20.5 0.000105100524606684
21504 21 0.000101172768242926
22016 21.5 9.73945856395928e-05
22528 22 9.37661777479733e-05
23040 22.5 9.02861017706821e-05
23552 23 8.69511717110051e-05
24064 23.5 8.37572533183107e-05
24576 24 8.06999242332495e-05
25088 24.5 7.777411629545e-05
25600 25 7.49733099974743e-05
26112 25.5 7.22897011794455e-05
26624 26 6.97156534117377e-05
27136 26.5 6.72449954696951e-05
27648 27 6.48727713296027e-05
28160 27.5 6.25939851188245e-05
28672 28 6.04030046343548e-05
29184 28.5 5.82941182511125e-05
29696 29 5.62622812700108e-05
30208 29.5 5.43033845456488e-05
30720 30 5.2414299071254e-05
31232 30.5 5.05927523136501e-05
31744 31 4.88366905906103e-05
32256 31.5 4.71435281640512e-05
32768 32 4.5510330174741e-05
33280 32.5 4.39348740747061e-05
33792 33 4.24161961141298e-05
34304 33.5 4.09537834674986e-05
34816 34 3.95463739779305e-05
35328 34.5 3.81916392118371e-05
35840 35 3.68865872884071e-05
36352 35.5 3.56301224099043e-05
36864 36 3.44217424587928e-05
37376 36.5 3.32609763219594e-05
37888 37 3.214687527395e-05
38400 37.5 3.10778708939099e-05
38912 38 3.00522257358047e-05
39424 38.5 2.90686279799364e-05
39936 39 2.81262297850298e-05
40448 39.5 2.72240492075098e-05
40960 40 2.63604222336472e-05
41472 40.5 2.55333286323013e-05
41984 41 2.4741096361997e-05
42496 41.5 2.39827391122628e-05
43008 42 2.32574164870753e-05
43520 42.5 2.25637165980653e-05
44032 43 2.18997378304933e-05
44544 43.5 2.12638133452309e-05
45056 44 2.06548649017212e-05
45568 44.5 2.00719854275043e-05
46080 45 1.95138991134697e-05
46592 45.5 1.89790002878289e-05
47104 46 1.84658352585387e-05
47616 46.5 1.79733763346077e-05
48128 47 1.75008011970533e-05
48640 47.5 1.70471302792733e-05
49152 48 1.66111885323775e-05
49664 48.5 1.61918946089053e-05
50176 49 1.57884823911212e-05
50688 49.5 1.54003814513634e-05
51200 50 1.50269304104092e-05
51712 50.5 1.46673122160756e-05
52224 51 1.43208078855711e-05
52736 51.5 1.39869820657467e-05
53248 52 1.36655191869399e-05
53760 52.5 1.33559576029733e-05
54272 53 1.30576779858486e-05
54784 53.5 1.27700297264343e-05
55296 54 1.24918677666109e-05
55808 54.5 1.22231600082447e-05
56320 55 1.19639806652598e-05
56832 55.5 1.17143414939687e-05
57344 56 1.14744085054102e-05
57856 56.5 1.1244565757325e-05
58368 57 1.10250088711563e-05
58880 57.5 1.08156740840959e-05
59392 58 1.06164038937297e-05
59904 58.5 1.04270271465908e-05
60416 59 1.02472415940337e-05
60928 59.5 1.00765453692184e-05
61440 60 9.91434589667364e-06
61952 60.5 9.76009822673405e-06
62464 61 9.61327336558718e-06
62976 61.5 9.47324153072455e-06
63488 62 9.33929820928843e-06
64000 62.5 9.21087606010961e-06
64512 63 9.08759496540468e-06
65024 63.5 8.96904503555521e-06
65536 64 8.85471582818138e-06
66048 64.5 8.74410411999694e-06
66560 65 8.63684370157547e-06
67072 65.5 8.53238409933868e-06
67584 66 8.42972909281585e-06
68096 66.5 8.32850289919968e-06
68608 67 8.22848579862269e-06
69120 67.5 8.12960488917204e-06
69632 68 8.03186515746528e-06
70144 68.5 7.93528717959219e-06
70656 69 7.83994132885195e-06
71168 69.5 7.74594933243077e-06
71680 70 7.65343087115248e-06
72192 70.5 7.56247673144657e-06
72704 71 7.4731874062219e-06
73216 71.5 7.38564557018769e-06
73728 72 7.29989927787691e-06
74240 72.5 7.21594512901776e-06
74752 73 7.13374161313047e-06
75264 73.5 7.05328340660814e-06
75776 74 6.97462408909787e-06
76288 74.5 6.89782143383039e-06
76800 75 6.82289851929298e-06
77312 75.5 6.74986934426675e-06
77824 76 6.67876678280257e-06
78336 76.5 6.60962830489182e-06
78848 77 6.54248429945255e-06
79360 77.5 6.47737828703213e-06
79872 78 6.41436887834021e-06
80384 78.5 6.35349852594932e-06
80896 79 6.2947880662266e-06
81408 79.5 6.23826995376456e-06
81920 80 6.18401095586045e-06
82432 80.5 6.1320738992117e-06
82944 81 6.0824768323557e-06
83456 81.5 6.03514182977974e-06
83968 82 5.98983397482323e-06
84480 82.5 5.94637491214286e-06
84992 83 5.90439115570729e-06
85504 83.5 5.86476477690778e-06
86016 84 5.82792652636666e-06
86528 84.5 5.79427145666519e-06
87040 85 5.76412456634823e-06
87552 85.5 5.73758258294929e-06
88064 86 5.71419831286944e-06
88576 86.5 5.69389110940579e-06
89088 87 5.67664903878799e-06
89600 87.5 5.66241469817835e-06
90112 88 5.65107374543394e-06
90624 88.5 5.64248135464098e-06
91136 89 5.63604977169134e-06
91648 89.5 5.63095780197412e-06
92160 90 5.62710679427418e-06
92672 90.5 5.62518316051376e-06
93184 91 5.62580967361207e-06
93696 91.5 5.62861805408048e-06
94208 92 5.63325501790757e-06
94720 92.5 5.63937268744932e-06
95232 93 5.64662511922079e-06
95744 93.5 5.65473278415925e-06
96256 94 5.66355743695222e-06
96768 94.5 5.67304592747408e-06
97280 95 5.68314452794038e-06
97792 95.5 5.69379259595399e-06
98304 96 5.70494521377991e-06
98816 96.5 5.7165923366374e-06
99328 97 5.72874688410392e-06
99840 97.5 5.74141147480846e-06
100352 98 5.75351193303442e-06
100864 98.5 5.76380147659866e-06
