# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000118876108076141
512 0.5 0.000120410380980414
1024 1 0.000122510198191101
1536 1.5 0.000123737244808898
2048 2 0.000124118324110505
2560 2.5 0.000124381463887938
3072 3 0.000124955475449122
3584 3.5 0.000125688161162172
4096 4 0.000126230809922228
4608 4.5 0.000126615775024866
5120 5 0.000127114125580429
5632 5.5 0.000127786793819695
6144 6 0.000128379959626905
6656 6.5 0.000128742924379605
7168 7 0.00012908236178121
7680 7.5 0.000129601156816468
8192 8 0.000130185581298437
8704 8.5 0.000130633219308278
9216 9 0.00013099284136787
9728 9.5 0.00013144315653993
10240 10 0.000132012844216776
10752 10.5 0.000132595553856786
11264 11 0.000133149103879685
11776 11.5 0.000133693025854168
12288 12 0.000134246630147675
12800 12.5 0.000134818131359236
13312 13 0.000135422261632113
13824 13.5 0.000136056502082147
14336 14 0.000136680791445098
14848 14.5 0.000137263288305685
15360 15 0.000137830371754986
15872 15.5 0.000138423152340247
16384 16 0.000139044987605776
16896 16.5 0.000139667146581094
17408 17 0.000140287877883162
17920 17.5 0.000140912826000064
18432 18 0.000141509412374502
18944 18.5 0.000142043084343089
19456 19 0.000142536711998141
19968 19.5 0.000143078642804047
20480 20 0.000143678164285107
20992 20.5 0.000144226078016988
21504 21 0.000144635512170466
22016 21.5 0.000144950080539731
22528 22 0.000145325127492944
23040 22.5 0.000145848424140767
23552 23 0.000146444711738848
24064 23.5 0.000146972763092086
24576 24 0.000147351676427651
25088 24.5 0.000147638484416431
25600 25 0.000147972353276021
26112 25.5 0.00014844699678182
26624 26 0.000149032469649039
27136 26.5 0.000149598218574455
27648 27 0.000150033517550342
28160 27.5 0.000150358333822035
28672 28 0.000150709626952738
29184 28.5 0.000151176004945551
29696 29 0.000151710622901582
30208 29.5 0.000152199373379233
30720 30 0.000152595990380411
31232 30.5 0.000152942152439555
31744 31 0.000153295640399819
32256 31.5 0.00015367258855639
32768 32 0.000154051837161828
33280 32.5 0.000154422976724166
33792 33 0.00015477884197755
34304 33.5 0.000155101488904441
34816 34 0.000155388918453423
35328 34.5 0.000155674847339047
35840 35 0.000155990952645614
36352 35.5 0.000156321046822181
36864 36 0.00015661485862383
37376 36.5 0.000156845207513756
37888 37 0.000157040285589522
38400 37.5 0.00015724190700535
38912 38 0.000157465605692922
39424 38.5 0.000157694110813109
39936 39 0.000157894962386954
40448 39.5 0.000158050789004614
40960 40 0.000158179241299439
41472 40.5 0.00015831605242655
41984 41 0.000158475162858472
42496 41.5 0.000158641176086538
43008 42 0.000158794304855115
43520 42.5 0.000158927560079786
44032 43 0.000159046113001277
44544 43.5 0.000159160600716012
45056 44 0.000159290441522632
45568 44.5 0.00015944510241005
46080 45 0.000159609210321343
46592 45.5 0.000159753146269311
47104 46 0.000159865249107915
47616 46.5 0.000159972463228017
48128 47 0.000160111888774032
48640 47.5 0.000160289345771418
49152 48 0.000160465616581349
49664 48.5 0.000160601472809961
50176 49 0.000160705559291594
50688 49.5 0.000160820213333898
51200 50 0.000160964963199432
51712 50.5 0.000161114688014117
52224 51 0.000161241723575852
52736 51.5 0.000161346959244836
53248 52 0.00016144945211827
53760 52.5 0.000161556759592682
54272 53 0.000161656434947942
54784 53.5 0.00016174131358044
55296 54 0.000161819786021957
