# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.00419268884765592
512 0.5 0.00395827661428806
1024 1 0.00372955514294041
1536 1.5 0.00363473785170576
2048 2 0.0037631730377331
2560 2.5 0.00387714939131624
3072 3 0.00397052177089348
3584 3.5 0.00405005573608142
4096 4 0.00412851120620466
4608 4.5 0.00421306703440058
5120 5 0.0042990921056754
5632 5.5 0.00437508527129393
6144 6 0.00443414379607095
6656 6.5 0.00448025438203161
7168 7 0.00452322311853259
7680 7.5 0.00456994863596878
8192 8 0.00462234041927755
8704 8.5 0.00467906670705201
9216 9 0.00473402716264054
9728 9.5 0.00477856443138483
10240 10 0.00481388272818029
10752 10.5 0.00485505461179958
11264 11 0.00491105618742978
11776 11.5 0.0049683253324877
12288 12 0.00500970424028548
12800 12.5 0.00504327153459371
13312 13 0.00509266826696221
13824 13.5 0.00516118868416651
14336 14 0.00522589536878609
14848 14.5 0.00526879948244923
15360 15 0.00530042864892477
15872 15.5 0.0053443998354226
16384 16 0.00540484015190652
16896 16.5 0.00546039977684994
17408 17 0.00549443436884947
17920 17.5 0.00551911239686733
18432 18 0.00555477201176668
18944 18.5 0.00559620588682181
19456 19 0.00562241576283319
19968 19.5 0.00563624815959956
20480 20 0.00566342963163136
20992 20.5 0.00570716665441607
21504 21 0.00573631384992604
22016 21.5 0.00573316847974845
22528 22 0.00572405263157612
23040 22.5 0.00574100709391428
23552 23 0.00577572224819168
24064 23.5 0.00579677077071456
24576 24 0.00579671717785207
25088 24.5 0.00579448468733551
25600 25 0.00579966210624396
26112 25.5 0.00580353646625239
26624 26 0.00580505886607992
27136 26.5 0.0058173563221625
27648 27 0.00584029775057879
28160 27.5 0.00585071684322959
28672 28 0.00583467536094181
29184 28.5 0.0058121704069961
29696 29 0.00581246163274118
30208 29.5 0.00583564811044277
30720 30 0.00585537672450894
31232 30.5 0.00585316552370701
31744 31 0.00583497866501708
32256 31.5 0.00581757862241427
32768 32 0.00581217617685513
33280 32.5 0.00582026217409202
33792 33 0.00583324944737882
34304 33.5 0.00583498634029123
34816 34 0.0058155759742638
35328 34.5 0.00578691665693381
35840 35 0.00577514754848671
36352 35.5 0.00578937507192113
36864 36 0.00580604536652936
37376 36.5 0.00579604098215197
37888 37 0.00576312632165298
38400 37.5 0.00573997777690374
38912 38 0.00574541958517352
39424 38.5 0.00576208685020768
39936 39 0.0057621502860518
40448 39.5 0.00574124868508105
40960 40 0.00571842826872366
41472 40.5 0.00571155011557412
41984 41 0.00572048022542425
42496 41.5 0.0057299442160164
43008 42 0.00572489880131247
43520 42.5 0.00570606084425908
44032 43 0.0056904566418764
44544 43.5 0.00569239971218735
45056 44 0.00570521107662843
45568 44.5 0.00570849243869839
46080 45 0.00569435837910115
46592 45.5 0.00567839244519675
47104 46 0.00567868369407586
47616 46.5 0.00569046237941508
48128 47 0.00569310850901914
48640 47.5 0.00568029733662564
49152 48 0.00566782369134542
49664 48.5 0.00566812998364178
50176 49 0.00567320461286123
50688 49.5 0.00567035247249167
51200 50 0.00566074611624053
51712 50.5 0.00565309474609591
52224 51 0.00564960061406918
52736 51.5 0.00564629877979238
53248 52 0.00564033268859492
53760 52.5 0.0056317456792849
54272 53 0.00562204936463653
54784 53.5 0.0056130137475127
55296 54 0.00560523878019325
55808 54.5 0.00559753403163714
56320 55 0.00558842667188044
56832 55.5 0.00557740956183124
57344 56 0.00556541807291082
57856 56.5 0.00555300998622841
58368 57 0.00554012206871738
58880 57.5 0.00552509647391658
59392 58 0.005507440479496
59904 58.5 0.00548880628012678
60416 59 0.00547079951834599
60928 59.5 0.00545376739082958
61440 60 0.00543689612984423
61952 60.5 0.00541895837193634
62464 61 0.00540051735113349
62976 61.5 0.00538438030359881
63488 62 0.00537206168737961
64000 62.5 0.0053615167720669
64512 63 0.00534915265105523
65024 63.5 0.00533413578910888
65536 64 0.00531862250154664
66048 64.5 0.00530598769251717
66560 65 0.00529687756312907
67072 65.5 0.00528755813928943
67584 66 0.00527408161948253
68096 66.5 0.00525775815630658
68608 67 0.00524305046340425
69120 67.5 0.00523187298424126
69632 68 0.00522226297338514
70144 68.5 0.00521147465468679
70656 69 0.00519892269701353
71168 69.5 0.00518628638471829
71680 70 0.00517574676637712
72192 70.5 0.00516818217526907
72704 71 0.00516260483113691
73216 71.5 0.00515707864033475
73728 72 0.00515017864677255
74240 72.5 0.00514227500044179
74752 73 0.00513472738816193
75264 73.5 0.00512904997644007
75776 74 0.00512534853027902
76288 74.5 0.00512135634328358
76800 75 0.00511457592053982
77312 75.5 0.00510601668970663
77824 76 0.00509950273744355
78336 76.5 0.00509604372727601
78848 77 0.00509201893890178
79360 77.5 0.00508483947141562
79872 78 0.00507679672083077
80384 78.5 0.005070833308566
80896 79 0.00506599463531712
81408 79.5 0.00505974061494733
81920 80 0.00505193359632262
82432 80.5 0.00504425005116893
82944 81 0.00503761603820799
83456 81.5 0.00503150783068305
83968 82 0.00502455651268985
84480 82.5 0.00501570824028327
84992 83 0.00500640645521107
85504 83.5 0.00499987786290919
86016 84 0.00499582334153066
86528 84.5 0.00498899248662393
87040 85 0.00497673026853808
87552 85.5 0.00496373167977533
88064 86 0.00495556064543937
88576 86.5 0.00494972116552258
89088 87 0.00493912283279457
89600 87.5 0.00492307269650553
90112 88 0.00490898820630325
90624 88.5 0.00490172031847958
91136 89 0.00489642786058022
91648 89.5 0.00488655427758431
92160 90 0.00487422556378651
92672 90.5 0.00486687758170111
93184 91 0.00486645632542569
93696 91.5 0.00486645826706271
94208 92 0.00485984648933048
94720 92.5 0.00484724363984921
95232 93 0.00483606616684261
95744 93.5 0.00483144603676329
96256 94 0.00482883839924909
96768 94.5 0.00481979874420753
97280 95 0.00480439015159948
97792 95.5 0.00479196582431719
98304 96 0.00478761051490134
98816 96.5 0.00478442561445423
99328 97 0.00477417990566289
99840 97.5 0.00475921089080182
100352 98 0.00474843006112294
100864 98.5 0.0047448632685101
101376 99 0.00474315652451671
101888 99.5 0.00473736631641956
102400 100 0.00472781674233524
102912 100.5 0.00471955225158671
103424 101 0.00471605356443688
103936 101.5 0.00471487078412749
104448 102 0.00471048162750534
104960 102.5 0.00470187519634308
105472 103 0.00469386928133921
105984 103.5 0.00468980201747729
106496 104 0.00468744540716143
107008 104.5 0.00468337326551118
107520 105 0.00467697508085005
108032 105.5 0.00466977716805674
108544 106 0.00466399607418436
109056 106.5 0.00466075226756528
109568 107 0.00465803683529228
110080 107.5 0.00465271550356152
110592 108 0.0046451555757367
111104 108.5 0.00463900546191959
111616 109 0.00463599931105981
112128 109.5 0.00463361636237144
112640 110 0.00462868536770941
113152 110.5 0.00462152634513495
113664 111 0.0046153539210777
114176 111.5 0.00461219636354882
114688 112 0.00461026502193216
115200 112.5 0.00460594889843461
115712 113 0.00459874901998965
116224 113.5 0.00459261317581361
116736 114 0.00459030879868534
117248 114.5 0.00458880981399319
117760 115 0.00458392535926502
118272 115.5 0.00457694224216825
118784 116 0.00457222291597267
119296 116.5 0.00457038508340572
119808 117 0.00456804221882268
120320 117.5 0.00456313239444948
120832 118 0.00455744568632153
121344 118.5 0.00455370687247668
121856 119 0.00455175081095855
122368 119.5 0.00454895793135401
122880 120 0.00454422250850909
123392 120.5 0.00453951197781537
123904 121 0.00453672081345975
124416 121.5 0.00453477996652024
124928 122 0.00453144318741994
125440 122.5 0.0045268975147829
125952 123 0.00452340958081787
126464 123.5 0.00452151828515787
126976 124 0.00451916257549934
127488 124.5 0.00451516491526257
128000 125 0.00451110888219259
128512 125.5 0.00450880315047889
129024 126 0.0045075598425558
129536 126.5 0.00450507995265898
130048 127 0.00450069027075117
130560 127.5 0.00449663019563103
131072 128 0.00449506481886632
131584 128.5 0.00449468689956368
132096 129 0.00449234443999844
132608 129.5 0.00448767980435801
133120 130 0.00448376967929996
133632 130.5 0.00448271803616236
134144 131 0.00448268271216598
134656 131.5 0.00448057367243572
